date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-12-18T10:00:00Z,2023-12-18T10:29:59Z,ACEUSDT,fapi,13.5,14.8136,13.5,13.9025,1594244.61,22796411.546025,86628,781610.81,11188597.837148
2023-12-18T10:30:00Z,2023-12-18T10:59:59Z,ACEUSDT,fapi,13.9123,14.4643,13.6453,13.9754,1298381.41,18233358.195876,78121,620848.78,8720397.227987
2023-12-18T11:00:00Z,2023-12-18T11:29:59Z,ACEUSDT,fapi,13.9756,15.183,13.9705,15.1413,1718137.51,25048387.716764,84020,932064.86,13595050.971983
2023-12-18T11:30:00Z,2023-12-18T11:59:59Z,ACEUSDT,fapi,15.1413,15.73,14.612,15.5036,2554375.2,38820897.702569,129246,1293079.95,19669530.316433
2023-12-18T12:00:00Z,2023-12-18T12:29:59Z,ACEUSDT,fapi,15.5038,16.356,15.2697,15.9993,3469305.3,55280225.206509,171823,1738693.18,27719514.438664
2023-12-18T12:30:00Z,2023-12-18T12:59:59Z,ACEUSDT,fapi,16.0004,16.1969,15.4,15.911,2510858.19,39784867.855341,150183,1223180.88,19395279.473727
2023-12-18T13:00:00Z,2023-12-18T13:29:59Z,ACEUSDT,fapi,15.9039,15.9289,14.5443,15.22,3540960.1,53626798.921331,181588,1686852.36,25551730.196331
2023-12-18T13:30:00Z,2023-12-18T13:59:59Z,ACEUSDT,fapi,15.22,15.2871,14.0694,14.4215,3122098.08,45374030.286178,159034,1473345.2,21426013.095675
2023-12-18T14:00:00Z,2023-12-18T14:29:59Z,ACEUSDT,fapi,14.4215,14.6041,13.8,14.5001,2510452.1,35584926.719548,126944,1232698.86,17489902.486221
2023-12-18T14:30:00Z,2023-12-18T14:59:59Z,ACEUSDT,fapi,14.5008,14.6,13.836,14.4543,1821583.06,25982880.644609,94096,928254.12,13246533.040908
