date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-01-31T00:00:00Z,2020-01-31T23:59:59Z,ADAUSDT,fapi,0.0545,0.05559,0.05209,0.05387,244632854,13130602.88191,40186,116954492,6287355.88554
2020-02-01T00:00:00Z,2020-02-01T23:59:59Z,ADAUSDT,fapi,0.05383,0.05745,0.05304,0.0562,372594843,20474420.05379,52151,187682088,10319114.48017
2020-02-02T00:00:00Z,2020-02-02T23:59:59Z,ADAUSDT,fapi,0.05616,0.0596,0.05484,0.05583,481355438,27595953.21127,49441,233179498,13374969.19535
2020-02-03T00:00:00Z,2020-02-03T23:59:59Z,ADAUSDT,fapi,0.05577,0.05808,0.05526,0.05718,337457383,19156619.269,48860,169567615,9639184.30681
2020-02-04T00:00:00Z,2020-02-04T23:59:59Z,ADAUSDT,fapi,0.05718,0.05789,0.05406,0.05601,267287553,14916754.58812,23295,125392133,7002296.31439
2020-02-05T00:00:00Z,2020-02-05T23:59:59Z,ADAUSDT,fapi,0.05605,0.06028,0.05572,0.05949,293624089,17206732.18324,25003,144376811,8467309.96349
2020-02-06T00:00:00Z,2020-02-06T23:59:59Z,ADAUSDT,fapi,0.05947,0.06115,0.0572,0.06014,285964483,17159678.09243,27495,123418472,7418494.11695
2020-02-07T00:00:00Z,2020-02-07T23:59:59Z,ADAUSDT,fapi,0.06016,0.06306,0.05966,0.06014,301494128,18434074.2685,32552,141357529,8646822.54977
2020-02-08T00:00:00Z,2020-02-08T23:59:59Z,ADAUSDT,fapi,0.06015,0.06147,0.0569,0.06018,258763669,15519056.22823,26378,115034175,6914379.26857
2020-02-09T00:00:00Z,2020-02-09T23:59:59Z,ADAUSDT,fapi,0.06014,0.06261,0.0601,0.06194,219182975,13486362.3734,22968,95515654,5877308.71654
2020-02-10T00:00:00Z,2020-02-10T23:59:59Z,ADAUSDT,fapi,0.06194,0.06246,0.05818,0.06029,246284094,14792205.30825,27375,106163307,6379649.95952
2020-02-11T00:00:00Z,2020-02-11T23:59:59Z,ADAUSDT,fapi,0.0603,0.06364,0.05901,0.06357,316957344,19394070.62141,31487,164925248,10093889.64927
2020-02-12T00:00:00Z,2020-02-12T23:59:59Z,ADAUSDT,fapi,0.06352,0.0709,0.06351,0.06825,552763234,37060478.50695,60938,262824715,17596415.36441
2020-02-13T00:00:00Z,2020-02-13T23:59:59Z,ADAUSDT,fapi,0.06829,0.07256,0.06476,0.06882,688219788,47792725.89754,92306,305930275,21244609.63901
2020-02-14T00:00:00Z,2020-02-14T23:59:59Z,ADAUSDT,fapi,0.06883,0.0715,0.06709,0.07082,491638895,34187175.37611,62326,206916728,14370175.85959
2020-02-15T00:00:00Z,2020-02-15T23:59:59Z,ADAUSDT,fapi,0.07082,0.0715,0.06189,0.06433,493739507,33338937.34961,66571,204055681,13806175.02158
2020-02-16T00:00:00Z,2020-02-16T23:59:59Z,ADAUSDT,fapi,0.0643,0.06717,0.05635,0.06159,519254402,32452121.60021,82233,235691532,14738142.40804
2020-02-17T00:00:00Z,2020-02-17T23:59:59Z,ADAUSDT,fapi,0.06156,0.06286,0.05567,0.06024,480135119,28204527.04717,82977,218896346,12870596.75349
2020-02-18T00:00:00Z,2020-02-18T23:59:59Z,ADAUSDT,fapi,0.06024,0.06377,0.05748,0.06283,408675432,24971587.75296,108156,216851050,13271876.16396
2020-02-19T00:00:00Z,2020-02-19T23:59:59Z,ADAUSDT,fapi,0.06282,0.06306,0.05654,0.05737,360991315,22143423.63839,67063,168859341,10379040.10467
2020-02-20T00:00:00Z,2020-02-20T23:59:59Z,ADAUSDT,fapi,0.05734,0.05908,0.05545,0.05818,323424931,18537428.85058,106648,152949421,8772838.17309
2020-02-21T00:00:00Z,2020-02-21T23:59:59Z,ADAUSDT,fapi,0.05818,0.06006,0.05739,0.05847,324430721,19112959.63366,68175,145119823,8554856.96029
2020-02-22T00:00:00Z,2020-02-22T23:59:59Z,ADAUSDT,fapi,0.05856,0.05912,0.05701,0.0583,275321494,16005836.86394,76452,141084094,8201070.39172
2020-02-23T00:00:00Z,2020-02-23T23:59:59Z,ADAUSDT,fapi,0.0583,0.06211,0.05823,0.06151,346239333,20968670.41642,78367,193867006,11751084.87172
2020-02-24T00:00:00Z,2020-02-24T23:59:59Z,ADAUSDT,fapi,0.0615,0.06191,0.0574,0.05907,387317026,23046850.1864,86175,208820264,12438652.01293
2020-02-25T00:00:00Z,2020-02-25T23:59:59Z,ADAUSDT,fapi,0.05907,0.05925,0.05577,0.05606,364172176,20925103.36931,93951,198745363,11424168.75143
2020-02-26T00:00:00Z,2020-02-26T23:59:59Z,ADAUSDT,fapi,0.05607,0.05674,0.04625,0.04914,577235373,29369574.95242,103175,252429589,12844696.2662
2020-02-27T00:00:00Z,2020-02-27T23:59:59Z,ADAUSDT,fapi,0.04918,0.05212,0.04614,0.04989,338999152,16914906.825,126397,159748827,7972531.86357
2020-02-28T00:00:00Z,2020-02-28T23:59:59Z,ADAUSDT,fapi,0.04987,0.05134,0.02286,0.0489,313933720,15277476.16276,101832,146892869,7159621.98811
2020-02-29T00:00:00Z,2020-02-29T23:59:59Z,ADAUSDT,fapi,0.04886,0.05001,0.04709,0.0471,255284363,12353566.9639,85443,125632220,6085578.21559
2020-03-01T00:00:00Z,2020-03-01T23:59:59Z,ADAUSDT,fapi,0.04709,0.04835,0.04505,0.04563,319589360,15006546.32898,82775,165104163,7754267.4239
