date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-08T00:00:00Z,2024-01-08T23:59:59Z,AIUSDT,fapi,1.39499,1.51499,1.27,1.35999,41419067,58412916.68333,381210,18941120,26727989.18284
2024-01-09T00:00:00Z,2024-01-09T23:59:59Z,AIUSDT,fapi,1.359,1.438,1.08,1.1578,112072025,135638015.40588,1011967,52333195,63366356.10711
2024-01-10T00:00:00Z,2024-01-10T23:59:59Z,AIUSDT,fapi,1.15734,1.2,0.90333,1.14409,139434893,144751887.31079,966968,66088780,68532640.20176
2024-01-11T00:00:00Z,2024-01-11T23:59:59Z,AIUSDT,fapi,1.14437,1.27373,1.0421,1.11399,116795450,135004747.98236,873673,53919225,62378448.60078
2024-01-12T00:00:00Z,2024-01-12T23:59:59Z,AIUSDT,fapi,1.11383,1.13934,0.95573,1.02453,63243596,67697204.85948,520107,28862312,30923091.51568
2024-01-13T00:00:00Z,2024-01-13T23:59:59Z,AIUSDT,fapi,1.02444,1.1216,0.97069,1.0775,45893650,48547605.08429,370891,20979418,22190838.4891
2024-01-14T00:00:00Z,2024-01-14T23:59:59Z,AIUSDT,fapi,1.0775,1.33333,1.07054,1.21149,193739462,237412205.94517,1360116,91590949,112393565.51961
2024-01-15T00:00:00Z,2024-01-15T23:59:59Z,AIUSDT,fapi,1.2116,1.49962,1.1,1.40478,237649534,310405129.38124,1810599,115341734,150717645.05476
2024-01-16T00:00:00Z,2024-01-16T23:59:59Z,AIUSDT,fapi,1.40474,1.49759,1.2757,1.33768,144758947,198153864.32089,1599350,69515715,95244644.30552
2024-01-17T00:00:00Z,2024-01-17T23:59:59Z,AIUSDT,fapi,1.33748,1.41856,1.245,1.33307,126282698,166409550.418,1399089,59691081,78687926.00145
2024-01-18T00:00:00Z,2024-01-18T23:59:59Z,AIUSDT,fapi,1.33304,1.34143,1.11025,1.1517,123680999,146888496.0612,1196173,55646673,66048081.03419
2024-01-19T00:00:00Z,2024-01-19T23:59:59Z,AIUSDT,fapi,1.15216,1.16434,0.99017,1.07295,105551667,113381272.23007,1029805,49174463,52846327.84604
2024-01-20T00:00:00Z,2024-01-20T23:59:59Z,AIUSDT,fapi,1.07304,1.14227,1.05279,1.09017,58071655,63665074.30692,716826,27400512,30042372.51497
2024-01-21T00:00:00Z,2024-01-21T23:59:59Z,AIUSDT,fapi,1.09018,1.2266,1.07536,1.16287,85524480,99496137.49269,1073183,41271795,48044698.15255
2024-01-22T00:00:00Z,2024-01-22T23:59:59Z,AIUSDT,fapi,1.16239,1.18993,1.04202,1.0522,80457634,88373802.67638,967434,37408731,41095727.27246
2024-01-23T00:00:00Z,2024-01-23T23:59:59Z,AIUSDT,fapi,1.05253,1.10339,0.9478,1.01325,73249887,74250106.6549,761977,34231979,34723725.77406
2024-01-24T00:00:00Z,2024-01-24T23:59:59Z,AIUSDT,fapi,1.01336,1.12521,1,1.09665,59232347,62001263.27977,727839,27625528,28934359.2504
2024-01-25T00:00:00Z,2024-01-25T23:59:59Z,AIUSDT,fapi,1.09641,1.10385,0.982,1.01317,59017470,61085134.55827,674630,27087579,28064812.52461
2024-01-26T00:00:00Z,2024-01-26T23:59:59Z,AIUSDT,fapi,1.01302,1.16,0.99179,1.12767,63284272,68122751.96546,671497,30297510,32641408.8763
2024-01-27T00:00:00Z,2024-01-27T23:59:59Z,AIUSDT,fapi,1.12766,1.32653,1.10406,1.24282,153183345,186798916.45949,1390141,73614602,89822389.0896
2024-01-28T00:00:00Z,2024-01-28T23:59:59Z,AIUSDT,fapi,1.24282,1.27825,1.15083,1.1713,109198622,133358149.15556,1047054,51170684,62546199.42934
2024-01-29T00:00:00Z,2024-01-29T23:59:59Z,AIUSDT,fapi,1.17156,1.2762,1.15564,1.22678,93289597,114679075.10301,940839,44124007,54240672.47358
2024-01-30T00:00:00Z,2024-01-30T23:59:59Z,AIUSDT,fapi,1.2269,1.38,1.185,1.282,127628241,162258619.18263,1221668,60002833,76350891.43588
2024-01-31T00:00:00Z,2024-01-31T23:59:59Z,AIUSDT,fapi,1.28223,1.39888,1.18535,1.19463,257576000,334759668.61232,2030013,125056143,162673187.40961
2024-02-01T00:00:00Z,2024-02-01T23:59:59Z,AIUSDT,fapi,1.19459,1.20462,1.11123,1.14187,93161047,107291869.06851,930760,43317456,49905649.44391
2024-02-02T00:00:00Z,2024-02-02T23:59:59Z,AIUSDT,fapi,1.14191,1.20302,1.133,1.17179,66064351,77498311.45725,748661,30688992,36009846.4342
2024-02-03T00:00:00Z,2024-02-03T23:59:59Z,AIUSDT,fapi,1.17181,1.21981,1.13828,1.16725,56716113,66938979.60759,661724,26518571,31307792.18382
