date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-08T12:30:00Z,2024-01-08T12:59:59Z,AIUSDT,fapi,1.39499,1.499,1.3936,1.48764,5414771,7944757.16977,39024,2552418,3746501.8191
2024-01-08T13:00:00Z,2024-01-08T13:29:59Z,AIUSDT,fapi,1.485,1.51499,1.43699,1.51214,3963067,5877923.83257,30453,1862502,2766767.09763
2024-01-08T13:30:00Z,2024-01-08T13:59:59Z,AIUSDT,fapi,1.51213,1.51213,1.42426,1.43817,3082478,4511929.78193,29985,1285339,1884090.87628
2024-01-08T14:00:00Z,2024-01-08T14:29:59Z,AIUSDT,fapi,1.43819,1.47618,1.42995,1.44968,2514688,3660176.03417,23685,1130904,1645499.19223
2024-01-08T14:30:00Z,2024-01-08T14:59:59Z,AIUSDT,fapi,1.44923,1.47462,1.389,1.41038,2142212,3060914.80208,21250,844296,1208077.1801
2024-01-08T15:00:00Z,2024-01-08T15:29:59Z,AIUSDT,fapi,1.4101,1.44404,1.39608,1.41494,1901863,2704582.6059,16641,846314,1204491.82543
2024-01-08T15:30:00Z,2024-01-08T15:59:59Z,AIUSDT,fapi,1.41309,1.44,1.3989,1.40554,1319875,1872695.75517,11943,631071,896390.50469
2024-01-08T16:00:00Z,2024-01-08T16:29:59Z,AIUSDT,fapi,1.4056,1.44,1.396,1.42502,1461468,2071895.27849,13596,654513,928967.45858
2024-01-08T16:30:00Z,2024-01-08T16:59:59Z,AIUSDT,fapi,1.42628,1.43634,1.373,1.39771,1472338,2058370.62723,13559,641626,897731.73207
2024-01-08T17:00:00Z,2024-01-08T17:29:59Z,AIUSDT,fapi,1.3974,1.43613,1.3767,1.42875,1332532,1881966.27879,12696,675947,955424.15612
2024-01-08T17:30:00Z,2024-01-08T17:59:59Z,AIUSDT,fapi,1.42942,1.45347,1.40299,1.41777,1268878,1818940.88653,11613,591246,848319.89922
2024-01-08T18:00:00Z,2024-01-08T18:29:59Z,AIUSDT,fapi,1.41805,1.44124,1.3825,1.41065,1271275,1795961.85276,12448,610445,863278.36916
2024-01-08T18:30:00Z,2024-01-08T18:59:59Z,AIUSDT,fapi,1.40834,1.42336,1.34125,1.36114,1896063,2615983.03081,18970,823292,1137339.83173
2024-01-08T19:00:00Z,2024-01-08T19:29:59Z,AIUSDT,fapi,1.36114,1.364,1.27,1.33222,3936267,5174467.33036,30567,1837352,2416851.89308
2024-01-08T19:30:00Z,2024-01-08T19:59:59Z,AIUSDT,fapi,1.33071,1.34893,1.3008,1.30378,1342106,1777579.77549,12444,576433,765085.72764
2024-01-08T20:00:00Z,2024-01-08T20:29:59Z,AIUSDT,fapi,1.30322,1.34751,1.30255,1.32514,988537,1313638.91743,9596,478504,635833.66008
2024-01-08T20:30:00Z,2024-01-08T20:59:59Z,AIUSDT,fapi,1.32632,1.35494,1.31878,1.34972,867813,1158196.8403,10561,454737,607708.99816
2024-01-08T21:00:00Z,2024-01-08T21:29:59Z,AIUSDT,fapi,1.34972,1.40442,1.3489,1.36773,1578616,2168167.60072,18716,792475,1089270.77937
2024-01-08T21:30:00Z,2024-01-08T21:59:59Z,AIUSDT,fapi,1.36799,1.37211,1.33371,1.34458,788851,1062340.09417,9682,350475,472193.04182
2024-01-08T22:00:00Z,2024-01-08T22:29:59Z,AIUSDT,fapi,1.34387,1.35807,1.30941,1.35452,953410,1267959.19241,10029,420249,559838.91791
2024-01-08T22:30:00Z,2024-01-08T22:59:59Z,AIUSDT,fapi,1.35452,1.38083,1.33314,1.33936,917640,1246727.19099,10579,385485,523996.95743
2024-01-08T23:00:00Z,2024-01-08T23:29:59Z,AIUSDT,fapi,1.33929,1.38119,1.33376,1.373,533519,727577.77024,6686,281895,383848.70165
2024-01-08T23:30:00Z,2024-01-08T23:59:59Z,AIUSDT,fapi,1.37307,1.37924,1.34142,1.35999,470800,640164.03502,6487,213602,290480.56336
2024-01-09T00:00:00Z,2024-01-09T00:29:59Z,AIUSDT,fapi,1.359,1.438,1.34519,1.41,1775737,2491976.24196,19247,938673,1315638.84287
2024-01-09T00:30:00Z,2024-01-09T00:59:59Z,AIUSDT,fapi,1.41048,1.41707,1.371,1.40601,1125476,1563935.64975,13407,506899,704826.95559
2024-01-09T01:00:00Z,2024-01-09T01:29:59Z,AIUSDT,fapi,1.406,1.41082,1.31841,1.33756,1600764,2169791.03603,15633,612966,831803.42507
2024-01-09T01:30:00Z,2024-01-09T01:59:59Z,AIUSDT,fapi,1.33845,1.359,1.3263,1.34539,1037532,1397005.89937,8946,529353,712962.0146
2024-01-09T02:00:00Z,2024-01-09T02:29:59Z,AIUSDT,fapi,1.34478,1.35037,1.322,1.34094,1056093,1411559.27454,10852,421073,563147.25323
2024-01-09T02:30:00Z,2024-01-09T02:59:59Z,AIUSDT,fapi,1.34018,1.3531,1.32392,1.35057,780826,1044560.02951,8039,408891,547397.46518
2024-01-09T03:00:00Z,2024-01-09T03:29:59Z,AIUSDT,fapi,1.34955,1.36018,1.32947,1.35082,738273,993662.8797,7686,389778,525065.83284
2024-01-09T03:30:00Z,2024-01-09T03:59:59Z,AIUSDT,fapi,1.35151,1.40816,1.34311,1.39654,1652191,2288920.02178,16994,852399,1179722.31985
2024-01-09T04:00:00Z,2024-01-09T04:29:59Z,AIUSDT,fapi,1.39735,1.425,1.37584,1.4064,2036720,2854299.0326,17351,923985,1296756.55869
2024-01-09T04:30:00Z,2024-01-09T04:59:59Z,AIUSDT,fapi,1.40524,1.408,1.365,1.38602,1240025,1717859.63627,11576,525084,728092.23438
2024-01-09T05:00:00Z,2024-01-09T05:29:59Z,AIUSDT,fapi,1.38601,1.39014,1.34244,1.36262,1042886,1424671.1007,10292,400550,547600.96244
2024-01-09T05:30:00Z,2024-01-09T05:59:59Z,AIUSDT,fapi,1.3621,1.37199,1.345,1.36524,1063894,1443213.60574,13473,536748,728423.44788
2024-01-09T06:00:00Z,2024-01-09T06:29:59Z,AIUSDT,fapi,1.36522,1.37013,1.33301,1.35784,1129642,1523838.83196,12103,472468,637866.66254
2024-01-09T06:30:00Z,2024-01-09T06:59:59Z,AIUSDT,fapi,1.35784,1.37147,1.335,1.35911,811238,1095986.42144,8780,385234,520868.07947
