date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-09-23T00:00:00Z,2020-09-23T23:59:59Z,AVAXUSDT,fapi,3.93,4.6092,3.3778,3.5136,14289266,57783882.5364,183085,7314592,29591998.9861
2020-09-24T00:00:00Z,2020-09-24T23:59:59Z,AVAXUSDT,fapi,3.5123,4.86,3.4171,4.6133,12968822,52652127.9493,167583,6685854,27209838.1511
2020-09-25T00:00:00Z,2020-09-25T23:59:59Z,AVAXUSDT,fapi,4.6129,5.0295,4.189,4.6867,11945245,54781116.7189,174833,6387020,29323221.1024
2020-09-26T00:00:00Z,2020-09-26T23:59:59Z,AVAXUSDT,fapi,4.6892,4.8025,4.3459,4.5203,6912586,31539237.6436,103833,3511114,16021851.5869
2020-09-27T00:00:00Z,2020-09-27T23:59:59Z,AVAXUSDT,fapi,4.5244,4.7,4.0976,4.6391,5967454,26364401.8666,78593,2978237,13182446.2786
2020-09-28T00:00:00Z,2020-09-28T23:59:59Z,AVAXUSDT,fapi,4.6383,4.687,4.15,4.1955,5522693,24187083.3222,74900,2790618,12225481.1857
2020-09-29T00:00:00Z,2020-09-29T23:59:59Z,AVAXUSDT,fapi,4.195,4.2786,3.95,4.1314,5153781,21310800.3766,65696,2499754,10341455.3763
2020-09-30T00:00:00Z,2020-09-30T23:59:59Z,AVAXUSDT,fapi,4.1334,4.3976,3.99,4.321,5638476,23592804.2131,73083,2928935,12253487.7925
2020-10-01T00:00:00Z,2020-10-01T23:59:59Z,AVAXUSDT,fapi,4.3246,4.5269,4,4.1477,6333875,26818734.9518,85260,3088556,13093490.6543
2020-10-02T00:00:00Z,2020-10-02T23:59:59Z,AVAXUSDT,fapi,4.1471,4.2137,3.6414,3.8972,8854778,34606557.0588,122000,4601819,18006131.5896
2020-10-03T00:00:00Z,2020-10-03T23:59:59Z,AVAXUSDT,fapi,3.8952,4.1864,3.8554,4.0169,5275795,21083943.0344,60356,2636482,10536208.3353
2020-10-04T00:00:00Z,2020-10-04T23:59:59Z,AVAXUSDT,fapi,4.0102,4.0691,3.8143,3.9608,5280970,20731884.1484,60965,2733146,10740366.678
2020-10-05T00:00:00Z,2020-10-05T23:59:59Z,AVAXUSDT,fapi,3.956,4.0456,3.8675,3.976,4681565,18539976.2725,53188,2514460,9962726.0282
2020-10-06T00:00:00Z,2020-10-06T23:59:59Z,AVAXUSDT,fapi,3.978,3.9928,3.48,3.5338,6161670,22639016.9881,71397,3025732,11120076.3932
2020-10-07T00:00:00Z,2020-10-07T23:59:59Z,AVAXUSDT,fapi,3.536,3.5397,3.1893,3.4413,6660381,22359156.056,69579,3563138,11959193.0287
2020-10-08T00:00:00Z,2020-10-08T23:59:59Z,AVAXUSDT,fapi,3.4445,3.9534,3.3088,3.9034,7083340,25644568.4936,86011,3832439,13855391.0086
2020-10-09T00:00:00Z,2020-10-09T23:59:59Z,AVAXUSDT,fapi,3.9024,4.3209,3.7964,4.2356,5565602,22550807.3011,61431,2968261,12034737.5244
