date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-09-23T07:00:00Z,2020-09-23T07:59:59Z,AVAXUSDT,fapi,3.93,4.4124,3.8728,4.09,1668350,6755295.4003,18171,899013,3640667.4243
2020-09-23T08:00:00Z,2020-09-23T08:59:59Z,AVAXUSDT,fapi,4.0848,4.3151,3.9801,4.2278,1115225,4630451.9692,13931,669126,2782169.6054
2020-09-23T09:00:00Z,2020-09-23T09:59:59Z,AVAXUSDT,fapi,4.2237,4.2272,4.0563,4.203,618779,2561752.5392,7813,336418,1394567.7255
2020-09-23T10:00:00Z,2020-09-23T10:59:59Z,AVAXUSDT,fapi,4.2039,4.3368,4.0814,4.2245,854303,3574152.5425,9351,485693,2033336.5866
2020-09-23T11:00:00Z,2020-09-23T11:59:59Z,AVAXUSDT,fapi,4.2251,4.3797,4.11,4.1785,740321,3137489.7906,10448,340356,1443759.2567
2020-09-23T12:00:00Z,2020-09-23T12:59:59Z,AVAXUSDT,fapi,4.1807,4.395,4.031,4.2901,845244,3546735.9697,11200,407630,1711499.8454
2020-09-23T13:00:00Z,2020-09-23T13:59:59Z,AVAXUSDT,fapi,4.29,4.6092,4.245,4.4083,1230540,5485032.5615,16997,630204,2810101.7578
2020-09-23T14:00:00Z,2020-09-23T14:59:59Z,AVAXUSDT,fapi,4.4129,4.4527,4.1562,4.2145,764520,3275499.5623,9374,383783,1644671.0951
2020-09-23T15:00:00Z,2020-09-23T15:59:59Z,AVAXUSDT,fapi,4.2154,4.2736,4.027,4.1002,738453,3055523.8984,9927,350879,1453392.0414
2020-09-23T16:00:00Z,2020-09-23T16:59:59Z,AVAXUSDT,fapi,4.108,4.2768,4.0751,4.2754,732734,3050234.9305,9477,325541,1357936.4664
2020-09-23T17:00:00Z,2020-09-23T17:59:59Z,AVAXUSDT,fapi,4.2754,4.331,4.115,4.156,570260,2397900.72,7576,281102,1183681.6574
2020-09-23T18:00:00Z,2020-09-23T18:59:59Z,AVAXUSDT,fapi,4.1571,4.275,3.966,3.9683,560770,2322066.151,7499,241449,1003825.7645
2020-09-23T19:00:00Z,2020-09-23T19:59:59Z,AVAXUSDT,fapi,3.9683,4.0785,3.6374,3.7149,1188162,4503795.7116,15454,587420,2227170.8574
2020-09-23T20:00:00Z,2020-09-23T20:59:59Z,AVAXUSDT,fapi,3.7155,3.9082,3.3778,3.5468,919618,3343653.4907,11944,466110,1693351.8775
2020-09-23T21:00:00Z,2020-09-23T21:59:59Z,AVAXUSDT,fapi,3.5468,3.6173,3.424,3.5539,696833,2452508.2024,8792,358698,1263052.1269
2020-09-23T22:00:00Z,2020-09-23T22:59:59Z,AVAXUSDT,fapi,3.5542,3.6899,3.4582,3.5673,545453,1942324.3568,7807,293990,1047577.7126
2020-09-23T23:00:00Z,2020-09-23T23:59:59Z,AVAXUSDT,fapi,3.5706,3.6261,3.424,3.5136,499701,1749464.7397,7324,257180,901237.1852
2020-09-24T00:00:00Z,2020-09-24T00:59:59Z,AVAXUSDT,fapi,3.5123,3.6206,3.4171,3.5534,486486,1712891.0471,7848,247912,874440.0634
2020-09-24T01:00:00Z,2020-09-24T01:59:59Z,AVAXUSDT,fapi,3.5521,3.74,3.5452,3.6229,371793,1360130.1351,5490,193844,710481.7139
2020-09-24T02:00:00Z,2020-09-24T02:59:59Z,AVAXUSDT,fapi,3.624,3.833,3.594,3.7141,493458,1840245.9039,6032,230725,859354.814
2020-09-24T03:00:00Z,2020-09-24T03:59:59Z,AVAXUSDT,fapi,3.7127,3.82,3.6894,3.7311,364570,1369174.2883,4201,192922,724955.0882
2020-09-24T04:00:00Z,2020-09-24T04:59:59Z,AVAXUSDT,fapi,3.731,3.7735,3.565,3.5935,348188,1269717.8889,4212,183666,669948.2608
2020-09-24T05:00:00Z,2020-09-24T05:59:59Z,AVAXUSDT,fapi,3.5958,3.666,3.5201,3.6124,366038,1310844.7431,5465,174140,623800.9899
2020-09-24T06:00:00Z,2020-09-24T06:59:59Z,AVAXUSDT,fapi,3.6098,3.7645,3.6097,3.6706,345905,1273268.0893,4485,183549,676872.3905
2020-09-24T07:00:00Z,2020-09-24T07:59:59Z,AVAXUSDT,fapi,3.6705,3.9339,3.6705,3.8357,547091,2081492.6967,6042,291531,1109361.5037
2020-09-24T08:00:00Z,2020-09-24T08:59:59Z,AVAXUSDT,fapi,3.8313,4.2199,3.8303,4.0975,775915,3129543.1564,11014,419871,1692703.2515
2020-09-24T09:00:00Z,2020-09-24T09:59:59Z,AVAXUSDT,fapi,4.0988,4.2041,3.8539,4.0233,822818,3301858.9694,10540,415596,1670327.6392
2020-09-24T10:00:00Z,2020-09-24T10:59:59Z,AVAXUSDT,fapi,4.022,4.2919,4.0001,4.2547,643355,2650580.9898,9219,344578,1422274.8532
2020-09-24T11:00:00Z,2020-09-24T11:59:59Z,AVAXUSDT,fapi,4.2484,4.435,4.2237,4.2978,802297,3468115.9792,10479,423671,1833157.9571
2020-09-24T12:00:00Z,2020-09-24T12:59:59Z,AVAXUSDT,fapi,4.2956,4.3503,3.9263,3.9556,792168,3262501.1337,9917,327953,1353347.5506
2020-09-24T13:00:00Z,2020-09-24T13:59:59Z,AVAXUSDT,fapi,3.9508,4.0742,3.8151,3.96,813163,3222529.0902,9601,421488,1672896.083
2020-09-24T14:00:00Z,2020-09-24T14:59:59Z,AVAXUSDT,fapi,3.9586,4.1217,3.931,4.1143,591495,2379277.2812,7317,310798,1251061.4632
2020-09-24T15:00:00Z,2020-09-24T15:59:59Z,AVAXUSDT,fapi,4.1177,4.2246,4.0177,4.1399,551982,2281366.6422,6892,293664,1215373.1104
2020-09-24T16:00:00Z,2020-09-24T16:59:59Z,AVAXUSDT,fapi,4.1398,4.2945,4.0532,4.1819,533964,2227119.2515,6755,284719,1189248.271
2020-09-24T17:00:00Z,2020-09-24T17:59:59Z,AVAXUSDT,fapi,4.1782,4.195,4.1211,4.1635,241423,1003343.1989,3377,101923,423743.8088
2020-09-24T18:00:00Z,2020-09-24T18:59:59Z,AVAXUSDT,fapi,4.163,4.248,3.9844,3.9844,358744,1472789.1905,4247,164470,676197.5037
2020-09-24T19:00:00Z,2020-09-24T19:59:59Z,AVAXUSDT,fapi,3.9929,4.161,3.9843,4.1603,280540,1141130.2457,3479,150981,614016.0635
2020-09-24T20:00:00Z,2020-09-24T20:59:59Z,AVAXUSDT,fapi,4.1603,4.2437,4.07,4.0768,353028,1473561.2768,4242,175999,735354.0734
2020-09-24T21:00:00Z,2020-09-24T21:59:59Z,AVAXUSDT,fapi,4.0786,4.3142,4.07,4.2686,318307,1331293.9129,3751,163311,682279.2591
2020-09-24T22:00:00Z,2020-09-24T22:59:59Z,AVAXUSDT,fapi,4.2688,4.7533,4.2687,4.6679,1035019,4686334.1721,11940,605421,2742904.3306
2020-09-24T23:00:00Z,2020-09-24T23:59:59Z,AVAXUSDT,fapi,4.6775,4.86,4.514,4.6133,731075,3403018.6664,11038,383122,1785738.1084
2020-09-25T00:00:00Z,2020-09-25T00:59:59Z,AVAXUSDT,fapi,4.6129,4.6755,4.3624,4.479,568451,2568247.6721,6541,308518,1396026.5651
2020-09-25T01:00:00Z,2020-09-25T01:59:59Z,AVAXUSDT,fapi,4.4793,4.63,4.4202,4.4744,383361,1728880.6034,3870,263321,1188275.8134
2020-09-25T02:00:00Z,2020-09-25T02:59:59Z,AVAXUSDT,fapi,4.4745,4.62,4.4708,4.5424,296990,1352528.7078,4271,218973,996989.5573
2020-09-25T03:00:00Z,2020-09-25T03:59:59Z,AVAXUSDT,fapi,4.5425,4.7715,4.4401,4.4881,524845,2423661.4901,6981,276407,1275306.8522
2020-09-25T04:00:00Z,2020-09-25T04:59:59Z,AVAXUSDT,fapi,4.4899,4.6496,4.4544,4.5869,381622,1733809.7846,5153,221583,1006622.6801
2020-09-25T05:00:00Z,2020-09-25T05:59:59Z,AVAXUSDT,fapi,4.5865,4.62,4.4526,4.4526,429920,1949465.1258,6982,204373,927089.8574
2020-09-25T06:00:00Z,2020-09-25T06:59:59Z,AVAXUSDT,fapi,4.4549,4.7253,4.4091,4.7221,529748,2405186.5454,7224,268359,1220950.1573
2020-09-25T07:00:00Z,2020-09-25T07:59:59Z,AVAXUSDT,fapi,4.7238,4.8198,4.559,4.5734,761010,3557774.5897,12533,366570,1715143.5396
2020-09-25T08:00:00Z,2020-09-25T08:59:59Z,AVAXUSDT,fapi,4.5658,4.6425,4.3509,4.4262,692317,3117218.2986,10914,331914,1495904.7184
2020-09-25T09:00:00Z,2020-09-25T09:59:59Z,AVAXUSDT,fapi,4.421,4.5239,4.316,4.393,589238,2606415.8936,9311,296493,1313479.7817
2020-09-25T10:00:00Z,2020-09-25T10:59:59Z,AVAXUSDT,fapi,4.397,4.4758,4.2588,4.2684,439399,1921289.7172,8449,218186,954928.9106
2020-09-25T11:00:00Z,2020-09-25T11:59:59Z,AVAXUSDT,fapi,4.2707,4.4132,4.189,4.3724,574614,2471519.0528,9036,296353,1275962.3009
2020-09-25T12:00:00Z,2020-09-25T12:59:59Z,AVAXUSDT,fapi,4.3728,4.4601,4.3102,4.3965,458375,2012159.6794,6536,234425,1029402.9294
2020-09-25T13:00:00Z,2020-09-25T13:59:59Z,AVAXUSDT,fapi,4.3978,4.5715,4.3876,4.5619,445511,2001263.87,6598,268185,1206123.029
2020-09-25T14:00:00Z,2020-09-25T14:59:59Z,AVAXUSDT,fapi,4.5619,4.603,4.447,4.5569,539287,2445722.6003,8429,301694,1369004.8441
2020-09-25T15:00:00Z,2020-09-25T15:59:59Z,AVAXUSDT,fapi,4.5554,4.6968,4.4739,4.692,551650,2510966.1525,7465,273893,1248849.7508
2020-09-25T16:00:00Z,2020-09-25T16:59:59Z,AVAXUSDT,fapi,4.6951,4.7799,4.6251,4.7118,873472,4110522.2196,14654,516371,2431679.1955
2020-09-25T17:00:00Z,2020-09-25T17:59:59Z,AVAXUSDT,fapi,4.7158,4.756,4.6247,4.7298,339600,1593814.9708,4448,163954,770404.5724
2020-09-25T18:00:00Z,2020-09-25T18:59:59Z,AVAXUSDT,fapi,4.7315,4.83,4.624,4.6748,450498,2125706.007,7246,212945,1006747.4801
2020-09-25T19:00:00Z,2020-09-25T19:59:59Z,AVAXUSDT,fapi,4.6751,4.7604,4.6512,4.7048,223887,1053581.1146,3157,130684,614865.2866
2020-09-25T20:00:00Z,2020-09-25T20:59:59Z,AVAXUSDT,fapi,4.7061,5.0295,4.7052,4.8538,576063,2805334.9824,7956,317923,1553094.0573
2020-09-25T21:00:00Z,2020-09-25T21:59:59Z,AVAXUSDT,fapi,4.8557,4.9781,4.7893,4.8682,331695,1620424.0564,4800,165662,810101.5744
2020-09-25T22:00:00Z,2020-09-25T22:59:59Z,AVAXUSDT,fapi,4.8683,4.89,4.6388,4.8001,632019,3018177.7775,7646,350378,1673610.5427
