date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-02-10T08:00:00Z,2020-02-10T11:59:59Z,BNBUSDT,fapi,25.07,25.907,24.031,24.555,566537.57,14169071.79624,14842,289335.13,7252836.54348
2020-02-10T12:00:00Z,2020-02-10T15:59:59Z,BNBUSDT,fapi,24.554,25.401,24.38,25.113,402206.02,10055432.88858,10374,193190.27,4829394.9553
2020-02-10T16:00:00Z,2020-02-10T19:59:59Z,BNBUSDT,fapi,25.105,25.55,25.066,25.411,254340.63,6446306.14388,6893,115929.19,2937940.73614
2020-02-10T20:00:00Z,2020-02-10T23:59:59Z,BNBUSDT,fapi,25.411,25.636,24.923,25.189,182007.64,4605321.22413,5780,83115.84,2104612.4858
2020-02-11T00:00:00Z,2020-02-11T03:59:59Z,BNBUSDT,fapi,25.19,25.264,24.479,24.722,331199.51,8236905.92391,8817,139196.2,3462453.11903
2020-02-11T04:00:00Z,2020-02-11T07:59:59Z,BNBUSDT,fapi,24.718,24.722,24.25,24.53,249501.62,6099543.17764,6743,110358.73,2697882.12385
2020-02-11T08:00:00Z,2020-02-11T11:59:59Z,BNBUSDT,fapi,24.53,25.18,24.475,24.975,245726.69,6104984.50908,6466,122199.53,3036571.06136
2020-02-11T12:00:00Z,2020-02-11T15:59:59Z,BNBUSDT,fapi,24.974,25.332,24.81,25.094,336200.88,8436892.85467,9466,163266.94,4096661.85872
2020-02-11T16:00:00Z,2020-02-11T19:59:59Z,BNBUSDT,fapi,25.081,25.864,24.825,25.6,438031.63,11093373.48895,10791,213715.8,5412929.28511
2020-02-11T20:00:00Z,2020-02-11T23:59:59Z,BNBUSDT,fapi,25.599,25.75,25.266,25.705,182401.66,4651088.23905,5945,90504.16,2307435.02472
2020-02-12T00:00:00Z,2020-02-12T03:59:59Z,BNBUSDT,fapi,25.705,25.977,25.347,25.626,215208.85,5526615.62478,7948,96330.94,2474374.488
2020-02-12T04:00:00Z,2020-02-12T07:59:59Z,BNBUSDT,fapi,25.626,26.087,25.499,25.918,219502.02,5643712.00171,7859,96591.02,2484326.59007
2020-02-12T08:00:00Z,2020-02-12T11:59:59Z,BNBUSDT,fapi,25.918,25.971,25.55,25.862,185046.58,4767785.74165,7082,79283.49,2043333.26621
2020-02-12T12:00:00Z,2020-02-12T15:59:59Z,BNBUSDT,fapi,25.869,25.918,25.373,25.518,233990.69,5999806.28531,6994,106442.99,2730602.96216
2020-02-12T16:00:00Z,2020-02-12T19:59:59Z,BNBUSDT,fapi,25.518,25.8,25.473,25.763,148932.81,3817638.97401,4701,68237.55,1749544.60772
2020-02-12T20:00:00Z,2020-02-12T23:59:59Z,BNBUSDT,fapi,25.765,26.98,25.631,26.451,308604.52,8129605.68485,9380,147184.82,3877855.47688
2020-02-13T00:00:00Z,2020-02-13T03:59:59Z,BNBUSDT,fapi,26.452,27.397,26.285,26.466,246632.88,6629942.4242,9269,105016.98,2823753.38752
2020-02-13T04:00:00Z,2020-02-13T07:59:59Z,BNBUSDT,fapi,26.466,26.822,25.733,25.838,263869.41,6934294.43003,8504,100705.41,2647570.1749
2020-02-13T08:00:00Z,2020-02-13T11:59:59Z,BNBUSDT,fapi,25.829,26.027,24.58,24.951,367184.55,9241050.23559,11900,148217.26,3733346.33617
2020-02-13T12:00:00Z,2020-02-13T15:59:59Z,BNBUSDT,fapi,24.978,26.38,24.836,25.638,328875.59,8476130.29815,12955,157397.91,4059884.20135
2020-02-13T16:00:00Z,2020-02-13T19:59:59Z,BNBUSDT,fapi,25.638,25.83,25.18,25.479,115690.47,2948958.60219,5193,60254.2,1535813.4624
2020-02-13T20:00:00Z,2020-02-13T23:59:59Z,BNBUSDT,fapi,25.479,25.547,24.996,25.456,129502.52,3277093.19203,5548,61398.46,1553835.48562
2020-02-14T00:00:00Z,2020-02-14T03:59:59Z,BNBUSDT,fapi,25.455,26.161,25.261,25.918,285533.21,7359275.7643,9871,136313.68,3513905.25982
2020-02-14T04:00:00Z,2020-02-14T07:59:59Z,BNBUSDT,fapi,25.932,25.948,25.043,25.192,227609.03,5786947.42446,7889,106829.69,2716258.20938
2020-02-14T08:00:00Z,2020-02-14T11:59:59Z,BNBUSDT,fapi,25.193,25.889,25.134,25.591,218044.52,5576414.25608,7626,98994.22,2532000.77037
2020-02-14T12:00:00Z,2020-02-14T15:59:59Z,BNBUSDT,fapi,25.595,26.03,25.591,25.752,205391.96,5293099.80896,7606,93478.77,2409714.21136
