date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2019-09-08T16:00:00Z,2019-09-08T19:59:59Z,BTCUSDT,fapi,10000,10357.53,10000,10340.12,471.661,4879792.35634,564,0.001,1e-4
2019-09-08T20:00:00Z,2019-09-08T23:59:59Z,BTCUSDT,fapi,10340.12,10412.65,10324.77,10391.63,2624.63,27216488.09363,3190,0.038,393.35617
2019-09-09T00:00:00Z,2019-09-09T03:59:59Z,BTCUSDT,fapi,10316.62,10316.68,10267.37,10297.89,779.449,8030850.10361,901,0,0
2019-09-09T04:00:00Z,2019-09-09T07:59:59Z,BTCUSDT,fapi,10297.89,10316.34,10092.71,10149.47,2664.789,27367282.58431,3119,0.001,10.30921
2019-09-09T08:00:00Z,2019-09-09T11:59:59Z,BTCUSDT,fapi,10149.47,10475.54,10077.22,10414.6,2466.485,25213737.33169,2424,280.132,2915767.40724
2019-09-09T12:00:00Z,2019-09-09T15:59:59Z,BTCUSDT,fapi,10411.7,10411.7,10302.69,10314.26,3386.015,35043489.79263,1738,1754.471,18158454.28236
2019-09-09T16:00:00Z,2019-09-09T19:59:59Z,BTCUSDT,fapi,10314.26,10333.55,10183.31,10308.87,3915.329,40190487.45874,1917,2254.79,23146750.00995
2019-09-09T20:00:00Z,2019-09-09T23:59:59Z,BTCUSDT,fapi,10307.8,10420.65,10228.28,10307,1612.306,16601362.30055,1197,1163.057,11976413.21315
2019-09-10T00:00:00Z,2019-09-10T03:59:59Z,BTCUSDT,fapi,10307,10382.97,10266.61,10307.25,1547.455,15983811.89959,1752,1300.905,13435749.74522
2019-09-10T04:00:00Z,2019-09-10T07:59:59Z,BTCUSDT,fapi,10309.17,10329.24,10226.81,10272.46,1706.083,17540641.00176,1721,1597.677,16427196.98788
2019-09-10T08:00:00Z,2019-09-10T11:59:59Z,BTCUSDT,fapi,10271.93,10290.01,10206.87,10254.56,1409.001,14445455.44815,1321,1238.489,12697733.9241
2019-09-10T12:00:00Z,2019-09-10T15:59:59Z,BTCUSDT,fapi,10252.7,10270.58,10167.91,10179.1,1529.81,15638144.3414,1880,789.738,8076091.04754
2019-09-10T16:00:00Z,2019-09-10T19:59:59Z,BTCUSDT,fapi,10172.13,10237.41,9940.87,10026.56,1413.946,14376866.27488,1649,824.835,8402203.09881
2019-09-10T20:00:00Z,2019-09-10T23:59:59Z,BTCUSDT,fapi,10021.49,10127.22,9991.73,10102.02,1462.66,14732726.20892,1766,643.818,6487382.14752
2019-09-11T00:00:00Z,2019-09-11T03:59:59Z,BTCUSDT,fapi,10094.27,10293.11,10051,10093.88,1377.981,13945812.34089,1601,813.921,8241336.64843
2019-09-11T04:00:00Z,2019-09-11T07:59:59Z,BTCUSDT,fapi,10091.53,10097.65,9884.31,10067.46,1416.504,14209889.67039,1782,660.964,6630542.08258
2019-09-11T08:00:00Z,2019-09-11T11:59:59Z,BTCUSDT,fapi,10068.41,10138.01,9988.69,10070.53,1031.664,10375018.90573,1531,928.72,9339750.10778
2019-09-11T12:00:00Z,2019-09-11T15:59:59Z,BTCUSDT,fapi,10062.34,10101.38,9973.15,9991.84,1826.186,18315055.37735,2599,1296.895,13008860.99951
2019-09-11T16:00:00Z,2019-09-11T19:59:59Z,BTCUSDT,fapi,9992.18,10123.29,9934.11,10077.6,2623.529,26394315.18488,3343,1995.336,20077711.60471
2019-09-11T20:00:00Z,2019-09-11T23:59:59Z,BTCUSDT,fapi,10073.64,10184.66,10064.11,10159.55,2622.058,26546144.3605,2955,2028.606,20542958.25644
2019-09-12T00:00:00Z,2019-09-12T03:59:59Z,BTCUSDT,fapi,10163.06,10205.46,10085.88,10113.43,2704.325,27405923.08543,3196,2252.247,22824514.31054
2019-09-12T04:00:00Z,2019-09-12T07:59:59Z,BTCUSDT,fapi,10116.97,10129.19,10042.12,10078.96,2502.598,25224801.36655,2899,1766.065,17805936.36075
2019-09-12T08:00:00Z,2019-09-12T11:59:59Z,BTCUSDT,fapi,10079.76,10187.9,10076.95,10170.93,2531.512,25668876.09134,3296,2024.341,20525494.27633
2019-09-12T12:00:00Z,2019-09-12T15:59:59Z,BTCUSDT,fapi,10170,10365.15,10170,10326.58,2529,25983437.44291,3695,1756.385,18033396.93444
2019-09-12T16:00:00Z,2019-09-12T19:59:59Z,BTCUSDT,fapi,10327.25,10349.91,10239.42,10308.8,2724.169,28048678.81225,3453,1102.982,11360386.24458
2019-09-12T20:00:00Z,2019-09-12T23:59:59Z,BTCUSDT,fapi,10301.82,10450.13,10300.85,10415.13,2618.03,27162520.63566,3521,1215.778,12610932.35765
2019-09-13T00:00:00Z,2019-09-13T03:59:59Z,BTCUSDT,fapi,10414.96,10440.55,10329.3,10364.64,2483.692,25761224.66985,3203,1877.255,19469032.02095
2019-09-13T04:00:00Z,2019-09-13T07:59:59Z,BTCUSDT,fapi,10364.82,10399.81,10267.89,10284.03,3589.585,37017450.69898,4958,2332.348,24046043.80237
2019-09-13T08:00:00Z,2019-09-13T11:59:59Z,BTCUSDT,fapi,10283.68,10327.14,10251.99,10306.52,3343.982,34420861.64586,5269,1344.156,13835847.43378
2019-09-13T12:00:00Z,2019-09-13T15:59:59Z,BTCUSDT,fapi,10306.52,10344,10270,10296.57,3556.49,36644392.93332,4966,1326.032,13661227.79663
2019-09-13T16:00:00Z,2019-09-13T19:59:59Z,BTCUSDT,fapi,10294.81,10310.08,10186.34,10210.25,3278.396,33557948.70358,5539,1520.873,15553333.38764
2019-09-13T20:00:00Z,2019-09-13T23:59:59Z,BTCUSDT,fapi,10210.25,10355.85,10153.51,10341.34,3000.576,30803523.15328,5314,1316.464,13517577.61085
2019-09-14T00:00:00Z,2019-09-14T03:59:59Z,BTCUSDT,fapi,10343.01,10353.72,10267.08,10280.77,3297.903,33972015.4986,4872,1349.157,13901814.14608
2019-09-14T04:00:00Z,2019-09-14T07:59:59Z,BTCUSDT,fapi,10280.58,10330.61,10259.75,10316.67,2973.282,30594570.79234,5158,1215.373,12516021.05174
2019-09-14T08:00:00Z,2019-09-14T11:59:59Z,BTCUSDT,fapi,10319.07,10348,10287.53,10291.93,3337.285,34400630.72808,4634,1917.778,19777159.14697
2019-09-14T12:00:00Z,2019-09-14T15:59:59Z,BTCUSDT,fapi,10292.13,10396.4,10222.77,10358,4138.968,42702660.29919,5977,2441.817,25216215.61741
2019-09-14T16:00:00Z,2019-09-14T19:59:59Z,BTCUSDT,fapi,10355.61,10398,10325.41,10363.8,3532.679,36613387.58213,4802,1269.01,13150730.33502
2019-09-14T20:00:00Z,2019-09-14T23:59:59Z,BTCUSDT,fapi,10363.63,10419.97,10317.39,10332.25,3376.507,34987245.43519,4993,1329.412,13785119.66561
2019-09-15T00:00:00Z,2019-09-15T03:59:59Z,BTCUSDT,fapi,10333.47,10359.2,10024.81,10303.39,3539.363,36519047.17907,4506,1051.235,10854948.95043
2019-09-15T04:00:00Z,2019-09-15T07:59:59Z,BTCUSDT,fapi,10302.49,10326.59,10273.21,10308.96,3019.367,31117844.68556,4040,775.19,7991443.18735
2019-09-15T08:00:00Z,2019-09-15T11:59:59Z,BTCUSDT,fapi,10308.08,10320,10268.55,10296.63,3250.042,33462224.12991,4436,818.878,8430902.80104
2019-09-15T12:00:00Z,2019-09-15T15:59:59Z,BTCUSDT,fapi,10296.54,10317.29,10252.28,10306.37,3755.871,38627124.70962,4735,2174.991,22364565.4078
2019-09-15T16:00:00Z,2019-09-15T19:59:59Z,BTCUSDT,fapi,10306.79,10332.61,10280.14,10294.68,3603.548,37114189.27613,4183,1965.276,20249960.93425
2019-09-15T20:00:00Z,2019-09-15T23:59:59Z,BTCUSDT,fapi,10294.46,10316.45,10265.32,10302.22,3368.064,34672116.05778,4012,644.591,6635620.81895
2019-09-16T00:00:00Z,2019-09-16T03:59:59Z,BTCUSDT,fapi,10302,10353.81,10300,10300.07,3490.788,36056365.49702,4217,1370.645,14153169.34321
2019-09-16T04:00:00Z,2019-09-16T07:59:59Z,BTCUSDT,fapi,10300.24,10325,10279.69,10302.3,3131.662,32271850.65049,3971,731.083,7534607.68242
2019-09-16T08:00:00Z,2019-09-16T11:59:59Z,BTCUSDT,fapi,10301.95,10316.71,10275.74,10282.74,3112.623,32062949.75518,4340,913.353,9408740.44234
2019-09-16T12:00:00Z,2019-09-16T15:59:59Z,BTCUSDT,fapi,10282.03,10282.03,10115,10120.07,3548.878,36033905.24281,8307,1939.428,19691886.79103
2019-09-16T16:00:00Z,2019-09-16T19:59:59Z,BTCUSDT,fapi,10117.4,10160.39,10080.7,10124.17,3419.057,34658156.40572,4859,952.387,9651691.70341
2019-09-16T20:00:00Z,2019-09-16T23:59:59Z,BTCUSDT,fapi,10120.37,10329.38,10119.29,10249.27,3482.629,35684265.12061,6143,1047.686,10737400.17687
2019-09-17T00:00:00Z,2019-09-17T03:59:59Z,BTCUSDT,fapi,10257.3,10261.36,10175.2,10224.09,3556.014,36339294.86991,4817,1283.377,13115425.68559
2019-09-17T04:00:00Z,2019-09-17T07:59:59Z,BTCUSDT,fapi,10225.02,10230.79,10165,10201.89,3853.531,39303621.66615,4883,1200.905,12247301.44536
