date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,DYMUSDT,fapi,5.244,8.357,4.895,7.111,415764455.1,2974593394.9634,11552197,208167147.3,1488750881.6103
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,DYMUSDT,fapi,7.109,8.742,6.862,7.383,205349832.2,1567573941.9283,8158389,98853392.6,755079089.9941
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,DYMUSDT,fapi,7.383,7.9,5.922,6.443,122260746.5,855857258.192,5018146,57316927.7,401153797.6763
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,DYMUSDT,fapi,6.443,6.695,4.992,5.921,103632821.2,627717367.5174,3486700,48064376.2,291366715.9188
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,DYMUSDT,fapi,5.922,7.6,5.2,7.399,126098187.1,799108839.5008,4071021,59835493.1,379526279.8079
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,DYMUSDT,fapi,7.399,8.036,5.64,6.179,95049167.1,638270612.8183,3487239,44428636.4,298641413.8555
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,DYMUSDT,fapi,6.178,6.444,5,5.667,58491576.6,332669877.0955,1963943,27413743.6,155985495.8295
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,DYMUSDT,fapi,5.668,6.82,5.615,5.916,69271889.3,427603875.0685,2192451,33125058.6,204698061.173
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,DYMUSDT,fapi,5.917,6.14,4.88,5.403,55584392.2,299711750.432,1674920,26182531.1,141230992.8664
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,DYMUSDT,fapi,5.404,5.644,2.74,3.788,97440161.1,400002115.7408,2364629,46071985.5,188764979.8554
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,DYMUSDT,fapi,3.788,4.221,3.364,4.011,57350673.1,217363562.2392,1552140,28276879.6,107230419.45
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,DYMUSDT,fapi,4.011,4.161,3.372,3.613,40915747.3,153214910.8346,1091993,19883499.2,74434824.1806
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,DYMUSDT,fapi,3.614,3.638,3.006,3.363,41627259.2,135753339.1167,886676,20230550.3,65989633.1674
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,DYMUSDT,fapi,3.363,3.5,2.838,2.86,38223021.7,116461322.1517,754148,18127607.1,55208539.9868
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,DYMUSDT,fapi,2.861,2.914,2.48,2.551,45076882.5,120636353.7901,787395,21470663.1,57460671.2844
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,DYMUSDT,fapi,2.55,3.199,2.488,2.927,82872542.7,235991188.9898,1272939,39873220.5,113628707.5345
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,DYMUSDT,fapi,2.927,3.375,2.86,3.362,76348101,237151795.2489,1298278,36209347.6,112543600.794
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,DYMUSDT,fapi,3.361,3.456,2.438,2.599,49815662.9,150357688.5592,831342,23188942.6,70048113.514
2024-06-10T00:00:00Z,2024-06-16T23:59:59Z,DYMUSDT,fapi,2.6,2.601,1.926,2.033,61223315.6,135861747.7695,752707,29286415.7,64989316.2395
2024-06-17T00:00:00Z,2024-06-23T23:59:59Z,DYMUSDT,fapi,2.033,2.055,1.494,1.691,37670566.2,65070184.3548,407955,18442480.7,31833042.1987
