date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2019-11-25T00:00:00Z,2019-12-01T23:59:59Z,ETHUSDT,coin-m,146,157.4,125.03,150.65,1165627.748,176308414.31634,155457,427816.853,64792950.89688
2019-12-02T00:00:00Z,2019-12-08T23:59:59Z,ETHUSDT,coin-m,150.72,156.25,142.96,150.41,2851587.609,420905282.58764,253268,1349532.922,199166249.77658
2019-12-09T00:00:00Z,2019-12-15T23:59:59Z,ETHUSDT,coin-m,142.83,142.87,142.74,142.76,158.649,22655.78275,33,18.538,2648.0582
2019-12-16T00:00:00Z,2019-12-22T23:59:59Z,ETHUSDT,coin-m,142.46,142.63,115.95,132.14,3817069.804,489501754.57972,454108,1884916.284,241622444.68437
2019-12-23T00:00:00Z,2019-12-29T23:59:59Z,ETHUSDT,coin-m,132.18,138.25,122,134.28,4043150.016,519564809.64629,371721,2012192.684,258728918.44638
2019-12-30T00:00:00Z,2020-01-05T23:59:59Z,ETHUSDT,coin-m,134.22,138.17,125.78,135.33,4460135.428,589251674.73991,444559,2209833.291,291993334.70804
2020-01-06T00:00:00Z,2020-01-12T23:59:59Z,ETHUSDT,coin-m,135.32,148.03,134.82,146.57,6594275.014,933522394.01157,605141,3282130.995,464853119.46506
2020-01-13T00:00:00Z,2020-01-19T23:59:59Z,ETHUSDT,coin-m,146.57,179.57,142.32,167.04,7412937.363,1208680430.85656,896242,3592119.483,585264988.32407
2020-01-20T00:00:00Z,2020-01-26T23:59:59Z,ETHUSDT,coin-m,167.04,171.61,155.72,167.9,2638645.104,433219657.07885,374105,1266959.336,208102494.33292001
2020-01-27T00:00:00Z,2020-02-02T23:59:59Z,ETHUSDT,coin-m,167.98,193.7,165.28,188.59,4105265.33,737718271.38459,562575,2017673.093,362787023.40619
2020-02-03T00:00:00Z,2020-02-09T23:59:59Z,ETHUSDT,coin-m,188.64,230.9,184.71,228.64,6537887.48,1378138654.30847,846269,3235460.767,682357130.25106
2020-02-10T00:00:00Z,2020-02-16T23:59:59Z,ETHUSDT,coin-m,228.71,289,217.32,258.87,12650635.958,3268112636.80923,1953172,6177745.416,1596586202.13016
2020-02-17T00:00:00Z,2020-02-23T23:59:59Z,ETHUSDT,coin-m,258.87,286.7,242.32,274.67,9989490.654,2638053415.56887,1878088,4925116.934,1301465499.19057
2020-02-24T00:00:00Z,2020-03-01T23:59:59Z,ETHUSDT,coin-m,274.66,277.26,210.01,218.01,13262383.775,3105983988.96653,2619984,6417753.819,1501862781.75304
2020-03-02T00:00:00Z,2020-03-08T23:59:59Z,ETHUSDT,coin-m,218.01,251.8,195.35,199.54,11413628.572,2598271785.34342,1766285,5544998.306,1263664158.76311
2020-03-09T00:00:00Z,2020-03-15T23:59:59Z,ETHUSDT,coin-m,199.54,323,84.23,123.89,25367395.637,3885801145.42899,3932668,12395141.429,1895363511.5012
2020-03-16T00:00:00Z,2020-03-22T23:59:59Z,ETHUSDT,coin-m,123.87,152.68,100.11,122.25,16144653.379,1999136692.01366,3228694,8181535.382,1013087824.22349
2020-03-23T00:00:00Z,2020-03-29T23:59:59Z,ETHUSDT,coin-m,122.27,143.44,119,124.4,9422526.509,1253300676.4366,2558705,4871073.568,647959673.0229
2020-03-30T00:00:00Z,2020-04-05T23:59:59Z,ETHUSDT,coin-m,124.42,149.97,123.93,142.59,7987689.487,1100414784.43287,1804361,4201994.222,578562788.91192
2020-04-06T00:00:00Z,2020-04-12T23:59:59Z,ETHUSDT,coin-m,142.59,176.16,142.51,158.72,13859124.23,2270758305.53337,3103612,7104544.241,1163293952.36032
2020-04-13T00:00:00Z,2020-04-19T23:59:59Z,ETHUSDT,coin-m,158.69,189.68,148.07,179.97,13384326.037,2253055686.68703,2799820,6864877.31,1155254020.20027
2020-04-20T00:00:00Z,2020-04-26T23:59:59Z,ETHUSDT,coin-m,179.96,199.99,166.6,197.46,17724672.179,3253055820.9633,3429863,8882059.532,1630769232.3356
2020-04-27T00:00:00Z,2020-05-03T23:59:59Z,ETHUSDT,coin-m,197.46,227.5,189.51,209.95,17209816.661,3577475448.16522,3607511,8565977.434,1780352386.57542
2020-05-04T00:00:00Z,2020-05-10T23:59:59Z,ETHUSDT,coin-m,209.94,216.95,177.89,187.52,14667034.508,2987225431.56956,3501348,7160651.66,1458794032.75893
2020-05-11T00:00:00Z,2020-05-17T23:59:59Z,ETHUSDT,coin-m,187.48,210.16,175.5,206.93,10384538.164,2027665777.15401,2866992,5194555.759,1015044718.70197
2020-05-18T00:00:00Z,2020-05-24T23:59:59Z,ETHUSDT,coin-m,206.9,217.2,191.61,199.7,9915814.374,2059756953.44727,3028981,4881931.256,1014439589.63935
2020-05-25T00:00:00Z,2020-05-31T23:59:59Z,ETHUSDT,coin-m,199.7,247.85,196.68,231.55,10271947.961,2271555177.5887,3393900,5200689.022,1148981515.99617
2020-06-01T00:00:00Z,2020-06-07T23:59:59Z,ETHUSDT,coin-m,231.55,254.48,220,244.66,10472984.484,2527173149.1313,3640281,5209213.94,1257738869.58986
2020-06-08T00:00:00Z,2020-06-14T23:59:59Z,ETHUSDT,coin-m,244.67,251,225.33,231.92,7324232.225,1759662073.17256,2810680,3568942.294,858111382.29867
2020-06-15T00:00:00Z,2020-06-21T23:59:59Z,ETHUSDT,coin-m,231.92,237.5,218.02,228.08,6816272.104,1565960928.63997,2082329,3309734.906,760717091.67757
2020-06-22T00:00:00Z,2020-06-28T23:59:59Z,ETHUSDT,coin-m,228.07,249.41,213.59,224.96,8764883.311,2048170455.48237,2663360,4305319.705,1006084163.12782
2020-06-29T00:00:00Z,2020-07-05T23:59:59Z,ETHUSDT,coin-m,224.93,232.78,221.11,227.61,6026274.928,1366710955.81737,2060533,2998034.578,680219287.23542
2020-07-06T00:00:00Z,2020-07-12T23:59:59Z,ETHUSDT,coin-m,227.61,249,226.89,242.82,7392496.831,1774719520.50139,2358963,3690625.863,885979217.05995
2020-07-13T00:00:00Z,2020-07-19T23:59:59Z,ETHUSDT,coin-m,242.82,245.56,229.84,239.19,4998211.107,1185636702.48505,1819611,2469630.081,585796412.73688
2020-07-20T00:00:00Z,2020-07-26T23:59:59Z,ETHUSDT,coin-m,239.18,321.99,234,311.41,15741917.838,4409622939.85441,3718421,7948138.652,2223410880.96054
2020-07-27T00:00:00Z,2020-08-02T23:59:59Z,ETHUSDT,coin-m,311.36,418.49,302,372.85,25115312.983,8687480297.9654,5420486,12091965.077,4184183100.30451
2020-08-03T00:00:00Z,2020-08-09T23:59:59Z,ETHUSDT,coin-m,372.86,407.88,361.27,390.54,15139211.567,5910505829.78272,3892634,7135578.078,2786626721.00794
2020-08-10T00:00:00Z,2020-08-16T23:59:59Z,ETHUSDT,coin-m,390.54,445.66,366.05,434.19,15183278.368,6200045869.78707,3849513,7099879.001,2897939695.73896
2020-08-17T00:00:00Z,2020-08-23T23:59:59Z,ETHUSDT,coin-m,434.19,449,380,391,11392219.784,4693225971.95585,3989067,5263183.572,2169419857.87752
2020-08-24T00:00:00Z,2020-08-30T23:59:59Z,ETHUSDT,coin-m,391,430.28,370.14,429.11,10586467.605,4165123918.11333,3825026,5104474.744,2009849566.80742
2020-08-31T00:00:00Z,2020-09-06T23:59:59Z,ETHUSDT,coin-m,429.12,489.32,307.36,352.69,27299674.753,10882787329.9227,8368057,12843717.573,5121613263.90049
2020-09-07T00:00:00Z,2020-09-13T23:59:59Z,ETHUSDT,coin-m,352.62,390.45,323.02,366.24,16493384.209,5873532362.43609,5171316,8515140.156,3033836458.95941
