date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2022-08-17T00:00:00Z,2022-08-17T23:59:59Z,INJUSDT,fapi,2.025,2.199,1.862,1.915,24360907.9,50079123.8166,228440,10764166.8,22163878.2843
2022-08-18T00:00:00Z,2022-08-18T23:59:59Z,INJUSDT,fapi,1.911,1.963,1.738,1.78,7657218.3,14426156.4452,72671,3471897.6,6556734.7164
2022-08-19T00:00:00Z,2022-08-19T23:59:59Z,INJUSDT,fapi,1.778,1.78,1.552,1.673,11067216.2,18296903.2475,100025,5113636.2,8462599.2172
2022-08-20T00:00:00Z,2022-08-20T23:59:59Z,INJUSDT,fapi,1.671,1.746,1.54,1.603,9727682.7,16168380.9678,84173,4505940.3,7496735.0086
2022-08-21T00:00:00Z,2022-08-21T23:59:59Z,INJUSDT,fapi,1.602,1.865,1.592,1.841,25580864.1,45501795.5467,212715,12965503.2,23078455.5994
2022-08-22T00:00:00Z,2022-08-22T23:59:59Z,INJUSDT,fapi,1.84,1.844,1.643,1.76,25247608,44033270.1563,223462,12307527.8,21480742.1483
2022-08-23T00:00:00Z,2022-08-23T23:59:59Z,INJUSDT,fapi,1.761,1.886,1.745,1.816,11592241.1,20999623.9109,101310,5470070.1,9917728.3887
2022-08-24T00:00:00Z,2022-08-24T23:59:59Z,INJUSDT,fapi,1.816,1.88,1.749,1.76,6345103.3,11460321.8993,60102,2978727.2,5383881.1403
2022-08-25T00:00:00Z,2022-08-25T23:59:59Z,INJUSDT,fapi,1.76,1.851,1.759,1.772,3846292.7,6921218.8185,37645,1764368.2,3178353.8485
2022-08-26T00:00:00Z,2022-08-26T23:59:59Z,INJUSDT,fapi,1.771,1.825,1.572,1.59,4077037.4,6953823.4458,37901,1820272.2,3105606.955
2022-08-27T00:00:00Z,2022-08-27T23:59:59Z,INJUSDT,fapi,1.59,1.625,1.546,1.566,2357727.2,3739562.0671,25109,1099307,1746164.5686
2022-08-28T00:00:00Z,2022-08-28T23:59:59Z,INJUSDT,fapi,1.566,1.62,1.482,1.5,2126390.9,3341857.2891,22375,934448,1471084.3862
2022-08-29T00:00:00Z,2022-08-29T23:59:59Z,INJUSDT,fapi,1.5,1.614,1.474,1.613,3828163.6,5892158.8754,37267,1923794.7,2962399.3873
2022-08-30T00:00:00Z,2022-08-30T23:59:59Z,INJUSDT,fapi,1.612,1.638,1.492,1.52,11663984,18146442.1707,96879,5617739.1,8745274.8333
2022-08-31T00:00:00Z,2022-08-31T23:59:59Z,INJUSDT,fapi,1.52,1.598,1.52,1.555,2281185.1,3572473.6018,26068,1063222.5,1665497.7971
2022-09-01T00:00:00Z,2022-09-01T23:59:59Z,INJUSDT,fapi,1.554,1.575,1.46,1.524,2167506.5,3275509.5419,21982,963239.1,1456700.1204
2022-09-02T00:00:00Z,2022-09-02T23:59:59Z,INJUSDT,fapi,1.524,1.58,1.491,1.534,2782011.7,4278527.9516,26669,1234161.9,1898281.6295
2022-09-03T00:00:00Z,2022-09-03T23:59:59Z,INJUSDT,fapi,1.534,1.558,1.511,1.526,1280599.1,1958056.135,18539,610863.5,934168.3981
2022-09-04T00:00:00Z,2022-09-04T23:59:59Z,INJUSDT,fapi,1.526,1.625,1.515,1.599,6328393.2,10042234.0611,46627,3160387,5021711.7938
2022-09-05T00:00:00Z,2022-09-05T23:59:59Z,INJUSDT,fapi,1.599,1.627,1.524,1.606,10769275.7,17088945.9768,79330,5088400.2,8086234.4408
2022-09-06T00:00:00Z,2022-09-06T23:59:59Z,INJUSDT,fapi,1.604,1.652,1.44,1.452,9155171.8,14347761.9693,70280,4178295.9,6554192.638
2022-09-07T00:00:00Z,2022-09-07T23:59:59Z,INJUSDT,fapi,1.452,1.58,1.425,1.552,7062072.3,10681946.2171,55755,3292952.9,4982258.0479
2022-09-08T00:00:00Z,2022-09-08T23:59:59Z,INJUSDT,fapi,1.552,1.602,1.485,1.531,6667005,10193061.5593,49592,3113917.8,4761630.3684
2022-09-09T00:00:00Z,2022-09-09T23:59:59Z,INJUSDT,fapi,1.531,1.735,1.524,1.681,9100451.1,14755910.752,64771,4391207.8,7128174.8688
2022-09-10T00:00:00Z,2022-09-10T23:59:59Z,INJUSDT,fapi,1.681,1.737,1.602,1.635,6758413.4,11205032.1852,50409,3188613.7,5290388.6448
2022-09-11T00:00:00Z,2022-09-11T23:59:59Z,INJUSDT,fapi,1.633,2.022,1.614,1.874,63546889.4,118125545.9789,439102,32607235.4,60650435.0067
2022-09-12T00:00:00Z,2022-09-12T23:59:59Z,INJUSDT,fapi,1.872,1.937,1.755,1.808,43994464.7,80571563.469,250732,22063160.3,40432545.2737
2022-09-13T00:00:00Z,2022-09-13T23:59:59Z,INJUSDT,fapi,1.808,2.058,1.637,1.65,48895967.8,92804451.1505,347958,24439730,46554854.2278
2022-09-14T00:00:00Z,2022-09-14T23:59:59Z,INJUSDT,fapi,1.65,1.751,1.605,1.649,11378335.5,19125183.6604,92143,5400775.2,9090583.4469
2022-09-15T00:00:00Z,2022-09-15T23:59:59Z,INJUSDT,fapi,1.648,1.664,1.543,1.627,10167693.5,16345334.7858,74755,4988130.4,8026989.5075
2022-09-16T00:00:00Z,2022-09-16T23:59:59Z,INJUSDT,fapi,1.627,1.684,1.581,1.675,9356554.8,15282580.2664,68327,4481721.9,7329246.5387
2022-09-17T00:00:00Z,2022-09-17T23:59:59Z,INJUSDT,fapi,1.675,1.715,1.639,1.694,5615704.7,9374048.7311,43818,2538086.2,4238704.3246
2022-09-18T00:00:00Z,2022-09-18T23:59:59Z,INJUSDT,fapi,1.694,1.694,1.413,1.448,8030579.1,12681314.7371,59204,3454722.7,5454804.8879
2022-09-19T00:00:00Z,2022-09-19T23:59:59Z,INJUSDT,fapi,1.446,1.627,1.417,1.572,17101206.1,26415415.7656,99879,8373391.1,12928775.5802
2022-09-20T00:00:00Z,2022-09-20T23:59:59Z,INJUSDT,fapi,1.57,1.632,1.504,1.527,25986125.4,41000596.356,134719,12740669.3,20113845.2524
2022-09-21T00:00:00Z,2022-09-21T23:59:59Z,INJUSDT,fapi,1.526,1.595,1.439,1.461,13593151.9,20672206.0923,75819,6813211.5,10369614.7829
2022-09-22T00:00:00Z,2022-09-22T23:59:59Z,INJUSDT,fapi,1.46,1.548,1.457,1.529,5105658.6,7720258.1199,39034,2525776.5,3821221.4407
2022-09-23T00:00:00Z,2022-09-23T23:59:59Z,INJUSDT,fapi,1.528,1.656,1.461,1.575,7524628,11626781.8406,53210,3513021.7,5442079.1777
2022-09-24T00:00:00Z,2022-09-24T23:59:59Z,INJUSDT,fapi,1.576,1.683,1.536,1.644,30523802.8,49804725.2118,180785,15400264.4,25155980.2742
2022-09-25T00:00:00Z,2022-09-25T23:59:59Z,INJUSDT,fapi,1.644,1.935,1.605,1.799,79313060.7,142112827.4534,386561,41375785.3,74194650.2118
2022-09-26T00:00:00Z,2022-09-26T23:59:59Z,INJUSDT,fapi,1.798,1.902,1.681,1.78,76930341.8,137797615.3407,375943,38984942.6,69901199.2878
2022-09-27T00:00:00Z,2022-09-27T23:59:59Z,INJUSDT,fapi,1.78,1.85,1.705,1.736,25921525.8,46135455.6027,153090,13041646.5,23231137.6967
2022-09-28T00:00:00Z,2022-09-28T23:59:59Z,INJUSDT,fapi,1.736,1.753,1.62,1.706,21360302,35861156.6681,113781,10603398,17815672.5114
2022-09-29T00:00:00Z,2022-09-29T23:59:59Z,INJUSDT,fapi,1.705,1.72,1.633,1.684,10627822.2,17774974.9797,65549,5216676.9,8727477.5552
2022-09-30T00:00:00Z,2022-09-30T23:59:59Z,INJUSDT,fapi,1.684,1.752,1.623,1.701,14384071.8,24349059.8816,81812,6854947.4,11613669.2359
2022-10-01T00:00:00Z,2022-10-01T23:59:59Z,INJUSDT,fapi,1.701,1.722,1.639,1.652,6373425.9,10739281.755,42964,3058411.7,5156286.9367
2022-10-02T00:00:00Z,2022-10-02T23:59:59Z,INJUSDT,fapi,1.653,1.681,1.539,1.562,6108683.1,9904810.2239,43587,2873111.6,4668420.6415
2022-10-03T00:00:00Z,2022-10-03T23:59:59Z,INJUSDT,fapi,1.562,1.745,1.546,1.705,13423297,22328489.2732,84782,6532648.5,10872197.3435
2022-10-04T00:00:00Z,2022-10-04T23:59:59Z,INJUSDT,fapi,1.705,1.877,1.688,1.794,49656768.4,89014274.8623,241347,25408480.2,45547902.9177
2022-10-05T00:00:00Z,2022-10-05T23:59:59Z,INJUSDT,fapi,1.794,1.977,1.752,1.916,47457543.2,88955275.9036,224138,24681568.9,46277331.9893
2022-10-06T00:00:00Z,2022-10-06T23:59:59Z,INJUSDT,fapi,1.917,1.925,1.822,1.833,26945758.6,50778134.4972,147869,13243298.5,24969369.7993
