date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2022-08-17T00:00:00Z,2022-08-17T03:59:59Z,INJUSDT,fapi,2.025,2.199,2.025,2.132,3777892.4,8078727.2084,31307,1677362,3590678.6365
2022-08-17T04:00:00Z,2022-08-17T07:59:59Z,INJUSDT,fapi,2.135,2.176,1.98,2.032,4862740.8,10183554.1918,48627,1947378.6,4086185.8499
2022-08-17T08:00:00Z,2022-08-17T11:59:59Z,INJUSDT,fapi,2.031,2.158,2.011,2.074,5846742.5,12285733.7075,54407,2790351.2,5873784.1414
2022-08-17T12:00:00Z,2022-08-17T15:59:59Z,INJUSDT,fapi,2.074,2.16,1.905,1.919,6657928.9,13350606.9983,61654,2901131.3,5825717.1086
2022-08-17T16:00:00Z,2022-08-17T19:59:59Z,INJUSDT,fapi,1.92,1.981,1.862,1.927,2406910.9,4615069.3783,22296,1093622.3,2100803.2104
2022-08-17T20:00:00Z,2022-08-17T23:59:59Z,INJUSDT,fapi,1.925,1.978,1.903,1.915,808692.4,1565432.3323,10149,354321.4,686709.3375
2022-08-18T00:00:00Z,2022-08-18T03:59:59Z,INJUSDT,fapi,1.911,1.962,1.893,1.943,902314.2,1739297.999,8237,447882.5,864049.8212
2022-08-18T04:00:00Z,2022-08-18T07:59:59Z,INJUSDT,fapi,1.946,1.95,1.881,1.908,931882.8,1789490.7359,7756,426224.4,819526.003
2022-08-18T08:00:00Z,2022-08-18T11:59:59Z,INJUSDT,fapi,1.908,1.912,1.835,1.904,1960891,3682015.0937,15704,897366.4,1686502.6297
2022-08-18T12:00:00Z,2022-08-18T15:59:59Z,INJUSDT,fapi,1.904,1.963,1.872,1.887,1597464.5,3071692.3995,15864,744319.4,1432859.1366
2022-08-18T16:00:00Z,2022-08-18T19:59:59Z,INJUSDT,fapi,1.887,1.892,1.839,1.862,957071.3,1782837.7469,8990,444180.9,828469.2319
2022-08-18T20:00:00Z,2022-08-18T23:59:59Z,INJUSDT,fapi,1.863,1.885,1.738,1.78,1307594.5,2360822.4702,16120,511924,925327.894
2022-08-19T00:00:00Z,2022-08-19T03:59:59Z,INJUSDT,fapi,1.778,1.78,1.619,1.674,3327073.8,5557185.6235,28091,1453311.2,2427199.5554
2022-08-19T04:00:00Z,2022-08-19T07:59:59Z,INJUSDT,fapi,1.676,1.723,1.562,1.611,2719913.9,4480746.0243,23156,1174594.6,1939707.4153
2022-08-19T08:00:00Z,2022-08-19T11:59:59Z,INJUSDT,fapi,1.611,1.64,1.552,1.589,1187394.5,1903053.5215,11924,557411.2,894632.4515
2022-08-19T12:00:00Z,2022-08-19T15:59:59Z,INJUSDT,fapi,1.589,1.698,1.587,1.654,1637939.2,2712452.2825,16943,868915,1438914.1457
2022-08-19T16:00:00Z,2022-08-19T19:59:59Z,INJUSDT,fapi,1.654,1.7,1.627,1.658,1393775.6,2316818.8079,12917,665127.2,1108201.6168
2022-08-19T20:00:00Z,2022-08-19T23:59:59Z,INJUSDT,fapi,1.658,1.692,1.628,1.673,801119.2,1326646.9878,6994,394277,653944.0325
2022-08-20T00:00:00Z,2022-08-20T03:59:59Z,INJUSDT,fapi,1.671,1.738,1.611,1.658,3117132.6,5214293.4722,27504,1408827.4,2362598.8708
2022-08-20T04:00:00Z,2022-08-20T07:59:59Z,INJUSDT,fapi,1.659,1.746,1.648,1.718,1901798.4,3232533.9606,16589,914126.3,1554249.3181
2022-08-20T08:00:00Z,2022-08-20T11:59:59Z,INJUSDT,fapi,1.718,1.72,1.679,1.702,1342298.4,2281901.6132,10629,654985.4,1114432.367
2022-08-20T12:00:00Z,2022-08-20T15:59:59Z,INJUSDT,fapi,1.699,1.702,1.616,1.646,1214344.1,2017095.3054,9748,465439.6,773438.1047
2022-08-20T16:00:00Z,2022-08-20T19:59:59Z,INJUSDT,fapi,1.646,1.66,1.542,1.571,1195953.6,1911073.0971,10140,556286.9,890997.4779
2022-08-20T20:00:00Z,2022-08-20T23:59:59Z,INJUSDT,fapi,1.569,1.613,1.54,1.603,956155.6,1511483.5193,9563,506274.7,801018.8701
2022-08-21T00:00:00Z,2022-08-21T03:59:59Z,INJUSDT,fapi,1.602,1.646,1.592,1.633,673972.5,1087679.3417,6713,349230.7,564005.9197
2022-08-21T04:00:00Z,2022-08-21T07:59:59Z,INJUSDT,fapi,1.632,1.65,1.6,1.634,564765.5,916562.9245,6587,303927,493818.289
2022-08-21T08:00:00Z,2022-08-21T11:59:59Z,INJUSDT,fapi,1.634,1.725,1.634,1.705,1660304.3,2813076.9622,15814,791535.6,1340963.6001
2022-08-21T12:00:00Z,2022-08-21T15:59:59Z,INJUSDT,fapi,1.704,1.76,1.685,1.728,3236898.6,5585855.0077,26806,1684122.5,2908958.1671
