date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-31T16:00:00Z,2024-01-31T19:59:59Z,JUPUSDT,fapi,0.6852,0.6863,0.63,0.6384,41195307,26985983.4405,130105,20304048,13300852.2776
2024-01-31T20:00:00Z,2024-01-31T23:59:59Z,JUPUSDT,fapi,0.6385,0.693,0.6204,0.6629,132445310,86612411.6464,423519,65904770,43109691.3198
2024-02-01T00:00:00Z,2024-02-01T03:59:59Z,JUPUSDT,fapi,0.6629,0.69,0.6202,0.6293,96616935,62897705.9465,357681,46834601,30544311.0539
2024-02-01T04:00:00Z,2024-02-01T07:59:59Z,JUPUSDT,fapi,0.6292,0.6325,0.5619,0.5777,150121480,88855846.584,450287,71095545,42102699.7932
2024-02-01T08:00:00Z,2024-02-01T11:59:59Z,JUPUSDT,fapi,0.5777,0.6292,0.5512,0.6038,192446650,113642221.9653,499370,95249099,56296312.0141
2024-02-01T12:00:00Z,2024-02-01T15:59:59Z,JUPUSDT,fapi,0.6037,0.6222,0.5829,0.5932,146980714,88761485.9078,434569,71708654,43330167.1494
2024-02-01T16:00:00Z,2024-02-01T19:59:59Z,JUPUSDT,fapi,0.5932,0.6042,0.565,0.5803,130113366,75969585.3358,353040,62630203,36601880.88
2024-02-01T20:00:00Z,2024-02-01T23:59:59Z,JUPUSDT,fapi,0.5802,0.606,0.5736,0.6031,70105365,41350316.6444,188870,35567026,20990249.5441
2024-02-02T00:00:00Z,2024-02-02T03:59:59Z,JUPUSDT,fapi,0.6031,0.6159,0.5813,0.5892,78161106,46802215.6402,236540,37905889,22716960.7784
2024-02-02T04:00:00Z,2024-02-02T07:59:59Z,JUPUSDT,fapi,0.5892,0.6074,0.5771,0.6071,68606753,40547480.8207,195825,32770646,19379081.2609
2024-02-02T08:00:00Z,2024-02-02T11:59:59Z,JUPUSDT,fapi,0.607,0.64,0.5935,0.6218,174062904,108278498.2365,458285,86735849,53981437.4022
2024-02-02T12:00:00Z,2024-02-02T15:59:59Z,JUPUSDT,fapi,0.6216,0.6389,0.6013,0.6337,136911526,84774835.0831,375355,68145732,42222007.5268
2024-02-02T16:00:00Z,2024-02-02T19:59:59Z,JUPUSDT,fapi,0.6335,0.6493,0.6042,0.6132,101866425,63492761.8793,302278,48913176,30498310.9295
2024-02-02T20:00:00Z,2024-02-02T23:59:59Z,JUPUSDT,fapi,0.6133,0.6238,0.6071,0.6182,44117226,27177780.2725,148377,21831328,13455096.6284
2024-02-03T00:00:00Z,2024-02-03T03:59:59Z,JUPUSDT,fapi,0.6182,0.6221,0.5702,0.581,99546388,58725877.6235,286078,44474478,26224200.3102
2024-02-03T04:00:00Z,2024-02-03T07:59:59Z,JUPUSDT,fapi,0.5809,0.5997,0.576,0.581,64792005,38042575.7625,197183,32291013,18970965.2749
2024-02-03T08:00:00Z,2024-02-03T11:59:59Z,JUPUSDT,fapi,0.5809,0.5862,0.571,0.5761,56517423,32732660.1833,148778,25956617,15040158.6086
2024-02-03T12:00:00Z,2024-02-03T15:59:59Z,JUPUSDT,fapi,0.5761,0.5807,0.5618,0.574,79870723,45628057.7478,191683,37770770,21591881.0449
2024-02-03T16:00:00Z,2024-02-03T19:59:59Z,JUPUSDT,fapi,0.574,0.5818,0.568,0.5722,47857749,27534252.299,135336,23091997,13291159.9123
2024-02-03T20:00:00Z,2024-02-03T23:59:59Z,JUPUSDT,fapi,0.5721,0.5769,0.5636,0.5654,34525657,19681148.3933,98496,16347028,9322384.8698
2024-02-04T00:00:00Z,2024-02-04T03:59:59Z,JUPUSDT,fapi,0.5654,0.5738,0.5528,0.5702,42498101,24015362.8933,120295,19504663,11033943.0987
2024-02-04T04:00:00Z,2024-02-04T07:59:59Z,JUPUSDT,fapi,0.57,0.571,0.5386,0.5439,79054120,43663770.392,170004,34969619,19326701.6904
