date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-12-25T00:00:00Z,2023-12-31T23:59:59Z,NFPUSDT,fapi,1.2016,1.2867,0.8422,0.9064,1157149352.6,1178336922.62834,6010054,558271238.8,568903577.97107
2024-01-01T00:00:00Z,2024-01-07T23:59:59Z,NFPUSDT,fapi,0.9064,0.9141,0.5151,0.6027,1049741634.4,750437221.49123,4980544,487107898.5,348173906.22125
2024-01-08T00:00:00Z,2024-01-14T23:59:59Z,NFPUSDT,fapi,0.6026,0.7171,0.485,0.6674,1057356350.8,635064426.86236,4891634,499524282,300323721.09522
2024-01-15T00:00:00Z,2024-01-21T23:59:59Z,NFPUSDT,fapi,0.6676,0.7768,0.5,0.5434,796755458.5,511477453.04991,3310983,368125950.9,236226052.33524
2024-01-22T00:00:00Z,2024-01-28T23:59:59Z,NFPUSDT,fapi,0.5435,0.6155,0.447,0.554,614357498.9,327779875.04057,2443597,290180328.3,154855987.11623
2024-01-29T00:00:00Z,2024-02-04T23:59:59Z,NFPUSDT,fapi,0.5541,0.6213,0.495,0.4995,464087990.5,258622906.60036,1907761,215626979.1,120274041.68516
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,NFPUSDT,fapi,0.4995,0.6154,0.4802,0.5842,399684381.1,218597930.25416,1719359,188050625.9,102887544.40448
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,NFPUSDT,fapi,0.5842,0.8565,0.5681,0.7915,986059975.8,683793508.1057,4819586,469574575.2,326026112.29612
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,NFPUSDT,fapi,0.7916,0.8878,0.6324,0.7578,847477110.4,634500761.71755,4643390,391562484.6,293336723.20867
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,NFPUSDT,fapi,0.7578,0.9015,0.6442,0.8395,841028523.9,668664148.45121,4813112,388786779,309530825.73355
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,NFPUSDT,fapi,0.8396,1.1817,0.6,0.9943,1304751825.9,1170983270.01227,7173524,617900315.7,555630534.30341
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,NFPUSDT,fapi,0.9944,1.0283,0.6955,0.8029,879952397.8,765495618.64408,4696736,415651021,361691094.26171
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,NFPUSDT,fapi,0.803,0.8093,0.6146,0.7954,591887191.8,428130018.24824,2772273,282270024.4,204240039.54879
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,NFPUSDT,fapi,0.7956,0.9497,0.789,0.8226,620787012.6,535836023.92498,2903742,296076451.1,255631955.0707
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,NFPUSDT,fapi,0.8226,0.8284,0.6677,0.7405,363546829.6,264987005.09136,1704148,173527112.4,126435106.62018
