date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-08-17T02:30:00Z,2023-08-17T02:59:59Z,SEIUSDT,fapi,0.222,0.222,0.1854,0.1879,47124237,9394378.2031,33256,24019404,4798974.0732
2023-08-17T03:00:00Z,2023-08-17T03:29:59Z,SEIUSDT,fapi,0.1878,0.1964,0.1876,0.1936,35476345,6816774.2041,23340,17726577,3405012.6437
2023-08-17T03:30:00Z,2023-08-17T03:59:59Z,SEIUSDT,fapi,0.1936,0.1942,0.1873,0.192,28021467,5356271.0097,17452,13107289,2504798.5786
2023-08-17T04:00:00Z,2023-08-17T04:29:59Z,SEIUSDT,fapi,0.192,0.1966,0.1901,0.194,22394959,4337909.1836,15558,10807650,2094972.0997
2023-08-17T04:30:00Z,2023-08-17T04:59:59Z,SEIUSDT,fapi,0.194,0.1984,0.191,0.1982,20073761,3903392.5173,13211,11079425,2156978.5129
2023-08-17T05:00:00Z,2023-08-17T05:29:59Z,SEIUSDT,fapi,0.1983,0.1999,0.194,0.1962,23229756,4571956.5431,15284,11045787,2174470.0128
2023-08-17T05:30:00Z,2023-08-17T05:59:59Z,SEIUSDT,fapi,0.1961,0.1964,0.1924,0.1936,15123068,2937564.5357,12633,7394350,1436887.9976
2023-08-17T06:00:00Z,2023-08-17T06:29:59Z,SEIUSDT,fapi,0.1936,0.1952,0.1886,0.1901,24055074,4593353.4849,18372,11235992,2146230.6726
2023-08-17T06:30:00Z,2023-08-17T06:59:59Z,SEIUSDT,fapi,0.1901,0.1915,0.1846,0.1903,30639694,5777950.3272,23639,15367329,2900098.6231
2023-08-17T07:00:00Z,2023-08-17T07:29:59Z,SEIUSDT,fapi,0.1904,0.1919,0.1867,0.1891,18019718,3405929.6545,14573,8581991,1622255.9643
2023-08-17T07:30:00Z,2023-08-17T07:59:59Z,SEIUSDT,fapi,0.1891,0.1933,0.1883,0.192,22979240,4388852.777,18807,11315856,2162421.024
2023-08-17T08:00:00Z,2023-08-17T08:29:59Z,SEIUSDT,fapi,0.192,0.1922,0.1876,0.1893,21146819,4013977.9068,18511,9767821,1855430.759
2023-08-17T08:30:00Z,2023-08-17T08:59:59Z,SEIUSDT,fapi,0.1893,0.1908,0.1828,0.186,28779997,5380256.6994,24093,12922516,2417465.8535
2023-08-17T09:00:00Z,2023-08-17T09:29:59Z,SEIUSDT,fapi,0.186,0.1868,0.177,0.1809,75060375,13643763.0344,48422,38141008,6939853.6154
2023-08-17T09:30:00Z,2023-08-17T09:59:59Z,SEIUSDT,fapi,0.1809,0.1849,0.1808,0.1824,31382870,5737569.0969,19917,15874810,2902872.0618
2023-08-17T10:00:00Z,2023-08-17T10:29:59Z,SEIUSDT,fapi,0.1825,0.1842,0.18,0.1839,34170382,6221138.1418,21569,17921419,3264992.0861
2023-08-17T10:30:00Z,2023-08-17T10:59:59Z,SEIUSDT,fapi,0.1838,0.1847,0.18,0.1835,29459330,5373268.6996,18153,14840322,2709395.5606
2023-08-17T11:00:00Z,2023-08-17T11:29:59Z,SEIUSDT,fapi,0.1834,0.1835,0.1768,0.1777,33832380,6097624.4074,23024,14994034,2704926.3284
2023-08-17T11:30:00Z,2023-08-17T11:59:59Z,SEIUSDT,fapi,0.1778,0.1796,0.1746,0.1783,46876197,8325186.2424,27406,23496282,4175297.3153
2023-08-17T12:00:00Z,2023-08-17T12:29:59Z,SEIUSDT,fapi,0.1783,0.1792,0.1691,0.1714,90224428,15602866.5867,43583,42761722,7397506.531
2023-08-17T12:30:00Z,2023-08-17T12:59:59Z,SEIUSDT,fapi,0.1714,0.1741,0.1673,0.1736,71511688,12213682.6073,33973,37399933,6391860.1898
2023-08-17T13:00:00Z,2023-08-17T13:29:59Z,SEIUSDT,fapi,0.1735,0.1814,0.1721,0.1793,94786783,16795891.6425,45939,50242387,8901031.4998
2023-08-17T13:30:00Z,2023-08-17T13:59:59Z,SEIUSDT,fapi,0.1793,0.182,0.1735,0.1756,73174243,12983245.5686,39187,35545421,6310173.3976
2023-08-17T14:00:00Z,2023-08-17T14:29:59Z,SEIUSDT,fapi,0.1756,0.1787,0.1733,0.1767,54748438,9652130.725,27724,28162548,4967172.0643
2023-08-17T14:30:00Z,2023-08-17T14:59:59Z,SEIUSDT,fapi,0.1767,0.1818,0.1759,0.1803,46947202,8416681.0903,24157,23659565,4241760.1883
2023-08-17T15:00:00Z,2023-08-17T15:29:59Z,SEIUSDT,fapi,0.1802,0.186,0.1786,0.181,70103803,12816305.7498,40661,34163027,6253357.6651
2023-08-17T15:30:00Z,2023-08-17T15:59:59Z,SEIUSDT,fapi,0.181,0.1825,0.1771,0.1805,63706764,11475292.4705,32143,30676568,5529944.3302
2023-08-17T16:00:00Z,2023-08-17T16:29:59Z,SEIUSDT,fapi,0.1805,0.1805,0.1691,0.1721,101522623,17719762.2273,53868,48994957,8556007.9154
2023-08-17T16:30:00Z,2023-08-17T16:59:59Z,SEIUSDT,fapi,0.1721,0.1777,0.1719,0.175,46104426,8078359.2362,25892,23360417,4093481.4966
2023-08-17T17:00:00Z,2023-08-17T17:29:59Z,SEIUSDT,fapi,0.175,0.1779,0.1742,0.177,23111723,4075366.0964,19019,11818748,2085159.3406
2023-08-17T17:30:00Z,2023-08-17T17:59:59Z,SEIUSDT,fapi,0.1771,0.1783,0.174,0.1755,19302905,3399428.2316,15705,9104658,1604020.6108
2023-08-17T18:00:00Z,2023-08-17T18:29:59Z,SEIUSDT,fapi,0.1754,0.1795,0.1746,0.1787,24422726,4328970.3434,17771,13837798,2453568.9124
2023-08-17T18:30:00Z,2023-08-17T18:59:59Z,SEIUSDT,fapi,0.1787,0.1795,0.1754,0.1772,17212286,3055137.0943,12681,8331291,1479693.4871
2023-08-17T19:00:00Z,2023-08-17T19:29:59Z,SEIUSDT,fapi,0.1773,0.1821,0.1759,0.1813,23288649,4184473.9004,16262,13864585,2492175.3588
2023-08-17T19:30:00Z,2023-08-17T19:59:59Z,SEIUSDT,fapi,0.1812,0.1819,0.1786,0.1803,13233347,2384932.9174,10623,6681426,1204538.567
2023-08-17T20:00:00Z,2023-08-17T20:29:59Z,SEIUSDT,fapi,0.1802,0.1834,0.1786,0.1789,21679769,3925897.4403,18877,10218690,1851673.4015
2023-08-17T20:30:00Z,2023-08-17T20:59:59Z,SEIUSDT,fapi,0.1789,0.182,0.1764,0.1775,17295942,3092750.5458,16350,8067532,1443118.758
2023-08-17T21:00:00Z,2023-08-17T21:29:59Z,SEIUSDT,fapi,0.1775,0.1803,0.1751,0.1767,17914698,3179148.2759,14020,9823503,1743190.6987
2023-08-17T21:30:00Z,2023-08-17T21:59:59Z,SEIUSDT,fapi,0.1767,0.1775,0.1508,0.1616,101967802,16599493.7254,71726,45950285,7470438.5014
2023-08-17T22:00:00Z,2023-08-17T22:29:59Z,SEIUSDT,fapi,0.1615,0.17,0.159,0.1678,54707995,9046840.2767,42535,28274735,4677850.9117
2023-08-17T22:30:00Z,2023-08-17T22:59:59Z,SEIUSDT,fapi,0.1678,0.1718,0.1651,0.1697,35380341,5932847.6079,26408,17853068,2993571.3904
2023-08-17T23:00:00Z,2023-08-17T23:29:59Z,SEIUSDT,fapi,0.1698,0.177,0.1686,0.1704,41806960,7207135.7314,30489,22236482,3837484.2283
2023-08-17T23:30:00Z,2023-08-17T23:59:59Z,SEIUSDT,fapi,0.1704,0.1726,0.167,0.1718,26445804,4501777.1165,17853,13466677,2294283.1621
2023-08-18T00:00:00Z,2023-08-18T00:29:59Z,SEIUSDT,fapi,0.1716,0.1766,0.1673,0.1688,47993902,8276408.1256,30134,22796245,3933648.4236
2023-08-18T00:30:00Z,2023-08-18T00:59:59Z,SEIUSDT,fapi,0.1687,0.1714,0.1623,0.1653,40690213,6743114.7367,28740,18758218,3111939.8594
2023-08-18T01:00:00Z,2023-08-18T01:29:59Z,SEIUSDT,fapi,0.1654,0.1661,0.1587,0.1617,37332068,6041086.3995,27320,17928054,2901341.5645
2023-08-18T01:30:00Z,2023-08-18T01:59:59Z,SEIUSDT,fapi,0.1618,0.1631,0.159,0.1621,25319172,4087710.7962,17846,12904822,2084630.7617
2023-08-18T02:00:00Z,2023-08-18T02:29:59Z,SEIUSDT,fapi,0.162,0.162,0.1358,0.1512,145372893,21828278.9506,84494,67559318,10140218.3052
2023-08-18T02:30:00Z,2023-08-18T02:59:59Z,SEIUSDT,fapi,0.1513,0.1522,0.142,0.1436,85737620,12519017.3316,48727,41005556,5988065.8587
2023-08-18T03:00:00Z,2023-08-18T03:29:59Z,SEIUSDT,fapi,0.1436,0.1526,0.1435,0.1517,69127844,10245743.0402,42062,36625141,5433947.5014
2023-08-18T03:30:00Z,2023-08-18T03:59:59Z,SEIUSDT,fapi,0.1517,0.1544,0.1508,0.15310000000000001,54228926,8273854.5813,36097,27981483,4272077.99
2023-08-18T04:00:00Z,2023-08-18T04:29:59Z,SEIUSDT,fapi,0.1532,0.157,0.1494,0.1508,56068925,8608024.4403,33918,26987945,4145999.267
2023-08-18T04:30:00Z,2023-08-18T04:59:59Z,SEIUSDT,fapi,0.1508,0.1557,0.1492,0.1547,35720463,5436289.592,21089,17425761,2655011.5535
2023-08-18T05:00:00Z,2023-08-18T05:29:59Z,SEIUSDT,fapi,0.1547,0.162,0.1541,0.1599,54399494,8567277.0272,33880,29204517,4603049.5848
2023-08-18T05:30:00Z,2023-08-18T05:59:59Z,SEIUSDT,fapi,0.1598,0.1612,0.1571,0.1572,35294083,5613779.7698,21722,15915543,2533670.4071
2023-08-18T06:00:00Z,2023-08-18T06:29:59Z,SEIUSDT,fapi,0.1572,0.1649,0.1571,0.1645,61447288,9965451.6772,35823,31200320,5062012.2045
2023-08-18T06:30:00Z,2023-08-18T06:59:59Z,SEIUSDT,fapi,0.1646,0.1712,0.1635,0.1665,81340659,13620042.5089,48138,42769320,7166113.4898
2023-08-18T07:00:00Z,2023-08-18T07:29:59Z,SEIUSDT,fapi,0.1665,0.1671,0.1612,0.1627,46686005,7643037.803,31756,20987916,3437136.3015
2023-08-18T07:30:00Z,2023-08-18T07:59:59Z,SEIUSDT,fapi,0.1626,0.166,0.1612,0.1627,32290958,5276597.4533,20805,16930689,2768296.9144
2023-08-18T08:00:00Z,2023-08-18T08:29:59Z,SEIUSDT,fapi,0.1627,0.1647,0.1602,0.1608,44111397,7146664.6966,29658,20716627,3358196.522
2023-08-18T08:30:00Z,2023-08-18T08:59:59Z,SEIUSDT,fapi,0.1607,0.1623,0.1575,0.1621,38646402,6170144.2448,24477,20670658,3301253.2805
2023-08-18T09:00:00Z,2023-08-18T09:29:59Z,SEIUSDT,fapi,0.1622,0.1638,0.1589,0.1604,27123895,4386051.518,18245,13825569,2237379.5659
2023-08-18T09:30:00Z,2023-08-18T09:59:59Z,SEIUSDT,fapi,0.1603,0.162,0.1585,0.1591,17026921,2728485.8748,11703,7850224,1258696.6281
2023-08-18T10:00:00Z,2023-08-18T10:29:59Z,SEIUSDT,fapi,0.159,0.1605,0.1549,0.1566,23917945,3776601.2639,17147,11225048,1774580.8289
2023-08-18T10:30:00Z,2023-08-18T10:59:59Z,SEIUSDT,fapi,0.1566,0.161,0.1562,0.1589,19935897,3172219.949,13130,10155056,1615505.1715
2023-08-18T11:00:00Z,2023-08-18T11:29:59Z,SEIUSDT,fapi,0.1588,0.1608,0.1575,0.1598,17544738,2788522.4912,11966,9103828,1447625.1789
2023-08-18T11:30:00Z,2023-08-18T11:59:59Z,SEIUSDT,fapi,0.1598,0.1625,0.1583,0.1601,26832065,4308646.4034,16030,13681736,2198049.3587
2023-08-18T12:00:00Z,2023-08-18T12:29:59Z,SEIUSDT,fapi,0.1601,0.1606,0.1572,0.1587,19663062,3119580.7357,12977,9402281,1491785.7263
