date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-10-31T16:00:00Z,2023-10-31T19:59:59Z,TIAUSDT,fapi,2.234,2.4795,2.0926,2.4425,33045434,76476384.3146,289705,16375658,37914218.5167
2023-10-31T20:00:00Z,2023-10-31T23:59:59Z,TIAUSDT,fapi,2.4423,2.513,2.2245,2.2757,31760896,76256669.9204,346988,15219690,36590168.6996
2023-11-01T00:00:00Z,2023-11-01T03:59:59Z,TIAUSDT,fapi,2.2757,2.41,2.15,2.281,18777974,43047017.663,242789,8627627,19796237.4866
2023-11-01T04:00:00Z,2023-11-01T07:59:59Z,TIAUSDT,fapi,2.282,2.3188,2.1245,2.2222,17131886,38118100.1654,200132,8039018,17905912.4785
2023-11-01T08:00:00Z,2023-11-01T11:59:59Z,TIAUSDT,fapi,2.2221,2.3,2.2023,2.2551,14555894,32775162.6031,168425,7193542,16207162.8247
2023-11-01T12:00:00Z,2023-11-01T15:59:59Z,TIAUSDT,fapi,2.2551,2.422,2.211,2.3059,27994872,64869511.1047,315412,12986534,30122737.1434
2023-11-01T16:00:00Z,2023-11-01T19:59:59Z,TIAUSDT,fapi,2.3063,2.6745,2.3011,2.5644,57456886,144469459.1486,615542,28009080,70440667.2653
2023-11-01T20:00:00Z,2023-11-01T23:59:59Z,TIAUSDT,fapi,2.5643,2.635,2.45,2.55,12654324,32254851.3055,151564,5977464,15252467.2791
2023-11-02T00:00:00Z,2023-11-02T03:59:59Z,TIAUSDT,fapi,2.5507,2.88,2.463,2.6735,29822448,81125687.5723,319650,14409431,39216757.6364
2023-11-02T04:00:00Z,2023-11-02T07:59:59Z,TIAUSDT,fapi,2.6742,2.8592,2.6324,2.6792,28806499,79444631.7496,307984,13763711,38000187.6978
2023-11-02T08:00:00Z,2023-11-02T11:59:59Z,TIAUSDT,fapi,2.6793,2.681,2.4337,2.518,31799083,80538898.0998,301203,14853106,37634759.597
2023-11-02T12:00:00Z,2023-11-02T15:59:59Z,TIAUSDT,fapi,2.5172,2.5385,2.2617,2.3456,25503437,61213899.3973,225359,11448774,27519637.1972
2023-11-02T16:00:00Z,2023-11-02T19:59:59Z,TIAUSDT,fapi,2.3461,2.4637,2.3132,2.4104,13424423,32189951.8786,139899,6571545,15775147.1803
2023-11-02T20:00:00Z,2023-11-02T23:59:59Z,TIAUSDT,fapi,2.4104,2.45,2.339,2.3989,6916491,16555287.3916,81992,3296992,7892605.5504
2023-11-03T00:00:00Z,2023-11-03T03:59:59Z,TIAUSDT,fapi,2.3982,2.4262,2.25,2.3407,13579653,31412092.4734,150802,6471658,14989645.4809
2023-11-03T04:00:00Z,2023-11-03T07:59:59Z,TIAUSDT,fapi,2.3406,2.4,2.3079,2.3202,10527732,24807793.2832,135265,5161264,12175708.1193
2023-11-03T08:00:00Z,2023-11-03T11:59:59Z,TIAUSDT,fapi,2.3202,2.3396,2.2154,2.3178,13394845,30644579.0665,148301,6133506,14048078.2523
2023-11-03T12:00:00Z,2023-11-03T15:59:59Z,TIAUSDT,fapi,2.3178,2.4041,2.2735,2.391,13564408,31727540.0454,173686,6620951,15495080.5567
2023-11-03T16:00:00Z,2023-11-03T19:59:59Z,TIAUSDT,fapi,2.391,2.4018,2.312,2.3906,7059349,16677531.1246,103464,3372544,7972859.3528
2023-11-03T20:00:00Z,2023-11-03T23:59:59Z,TIAUSDT,fapi,2.3911,2.489,2.3702,2.3909,6726312,16319497.3931,92600,3386571,8221590.6209
2023-11-04T00:00:00Z,2023-11-04T03:59:59Z,TIAUSDT,fapi,2.3908,2.4636,2.351,2.4293,6125984,14816597.8422,80777,2930294,7087253.3378
2023-11-04T04:00:00Z,2023-11-04T07:59:59Z,TIAUSDT,fapi,2.4301,2.5026,2.402,2.4177,8064972,19823404.2739,100784,3877024,9534989.6862
2023-11-04T08:00:00Z,2023-11-04T11:59:59Z,TIAUSDT,fapi,2.4165,2.4527,2.3803,2.4237,5197801,12579181.6386,71613,2574911,6234014.0354
2023-11-04T12:00:00Z,2023-11-04T15:59:59Z,TIAUSDT,fapi,2.4237,2.4858,2.3801,2.4101,5584692,13590200.001,83519,2596627,6321666.3519
2023-11-04T16:00:00Z,2023-11-04T19:59:59Z,TIAUSDT,fapi,2.4104,2.4181,2.3558,2.3815,3205550,7668866.8315,48116,1527843,3657286.146
2023-11-04T20:00:00Z,2023-11-04T23:59:59Z,TIAUSDT,fapi,2.3819,2.452,2.3546,2.4352,3428165,8258425.7637,45752,1679581,4048923.8087
2023-11-05T00:00:00Z,2023-11-05T03:59:59Z,TIAUSDT,fapi,2.4346,2.4795,2.3832,2.4323,3720228,8989971.8104,55902,1741434,4211814.4919
2023-11-05T04:00:00Z,2023-11-05T07:59:59Z,TIAUSDT,fapi,2.4313,2.459,2.3919,2.4024,2838070,6881144.0734,44571,1361102,3300514.1961
2023-11-05T08:00:00Z,2023-11-05T11:59:59Z,TIAUSDT,fapi,2.4024,2.4295,2.2906,2.3512,5140562,12100790.0744,72308,2235817,5268601.0285
2023-11-05T12:00:00Z,2023-11-05T15:59:59Z,TIAUSDT,fapi,2.3517,2.3581,2.2501,2.3163,5603093,12921922.367,73711,2512448,5794737.1386
2023-11-05T16:00:00Z,2023-11-05T19:59:59Z,TIAUSDT,fapi,2.316,2.343,2.301,2.3214,3130198,7267245.6471,46250,1387885,3223392.1196
2023-11-05T20:00:00Z,2023-11-05T23:59:59Z,TIAUSDT,fapi,2.3214,2.3372,2.2461,2.3128,4286857,9810173.7795,42655,2145615,4899465.9613
2023-11-06T00:00:00Z,2023-11-06T03:59:59Z,TIAUSDT,fapi,2.3128,2.366,2.294,2.3373,2979786,6941752.552,41988,1425324,3321860.9141
2023-11-06T04:00:00Z,2023-11-06T07:59:59Z,TIAUSDT,fapi,2.3374,2.3598,2.251,2.2566,3233528,7431396.0434,45120,1365196,3139398.4728
2023-11-06T08:00:00Z,2023-11-06T11:59:59Z,TIAUSDT,fapi,2.2567,2.3372,2.2501,2.32,3132558,7193392.9265,45983,1590217,3650568.8723
2023-11-06T12:00:00Z,2023-11-06T15:59:59Z,TIAUSDT,fapi,2.3202,2.3523,2.2902,2.3424,2928667,6792164.2163,45182,1453289,3370928.8483
2023-11-06T16:00:00Z,2023-11-06T19:59:59Z,TIAUSDT,fapi,2.3431,2.36,2.3065,2.3377,2958997,6911282.2138,41021,1376548,3216981.5705
2023-11-06T20:00:00Z,2023-11-06T23:59:59Z,TIAUSDT,fapi,2.3377,2.3985,2.311,2.3669,2604134,6132601.0728,34538,1304358,3072878.6139
2023-11-07T00:00:00Z,2023-11-07T03:59:59Z,TIAUSDT,fapi,2.3666,2.4342,2.292,2.373,6081744,14436588.7383,82289,2947932,7002122.6336
2023-11-07T04:00:00Z,2023-11-07T07:59:59Z,TIAUSDT,fapi,2.3735,2.4595,2.3611,2.3997,6595091,15889944.7361,82993,3215784,7753033.5721
2023-11-07T08:00:00Z,2023-11-07T11:59:59Z,TIAUSDT,fapi,2.4001,2.405,2.301,2.3222,4599458,10754679.1929,62561,2187278,5116701.37
2023-11-07T12:00:00Z,2023-11-07T15:59:59Z,TIAUSDT,fapi,2.3218,2.3425,2.26,2.277,3949037,9083940.0317,63149,1587640,3653801.5479
2023-11-07T16:00:00Z,2023-11-07T19:59:59Z,TIAUSDT,fapi,2.2779,2.34,2.222,2.293,7619567,17374118.1758,85602,3533896,8055087.1448
2023-11-07T20:00:00Z,2023-11-07T23:59:59Z,TIAUSDT,fapi,2.293,2.3477,2.2821,2.3382,3104672,7193840.9862,44080,1434227,3324883.7906
2023-11-08T00:00:00Z,2023-11-08T03:59:59Z,TIAUSDT,fapi,2.3387,2.35,2.2993,2.31,1708280,3976496.3895,26270,740006,1723338.5011
2023-11-08T04:00:00Z,2023-11-08T07:59:59Z,TIAUSDT,fapi,2.3105,2.3423,2.2936,2.3249,1336730,3099910.1542,21554,611100,1417336.9574
2023-11-08T08:00:00Z,2023-11-08T11:59:59Z,TIAUSDT,fapi,2.3253,2.4024,2.3028,2.3509,3914488,9212287.0238,54157,1801234,4242047.4904
2023-11-08T12:00:00Z,2023-11-08T15:59:59Z,TIAUSDT,fapi,2.3509,2.4207,2.3325,2.3635,6521179,15527627.2063,78244,3369476,8021236.4123
2023-11-08T16:00:00Z,2023-11-08T19:59:59Z,TIAUSDT,fapi,2.3636,2.3951,2.3345,2.388,2426448,5731182.0663,37805,1166973,2756637.2086
2023-11-08T20:00:00Z,2023-11-08T23:59:59Z,TIAUSDT,fapi,2.3878,2.4015,2.344,2.3711,2494912,5922180.0779,41460,1156793,2746588.7834
2023-11-09T00:00:00Z,2023-11-09T03:59:59Z,TIAUSDT,fapi,2.371,2.57,2.3557,2.5076,9692752,24175606.6041,124188,4941211,12321301.7793
2023-11-09T04:00:00Z,2023-11-09T07:59:59Z,TIAUSDT,fapi,2.5078,2.561,2.4375,2.4965,7741537,19260731.3564,96516,3703234,9214974.1524
2023-11-09T08:00:00Z,2023-11-09T11:59:59Z,TIAUSDT,fapi,2.4957,2.64,2.4778,2.6379,10696971,27336418.3842,148997,5244974,13413602.2623
2023-11-09T12:00:00Z,2023-11-09T15:59:59Z,TIAUSDT,fapi,2.6374,2.6399,2.4216,2.4653,11392666,28976368.8682,149176,4990986,12697322.4935
2023-11-09T16:00:00Z,2023-11-09T19:59:59Z,TIAUSDT,fapi,2.4653,2.4931,2.188,2.3429,11820879,27761505.3764,150641,5310905,12491352.8871
2023-11-09T20:00:00Z,2023-11-09T23:59:59Z,TIAUSDT,fapi,2.3428,2.4729,2.2867,2.4573,4314054,10196637.0275,67442,2120507,5013704.6644
2023-11-10T00:00:00Z,2023-11-10T03:59:59Z,TIAUSDT,fapi,2.4573,2.6042,2.4396,2.5101,6837584,17312141.3601,98830,3394383,8601809.3362
2023-11-10T04:00:00Z,2023-11-10T07:59:59Z,TIAUSDT,fapi,2.5106,2.69,2.4764,2.4853,8756732,22538492.1499,124504,4078575,10509608.7657
2023-11-10T08:00:00Z,2023-11-10T11:59:59Z,TIAUSDT,fapi,2.485,2.4966,2.3583,2.4576,6591466,16109048.5955,84634,3080454,7536368.9867
2023-11-10T12:00:00Z,2023-11-10T15:59:59Z,TIAUSDT,fapi,2.4587,2.4642,2.3615,2.4115,4146925,10034446.9077,53738,1978715,4793565.0038
2023-11-10T16:00:00Z,2023-11-10T19:59:59Z,TIAUSDT,fapi,2.414,2.88,2.4058,2.8303,12107864,31926894.0857,157408,6109964,16115517.3794
2023-11-10T20:00:00Z,2023-11-10T23:59:59Z,TIAUSDT,fapi,2.8293,3.3135,2.8111,3.1791,45231552,140042257.4739,546044,22139439,68566334.8803
2023-11-11T00:00:00Z,2023-11-11T03:59:59Z,TIAUSDT,fapi,3.1801,3.92,3.1224,3.6392,46190637,166609680.8196,651101,23198842,83707711.3873
2023-11-11T04:00:00Z,2023-11-11T07:59:59Z,TIAUSDT,fapi,3.641,3.7699,3.175,3.2677,37276646,131878416.6548,510469,17846145,63216940.6697
2023-11-11T08:00:00Z,2023-11-11T11:59:59Z,TIAUSDT,fapi,3.2683,3.54,3.1574,3.4012,24475735,82696481.1017,365257,12270871,41492224.691
2023-11-11T12:00:00Z,2023-11-11T15:59:59Z,TIAUSDT,fapi,3.4013,3.8949,3.3741,3.7562,44240931,161738359.3586,633257,22392095,81908355.2697
2023-11-11T16:00:00Z,2023-11-11T19:59:59Z,TIAUSDT,fapi,3.7567,4.2647,3.7397,3.9309,70452747,282590809.6051,1041995,35518975,142506261.4228
2023-11-11T20:00:00Z,2023-11-11T23:59:59Z,TIAUSDT,fapi,3.9309,4.0785,3.7677,3.9752,25453225,100588511.3737,469073,12924102,51112211.6678
2023-11-12T00:00:00Z,2023-11-12T03:59:59Z,TIAUSDT,fapi,3.975,4.3148,3.6915,3.9372,30751956,122279990.5865,598456,15181727,60439645.2781
2023-11-12T04:00:00Z,2023-11-12T07:59:59Z,TIAUSDT,fapi,3.9355,4.5734,3.9201,4.3482,27224830,117174834.6735,523725,13869645,59696582.4079
2023-11-12T08:00:00Z,2023-11-12T11:59:59Z,TIAUSDT,fapi,4.3459,4.4936,4.127,4.2665,22947264,98827605.5956,449759,11295435,48692598.7192
2023-11-12T12:00:00Z,2023-11-12T15:59:59Z,TIAUSDT,fapi,4.2665,4.3951,3.9402,4.255,22662761,93920251.5183,400776,11074191,45928088.9411
2023-11-12T16:00:00Z,2023-11-12T19:59:59Z,TIAUSDT,fapi,4.2549,4.7444,4.1808,4.6381,29198741,131477297.521,596849,14882229,67050962.0551
2023-11-12T20:00:00Z,2023-11-12T23:59:59Z,TIAUSDT,fapi,4.6374,4.85,4.5696,4.627,19015826,89604872.1207,401440,9444318,44522871.2123
2023-11-13T00:00:00Z,2023-11-13T03:59:59Z,TIAUSDT,fapi,4.6268,5.4955,4.5337,5.2484,40652108,208084669.631,833766,20822247,106603890.3844
2023-11-13T04:00:00Z,2023-11-13T07:59:59Z,TIAUSDT,fapi,5.2484,5.7756,5.0338,5.5004,36435981,193184614.6395,741813,18829903,99964410.9052
2023-11-13T08:00:00Z,2023-11-13T11:59:59Z,TIAUSDT,fapi,5.5003,5.975,5.08,5.2902,61843850,343675659.3465,1139015,30785306,171151054.4414
2023-11-13T12:00:00Z,2023-11-13T15:59:59Z,TIAUSDT,fapi,5.2901,5.558,4.673,5.2517,63474095,327744414.4577,1220558,31490657,162793052.0358
2023-11-13T16:00:00Z,2023-11-13T19:59:59Z,TIAUSDT,fapi,5.2505,5.494,4.8339,5.2014,33371573,171615410.1512,798528,16686453,85868116.8243
2023-11-13T20:00:00Z,2023-11-13T23:59:59Z,TIAUSDT,fapi,5.2019,5.3669,4.3612,4.3811,28841769,142716069.1188,678046,13690329,67922992.9616
2023-11-14T00:00:00Z,2023-11-14T03:59:59Z,TIAUSDT,fapi,4.3815,5.0922,4.213,4.9532,30961962,143239067.754,643123,16006070,74163252.996
2023-11-14T04:00:00Z,2023-11-14T07:59:59Z,TIAUSDT,fapi,4.9529,5.6524,4.8662,5.2855,29228091,155255223.7892,668858,14618014,77675116.6151
2023-11-14T08:00:00Z,2023-11-14T11:59:59Z,TIAUSDT,fapi,5.2853,5.4484,4.8585,5.1022,27166332,139944822.6348,562710,13465082,69394384.5044
2023-11-14T12:00:00Z,2023-11-14T15:59:59Z,TIAUSDT,fapi,5.1022,6.268,4.9166,6.17,75181987,425898017.2039,1361940,38271400,217000218.0804
2023-11-14T16:00:00Z,2023-11-14T19:59:59Z,TIAUSDT,fapi,6.1696,6.4029,5.5743,6.1427,66087312,397084468.8773,1378749,32878913,197749327.4301
2023-11-14T20:00:00Z,2023-11-14T23:59:59Z,TIAUSDT,fapi,6.1446,6.2379,5.8382,5.9903,25181493,151721715.4038,625303,12690739,76507954.7173
2023-11-15T00:00:00Z,2023-11-15T03:59:59Z,TIAUSDT,fapi,5.99,6.45,5.8018,5.9335,35352391,215418279.2976,857442,17659853,107674051.2418
2023-11-15T04:00:00Z,2023-11-15T07:59:59Z,TIAUSDT,fapi,5.9331,6.2587,5.7311,5.9967,24130214,144116069.1081,639582,12079549,72214199.085
