date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-07-24T00:00:00Z,2023-07-30T23:59:59Z,WLDUSDT,fapi,2.6478,2.6557,1.829,2.2873,1596813386,3601267824.8612,13921619,805693451,1818428057.784
2023-07-31T00:00:00Z,2023-08-06T23:59:59Z,WLDUSDT,fapi,2.2873,2.53,2.0113,2.0403,662381600,1524434847.5545,5619200,325748759,750988853.7742
2023-08-07T00:00:00Z,2023-08-13T23:59:59Z,WLDUSDT,fapi,2.0403,2.1094,1.6465,1.7685,640517690,1161545222.9624,4067581,310809878,563409273.1542
2023-08-14T00:00:00Z,2023-08-20T23:59:59Z,WLDUSDT,fapi,1.7682,1.8172,1.1946,1.4678,703288162,1078093911.0961,3894472,345330172,529196283.8339
2023-08-21T00:00:00Z,2023-08-27T23:59:59Z,WLDUSDT,fapi,1.4678,1.5299,1.22,1.3106,614104151,840358285.2552,3390511,305592436,418224021.4873
2023-08-28T00:00:00Z,2023-09-03T23:59:59Z,WLDUSDT,fapi,1.3106,1.3858,1.091,1.1296,1136829765,1362162328.7696,5535379,560648723,672017583.0152
2023-09-04T00:00:00Z,2023-09-10T23:59:59Z,WLDUSDT,fapi,1.1297,1.39,1.0138,1.0916,1755715495,2118834913.0908,8464439,865603075,1045850148.3188
2023-09-11T00:00:00Z,2023-09-17T23:59:59Z,WLDUSDT,fapi,1.0916,1.7257,0.9685,1.2631,3162507307,4135132937.5735,15894182,1576102457,2062761580.9864
2023-09-18T00:00:00Z,2023-09-24T23:59:59Z,WLDUSDT,fapi,1.2631,1.6929,1.23,1.619,3342818546,4950403002.4532,19883645,1665196848,2467882322.5237
2023-09-25T00:00:00Z,2023-10-01T23:59:59Z,WLDUSDT,fapi,1.619,1.8999,1.5711,1.7782,2489389296,4307814971.4732,15061338,1259333482,2179862183.8201
2023-10-02T00:00:00Z,2023-10-08T23:59:59Z,WLDUSDT,fapi,1.7782,1.8054,1.446,1.5819,1123367615,1800465264.1769,6687445,552393441,885303234.256
2023-10-09T00:00:00Z,2023-10-15T23:59:59Z,WLDUSDT,fapi,1.5819,1.6555,1.421,1.5276,776792757,1187844517.4379,4550771,383878806,587289051.6339
2023-10-16T00:00:00Z,2023-10-22T23:59:59Z,WLDUSDT,fapi,1.5276,1.7273,1.4,1.6312,837762823,1313244489.6596,5282648,417398212,654485424.0696
2023-10-23T00:00:00Z,2023-10-29T23:59:59Z,WLDUSDT,fapi,1.6311,1.9567,1.4794,1.8002,972123749,1696550414.5722,7913195,478111434,834940343.6168
2023-10-30T00:00:00Z,2023-11-05T23:59:59Z,WLDUSDT,fapi,1.8003,2.0499,1.7015,1.8207,554423901,1046671388.92,5061897,271913319,513765130.9529
