api,pair,interval,from,to,n,missing,id
fapi,ACEUSDT,15m,2023-12-18T10:00:00Z,2024-10-01T13:30:00Z,27663,0,ACEUSDT-fapi-15m
fapi,ACEUSDT,1M,2023-12-01T00:00:00Z,2024-10-01T00:00:00Z,11,0,ACEUSDT-fapi-1M
fapi,ACEUSDT,1d,2023-12-18T00:00:00Z,2024-10-01T00:00:00Z,289,0,ACEUSDT-fapi-1d
fapi,ACEUSDT,1h,2023-12-18T10:00:00Z,2024-10-01T13:00:00Z,6916,0,ACEUSDT-fapi-1h
fapi,ACEUSDT,1w,2023-12-18T00:00:00Z,2024-09-30T00:00:00Z,42,0,ACEUSDT-fapi-1w
fapi,ACEUSDT,30m,2023-12-18T10:00:00Z,2024-10-01T13:30:00Z,13832,0,ACEUSDT-fapi-30m
fapi,ACEUSDT,4h,2023-12-18T08:00:00Z,2024-10-01T12:00:00Z,1730,0,ACEUSDT-fapi-4h
fapi,ACEUSDT,5m,2023-12-18T10:00:00Z,2024-10-01T13:30:00Z,82987,0,ACEUSDT-fapi-5m
fapi,ADAUSDT,15m,2020-01-31T08:00:00Z,2024-10-01T13:30:00Z,163703,0,ADAUSDT-fapi-15m
fapi,ADAUSDT,1M,2020-01-01T00:00:00Z,2024-10-01T00:00:00Z,58,0,ADAUSDT-fapi-1M
fapi,ADAUSDT,1d,2020-01-31T00:00:00Z,2024-10-01T00:00:00Z,1706,0,ADAUSDT-fapi-1d
fapi,ADAUSDT,1h,2020-01-31T08:00:00Z,2024-10-01T13:00:00Z,40926,0,ADAUSDT-fapi-1h
fapi,ADAUSDT,1w,2020-01-27T00:00:00Z,2024-09-30T00:00:00Z,245,0,ADAUSDT-fapi-1w
fapi,ADAUSDT,30m,2020-01-31T08:00:00Z,2024-10-01T13:30:00Z,81852,0,ADAUSDT-fapi-30m
fapi,ADAUSDT,4h,2020-01-31T08:00:00Z,2024-10-01T12:00:00Z,10232,0,ADAUSDT-fapi-4h
fapi,ADAUSDT,5m,2020-01-31T08:00:00Z,2024-10-01T13:30:00Z,491107,0,ADAUSDT-fapi-5m
fapi,AIUSDT,15m,2024-01-08T12:30:00Z,2024-10-01T13:30:00Z,25637,0,AIUSDT-fapi-15m
fapi,AIUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,AIUSDT-fapi-1M
fapi,AIUSDT,1d,2024-01-08T00:00:00Z,2024-10-01T00:00:00Z,268,0,AIUSDT-fapi-1d
fapi,AIUSDT,1h,2024-01-08T12:00:00Z,2024-10-01T13:00:00Z,6410,0,AIUSDT-fapi-1h
fapi,AIUSDT,1w,2024-01-08T00:00:00Z,2024-09-30T00:00:00Z,39,0,AIUSDT-fapi-1w
fapi,AIUSDT,30m,2024-01-08T12:30:00Z,2024-10-01T13:30:00Z,12819,0,AIUSDT-fapi-30m
fapi,AIUSDT,4h,2024-01-08T12:00:00Z,2024-10-01T12:00:00Z,1603,0,AIUSDT-fapi-4h
fapi,AIUSDT,5m,2024-01-08T12:30:00Z,2024-10-01T13:30:00Z,76909,0,AIUSDT-fapi-5m
fapi,ALTUSDT,15m,2024-01-25T14:00:00Z,2024-10-01T13:30:00Z,23999,0,ALTUSDT-fapi-15m
