date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-12-18T00:00:00Z,2023-12-24T23:59:59Z,ACEUSDT,spot,0.3571,17.25,0.3571,12.6691,107438877.8,1494231177.15762,4885954,53477398.3,746164126.12153
2023-12-25T00:00:00Z,2023-12-31T23:59:59Z,ACEUSDT,spot,12.6759,14.2748,8.5,9.3278,30494620.5,355033179.69342,1537683,14853352.6,173241384.84548
2024-01-01T00:00:00Z,2024-01-07T23:59:59Z,ACEUSDT,spot,9.3305,11.3547,7.3,8.4192,37780333,342488926.71792,2067211,18316159.8,166264470.55474
2024-01-08T00:00:00Z,2024-01-14T23:59:59Z,ACEUSDT,spot,8.4217,10.0969,7.05,9.315,27630624.9,235777747.35652,1453010,13377667.6,114334430.74633
2024-01-15T00:00:00Z,2024-01-21T23:59:59Z,ACEUSDT,spot,9.3,10.6528,7.3571,8.2744,19130344.3,173197183.55995,1048986,9059199.2,82174612.9312
2024-01-22T00:00:00Z,2024-01-28T23:59:59Z,ACEUSDT,spot,8.2728,9.8963,7.1865,9.2122,28244292.4,247943487.68387,1379075,13851374.6,121692690.79267
2024-01-29T00:00:00Z,2024-02-04T23:59:59Z,ACEUSDT,spot,9.2135,9.8168,8.0353,8.277,15249137.7,141237551.70897,747225,7530252.8,69785423.76567
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,ACEUSDT,spot,8.277,9.544,7.9949,9.2854,9080924.2,78542119.63072,477286,4324380.3,37427145.79734
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,ACEUSDT,spot,9.2846,11.3189,8.801,10.255,21228228.9,215431707.8079,1297003,10091627.7,102521228.64647
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,ACEUSDT,spot,10.2579,11.444,9.3949,10.41,16032480.5,165848805.64961,1090689,7702516.1,79753454.12089
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,ACEUSDT,spot,10.4115,13.6,10.02,13.02,26196696.3,314906756.8343,1972392,12902295.1,155218088.68865
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,ACEUSDT,spot,13.0255,14.162,10,13.38,29541551.6,381320296.7056,1722038,14285976.5,184752592.50008
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,ACEUSDT,spot,13.3736,14.3899,9.86,10.7054,20169849.9,241957578.30498,1178285,9654506.7,115882797.32393
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,ACEUSDT,spot,10.7101,10.7952,8.5,10.316,14087420.3,136939109.12213,854704,6872659.5,66705378.6036
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,ACEUSDT,spot,10.3173,11.3739,9.6243,9.7926,12314150.3,130197963.01665,644564,5923710.2,62665700.64587
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,ACEUSDT,spot,9.7878,9.8767,7.9906,8.7178,10724211.1,94399133.67275,602758,5098328.3,44835978.97699
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,ACEUSDT,spot,8.7175,9.3793,4.2373,5.423,22059959.5,146400013.10741,1036771,10365357.7,68738248.62447
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,ACEUSDT,spot,5.4205,6.0978,4.8352,5.8215,12782903.5,69283080.99508,480444,6249144.7,33888233.14075
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,ACEUSDT,spot,5.8213,6.195,5.258,5.403,10815577.7,61825087.69808,313652,5283936.7,30210981.06294
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,ACEUSDT,spot,5.404,5.483,4.42,5.296,8463352.7,42273792.92622,279216,4147792.2,20725114.96131
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,ACEUSDT,spot,5.294,5.807,4.811,4.962,12199381.2,64698167.623,385368,5975441.1,31716732.8969
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,ACEUSDT,spot,4.961,5.083,4.354,4.512,6259911.6,29845717.1006,226361,3074566.8,14652128.868
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,ACEUSDT,spot,4.511,5.67,4.385,5.243,9910763.3,51640286.9485,441350,4897305.6,25529960.5281
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,ACEUSDT,spot,5.239,6.571,5.222,6.145,13683564.9,79768704.79698,482327,6742027,39358660.29338
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,ACEUSDT,spot,6.144,6.783,4.906,5.001,14411876.6,86524591.83771,487094,7001218.5,42049246.80891
2024-06-10T00:00:00Z,2024-06-16T23:59:59Z,ACEUSDT,spot,4.999,4.999,4.038,4.188,6946661.8,31434809.02345,243701,3329075.3,15048998.7515
2024-06-17T00:00:00Z,2024-06-23T23:59:59Z,ACEUSDT,spot,4.188,4.236,3.145,3.588,8668260.5,30761730.77211,194488,4166336,14790091.6005
