date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-01T00:00:00Z,2024-01-07T23:59:59Z,AIUSDT,spot,0.03,2.58,0.03,1.49499,503602443,659801781.82218,2410349,253049706,332106806.66817
2024-01-08T00:00:00Z,2024-01-14T23:59:59Z,AIUSDT,spot,1.495,1.59319,0.902,1.20898,486674671,581266690.33214,2422962,235499144,281581004.24127
2024-01-15T00:00:00Z,2024-01-21T23:59:59Z,AIUSDT,spot,1.21052,1.498,0.99,1.16162,361189215,451455370.88304,2139546,176559259,221287151.42091
2024-01-22T00:00:00Z,2024-01-28T23:59:59Z,AIUSDT,spot,1.1621,1.32787,0.94428,1.17118,218672436,246277355.7521,1436360,106385354,120005369.92986
2024-01-29T00:00:00Z,2024-02-04T23:59:59Z,AIUSDT,spot,1.17169,1.4,1.07001,1.09649,232154853,286060872.02579,1518163,111475163,137734259.38812
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,AIUSDT,spot,1.09607,1.4495,1.02,1.3895,196459580,238127513.74597,1280808,99093082,120710849.97871
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,AIUSDT,spot,1.38975,1.933,1.3162,1.80675,405502285,651625840.52303,3735972,199783777,321746121.07882
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,AIUSDT,spot,1.8065,1.98,1.51,1.66127,290602288,501830443.8227,3114340,141347482,244586685.93016
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,AIUSDT,spot,1.66135,1.905,1.40593,1.73,260957372,443426683.86886,1710859,129709453,220748321.40955
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,AIUSDT,spot,1.73,2.381,1.288,2.063,341800005,658723989.75592,2683408,168793830,325791257.80241
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,AIUSDT,spot,2.063,2.149,1.61,1.968,221676865,424546212.64,1743182,106624007,204447747.867
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,AIUSDT,spot,1.968,2.079,1.482,1.708,148682031,250883917.507,1131503,72149951,121874357.473
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,AIUSDT,spot,1.709,1.95,1.694,1.739,109926086,198714552.435,803238,53740986,97229125.384
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,AIUSDT,spot,1.738,1.75,1.4,1.534,80845618,125734206.992,552348,37915952,58988505.526
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,AIUSDT,spot,1.533,1.606,0.734,0.983,136134756,152383977.44907,745244,65130820,72713815.7122
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,AIUSDT,spot,0.984,1.082,0.836,1.064,99051979,93800285.591,587106,49841341,47195265.926
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,AIUSDT,spot,1.064,1.119,0.933,0.971,59486891,61522099.1,319523,27986192,28982596.921
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,AIUSDT,spot,0.97,1.204,0.841,1.161,66589144,66384830.983,364259,32927027,32881474.595
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,AIUSDT,spot,1.16,1.239,1.026,1.115,82096869,93706354.598,504500,39680511,45324252.645
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,AIUSDT,spot,1.115,1.165,0.979,0.995,57798678,61991860.52,351899,27464727,29495188.273
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,AIUSDT,spot,0.994,1.18,0.961,1.054,67232165,74026777.917,416315,32856021,36222784.829
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,AIUSDT,spot,1.054,1.238,1.049,1.124,86455729,98931434.203,465053,42405375,48587459.66
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,AIUSDT,spot,1.124,1.284,0.943,1.019,75500147,86995640.321,428696,38644682,44634038.067
2024-06-10T00:00:00Z,2024-06-16T23:59:59Z,AIUSDT,spot,1.02,1.03,0.821,0.87,48583550,44569059.218,319334,23508696,21565238.042
2024-06-17T00:00:00Z,2024-06-23T23:59:59Z,AIUSDT,spot,0.869,0.88,0.649,0.733,42508406.5,31028922.4444,224186,20325344.4,14805310.9302
