date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-04T10:00:00Z,2024-01-04T10:29:59Z,AIUSDT,spot,0.03,2.58,0.03,1.2558,62448945,92756984.91955,285536,28508804,42412568.13527
2024-01-04T10:30:00Z,2024-01-04T10:59:59Z,AIUSDT,spot,1.25581,1.27903,1.13,1.14719,27448816,32930621.36317,111507,13792182,16559699.55716
2024-01-04T11:00:00Z,2024-01-04T11:29:59Z,AIUSDT,spot,1.14671,1.22,1.14483,1.15816,14147257,16825133.37543,57027,7763724,9236413.02085
2024-01-04T11:30:00Z,2024-01-04T11:59:59Z,AIUSDT,spot,1.15768,1.15819,1.087,1.0902,12974571,14614235.09914,48446,6173687,6967076.90298
2024-01-04T12:00:00Z,2024-01-04T12:29:59Z,AIUSDT,spot,1.09023,1.16601,1.055,1.1183,9697452,10807348.02908,40508,5086489,5674508.86204
2024-01-04T12:30:00Z,2024-01-04T12:59:59Z,AIUSDT,spot,1.11745,1.21399,1.11704,1.21297,7840100,9160966.7577,30707,4443434,5193033.58882
2024-01-04T13:00:00Z,2024-01-04T13:29:59Z,AIUSDT,spot,1.21296,1.21379,1.132,1.13472,5514042,6446333.31248,25510,2462326,2879720.33073
2024-01-04T13:30:00Z,2024-01-04T13:59:59Z,AIUSDT,spot,1.13413,1.18282,1.13402,1.15109,3171079,3677088.22712,14855,1694044,1965794.27791
2024-01-04T14:00:00Z,2024-01-04T14:29:59Z,AIUSDT,spot,1.15108,1.16995,1.135,1.14471,2257482,2593816.95142,11872,1092399,1257022.65691
2024-01-04T14:30:00Z,2024-01-04T14:59:59Z,AIUSDT,spot,1.1445,1.14907,1.07796,1.12209,4644462,5173782.28411,18326,1993222,2221660.94373
2024-01-04T15:00:00Z,2024-01-04T15:29:59Z,AIUSDT,spot,1.12315,1.15,1.09,1.10588,3640407,4060630.25816,15995,1825339,2041441.38226
2024-01-04T15:30:00Z,2024-01-04T15:59:59Z,AIUSDT,spot,1.10738,1.12999,1.095,1.1016,2858931,3162394.85622,11381,1252814,1387034.59445
2024-01-04T16:00:00Z,2024-01-04T16:29:59Z,AIUSDT,spot,1.10161,1.15252,1.10154,1.12604,3812072,4296200.85661,16177,2032096,2291587.41097
2024-01-04T16:30:00Z,2024-01-04T16:59:59Z,AIUSDT,spot,1.12602,1.1455,1.095,1.11747,2095882,2351445.37974,9446,900534,1016179.08035
2024-01-04T17:00:00Z,2024-01-04T17:29:59Z,AIUSDT,spot,1.11745,1.12987,1.10011,1.11844,1321539,1478233.98277,7788,634200,709943.56739
2024-01-04T17:30:00Z,2024-01-04T17:59:59Z,AIUSDT,spot,1.11844,1.169,1.11798,1.13418,2865767,3281678.57038,12787,1440313,1651011.38491
2024-01-04T18:00:00Z,2024-01-04T18:29:59Z,AIUSDT,spot,1.13375,1.15979,1.13,1.151,1461016,1676049.69681,9078,756640,868454.33229
2024-01-04T18:30:00Z,2024-01-04T18:59:59Z,AIUSDT,spot,1.151,1.17,1.13764,1.16,1669376,1929349.90988,9509,893542,1033463.00366
2024-01-04T19:00:00Z,2024-01-04T19:29:59Z,AIUSDT,spot,1.1602,1.22043,1.14822,1.21071,3582525,4253499.67771,15302,2453197,2916306.86503
2024-01-04T19:30:00Z,2024-01-04T19:59:59Z,AIUSDT,spot,1.21136,1.35,1.2,1.30981,14752492,19008649.01814,66519,8849499,11397119.15642
2024-01-04T20:00:00Z,2024-01-04T20:29:59Z,AIUSDT,spot,1.30999,1.361,1.26677,1.35743,7141866,9397130.46594,37922,3892016,5134821.56106
2024-01-04T20:30:00Z,2024-01-04T20:59:59Z,AIUSDT,spot,1.35799,1.36271,1.262,1.27805,4168666,5431876.22798,22950,1936879,2523954.99256
2024-01-04T21:00:00Z,2024-01-04T21:29:59Z,AIUSDT,spot,1.27801,1.27805,1.19434,1.20553,3397448,4203152.28691,15974,1269966,1572610.47825
2024-01-04T21:30:00Z,2024-01-04T21:59:59Z,AIUSDT,spot,1.20548,1.297,1.19577,1.24511,3389691,4246099.14403,17445,1843755,2311179.94616
2024-01-04T22:00:00Z,2024-01-04T22:29:59Z,AIUSDT,spot,1.24469,1.27649,1.20653,1.21253,1792163,2214311.80041,10217,833110,1030672.26845
2024-01-04T22:30:00Z,2024-01-04T22:59:59Z,AIUSDT,spot,1.21253,1.22003,1.155,1.19098,2457193,2919373.24704,12966,1053810,1253766.38874
2024-01-04T23:00:00Z,2024-01-04T23:29:59Z,AIUSDT,spot,1.19084,1.24379,1.16002,1.23963,2084314,2515620.96011,10723,955848,1153730.18985
2024-01-04T23:30:00Z,2024-01-04T23:59:59Z,AIUSDT,spot,1.23964,1.2666,1.2,1.23994,2289304,2831263.67369,10442,964879,1194677.0824
2024-01-05T00:00:00Z,2024-01-05T00:29:59Z,AIUSDT,spot,1.23899,1.2666,1.19463,1.21215,2080504,2555354.25775,11742,1018518,1253976.77083
2024-01-05T00:30:00Z,2024-01-05T00:59:59Z,AIUSDT,spot,1.21326,1.21772,1.13503,1.1376,2479269,2897866.08661,10460,794928,930050.74302
2024-01-05T01:00:00Z,2024-01-05T01:29:59Z,AIUSDT,spot,1.13828,1.21488,1.13616,1.1919,1748748,2042888.14206,7428,960832,1122573.45142
2024-01-05T01:30:00Z,2024-01-05T01:59:59Z,AIUSDT,spot,1.1919,1.19386,1.10605,1.13472,2821131,3214380.89302,10333,966436,1100362.49351
2024-01-05T02:00:00Z,2024-01-05T02:29:59Z,AIUSDT,spot,1.13476,1.1418,1.1095,1.12908,1428907,1608234.78559,6014,814846,916785.13141
2024-01-05T02:30:00Z,2024-01-05T02:59:59Z,AIUSDT,spot,1.13219,1.13856,1.10536,1.11344,970206,1087313.46986,4765,347526,390006.68751
2024-01-05T03:00:00Z,2024-01-05T03:29:59Z,AIUSDT,spot,1.11409,1.13,1.104,1.12075,1056512,1179291.88527,5657,446653,499353.35494
2024-01-05T03:30:00Z,2024-01-05T03:59:59Z,AIUSDT,spot,1.11985,1.1498,1.11688,1.12303,1151750,1305687.1046,5440,661637,750507.18292
2024-01-05T04:00:00Z,2024-01-05T04:29:59Z,AIUSDT,spot,1.12303,1.14348,1.066,1.08167,1824235,2000224.36991,9078,643227,706141.16
2024-01-05T04:30:00Z,2024-01-05T04:59:59Z,AIUSDT,spot,1.08167,1.14748,1.03,1.08009,3548825,3828655.78605,14143,1983102,2158462.40276
2024-01-05T05:00:00Z,2024-01-05T05:29:59Z,AIUSDT,spot,1.08014,1.10393,1.061,1.08436,1324810,1434064.97748,6397,720565,780543.49948
2024-01-05T05:30:00Z,2024-01-05T05:59:59Z,AIUSDT,spot,1.08443,1.119,1.054,1.07321,1334885,1448208.45523,7188,604825,658758.96317
2024-01-05T06:00:00Z,2024-01-05T06:29:59Z,AIUSDT,spot,1.0728,1.115,1.06,1.10257,1372238,1498130.97681,7061,810720,885517.30549
2024-01-05T06:30:00Z,2024-01-05T06:59:59Z,AIUSDT,spot,1.10256,1.168,1.102,1.15215,2783909,3189743.60222,12120,1603945,1836188.88667
2024-01-05T07:00:00Z,2024-01-05T07:29:59Z,AIUSDT,spot,1.15261,1.153,1.11,1.11,998314,1129021.54635,4967,288084,325740.89578
2024-01-05T07:30:00Z,2024-01-05T07:59:59Z,AIUSDT,spot,1.11,1.1902,1.1025,1.166,2525137,2924742.38186,11854,1409838,1634987.85029
2024-01-05T08:00:00Z,2024-01-05T08:29:59Z,AIUSDT,spot,1.16632,1.22501,1.14766,1.1551,4151203,4938437.83254,18733,2365037,2819472.18825
2024-01-05T08:30:00Z,2024-01-05T08:59:59Z,AIUSDT,spot,1.15578,1.27721,1.11,1.27444,6970329,8490999.62015,27623,4217956,5163888.60136
2024-01-05T09:00:00Z,2024-01-05T09:29:59Z,AIUSDT,spot,1.273,1.34,1.231,1.2518,10458367,13504860.59997,46367,5758529,7465749.23925
