date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-25T00:00:00Z,2024-01-25T23:59:59Z,ALTUSDT,spot,0.006,0.34999,0.006,0.32267,1418782960,429580892.67827,1499908,699591828,212322910.78357
2024-01-26T00:00:00Z,2024-01-26T23:59:59Z,ALTUSDT,spot,0.32279,0.3755,0.306,0.36198,629089451,211214265.16956,867492,311316264,104680208.11689
2024-01-27T00:00:00Z,2024-01-27T23:59:59Z,ALTUSDT,spot,0.36198,0.445,0.34001,0.40424,600785618,233156274.19432,981860,305905312,118866042.79199
2024-01-28T00:00:00Z,2024-01-28T23:59:59Z,ALTUSDT,spot,0.40425,0.454,0.388,0.39552,498877281,211296026.45471,859925,247135955,104923652.34154
2024-01-29T00:00:00Z,2024-01-29T23:59:59Z,ALTUSDT,spot,0.3955,0.46366,0.39037,0.44715,374460545,159901054.42185,656458,191059991,81661654.23619
2024-01-30T00:00:00Z,2024-01-30T23:59:59Z,ALTUSDT,spot,0.44711,0.45721,0.404,0.41672,308218152,132334796.57664,542534,146259754,62878596.6994
2024-01-31T00:00:00Z,2024-01-31T23:59:59Z,ALTUSDT,spot,0.41672,0.43,0.35,0.35662,448442604,172442569.09121,676377,215215729,82756471.65982
2024-02-01T00:00:00Z,2024-02-01T23:59:59Z,ALTUSDT,spot,0.35657,0.3595,0.3265,0.34485,293396436,101111445.48095,462782,144806537,49948628.25479
2024-02-02T00:00:00Z,2024-02-02T23:59:59Z,ALTUSDT,spot,0.34497,0.376,0.33333,0.34864,246330106,88020393.40708,402512,120203626,42947718.34939
2024-02-03T00:00:00Z,2024-02-03T23:59:59Z,ALTUSDT,spot,0.34865,0.35288,0.32069,0.3247,171656668,56943244.04228,263185,82059800,27239100.80028
2024-02-04T00:00:00Z,2024-02-04T23:59:59Z,ALTUSDT,spot,0.32475,0.32745,0.295,0.30244,208219878,64220322.96786,279208,101002421,31161484.61517
2024-02-05T00:00:00Z,2024-02-05T23:59:59Z,ALTUSDT,spot,0.30244,0.33081,0.29111,0.31374,220601331,69498944.98446,308498,112808964,35566333.45031
