date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-25T10:00:00Z,2024-01-25T10:59:59Z,ALTUSDT,spot,0.006,0.3288,0.006,0.31237,712419431,204258499.51621,518840,355602719,102363258.42453
2024-01-25T11:00:00Z,2024-01-25T11:59:59Z,ALTUSDT,spot,0.3123,0.32244,0.28655,0.29308,111541294,34208939.24126,133706,49224999,15156988.61341
2024-01-25T12:00:00Z,2024-01-25T12:59:59Z,ALTUSDT,spot,0.29308,0.309,0.2823,0.28905,65465347,19287407.30934,86289,30820658,9097995.411
2024-01-25T13:00:00Z,2024-01-25T13:59:59Z,ALTUSDT,spot,0.28905,0.2988,0.2871,0.29142,35284567,10339108.47975,51004,18651320,5468954.47114
2024-01-25T14:00:00Z,2024-01-25T14:59:59Z,ALTUSDT,spot,0.2914,0.34736,0.2914,0.3443,160542031,52426433.93826,189049,89920315,29327268.24758
2024-01-25T15:00:00Z,2024-01-25T15:59:59Z,ALTUSDT,spot,0.34429,0.34999,0.32069,0.34355,100976021,33906403.09133,148036,47789408,16079074.94956
2024-01-25T16:00:00Z,2024-01-25T16:59:59Z,ALTUSDT,spot,0.34367,0.34888,0.32666,0.32838,48889046,16455103.96555,79010,22638599,7627755.28612
2024-01-25T17:00:00Z,2024-01-25T17:59:59Z,ALTUSDT,spot,0.3284,0.334,0.3215,0.33026,33100469,10806074.91996,53189,16187686,5289689.55595
2024-01-25T18:00:00Z,2024-01-25T18:59:59Z,ALTUSDT,spot,0.32992,0.33456,0.32488,0.32672,23353765,7690379.23819,42995,10880090,3585699.61656
2024-01-25T19:00:00Z,2024-01-25T19:59:59Z,ALTUSDT,spot,0.32671,0.328,0.3121,0.32286,32055411,10193190.23947,49433,13063535,4149572.21348
2024-01-25T20:00:00Z,2024-01-25T20:59:59Z,ALTUSDT,spot,0.32299,0.32558,0.3012,0.31123,28211296,8791430.45771,42182,10578621,3312640.85038
2024-01-25T21:00:00Z,2024-01-25T21:59:59Z,ALTUSDT,spot,0.31097,0.31571,0.306,0.30957,18139080,5627393.58142,30435,9342006,2899791.01819
2024-01-25T22:00:00Z,2024-01-25T22:59:59Z,ALTUSDT,spot,0.30966,0.32462,0.30255,0.32106,25730748,8078473.16616,40436,13123409,4129200.51072
2024-01-25T23:00:00Z,2024-01-25T23:59:59Z,ALTUSDT,spot,0.32085,0.333,0.31825,0.32267,23074454,7512055.53366,35304,11768463,3835021.61495
2024-01-26T00:00:00Z,2024-01-26T00:59:59Z,ALTUSDT,spot,0.32279,0.3305,0.306,0.31401,23251644,7427223.17986,35838,9937388,3182163.17376
2024-01-26T01:00:00Z,2024-01-26T01:59:59Z,ALTUSDT,spot,0.31406,0.32207,0.31,0.32017,13762189,4341445.11247,20602,6238154,1968998.63637
2024-01-26T02:00:00Z,2024-01-26T02:59:59Z,ALTUSDT,spot,0.32022,0.325,0.31394,0.31417,12746596,4063794.68796,18869,6084972,1943440.6057
2024-01-26T03:00:00Z,2024-01-26T03:59:59Z,ALTUSDT,spot,0.31409,0.3198,0.31,0.31167,12679518,3981754.58768,17961,5391959,1693741.0003
