date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2019-04-29T00:00:00Z,2019-05-05T23:59:59Z,ATOMUSDT,spot,4.755,5.66,3.661,4.837,12872550.249,61026724.474296,212658,5757581.182,27406175.712128
2019-05-06T00:00:00Z,2019-05-12T23:59:59Z,ATOMUSDT,spot,4.838,5.071,3.415,3.75,9027929.951,37866035.433417,162750,4019140.343,16844659.45313
2019-05-13T00:00:00Z,2019-05-19T23:59:59Z,ATOMUSDT,spot,3.75,5.171,3.734,4.852,11937339.051,52925755.064561,223948,5604879.394,24864300.260115
2019-05-20T00:00:00Z,2019-05-26T23:59:59Z,ATOMUSDT,spot,4.852,4.864,4.115,4.481,7890333.619,35663169.324956,167437,3397840.33,15379974.28233
2019-05-27T00:00:00Z,2019-06-02T23:59:59Z,ATOMUSDT,spot,4.478,6.603,4.47,6.388,15397302.68,87084167.072318,258764,7218766.701,40864140.309562
2019-06-03T00:00:00Z,2019-06-09T23:59:59Z,ATOMUSDT,spot,6.393,7.249,5.62,5.826,15221959.962,95756015.293226,296246,7275096.63,45833088.873269
2019-06-10T00:00:00Z,2019-06-16T23:59:59Z,ATOMUSDT,spot,5.825,6.737,5.733,6.692,4548987.585,27806623.136911,123737,2228447.004,13646658.44911
2019-06-17T00:00:00Z,2019-06-23T23:59:59Z,ATOMUSDT,spot,6.689,7.193,6.285,6.838,3936808.523,26427811.216493,104223,1934855.713,13006625.679383
2019-06-24T00:00:00Z,2019-06-30T23:59:59Z,ATOMUSDT,spot,6.83,6.849,5.36,5.443,4040747.679,24824700.789765,113688,1789475.509,11025718.804152
2019-07-01T00:00:00Z,2019-07-07T23:59:59Z,ATOMUSDT,spot,5.443,5.766,5.123,5.398,2197480.484,11883827.407717,58907,1068075.822,5787565.720566
2019-07-08T00:00:00Z,2019-07-14T23:59:59Z,ATOMUSDT,spot,5.399,5.435,3.8,3.805,3438737.377,15557110.534709,69770,1628017.321,7328599.625616
2019-07-15T00:00:00Z,2019-07-21T23:59:59Z,ATOMUSDT,spot,3.82,4.471,3.475,4.218,3712398.543,14651511.318161,76041,1728039.591,6831644.441646
2019-07-22T00:00:00Z,2019-07-28T23:59:59Z,ATOMUSDT,spot,4.22,4.345,3.489,3.612,1900399.194,7275965.673815,47059,786854.288,3017730.7954990002
2019-07-29T00:00:00Z,2019-08-04T23:59:59Z,ATOMUSDT,spot,3.613,3.909,3.424,3.592,1938410.2,7074325.593581,40825,844545.34,3084037.791102
2019-08-05T00:00:00Z,2019-08-11T23:59:59Z,ATOMUSDT,spot,3.592,3.868,2.989,3.552,3205824.806,10916906.078914,49490,1373849.657,4674242.860188
2019-08-12T00:00:00Z,2019-08-18T23:59:59Z,ATOMUSDT,spot,3.554,3.656,2.804,2.971,2457189.498,7644448.358004,39582,1102880.421,3432608.194946
2019-08-19T00:00:00Z,2019-08-25T23:59:59Z,ATOMUSDT,spot,2.972,2.972,2.569,2.617,2135886.425,5895694.32245,29632,1007795.65,2785023.964314
2019-08-26T00:00:00Z,2019-09-01T23:59:59Z,ATOMUSDT,spot,2.62,2.701,1.978,2.129,3235445.805,7263924.004459,33872,1436621.834,3239444.06553
2019-09-02T00:00:00Z,2019-09-08T23:59:59Z,ATOMUSDT,spot,2.123,2.943,1.83,2.727,5168648.838,11509546.303663,49441,2253941.184,5042201.733923
2019-09-09T00:00:00Z,2019-09-15T23:59:59Z,ATOMUSDT,spot,2.722,3.565,2.396,3.433,10123665.776,29675373.648888,102443,4822384.509,14173408.036205
2019-09-16T00:00:00Z,2019-09-22T23:59:59Z,ATOMUSDT,spot,3.43,3.564,2.75,2.911,6463033.139,20556940.378272,71137,3049455.046,9722706.468748
2019-09-23T00:00:00Z,2019-09-29T23:59:59Z,ATOMUSDT,spot,2.901,2.91,1.93,2.195,5684496.061,13272670.379972,53729,2570243.415,6014494.282082
2019-09-30T00:00:00Z,2019-10-06T23:59:59Z,ATOMUSDT,spot,2.195,2.81,2.164,2.642,5968840.593,15247381.041529,60062,2766592.713,7061604.531357
2019-10-07T00:00:00Z,2019-10-13T23:59:59Z,ATOMUSDT,spot,2.636,3.071,2.533,2.865,7868178.27,22519881.409299,68645,3862607.428,11061475.648768
2019-10-14T00:00:00Z,2019-10-20T23:59:59Z,ATOMUSDT,spot,2.87,3.159,2.678,2.902,4229684.333,12278774.074277,39958,2043913.13,5942556.538963
2019-10-21T00:00:00Z,2019-10-27T23:59:59Z,ATOMUSDT,spot,2.902,3.3,2.547,3.196,5339816.598,15868178.043097,47320,2586535.986,7681858.507839
2019-10-28T00:00:00Z,2019-11-03T23:59:59Z,ATOMUSDT,spot,3.196,3.462,2.95,3.383,4207359.999,13512408.14293,41344,1979736.713,6365483.121041
