date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2019-04-29T04:00:00Z,2019-04-29T07:59:59Z,ATOMUSDT,spot,4.755,4.755,3.83,3.953,1011759.375,4197891.658563,6605,340183.2,1401543.610513
2019-04-29T08:00:00Z,2019-04-29T11:59:59Z,ATOMUSDT,spot,3.953,4.003,3.723,3.854,208012.506,804653.925059,3361,102897.437,397947.226007
2019-04-29T12:00:00Z,2019-04-29T15:59:59Z,ATOMUSDT,spot,3.85,4.023,3.725,3.96,155544.954,606759.81121,2269,65163.013,253175.010272
2019-04-29T16:00:00Z,2019-04-29T19:59:59Z,ATOMUSDT,spot,3.956,4.015,3.768,3.826,118090.441,452021.272503,1669,46713.275,178558.552751
2019-04-29T20:00:00Z,2019-04-29T23:59:59Z,ATOMUSDT,spot,3.826,3.896,3.661,3.777,85895.825,324297.344346,1194,21191.964,79561.991877
2019-04-30T00:00:00Z,2019-04-30T03:59:59Z,ATOMUSDT,spot,3.777,4.075,3.768,3.854,183559.265,725270.419722,2951,79164.52,313731.577164
2019-04-30T04:00:00Z,2019-04-30T07:59:59Z,ATOMUSDT,spot,3.872,3.9,3.75,3.84,68756.763,262051.864189,1328,33997.614,129779.94773
2019-04-30T08:00:00Z,2019-04-30T11:59:59Z,ATOMUSDT,spot,3.84,3.957,3.751,3.879,81977.483,317053.672366,1329,39171.139,151750.433481
2019-04-30T12:00:00Z,2019-04-30T15:59:59Z,ATOMUSDT,spot,3.879,4.01,3.845,3.886,216335.478,851447.418201,2171,122290.867,480542.847515
2019-04-30T16:00:00Z,2019-04-30T19:59:59Z,ATOMUSDT,spot,3.86,3.94,3.818,3.915,48758.159,188649.73818,708,22660.933,87995.589966
2019-04-30T20:00:00Z,2019-04-30T23:59:59Z,ATOMUSDT,spot,3.915,3.981,3.855,3.917,39043.191,153226.799673,696,16046.134,62833.037743
2019-05-01T00:00:00Z,2019-05-01T03:59:59Z,ATOMUSDT,spot,3.913,4.26,3.876,4.12,217961.728,891747.924666,3561,120223.599,492014.530708
2019-05-01T04:00:00Z,2019-05-01T07:59:59Z,ATOMUSDT,spot,4.125,4.246,4.037,4.212,169718.073,702562.807779,2601,83456.749,346160.252216
2019-05-01T08:00:00Z,2019-05-01T11:59:59Z,ATOMUSDT,spot,4.209,4.5,4.173,4.45,378231.712,1646984.624884,8719,198296.616,865126.108547
2019-05-01T12:00:00Z,2019-05-01T15:59:59Z,ATOMUSDT,spot,4.45,4.65,4.297,4.475,533616.116,2381726.589398,6598,171699.768,769309.91856500006
2019-05-01T16:00:00Z,2019-05-01T19:59:59Z,ATOMUSDT,spot,4.472,4.65,4.381,4.603,210935.285,950064.122406,4015,102755.312,464169.649468
2019-05-01T20:00:00Z,2019-05-01T23:59:59Z,ATOMUSDT,spot,4.603,4.617,4.345,4.392,191798.401,855875.139975,4036,83235.892,371991.194928
2019-05-02T00:00:00Z,2019-05-02T03:59:59Z,ATOMUSDT,spot,4.391,4.4,4.174,4.292,247657.248,1062864.570784,3781,105951.841,455695.501343
2019-05-02T04:00:00Z,2019-05-02T07:59:59Z,ATOMUSDT,spot,4.29,4.661,4.275,4.572,245035.087,1100379.35918,4418,113667.593,512306.905763
2019-05-02T08:00:00Z,2019-05-02T11:59:59Z,ATOMUSDT,spot,4.573,4.65,4.4,4.412,209086.428,942948.875945,3860,88248.147,398850.353543
2019-05-02T12:00:00Z,2019-05-02T15:59:59Z,ATOMUSDT,spot,4.412,4.587,4.36,4.466,226513.911,1007688.030684,3489,100690.174,448658.888034
2019-05-02T16:00:00Z,2019-05-02T19:59:59Z,ATOMUSDT,spot,4.466,4.613,4.415,4.553,123704.085,559218.342007,2396,60123.194,272441.490649
2019-05-02T20:00:00Z,2019-05-02T23:59:59Z,ATOMUSDT,spot,4.552,4.611,4.433,4.61,81149.274,368442.176305,1961,31556.948,143416.941569
2019-05-03T00:00:00Z,2019-05-03T03:59:59Z,ATOMUSDT,spot,4.608,4.958,4.55,4.8,433774.261,2081001.692337,7457,209479.146,1003939.96742
2019-05-03T04:00:00Z,2019-05-03T07:59:59Z,ATOMUSDT,spot,4.8,5.35,4.783,5.086,488189.73,2442531.069992,8206,207354.027,1036807.406522
2019-05-03T08:00:00Z,2019-05-03T11:59:59Z,ATOMUSDT,spot,5.082,5.172,4.726,4.902,885483.15,4375741.270118,15458,414734.144,2049771.475843
2019-05-03T12:00:00Z,2019-05-03T15:59:59Z,ATOMUSDT,spot,4.9,5.119,4.835,4.965,366970.223,1839630.174542,7102,162094.395,812341.548106
2019-05-03T16:00:00Z,2019-05-03T19:59:59Z,ATOMUSDT,spot,4.965,5.1,4.857,5.034,217891.339,1083624.065275,4929,104610.582,520136.081299
2019-05-03T20:00:00Z,2019-05-03T23:59:59Z,ATOMUSDT,spot,5.034,5.38,4.972,5.333,382374.533,2000269.515021,7969,167045.926,874382.239645
2019-05-04T00:00:00Z,2019-05-04T03:59:59Z,ATOMUSDT,spot,5.341,5.66,5.341,5.398,734494.703,4043647.633492,13146,371531.183,2043854.937346
2019-05-04T04:00:00Z,2019-05-04T07:59:59Z,ATOMUSDT,spot,5.4,5.4,5.08,5.325,588834.411,3071501.167883,11568,261145.283,1363924.905197
2019-05-04T08:00:00Z,2019-05-04T11:59:59Z,ATOMUSDT,spot,5.325,5.329,5.029,5.062,413287.9,2138048.826551,7365,197060.177,1018265.119823
2019-05-04T12:00:00Z,2019-05-04T15:59:59Z,ATOMUSDT,spot,5.064,5.094,4.706,4.917,782738.524,3828930.541248,12472,328626.063,1610716.326743
2019-05-04T16:00:00Z,2019-05-04T19:59:59Z,ATOMUSDT,spot,4.917,5.45,4.88,5.335,656033.539,3403194.444943,10807,311230.563,1613489.939472
2019-05-04T20:00:00Z,2019-05-04T23:59:59Z,ATOMUSDT,spot,5.328,5.38,5.13,5.243,325122.174,1712733.63297,6117,156315.107,823624.693677
2019-05-05T00:00:00Z,2019-05-05T03:59:59Z,ATOMUSDT,spot,5.238,5.238,4.969,5.107,239807.123,1221060.13437,4683,121360.328,618299.373393
2019-05-05T04:00:00Z,2019-05-05T07:59:59Z,ATOMUSDT,spot,5.103,5.108,4.93,4.957,321923.481,1607194.023529,4723,142374.163,711214.528117
2019-05-05T08:00:00Z,2019-05-05T11:59:59Z,ATOMUSDT,spot,4.957,4.958,4.823,4.853,297680.378,1451824.300959,4946,132893.154,648004.454525
2019-05-05T12:00:00Z,2019-05-05T15:59:59Z,ATOMUSDT,spot,4.861,5.08,4.774,4.94,405542.851,2007114.100381,7328,173794.068,862417.362823
2019-05-05T16:00:00Z,2019-05-05T19:59:59Z,ATOMUSDT,spot,4.94,4.948,4.785,4.856,176482.325,859573.64843,2748,83199.722,405710.65197300003
2019-05-05T20:00:00Z,2019-05-05T23:59:59Z,ATOMUSDT,spot,4.859,4.967,4.831,4.837,102778.816,505277.74423,1918,63347.222,311713.139852
2019-05-06T00:00:00Z,2019-05-06T03:59:59Z,ATOMUSDT,spot,4.838,4.94,4.561,4.561,283717.141,1342087.898766,4549,102465.888,486355.075641
2019-05-06T04:00:00Z,2019-05-06T07:59:59Z,ATOMUSDT,spot,4.563,4.758,4.511,4.512,299824.779,1384116.4642,4408,120279.031,556893.352957
2019-05-06T08:00:00Z,2019-05-06T11:59:59Z,ATOMUSDT,spot,4.512,4.9,4.502,4.659,442796.461,2075838.814823,6464,209415.297,981529.236861
2019-05-06T12:00:00Z,2019-05-06T15:59:59Z,ATOMUSDT,spot,4.663,4.835,4.619,4.765,191837.892,908858.650735,4015,104574.06,495063.229964
2019-05-06T16:00:00Z,2019-05-06T19:59:59Z,ATOMUSDT,spot,4.774,4.841,4.696,4.75,121124.429,578753.500177,2168,49780.388,238134.000118
2019-05-06T20:00:00Z,2019-05-06T23:59:59Z,ATOMUSDT,spot,4.752,4.797,4.701,4.763,56632.71,268565.641832,1455,27860.816,132189.750602
2019-05-07T00:00:00Z,2019-05-07T03:59:59Z,ATOMUSDT,spot,4.763,4.954,4.735,4.9,263704.287,1286783.978061,4775,108089.939,527465.524818
2019-05-07T04:00:00Z,2019-05-07T07:59:59Z,ATOMUSDT,spot,4.9,5.071,4.835,4.899,228504.64,1134709.11287,4598,107012.203,532639.928827
2019-05-07T08:00:00Z,2019-05-07T11:59:59Z,ATOMUSDT,spot,4.898,4.958,4.752,4.791,137341.403,666490.623621,3127,57755.233,280656.596363
2019-05-07T12:00:00Z,2019-05-07T15:59:59Z,ATOMUSDT,spot,4.792,4.848,4.62,4.663,243487.187,1146101.662976,3813,87870.154,415141.626758
2019-05-07T16:00:00Z,2019-05-07T19:59:59Z,ATOMUSDT,spot,4.663,4.81,4.657,4.736,146475.249,694877.078578,2944,72084.929,342357.208065
2019-05-07T20:00:00Z,2019-05-07T23:59:59Z,ATOMUSDT,spot,4.739,4.793,4.59,4.596,85035.244,397597.549967,1775,36537.338,171333.463016
2019-05-08T00:00:00Z,2019-05-08T03:59:59Z,ATOMUSDT,spot,4.601,4.635,4.437,4.452,288222.989,1307519.318796,4526,124136.193,563927.103047
2019-05-08T04:00:00Z,2019-05-08T07:59:59Z,ATOMUSDT,spot,4.452,4.579,4.434,4.49,157207.082,706295.7031,2491,66278.82,297704.301963
2019-05-08T08:00:00Z,2019-05-08T11:59:59Z,ATOMUSDT,spot,4.493,4.624,4.442,4.5,158859.917,718791.889198,2833,71176.915,322684.343437
2019-05-08T12:00:00Z,2019-05-08T15:59:59Z,ATOMUSDT,spot,4.5,4.519,4.26,4.311,258851.919,1129993.713105,3847,98660.542,430619.914261
2019-05-08T16:00:00Z,2019-05-08T19:59:59Z,ATOMUSDT,spot,4.313,4.354,4.242,4.311,88656.394,379890.608194,2122,36739.411,157499.048792
2019-05-08T20:00:00Z,2019-05-08T23:59:59Z,ATOMUSDT,spot,4.307,4.43,4.276,4.313,74113.646,322996.114247,1619,43763.492,190812.14452
2019-05-09T00:00:00Z,2019-05-09T03:59:59Z,ATOMUSDT,spot,4.342,4.491,4.338,4.391,74667.009,329309.914519,1944,36593.846,161541.534095
2019-05-09T04:00:00Z,2019-05-09T07:59:59Z,ATOMUSDT,spot,4.392,4.399,4,4.1,184696.766,771234.742832,4414,68771.08,287804.666626
2019-05-09T08:00:00Z,2019-05-09T11:59:59Z,ATOMUSDT,spot,4.098,4.178,4,4.032,194172.632,796401.684704,4132,91519.873,376152.286587
2019-05-09T12:00:00Z,2019-05-09T15:59:59Z,ATOMUSDT,spot,4.026,4.119,3.821,3.916,441730.19,1754690.293689,8615,193770.402,772913.399472
2019-05-09T16:00:00Z,2019-05-09T19:59:59Z,ATOMUSDT,spot,3.912,3.959,3.602,3.638,379599.806,1418066.05136,6670,151235.21,564452.787594
2019-05-09T20:00:00Z,2019-05-09T23:59:59Z,ATOMUSDT,spot,3.635,3.915,3.415,3.88,573299.11,2101703.700853,11998,282197.427,1032786.613125
2019-05-10T00:00:00Z,2019-05-10T03:59:59Z,ATOMUSDT,spot,3.884,4.114,3.788,3.825,458093.215,1807491.620782,9024,216722.597,856565.426959
2019-05-10T04:00:00Z,2019-05-10T07:59:59Z,ATOMUSDT,spot,3.823,4.052,3.77,3.952,254217.846,1003168.900976,4708,125848.426,497303.031727
