date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,DYMUSDT,spot,0.2,8.361,0.2,7.104,158868559.3,1018965184.4542,3682882,78731806.6,507166040.5586
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,DYMUSDT,spot,7.104,8.734,6.862,7.374,62228717.9,476065754.1409,1750280,31442615.8,240808407.1742
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,DYMUSDT,spot,7.374,7.9,5.914,6.437,39844755.8,280351633.3436,1179422,19271301.3,135463566.7536
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,DYMUSDT,spot,6.437,6.686,5.05,5.914,33333875,201900385.8076,1032947,16293705.8,98659442.276
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,DYMUSDT,spot,5.915,7.61,5.234,7.392,44181982.6,280612223.1964,1378692,21635014.5,137744778.1175
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,DYMUSDT,spot,7.392,8.018,5.639,6.171,34585518.4,231467520.6742,1011329,16840680.5,112751536.4868
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,DYMUSDT,spot,6.172,6.462,5,5.661,23187019.5,131828403.2324,681437,10983867.2,62458405.9435
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,DYMUSDT,spot,5.663,6.866,5.611,5.907,26191897.2,161620581.6097,592364,12714242.3,78483562.3478
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,DYMUSDT,spot,5.91,6.132,4.88,5.401,18598774.9,100358439.2149,409745,8839466.4,47740920.3666
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,DYMUSDT,spot,5.4,5.638,2.799,3.792,31783968.1,131891852.0024,761046,15320227.6,63130172.4617
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,DYMUSDT,spot,3.794,4.222,3.368,4.014,16168108,61369657.9045,385271,7919925.8,30064548.1363
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,DYMUSDT,spot,4.014,4.163,3.379,3.615,12248250.6,46111198.5385,284780,5828543.6,21937599.6498
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,DYMUSDT,spot,3.614,3.64,3.01,3.363,13151263,42886393.6603,276502,6580648.2,21446553.9879
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,DYMUSDT,spot,3.364,3.511,2.844,2.862,11702345.4,35897642.6215,258938,5721207,17572478.196
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,DYMUSDT,spot,2.865,2.915,2.482,2.552,12488031.5,33398683.6941,271969,6118198.3,16357060.601
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,DYMUSDT,spot,2.55,3.199,2.491,2.927,18745003.5,52962573.7999,397667,9319579,26345270.2257
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,DYMUSDT,spot,2.927,3.374,2.86,3.361,18160136,56575973.5067,301245,8641403.4,26944305.3771
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,DYMUSDT,spot,3.361,3.453,2.47,2.6,15825640.8,47333209.4719,280722,7976995.8,23818557.8726
2024-06-10T00:00:00Z,2024-06-16T23:59:59Z,DYMUSDT,spot,2.6,2.6,1.944,2.034,16102652.7,35956813.3582,243099,7744288.2,17267370.6323
2024-06-17T00:00:00Z,2024-06-23T23:59:59Z,DYMUSDT,spot,2.033,2.055,1.504,1.53,18574845.1,31044390.3815,257323,9234937.2,15438724.6316
