date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-04-29T00:00:00Z,2023-04-29T23:59:59Z,EDUUSDT,spot,1.37232,1.695,1.31,1.40826,243600269,361613025.63712,1218493,121558727,180802648.75146
2023-04-30T00:00:00Z,2023-04-30T23:59:59Z,EDUUSDT,spot,1.40742,1.51832,1.35051,1.36102,103072609,148518466.9997,483953,51238421,73998739.1405
2023-05-01T00:00:00Z,2023-05-01T23:59:59Z,EDUUSDT,spot,1.36081,1.37624,1.15111,1.24982,96813937,119014677.71184,404884,46484445,57095180.83665
2023-05-02T00:00:00Z,2023-05-02T23:59:59Z,EDUUSDT,spot,1.24922,1.31754,1.211,1.24248,47361582,59617263.3697,219129,23171635,29206066.70292
2023-05-03T00:00:00Z,2023-05-03T23:59:59Z,EDUUSDT,spot,1.24248,1.25277,1.08111,1.1768,58495616,67327606.15141,230417,27427227,31575455.07889
2023-05-04T00:00:00Z,2023-05-04T23:59:59Z,EDUUSDT,spot,1.17707,1.29765,1.15176,1.28058,63172093,78786301.54022,288087,31454645,39253792.48829
2023-05-05T00:00:00Z,2023-05-05T23:59:59Z,EDUUSDT,spot,1.28116,1.28199,1.14888,1.18559,44912130,54121515.74333,167940,20420680,24620427.22094
2023-05-06T00:00:00Z,2023-05-06T23:59:59Z,EDUUSDT,spot,1.186,1.19884,1.02604,1.0848,41345430,45728546.00728,136809,18951484,20959634.4925
2023-05-07T00:00:00Z,2023-05-07T23:59:59Z,EDUUSDT,spot,1.0848,1.12697,1.04,1.04891,24601510,26643933.65684,89824,11932259,12926630.74827
2023-05-08T00:00:00Z,2023-05-08T23:59:59Z,EDUUSDT,spot,1.04893,1.08999,0.9305,1.01202,36025561,36020139.18355,128155,15986231,16000643.36573
2023-05-09T00:00:00Z,2023-05-09T23:59:59Z,EDUUSDT,spot,1.01229,1.08447,0.9819,1.06841,32974201,34453189.54596,137044,16431390,17181591.40204
2023-05-10T00:00:00Z,2023-05-10T23:59:59Z,EDUUSDT,spot,1.06868,1.299,1.03514,1.23079,75536621,89809477.16321,302505,37754638,44993671.54519
2023-05-11T00:00:00Z,2023-05-11T23:59:59Z,EDUUSDT,spot,1.23078,1.24518,0.9999,1.04402,78281806,87675712.19761,275345,36916624,41392589.13323
2023-05-12T00:00:00Z,2023-05-12T23:59:59Z,EDUUSDT,spot,1.04402,1.14492,0.975,1.14201,57564269,59760313.94262,205918,28579331,29737372.6859
2023-05-13T00:00:00Z,2023-05-13T23:59:59Z,EDUUSDT,spot,1.14251,1.19888,1.10526,1.12543,58098580,66939358.08096,252854,29914262,34487274.74987
2023-05-14T00:00:00Z,2023-05-14T23:59:59Z,EDUUSDT,spot,1.1256,1.31934,1.06524,1.27022,79271886,95991407.7483,331963,41182161,50048604.97787
2023-05-15T00:00:00Z,2023-05-15T23:59:59Z,EDUUSDT,spot,1.27021,1.35,1.2246,1.23436,58738942,76013873.02743,250029,29107872,37734607.46479
2023-05-16T00:00:00Z,2023-05-16T23:59:59Z,EDUUSDT,spot,1.23502,1.24189,1.12699,1.1636,54058355,63820065.79846,184604,26131856,30830405.52473
2023-05-17T00:00:00Z,2023-05-17T23:59:59Z,EDUUSDT,spot,1.16287,1.25015,1.07846,1.24,72675873,83293317.60183,186595,35090426,40334688.53159
2023-05-18T00:00:00Z,2023-05-18T23:59:59Z,EDUUSDT,spot,1.23999,1.23999,1.10216,1.1381,47881172,55954090.73212,131709,22316365,26054109.80227
2023-05-19T00:00:00Z,2023-05-19T23:59:59Z,EDUUSDT,spot,1.13783,1.17777,1.1112899999999999,1.1408,37545052,42795982.40644,99244,18749543,21394347.20594
2023-05-20T00:00:00Z,2023-05-20T23:59:59Z,EDUUSDT,spot,1.14081,1.14565,1.10659,1.14401,21065633,23740333.11739,59013,10077035,11367192.86089
2023-05-21T00:00:00Z,2023-05-21T23:59:59Z,EDUUSDT,spot,1.14427,1.2239,1.11,1.12372,50045848,58191068.63429,151896,24607034,28671656.00887
2023-05-22T00:00:00Z,2023-05-22T23:59:59Z,EDUUSDT,spot,1.12335,1.13083,1.05,1.08589,36377032,39738184.85242,101316,17260450,18853703.44836
2023-05-23T00:00:00Z,2023-05-23T23:59:59Z,EDUUSDT,spot,1.08573,1.14414,1.08032,1.13768,28218054,31512450.25046,77222,14303083,15988599.26866
2023-05-24T00:00:00Z,2023-05-24T23:59:59Z,EDUUSDT,spot,1.13759,1.22,1.07,1.18869,95560963,109505737.2377,245664,47735141,54851815.32973
2023-05-25T00:00:00Z,2023-05-25T23:59:59Z,EDUUSDT,spot,1.18869,1.29614,1.13501,1.22678,87021762,105750117.95212,258124,42935589,52223840.54995
2023-05-26T00:00:00Z,2023-05-26T23:59:59Z,EDUUSDT,spot,1.22616,1.25091,1.1622,1.19423,44361708,53597646.69372,140599,21946038,26537944.50064
2023-05-27T00:00:00Z,2023-05-27T23:59:59Z,EDUUSDT,spot,1.19423,1.22558,1.15028,1.1742,28077731,33254929.04436,82531,13587443,16104954.24022
2023-05-28T00:00:00Z,2023-05-28T23:59:59Z,EDUUSDT,spot,1.17422,1.48199,1.15475,1.41602,109620773,145681610.30066,332500,58031719,77290707.22123
2023-05-29T00:00:00Z,2023-05-29T23:59:59Z,EDUUSDT,spot,1.41601,1.55,1.19,1.21884,157300722,213793383.63581,427902,75352248,102845678.40341
2023-05-30T00:00:00Z,2023-05-30T23:59:59Z,EDUUSDT,spot,1.21937,1.246,1.13001,1.14636,65050585,77807367.6089,193516,30851556,36944208.08661
