date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-04-28T22:00:00Z,2023-04-28T22:29:59Z,EDUUSDT,spot,1.316,1.365,1.31592,1.35645,3230299,4342410.47651,19745,1836272,2467039.19534
2023-04-28T22:30:00Z,2023-04-28T22:59:59Z,EDUUSDT,spot,1.35645,1.425,1.33313,1.34107,7362424,10153580.84857,38331,3985539,5503237.02515
2023-04-28T23:00:00Z,2023-04-28T23:29:59Z,EDUUSDT,spot,1.34151,1.39,1.33099,1.38002,3411358,4656315.4266,19855,1922538,2625212.58944
2023-04-28T23:30:00Z,2023-04-28T23:59:59Z,EDUUSDT,spot,1.38026,1.43,1.3555,1.37239,6740939,9431201.20823,36691,3679121,5149613.45097
2023-04-29T00:00:00Z,2023-04-29T00:29:59Z,EDUUSDT,spot,1.37232,1.42222,1.36001,1.3827,4211678,5863944.05464,25852,2055594,2863877.58812
2023-04-29T00:30:00Z,2023-04-29T00:59:59Z,EDUUSDT,spot,1.38166,1.4737,1.38166,1.45998,8393393,12072055.4684,41865,5006729,7203837.92188
2023-04-29T01:00:00Z,2023-04-29T01:29:59Z,EDUUSDT,spot,1.46,1.51,1.4283,1.46258,10701707,15771166.63343,57118,6035864,8913029.11288
2023-04-29T01:30:00Z,2023-04-29T01:59:59Z,EDUUSDT,spot,1.46258,1.48752,1.43547,1.4608,3872533,5668557.75323,24865,1937580,2838471.75296
2023-04-29T02:00:00Z,2023-04-29T02:29:59Z,EDUUSDT,spot,1.46084,1.46216,1.37325,1.40465,4835770,6816506.11671,24853,2128830,3000636.90831
2023-04-29T02:30:00Z,2023-04-29T02:59:59Z,EDUUSDT,spot,1.40465,1.432,1.391,1.41094,2421448,3420353.33746,14468,1335288,1888260.77214
2023-04-29T03:00:00Z,2023-04-29T03:29:59Z,EDUUSDT,spot,1.41178,1.41198,1.37487,1.39203,2533283,3519217.40909,14466,1251138,1738417.45799
2023-04-29T03:30:00Z,2023-04-29T03:59:59Z,EDUUSDT,spot,1.39196,1.41916,1.38474,1.4096,1465476,2056396.19202,9393,727278,1021211.50412
2023-04-29T04:00:00Z,2023-04-29T04:29:59Z,EDUUSDT,spot,1.40967,1.45,1.40953,1.41649,3061298,4388266.30983,18270,1626265,2330899.19698
2023-04-29T04:30:00Z,2023-04-29T04:59:59Z,EDUUSDT,spot,1.41649,1.45302,1.41618,1.44922,1923500,2767043.25109,13158,1138046,1636559.70442
2023-04-29T05:00:00Z,2023-04-29T05:29:59Z,EDUUSDT,spot,1.44921,1.48298,1.43001,1.47895,2896706,4231289.82543,20468,1712558,2503498.09741
2023-04-29T05:30:00Z,2023-04-29T05:59:59Z,EDUUSDT,spot,1.47895,1.58099,1.46766,1.52025,13041730,19977620.98276,77305,7167756,10969026.00422
2023-04-29T06:00:00Z,2023-04-29T06:29:59Z,EDUUSDT,spot,1.52025,1.59122,1.508,1.58819,8455733,13200624.97925,53425,4561604,7130960.70799
2023-04-29T06:30:00Z,2023-04-29T06:59:59Z,EDUUSDT,spot,1.58818,1.64342,1.54501,1.57892,12287513,19590787.36013,71037,6142560,9798625.85074
2023-04-29T07:00:00Z,2023-04-29T07:29:59Z,EDUUSDT,spot,1.57892,1.6471,1.56689,1.63441,7941460,12813629.21743,44001,4560237,7354642.59001
2023-04-29T07:30:00Z,2023-04-29T07:59:59Z,EDUUSDT,spot,1.63456,1.69493,1.612,1.69492,11289778,18754503.99232,64037,6057548,10061918.86823
2023-04-29T08:00:00Z,2023-04-29T08:29:59Z,EDUUSDT,spot,1.69492,1.695,1.515,1.55228,19329302,30593810.22301,86043,8551938,13537728.02438
2023-04-29T08:30:00Z,2023-04-29T08:59:59Z,EDUUSDT,spot,1.55153,1.55813,1.485,1.52256,10929386,16610246.62753,49111,4823175,7341000.86721
2023-04-29T09:00:00Z,2023-04-29T09:29:59Z,EDUUSDT,spot,1.52299,1.55213,1.4636,1.47953,6850131,10366734.68853,33151,2950560,4482923.47084
2023-04-29T09:30:00Z,2023-04-29T09:59:59Z,EDUUSDT,spot,1.47948,1.50135,1.44025,1.49277,7419040,10923225.58879,33983,3663716,5403136.18043
2023-04-29T10:00:00Z,2023-04-29T10:29:59Z,EDUUSDT,spot,1.49231,1.52171,1.461,1.47654,4455812,6646119.96534,24097,2178996,3253487.07079
2023-04-29T10:30:00Z,2023-04-29T10:59:59Z,EDUUSDT,spot,1.47615,1.53981,1.445,1.51289,5812127,8694425.35402,29500,3201187,4802512.89691
2023-04-29T11:00:00Z,2023-04-29T11:29:59Z,EDUUSDT,spot,1.51289,1.593,1.51017,1.57497,7426679,11542637.96275,41526,4404675,6847671.94095
2023-04-29T11:30:00Z,2023-04-29T11:59:59Z,EDUUSDT,spot,1.57472,1.585,1.522,1.53748,4925814,7642081.72371,27664,2099336,3258367.58985
2023-04-29T12:00:00Z,2023-04-29T12:29:59Z,EDUUSDT,spot,1.53687,1.55348,1.41513,1.42422,11391906,16721610.66627,47939,4651687,6839881.81791
2023-04-29T12:30:00Z,2023-04-29T12:59:59Z,EDUUSDT,spot,1.42301,1.44022,1.375,1.40612,13160248,18431472.56042,43283,5554493,7788213.3247
2023-04-29T13:00:00Z,2023-04-29T13:29:59Z,EDUUSDT,spot,1.40604,1.41877,1.37988,1.40573,4753813,6651978.27772,20119,2370691,3319518.19095
2023-04-29T13:30:00Z,2023-04-29T13:59:59Z,EDUUSDT,spot,1.40493,1.40574,1.33731,1.39,7699915,10515195.02431,28126,3556776,4861100.25058
2023-04-29T14:00:00Z,2023-04-29T14:29:59Z,EDUUSDT,spot,1.38999,1.428,1.37979,1.418,5327505,7512630.08237,21761,3057383,4313896.17956
2023-04-29T14:30:00Z,2023-04-29T14:59:59Z,EDUUSDT,spot,1.41839,1.41839,1.3609,1.37223,3480836,4834902.62208,14775,1695260,2353836.09536
2023-04-29T15:00:00Z,2023-04-29T15:29:59Z,EDUUSDT,spot,1.3717,1.39569,1.35,1.3939,2475107,3392163.28425,11971,1219819,1674828.99341
2023-04-29T15:30:00Z,2023-04-29T15:59:59Z,EDUUSDT,spot,1.3939,1.39513,1.338,1.36359,3403728,4617841.32022,12975,1331268,1804880.55585
2023-04-29T16:00:00Z,2023-04-29T16:29:59Z,EDUUSDT,spot,1.36482,1.39,1.34996,1.37078,1867417,2564068.77636,8626,994651,1367113.15198
2023-04-29T16:30:00Z,2023-04-29T16:59:59Z,EDUUSDT,spot,1.37083,1.39999,1.3655,1.38984,1946857,2700031.9182,8999,1159431,1608695.07589
2023-04-29T17:00:00Z,2023-04-29T17:29:59Z,EDUUSDT,spot,1.38944,1.41,1.375,1.39185,1602783,2236313.81464,8340,932383,1302038.38751
2023-04-29T17:30:00Z,2023-04-29T17:59:59Z,EDUUSDT,spot,1.3918,1.3918,1.34319,1.36706,1832828,2497173.03454,8515,680204,926900.2101
2023-04-29T18:00:00Z,2023-04-29T18:29:59Z,EDUUSDT,spot,1.36708,1.38526,1.355,1.38167,1036062,1421473.51245,6259,597733,820489.11902
2023-04-29T18:30:00Z,2023-04-29T18:59:59Z,EDUUSDT,spot,1.38151,1.38167,1.34088,1.35386,1172316,1590628.07457,5988,467621,634578.56472
2023-04-29T19:00:00Z,2023-04-29T19:29:59Z,EDUUSDT,spot,1.35205,1.3555,1.3122,1.3459700000000001,2217526,2941994.08961,9473,820512,1088672.09024
2023-04-29T19:30:00Z,2023-04-29T19:59:59Z,EDUUSDT,spot,1.34598,1.35921,1.31,1.3261,1537364,2057206.62452,7030,723377,972470.33066
2023-04-29T20:00:00Z,2023-04-29T20:29:59Z,EDUUSDT,spot,1.32611,1.35,1.3239,1.35,788328,1052221.3437,4466,482989,644814.77161
2023-04-29T20:30:00Z,2023-04-29T20:59:59Z,EDUUSDT,spot,1.34999,1.408,1.34054,1.40465,2494326,3438208.7916,11332,1447837,1995418.57913
2023-04-29T21:00:00Z,2023-04-29T21:29:59Z,EDUUSDT,spot,1.40518,1.418,1.351,1.3745,2370071,3283631.40866,11777,1214859,1686108.63804
2023-04-29T21:30:00Z,2023-04-29T21:59:59Z,EDUUSDT,spot,1.37479,1.391,1.372,1.38573,999681,1385313.61235,4315,512349,710282.1658
2023-04-29T22:00:00Z,2023-04-29T22:29:59Z,EDUUSDT,spot,1.38502,1.39,1.37,1.3727,594201,819373.03768,2969,215251,296943.13386
2023-04-29T22:30:00Z,2023-04-29T22:59:59Z,EDUUSDT,spot,1.3727,1.41,1.3702,1.40586,1334047,1860323.31968,5168,656269,915741.03793
2023-04-29T23:00:00Z,2023-04-29T23:29:59Z,EDUUSDT,spot,1.40653,1.438,1.39306,1.41,2685281,3816012.65278,10504,1452498,2065674.99426
2023-04-29T23:30:00Z,2023-04-29T23:59:59Z,EDUUSDT,spot,1.41,1.42716,1.401,1.40826,946826,1340012.77124,4127,444928,629851.01263
2023-04-30T00:00:00Z,2023-04-30T00:29:59Z,EDUUSDT,spot,1.40742,1.4189,1.38165,1.39268,1373958,1920397.3373,5583,553071,773808.41602
2023-04-30T00:30:00Z,2023-04-30T00:59:59Z,EDUUSDT,spot,1.39273,1.3959,1.36515,1.38159,1011598,1397545.64904,4233,356986,493735.12908
2023-04-30T01:00:00Z,2023-04-30T01:29:59Z,EDUUSDT,spot,1.38157,1.41716,1.38151,1.415,914354,1283255.48829,4494,517111,725531.1303
2023-04-30T01:30:00Z,2023-04-30T01:59:59Z,EDUUSDT,spot,1.41383,1.42304,1.394,1.39461,1215763,1715832.15304,4939,622262,879547.64708
2023-04-30T02:00:00Z,2023-04-30T02:29:59Z,EDUUSDT,spot,1.39728,1.44648,1.39701,1.44316,1940600,2768267.85559,6680,1186761,1692906.93992
2023-04-30T02:30:00Z,2023-04-30T02:59:59Z,EDUUSDT,spot,1.44183,1.5,1.4253,1.4789,6015163,8853146.92789,19433,3762424,5542459.01672
2023-04-30T03:00:00Z,2023-04-30T03:29:59Z,EDUUSDT,spot,1.47965,1.50292,1.44043,1.46169,2668490,3923178.40541,11042,1214480,1787801.3688
2023-04-30T03:30:00Z,2023-04-30T03:59:59Z,EDUUSDT,spot,1.46125,1.469,1.43,1.45005,1586188,2301257.38079,5639,577089,837719.22685
2023-04-30T04:00:00Z,2023-04-30T04:29:59Z,EDUUSDT,spot,1.45006,1.45007,1.4,1.40501,2867563,4050635.36446,10466,1225571,1732105.38868
2023-04-30T04:30:00Z,2023-04-30T04:59:59Z,EDUUSDT,spot,1.405,1.42722,1.40325,1.41137,1074126,1521157.27341,4296,612540,867662.02021
2023-04-30T05:00:00Z,2023-04-30T05:29:59Z,EDUUSDT,spot,1.41177,1.42,1.39,1.40314,1717285,2409658.69341,5654,560871,788115.92517
2023-04-30T05:30:00Z,2023-04-30T05:59:59Z,EDUUSDT,spot,1.40347,1.41658,1.395,1.40731,1051572,1475476.21106,4897,521831,732362.85069
2023-04-30T06:00:00Z,2023-04-30T06:29:59Z,EDUUSDT,spot,1.40723,1.445,1.4,1.41012,1933781,2755173.92368,7494,1141781,1627716.6534
2023-04-30T06:30:00Z,2023-04-30T06:59:59Z,EDUUSDT,spot,1.41009,1.42536,1.40575,1.41077,757895,1072609.78517,3560,379198,536826.46335
2023-04-30T07:00:00Z,2023-04-30T07:29:59Z,EDUUSDT,spot,1.41077,1.42566,1.38743,1.40809,1592760,2236513.64313,6005,708962,996690.07378
