date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-04-29T00:00:00Z,2023-04-29T03:59:59Z,EDUUSDT,spot,1.37232,1.51,1.36001,1.4096,38435288,55188196.96498,212880,20478301,29467743.0184
2023-04-29T04:00:00Z,2023-04-29T07:59:59Z,EDUUSDT,spot,1.40967,1.69493,1.40953,1.69492,60897718,95723765.91824,361701,32966574,51786131.02
2023-04-29T08:00:00Z,2023-04-29T11:59:59Z,EDUUSDT,spot,1.69492,1.695,1.44025,1.53748,67148291,103019282.13368,325075,31873583,48926828.04136
2023-04-29T12:00:00Z,2023-04-29T15:59:59Z,EDUUSDT,spot,1.53687,1.55348,1.33731,1.36359,51693058,72677793.83764,200949,23437377,32956155.40832
2023-04-29T16:00:00Z,2023-04-29T19:59:59Z,EDUUSDT,spot,1.36482,1.41,1.31,1.3261,13213153,18008889.84489,63230,6375912,8720956.93012
2023-04-29T20:00:00Z,2023-04-29T23:59:59Z,EDUUSDT,spot,1.32611,1.438,1.3239,1.40826,12212761,16995096.93769,54658,6426980,8944834.33326
2023-04-30T00:00:00Z,2023-04-30T03:59:59Z,EDUUSDT,spot,1.40742,1.50292,1.36515,1.45005,16726114,24162881.19735,62043,8790184,12733508.87477
2023-04-30T04:00:00Z,2023-04-30T07:59:59Z,EDUUSDT,spot,1.45006,1.45007,1.372,1.38512,12642501,17804036.46585,47747,5727942,8081109.26862
2023-04-30T08:00:00Z,2023-04-30T11:59:59Z,EDUUSDT,spot,1.3844,1.428,1.37,1.41856,8196634,11462788.51966,34390,4057141,5685896.62537
2023-04-30T12:00:00Z,2023-04-30T15:59:59Z,EDUUSDT,spot,1.41855,1.51832,1.4,1.46841,36726068,53836352.27286,193276,19661907,28823387.74177
2023-04-30T16:00:00Z,2023-04-30T19:59:59Z,EDUUSDT,spot,1.46839,1.48347,1.42,1.47209,14614027,21289370.92553,78601,6895313,10055195.1329
2023-04-30T20:00:00Z,2023-04-30T23:59:59Z,EDUUSDT,spot,1.47156,1.47209,1.35051,1.36102,14167265,19963037.61845,67896,6105934,8619641.49707
2023-05-01T00:00:00Z,2023-05-01T03:59:59Z,EDUUSDT,spot,1.36081,1.37624,1.15111,1.2324,40991404,50752325.12502,148062,18489136,22805262.50548
2023-05-01T04:00:00Z,2023-05-01T07:59:59Z,EDUUSDT,spot,1.23266,1.25,1.19081,1.2161,9563074,11666093.58492,42795,4599193,5612576.527
2023-05-01T08:00:00Z,2023-05-01T11:59:59Z,EDUUSDT,spot,1.21609,1.24666,1.18,1.2198,15259178,18507731.78658,72518,7527093,9146516.46227
2023-05-01T12:00:00Z,2023-05-01T15:59:59Z,EDUUSDT,spot,1.21995,1.24201,1.19724,1.21385,10773181,13160760.03156,48985,5212239,6373977.74449
2023-05-01T16:00:00Z,2023-05-01T19:59:59Z,EDUUSDT,spot,1.21386,1.2399,1.18394,1.22131,8841587,10730623.77242,45130,4389405,5336271.94551
2023-05-01T20:00:00Z,2023-05-01T23:59:59Z,EDUUSDT,spot,1.22041,1.289,1.20042,1.24982,11385513,14197143.41134,47394,6267379,7820575.6519
2023-05-02T00:00:00Z,2023-05-02T03:59:59Z,EDUUSDT,spot,1.24922,1.2717,1.211,1.23795,7141716,8864813.39204,33518,3199091,3976610.36923
2023-05-02T04:00:00Z,2023-05-02T07:59:59Z,EDUUSDT,spot,1.23741,1.30898,1.21531,1.29806,12676619,16043688.41078,57113,6792627,8603271.39579
2023-05-02T08:00:00Z,2023-05-02T11:59:59Z,EDUUSDT,spot,1.29801,1.31754,1.23,1.24678,11726006,15011693.12793,57289,5597389,7175360.35689
2023-05-02T12:00:00Z,2023-05-02T15:59:59Z,EDUUSDT,spot,1.24681,1.26389,1.222,1.24793,9205012,11473481.32082,40361,4509221,5626084.1206
2023-05-02T16:00:00Z,2023-05-02T19:59:59Z,EDUUSDT,spot,1.24747,1.2585,1.225,1.24559,4106084,5098625.32787,19792,1831443,2275509.41911
2023-05-02T20:00:00Z,2023-05-02T23:59:59Z,EDUUSDT,spot,1.24559,1.25857,1.236,1.24248,2506145,3124961.79026,11056,1241864,1549231.0413
2023-05-03T00:00:00Z,2023-05-03T03:59:59Z,EDUUSDT,spot,1.24248,1.25277,1.20634,1.21165,4407185,5376909.27805,20132,1820452,2221992.21224
2023-05-03T04:00:00Z,2023-05-03T07:59:59Z,EDUUSDT,spot,1.21165,1.21165,1.18006,1.184,7093418,8463089.13908,28838,3236066,3861812.07906
2023-05-03T08:00:00Z,2023-05-03T11:59:59Z,EDUUSDT,spot,1.18401,1.21527,1.15373,1.16143,8978460,10684137.43542,38085,4287488,5107728.56614
2023-05-03T12:00:00Z,2023-05-03T15:59:59Z,EDUUSDT,spot,1.16243,1.16271,1.08111,1.0989,19694866,21955759.97525,74836,8625549,9614244.37698
2023-05-03T16:00:00Z,2023-05-03T19:59:59Z,EDUUSDT,spot,1.09832,1.14942,1.094,1.12438,11112606,12458581.36751,38394,5828213,6541995.46185
2023-05-03T20:00:00Z,2023-05-03T23:59:59Z,EDUUSDT,spot,1.12357,1.19,1.1166,1.1768,7209081,8389128.9561,30132,3629459,4227682.38262
2023-05-04T00:00:00Z,2023-05-04T03:59:59Z,EDUUSDT,spot,1.17707,1.24,1.15176,1.20273,10205708,12229399.79634,40464,4964494,5948479.62448
2023-05-04T04:00:00Z,2023-05-04T07:59:59Z,EDUUSDT,spot,1.20282,1.20989,1.17464,1.19276,4649940,5540404.73493,19385,2195700,2617522.53615
2023-05-04T08:00:00Z,2023-05-04T11:59:59Z,EDUUSDT,spot,1.19279,1.27934,1.19251,1.25025,17832055,22337927.35913,81908,9135004,11435054.77722
2023-05-04T12:00:00Z,2023-05-04T15:59:59Z,EDUUSDT,spot,1.25021,1.29765,1.25,1.25801,18547374,23676209.56604,86623,9360141,11954355.47172
2023-05-04T16:00:00Z,2023-05-04T19:59:59Z,EDUUSDT,spot,1.258,1.27857,1.23301,1.25839,7686010,9662697.35921,36026,3533349,4449477.25664
2023-05-04T20:00:00Z,2023-05-04T23:59:59Z,EDUUSDT,spot,1.2585,1.2832,1.2379,1.28058,4251006,5339662.72457,23681,2265957,2848902.82208
2023-05-05T00:00:00Z,2023-05-05T03:59:59Z,EDUUSDT,spot,1.28116,1.28199,1.2,1.2063,9046160,11168583.70198,35698,3717597,4596802.54091
2023-05-05T04:00:00Z,2023-05-05T07:59:59Z,EDUUSDT,spot,1.20614,1.24319,1.20612,1.22143,4368778,5349393.91718,20201,2131064,2610532.23698
2023-05-05T08:00:00Z,2023-05-05T11:59:59Z,EDUUSDT,spot,1.22121,1.22144,1.17413,1.18679,9351786,11154458.70621,34620,4247896,5068352.58872
2023-05-05T12:00:00Z,2023-05-05T15:59:59Z,EDUUSDT,spot,1.1868,1.22,1.16926,1.1893,10091039,12092675.89388,32005,4917131,5895934.37063
2023-05-05T16:00:00Z,2023-05-05T19:59:59Z,EDUUSDT,spot,1.18929,1.2344,1.18214,1.19063,5828418,7057083.51177,25183,2848852,3450347.8945
2023-05-05T20:00:00Z,2023-05-05T23:59:59Z,EDUUSDT,spot,1.191,1.19299,1.14888,1.18559,6225949,7299320.01231,20233,2558140,2998457.5892
2023-05-06T00:00:00Z,2023-05-06T03:59:59Z,EDUUSDT,spot,1.186,1.19884,1.13259,1.13939,9060819,10464127.82769,26176,4101642,4733510.28747
2023-05-06T04:00:00Z,2023-05-06T07:59:59Z,EDUUSDT,spot,1.13948,1.15415,1.1137,1.11914,6738361,7624891.70107,21206,3028110,3427427.64625
2023-05-06T08:00:00Z,2023-05-06T11:59:59Z,EDUUSDT,spot,1.11937,1.14281,1.10209,1.13705,4719613,5312193.14471,18217,2591442,2920018.18677
2023-05-06T12:00:00Z,2023-05-06T15:59:59Z,EDUUSDT,spot,1.13756,1.14919,1.02604,1.05041,12699119,13679419.00854,43510,5257233,5647933.9528
2023-05-06T16:00:00Z,2023-05-06T19:59:59Z,EDUUSDT,spot,1.05059,1.07065,1.04464,1.04786,4501643,4750563.64527,16363,2108348,2227550.64625
2023-05-06T20:00:00Z,2023-05-06T23:59:59Z,EDUUSDT,spot,1.04786,1.09,1.04564,1.0848,3625875,3897350.68,11337,1864709,2003193.77296
2023-05-07T00:00:00Z,2023-05-07T03:59:59Z,EDUUSDT,spot,1.0848,1.08976,1.05724,1.06228,3149582,3373093.27453,11299,1403107,1504224.37983
2023-05-07T04:00:00Z,2023-05-07T07:59:59Z,EDUUSDT,spot,1.06228,1.088,1.0614,1.0808,3119345,3360624.2217,10770,1758361,1895042.85318
2023-05-07T08:00:00Z,2023-05-07T11:59:59Z,EDUUSDT,spot,1.08119,1.08999,1.05595,1.06806,3814286,4090974.25208,11470,1742063,1868494.80745
2023-05-07T12:00:00Z,2023-05-07T15:59:59Z,EDUUSDT,spot,1.06831,1.12697,1.06831,1.10204,8445032,9335815.08743,31464,4169557,4604153.2159
2023-05-07T16:00:00Z,2023-05-07T19:59:59Z,EDUUSDT,spot,1.10205,1.1048,1.04335,1.05851,4087332,4381664.14502,16020,2000197,2144812.36755
2023-05-07T20:00:00Z,2023-05-07T23:59:59Z,EDUUSDT,spot,1.05824,1.06989,1.04,1.04891,1985933,2101762.67608,8801,858974,909903.12436
2023-05-08T00:00:00Z,2023-05-08T03:59:59Z,EDUUSDT,spot,1.04893,1.08999,0.97154,0.998,9553282,9663791.01342,34010,4123409,4179038.34676
2023-05-08T04:00:00Z,2023-05-08T07:59:59Z,EDUUSDT,spot,0.99756,1.01178,0.958,0.976,5570049,5512121.34874,17473,2169153,2149412.56822
2023-05-08T08:00:00Z,2023-05-08T11:59:59Z,EDUUSDT,spot,0.97524,1.018,0.96431,1.01297,4658633,4626280.96583,17507,2195799,2183254.84519
2023-05-08T12:00:00Z,2023-05-08T15:59:59Z,EDUUSDT,spot,1.01399,1.05835,1.0096,1.03125,5445011,5629956.39655,22445,2568456,2656271.32982
2023-05-08T16:00:00Z,2023-05-08T19:59:59Z,EDUUSDT,spot,1.03157,1.03797,0.9305,0.9656,7645247,7495832.33284,25208,3271743,3208556.61517
2023-05-08T20:00:00Z,2023-05-08T23:59:59Z,EDUUSDT,spot,0.9664,1.017,0.95723,1.01202,3153339,3092157.12617,11512,1657671,1624109.66057
2023-05-09T00:00:00Z,2023-05-09T03:59:59Z,EDUUSDT,spot,1.01229,1.05054,0.9819,1.03477,6278206,6361210.30178,29416,2878226,2915098.70941
2023-05-09T04:00:00Z,2023-05-09T07:59:59Z,EDUUSDT,spot,1.03454,1.0756,1.0004,1.07513,6678710,6889433.19645,25886,3556181,3671506.93765
2023-05-09T08:00:00Z,2023-05-09T11:59:59Z,EDUUSDT,spot,1.07503,1.0774,1.02736,1.06593,7517115,7906278.51245,30380,3613852,3802573.26192
2023-05-09T12:00:00Z,2023-05-09T15:59:59Z,EDUUSDT,spot,1.06596,1.08447,1.04801,1.0519,6786172,7228770.48345,27669,3447612,3672983.55092
2023-05-09T16:00:00Z,2023-05-09T19:59:59Z,EDUUSDT,spot,1.05189,1.07477,1.037,1.07122,3465053,3670522.1225,14076,1817897,1927125.9545
2023-05-09T20:00:00Z,2023-05-09T23:59:59Z,EDUUSDT,spot,1.072,1.083,1.05,1.06841,2248945,2396974.92933,9617,1117622,1192302.98764
2023-05-10T00:00:00Z,2023-05-10T03:59:59Z,EDUUSDT,spot,1.06868,1.1,1.0584,1.06807,4344777,4664888.12365,17536,2008789,2155598.99386
2023-05-10T04:00:00Z,2023-05-10T07:59:59Z,EDUUSDT,spot,1.06801,1.08621,1.05352,1.05915,2800503,2983787.41084,9516,1177607,1255243.88299
2023-05-10T08:00:00Z,2023-05-10T11:59:59Z,EDUUSDT,spot,1.05915,1.06575,1.03514,1.0494,4717298,4943806.38674,15537,2068757,2169180.40077
2023-05-10T12:00:00Z,2023-05-10T15:59:59Z,EDUUSDT,spot,1.0494,1.255,1.04858,1.25197,23733349,27811454.09037,91042,12866592,15088324.47071
2023-05-10T16:00:00Z,2023-05-10T19:59:59Z,EDUUSDT,spot,1.25197,1.295,1.1425,1.25876,30018479,36902303.80343,122856,14884079,18331613.83522
