date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-09-03T00:00:00Z,2020-09-03T23:59:59Z,EGLDUSDT,spot,19.71,35,16.708,17.752,1122432.923,24455951.321805,96435,551608.969,12104933.991472
2020-09-04T00:00:00Z,2020-09-04T23:59:59Z,EGLDUSDT,spot,17.755,20.5,16.71,17.583,584233.851,10610919.032662,61123,287368.837,5227817.5294
2020-09-05T00:00:00Z,2020-09-05T23:59:59Z,EGLDUSDT,spot,17.587,17.703,10.2,12.321,695421.075,9630646.869427,61191,349676.307,4817206.514977
2020-09-06T00:00:00Z,2020-09-06T23:59:59Z,EGLDUSDT,spot,12.324,16,11.277,13.368,523442.995,6905557.810036,39651,254235.355,3355806.374877
2020-09-07T00:00:00Z,2020-09-07T23:59:59Z,EGLDUSDT,spot,13.37,13.653,11.508,13.219,563541.474,7194549.085591,56553,300493.021,3827791.869825
2020-09-08T00:00:00Z,2020-09-08T23:59:59Z,EGLDUSDT,spot,13.221,15.495,13.206,14.027,877143.667,12444434.195439,65922,448875.272,6377893.158315
2020-09-09T00:00:00Z,2020-09-09T23:59:59Z,EGLDUSDT,spot,14.043,15.357,13.687,15.084,518817.841,7530659.67669,43302,269284.878,3911604.169238
2020-09-10T00:00:00Z,2020-09-10T23:59:59Z,EGLDUSDT,spot,15.101,15.67,13.8,13.939,341379.569,5058979.449232,24670,166173.356,2465865.905903
2020-09-11T00:00:00Z,2020-09-11T23:59:59Z,EGLDUSDT,spot,13.939,15.294,13.483,14.308,174345.177,2451682.318804,13257,95499.02,1345343.225656
2020-09-12T00:00:00Z,2020-09-12T23:59:59Z,EGLDUSDT,spot,14.297,14.41,13.131,13.917,132860.394,1848710.092491,10044,59388.878,827442.894213
2020-09-13T00:00:00Z,2020-09-13T23:59:59Z,EGLDUSDT,spot,13.914,14.3,12.801,13.306,138944.534,1863606.619475,10992,62549.77,839868.810479
2020-09-14T00:00:00Z,2020-09-14T23:59:59Z,EGLDUSDT,spot,13.306,14.4,12.421,13.971,397255.366,5442607.492602,36405,210880.251,2891137.037281
2020-09-15T00:00:00Z,2020-09-15T23:59:59Z,EGLDUSDT,spot,13.971,14.939,12.852,13.045,459694.614,6430444.880925,40157,232627.571,3256184.510978
2020-09-16T00:00:00Z,2020-09-16T23:59:59Z,EGLDUSDT,spot,13.045,13.047,11.818,12.584,230372.605,2881793.022876,19654,110263.648,1380161.860584
2020-09-17T00:00:00Z,2020-09-17T23:59:59Z,EGLDUSDT,spot,12.605,12.869,11.751,12.058,163528.786,1985846.562744,13505,73653.158,895177.577483
2020-09-18T00:00:00Z,2020-09-18T23:59:59Z,EGLDUSDT,spot,12.036,12.304,10.8,11.22,203521.002,2377139.784843,14213,99180.586,1158063.287973
2020-09-19T00:00:00Z,2020-09-19T23:59:59Z,EGLDUSDT,spot,11.22,12.231,11.184,11.95,194755.029,2269269.835746,14154,99647.781,1161494.261358
2020-09-20T00:00:00Z,2020-09-20T23:59:59Z,EGLDUSDT,spot,11.943,12.196,9.772,10.717,251154.3,2709271.688604,16744,128401.376,1369880.089241
2020-09-21T00:00:00Z,2020-09-21T23:59:59Z,EGLDUSDT,spot,10.693,11,8.421,8.808,554514.392,5150278.11048,35049,264323.079,2452442.915928
2020-09-22T00:00:00Z,2020-09-22T23:59:59Z,EGLDUSDT,spot,8.822,9.102,8.154,8.709,333320.967,2900428.122107,21058,159078.013,1386177.538404
2020-09-23T00:00:00Z,2020-09-23T23:59:59Z,EGLDUSDT,spot,8.696,9.5,8.3,8.812,570671.094,5033502.506215,32315,267070.171,2357907.878062
2020-09-24T00:00:00Z,2020-09-24T23:59:59Z,EGLDUSDT,spot,8.813,9.249,8.707,9.225,346683.889,3134210.013757,19473,180773.746,1634811.919785
2020-09-25T00:00:00Z,2020-09-25T23:59:59Z,EGLDUSDT,spot,9.228,10.492,9.139,9.997,338990.448,3264928.108185,21620,177286.984,1707000.892981
2020-09-26T00:00:00Z,2020-09-26T23:59:59Z,EGLDUSDT,spot,9.997,10.8,9.954,10.396,226023.607,2316516.768205,16783,108076.957,1106557.602694
2020-09-27T00:00:00Z,2020-09-27T23:59:59Z,EGLDUSDT,spot,10.398,10.494,9.595,10.028,223667.481,2227730.068929,14681,105230.324,1047366.461508
2020-09-28T00:00:00Z,2020-09-28T23:59:59Z,EGLDUSDT,spot,10.028,10.5,9.85,10.005,207119.042,2125707.481286,15719,101252.664,1041118.840687
2020-09-29T00:00:00Z,2020-09-29T23:59:59Z,EGLDUSDT,spot,9.986,10.333,9.929,10.256,191159.379,1937310.819793,12539,90144.315,913921.929267
2020-09-30T00:00:00Z,2020-09-30T23:59:59Z,EGLDUSDT,spot,10.259,10.621,10.07,10.36,249872.642,2582370.717958,14660,125513.294,1299336.103753
2020-10-01T00:00:00Z,2020-10-01T23:59:59Z,EGLDUSDT,spot,10.364,10.971,10,10.277,367176.321,3831589.371914,19773,188596.875,1970001.188662
2020-10-02T00:00:00Z,2020-10-02T23:59:59Z,EGLDUSDT,spot,10.276,10.3,8.9,9.412,311290.221,2936400.914931,19604,160096.703,1507801.851703
2020-10-03T00:00:00Z,2020-10-03T23:59:59Z,EGLDUSDT,spot,9.412,9.559,9.012,9.08,107649.592,1006020.308279,6696,49557.596,462724.880739
2020-10-04T00:00:00Z,2020-10-04T23:59:59Z,EGLDUSDT,spot,9.06,9.289,8.87,9.036,130155.654,1184508.039937,7175,68614.357,624571.588116
2020-10-05T00:00:00Z,2020-10-05T23:59:59Z,EGLDUSDT,spot,9.026,9.119,7.98,8.461,383505.572,3234206.381471,17580,201482.013,1697579.8922
2020-10-06T00:00:00Z,2020-10-06T23:59:59Z,EGLDUSDT,spot,8.465,8.482,6.835,6.931,463618.778,3541996.022687,19261,224975.23,1722167.097926
2020-10-07T00:00:00Z,2020-10-07T23:59:59Z,EGLDUSDT,spot,6.936,7.8,6.465,7.8,408268.309,2870087.817969,21215,214291.871,1508609.346248
2020-10-08T00:00:00Z,2020-10-08T23:59:59Z,EGLDUSDT,spot,7.8,7.8,6.985,7.48,421929.2,3118515.244948,21262,210167.612,1554301.256712
2020-10-09T00:00:00Z,2020-10-09T23:59:59Z,EGLDUSDT,spot,7.483,8.133,7.307,7.907,342420.466,2697190.318319,19504,177362.763,1398441.545228
2020-10-10T00:00:00Z,2020-10-10T23:59:59Z,EGLDUSDT,spot,7.909,8.099,7.707,7.772,201326.953,1596672.87548,10791,100280.659,795655.681059
2020-10-11T00:00:00Z,2020-10-11T23:59:59Z,EGLDUSDT,spot,7.773,8.2,7.56,8.171,208123.843,1637648.583688,11786,111987.917,883399.892901
2020-10-12T00:00:00Z,2020-10-12T23:59:59Z,EGLDUSDT,spot,8.171,8.204,7.805,8.013,205471.103,1646594.558739,10876,105033.17,841794.803736
2020-10-13T00:00:00Z,2020-10-13T23:59:59Z,EGLDUSDT,spot,8.011,8.174,7.854,7.944,158387.866,1268251.582258,7610,74152.183,593836.035201
2020-10-14T00:00:00Z,2020-10-14T23:59:59Z,EGLDUSDT,spot,7.947,8.35,7.73,7.988,218088.552,1737751.799466,11021,115242.961,919418.947714
2020-10-15T00:00:00Z,2020-10-15T23:59:59Z,EGLDUSDT,spot,7.988,7.995,7.701,7.897,160408.309,1258386.787754,10003,82456.766,647086.881939
2020-10-16T00:00:00Z,2020-10-16T23:59:59Z,EGLDUSDT,spot,7.899,7.899,7,7.392,232527.78,1743513.463219,13345,122732.695,920345.572176
2020-10-17T00:00:00Z,2020-10-17T23:59:59Z,EGLDUSDT,spot,7.392,7.713,7.359,7.641,110989.479,832613.050111,6888,60138.202,451308.988142
2020-10-18T00:00:00Z,2020-10-18T23:59:59Z,EGLDUSDT,spot,7.645,7.73,7.496,7.612,89012.129,677181.8815,4550,41543.606,316181.637573
2020-10-19T00:00:00Z,2020-10-19T23:59:59Z,EGLDUSDT,spot,7.615,7.615,6,7.306,171855.868,1254131.097892,8690,77174.56,567324.036372
2020-10-20T00:00:00Z,2020-10-20T23:59:59Z,EGLDUSDT,spot,7.313,7.499,6.487,7.069,382020.407,2618929.225871,18761,195677.976,1339246.334578
2020-10-21T00:00:00Z,2020-10-21T23:59:59Z,EGLDUSDT,spot,7.068,7.499,7.061,7.459,241257.051,1767967.994059,14805,135246.795,990438.147025
2020-10-22T00:00:00Z,2020-10-22T23:59:59Z,EGLDUSDT,spot,7.458,7.862,7.348,7.718,185600.584,1401993.256529,10747,100786.368,762025.857078
