date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2018-01-01T00:00:00Z,2018-01-01T03:59:59Z,ETHUSDT,spot,733.01,737.99,716.8,734.5,8739.23361,6350663.7476138,12593,4586.02898,3332068.9961047
2018-01-01T04:00:00Z,2018-01-01T07:59:59Z,ETHUSDT,spot,734.99,763.55,730.01,751.99,9492.34734,7108607.0795531,13909,5288.53326,3961097.9592861
2018-01-01T08:00:00Z,2018-01-01T11:59:59Z,ETHUSDT,spot,751.77,759,730.58,741.01,8939.36851,6670900.2953342,12399,4331.8196,3233837.7615108
2018-01-01T12:00:00Z,2018-01-01T15:59:59Z,ETHUSDT,spot,741.01,752.27,724.15,748.8,11284.08664,8340628.1996883,13681,5950.39223,4399936.7871775
2018-01-01T16:00:00Z,2018-01-01T19:59:59Z,ETHUSDT,spot,748.27,749.98,733,746.23,7757.00362,5760057.4062285,11347,3775.43956,2804330.0214699
2018-01-01T20:00:00Z,2018-01-01T23:59:59Z,ETHUSDT,spot,746.23,762.62,744.39,754.99,7697.21913,5818513.8665082,11385,4061.00338,3069675.2976216
2018-01-02T00:00:00Z,2018-01-02T03:59:59Z,ETHUSDT,spot,754.99,899.5,749.06,826.92,34941.91503,29279896.2899035,40383,18280.90226,15335626.6154197
2018-01-02T04:00:00Z,2018-01-02T07:59:59Z,ETHUSDT,spot,827,857,817,847.6,15578.17102,13098983.821127,18738,8406.69719,7072278.2308517
2018-01-02T08:00:00Z,2018-01-02T11:59:59Z,ETHUSDT,spot,847.6,853.97,825.11,849.1,12119.95908,10202281.7581104,15072,6424.36811,5409558.1459409
2018-01-02T12:00:00Z,2018-01-02T15:59:59Z,ETHUSDT,spot,849.57,866.65,835.83,865.56,16398.96539,14004574.5988425,20419,9088.0745,7757905.0059676
2018-01-02T16:00:00Z,2018-01-02T19:59:59Z,ETHUSDT,spot,865.56,878,810,850.97,22615.78318,19282177.9482226,30457,11554.27353,9889725.1461437
2018-01-02T20:00:00Z,2018-01-02T23:59:59Z,ETHUSDT,spot,850.94,869.41,831,855.28,11602.98985,9882031.6442596,17442,5544.06746,4728022.582854
2018-01-03T00:00:00Z,2018-01-03T03:59:59Z,ETHUSDT,spot,855.13,884.98,850.03,853.07,13726.00053,11881166.2899026,18557,7415.09025,6419189.7602727
2018-01-03T04:00:00Z,2018-01-03T07:59:59Z,ETHUSDT,spot,854.16,879.53,853.12,876.02,13431.15532,11680695.6193941,16001,8125.88811,7069044.0173643
