date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-10-21T00:00:00Z,2020-10-21T23:59:59Z,INJUSDT,spot,0.4,1.49,0.18,0.7803,36220748.78,29304538.509828,118559,16702347.47,13567506.294442
2020-10-22T00:00:00Z,2020-10-22T23:59:59Z,INJUSDT,spot,0.7825,0.827,0.7273,0.7844,4813897.4,3708060.681353,15953,2310134.5,1782932.749364
2020-10-23T00:00:00Z,2020-10-23T23:59:59Z,INJUSDT,spot,0.7819,1.224,0.7779,1.1838,19189538.3,19373070.437484,64424,10157362.64,10260926.428008
2020-10-24T00:00:00Z,2020-10-24T23:59:59Z,INJUSDT,spot,1.1904,1.1904,0.9321,0.9466,10111233.89,10475890.665401,35638,4681053.35,4863240.009421
2020-10-25T00:00:00Z,2020-10-25T23:59:59Z,INJUSDT,spot,0.9503,0.99,0.8431,0.9033,5756111.94,5239312.9234,20115,2869573.71,2618253.907387
2020-10-26T00:00:00Z,2020-10-26T23:59:59Z,INJUSDT,spot,0.9032,0.9214,0.7646,0.8218,4354886.4,3616958.652679,15580,2014560.11,1678294.603568
2020-10-27T00:00:00Z,2020-10-27T23:59:59Z,INJUSDT,spot,0.8201,0.8396,0.756,0.781,2465394.99,1949590.273196,8812,1169846.18,929754.371191
2020-10-28T00:00:00Z,2020-10-28T23:59:59Z,INJUSDT,spot,0.7824,0.8035,0.6666,0.6776,2230367.6,1625928.285547,6266,766925.12,554851.742452
2020-10-29T00:00:00Z,2020-10-29T23:59:59Z,INJUSDT,spot,0.68,0.8611,0.659,0.7977,5624875.12,4409802.376629,16191,3133223.53,2471773.611416
2020-10-30T00:00:00Z,2020-10-30T23:59:59Z,INJUSDT,spot,0.798,0.8019,0.6722,0.7255,3957516.02,2899912.272431,11444,1994366.12,1460537.956769
2020-10-31T00:00:00Z,2020-10-31T23:59:59Z,INJUSDT,spot,0.7225,0.8097,0.7126,0.7841,2009680.42,1537073.239927,6207,1041473.14,795865.734189
2020-11-01T00:00:00Z,2020-11-01T23:59:59Z,INJUSDT,spot,0.784,0.82,0.7402,0.751,1020512.61,783417.730883,4030,475355.34,365236.51484
2020-11-02T00:00:00Z,2020-11-02T23:59:59Z,INJUSDT,spot,0.751,0.7839,0.7135,0.7274,921293.96,690075.262329,3155,436556.62,327921.388906
2020-11-03T00:00:00Z,2020-11-03T23:59:59Z,INJUSDT,spot,0.7276,0.729,0.6501,0.6978,912741.47,626400.92774,2987,363966.06,250004.649988
2020-11-04T00:00:00Z,2020-11-04T23:59:59Z,INJUSDT,spot,0.6968,0.7456,0.6689,0.7135,1008858.43,711409.780366,3188,516223.98,365029.862067
2020-11-05T00:00:00Z,2020-11-05T23:59:59Z,INJUSDT,spot,0.7133,0.744,0.6701,0.7021,1284779.04,910197.328898,3796,620669.66,439775.974795
2020-11-06T00:00:00Z,2020-11-06T23:59:59Z,INJUSDT,spot,0.7015,0.7581,0.67490000000000006,0.7528,2951742.84,2127379.273083,6673,1492624.71,1077187.814341
2020-11-07T00:00:00Z,2020-11-07T23:59:59Z,INJUSDT,spot,0.7526,0.9081,0.7,0.7832,3433305.57,2779157.878675,9337,1558962.1,1267005.489581
2020-11-08T00:00:00Z,2020-11-08T23:59:59Z,INJUSDT,spot,0.7833,0.8957,0.7706,0.835,2236073.1,1877479.17295,5900,1167789.58,983208.834632
2020-11-09T00:00:00Z,2020-11-09T23:59:59Z,INJUSDT,spot,0.8363,1.04,0.8321,0.9773,4921277.88,4594361.870612,13352,2499300.36,2342966.305822
2020-11-10T00:00:00Z,2020-11-10T23:59:59Z,INJUSDT,spot,0.9787,1.0622,0.9305,1.0147,2722824.4,2690609.458953,7444,1363713.82,1348622.291353
2020-11-11T00:00:00Z,2020-11-11T23:59:59Z,INJUSDT,spot,1.0073,1.0098,0.88,0.9089,2239004.15,2083715.207563,6560,906740.82,844981.081381
2020-11-12T00:00:00Z,2020-11-12T23:59:59Z,INJUSDT,spot,0.908,0.9739,0.895,0.9172,1256397.3,1177295.463525,3976,601335.73,564524.314913
2020-11-13T00:00:00Z,2020-11-13T23:59:59Z,INJUSDT,spot,0.9195,1.09,0.91,1.0634,1912931.49,1958444.573744,5845,1101847.2,1131289.062233
2020-11-14T00:00:00Z,2020-11-14T23:59:59Z,INJUSDT,spot,1.0684,1.3866,1.0091,1.2915,5678641.4,6769177.711527,22506,2980014.35,3566814.623275
2020-11-15T00:00:00Z,2020-11-15T23:59:59Z,INJUSDT,spot,1.2914,1.452,1.2,1.2875,4159059.26,5421085.193705,27373,1909459.8,2501120.22329
2020-11-16T00:00:00Z,2020-11-16T23:59:59Z,INJUSDT,spot,1.2832,1.6364,1.2389,1.6029,4548989.13,6587069.885233,30697,2371447.69,3449540.30536
2020-11-17T00:00:00Z,2020-11-17T23:59:59Z,INJUSDT,spot,1.6029,1.6988,1.2843,1.4667,4235394.43,6337046.786754,28910,2059336.81,3096454.017823
2020-11-18T00:00:00Z,2020-11-18T23:59:59Z,INJUSDT,spot,1.4658,1.5451,1.2701,1.3694,2495845.67,3420593.544261,16016,1318140.61,1807638.847709
2020-11-19T00:00:00Z,2020-11-19T23:59:59Z,INJUSDT,spot,1.3747,1.46,1.21,1.2999,2069153.33,2783270.619728,15059,974398.85,1317107.566415
2020-11-20T00:00:00Z,2020-11-20T23:59:59Z,INJUSDT,spot,1.2999,1.544,1.29,1.411,1973452.11,2804689.654056,15624,1057613.79,1503687.22193
2020-11-21T00:00:00Z,2020-11-21T23:59:59Z,INJUSDT,spot,1.4109,1.483,1.334,1.3743,2036623.8,2854969.897396,13099,1000720.51,1404500.822833
2020-11-22T00:00:00Z,2020-11-22T23:59:59Z,INJUSDT,spot,1.3747,1.4377,1.22,1.3107,1756043.97,2302486.383352,10900,785370.6,1036229.719507
2020-11-23T00:00:00Z,2020-11-23T23:59:59Z,INJUSDT,spot,1.3114,1.5084,1.2833,1.414,1955280.97,2775580.674236,14365,1022551.95,1453363.870599
2020-11-24T00:00:00Z,2020-11-24T23:59:59Z,INJUSDT,spot,1.4201,1.4567,1.2815,1.2999,1677257.84,2278956.990328,11575,809946.84,1101326.992489
2020-11-25T00:00:00Z,2020-11-25T23:59:59Z,INJUSDT,spot,1.302,1.3446,1.2102,1.2103,1179418.11,1528032.624921,8776,526955.66,684814.442107
2020-11-26T00:00:00Z,2020-11-26T23:59:59Z,INJUSDT,spot,1.2129,1.2554,0.95,1.0558,2460652.24,2622156.215155,10427,1106058.48,1174589.224668
2020-11-27T00:00:00Z,2020-11-27T23:59:59Z,INJUSDT,spot,1.0559,1.11,1.0312,1.0918,1098649.72,1177325.690749,4497,535735.7,575497.718539
2020-11-28T00:00:00Z,2020-11-28T23:59:59Z,INJUSDT,spot,1.0974,1.1762,1.0889,1.1521,1135844.75,1296180.536359,6455,608404.94,694403.969518
2020-11-29T00:00:00Z,2020-11-29T23:59:59Z,INJUSDT,spot,1.1505,1.185,1.1033,1.1341,760671.16,874970.46292,4314,379033.82,436930.414782
2020-11-30T00:00:00Z,2020-11-30T23:59:59Z,INJUSDT,spot,1.133,1.2405,1.0701,1.1879,1498265.78,1702737.270247,8360,743082.96,848307.772151
