date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-31T16:00:00Z,2024-01-31T19:59:59Z,JUPUSDT,spot,0.03,0.872,0.03,0.6395,261078478.5,183854266.33627,579326,138956412,98588721.98216
2024-01-31T20:00:00Z,2024-01-31T23:59:59Z,JUPUSDT,spot,0.6395,0.699,0.621,0.6617,79809841.9,52023944.54809,218005,41318595.7,26959596.41437
2024-02-01T00:00:00Z,2024-02-01T03:59:59Z,JUPUSDT,spot,0.6617,0.6843,0.6231,0.629,57597883.3,37493031.66396,159580,28119335.8,18340432.50448
2024-02-01T04:00:00Z,2024-02-01T07:59:59Z,JUPUSDT,spot,0.6289,0.6329,0.5636,0.5778,84946418.4,50371430.59614,190785,38814964,22994829.94126
2024-02-01T08:00:00Z,2024-02-01T11:59:59Z,JUPUSDT,spot,0.5777,0.6292,0.5501,0.6033,86956357.6,51219706.4641,187396,45788413.6,27024533.61986
2024-02-01T12:00:00Z,2024-02-01T15:59:59Z,JUPUSDT,spot,0.6033,0.6248,0.5829,0.5928,58060455.3,35086840.65836,153602,28221413.1,17067090.96399
2024-02-01T16:00:00Z,2024-02-01T19:59:59Z,JUPUSDT,spot,0.5927,0.6061,0.563,0.5797,55757489.4,32542013.18739,119967,27622120.7,16145631.10194
2024-02-01T20:00:00Z,2024-02-01T23:59:59Z,JUPUSDT,spot,0.5798,0.6054,0.5733,0.6024,32478388.5,19122633.85817,78331,17480230.5,10298710.18123
2024-02-02T00:00:00Z,2024-02-02T03:59:59Z,JUPUSDT,spot,0.6024,0.6173,0.5812,0.5887,33897159.1,20284416.75416,84283,17234926.3,10323701.58338
2024-02-02T04:00:00Z,2024-02-02T07:59:59Z,JUPUSDT,spot,0.5888,0.607,0.5764,0.6063,31961360.8,18911226.31606,67229,16172339.8,9576394.29893
2024-02-02T08:00:00Z,2024-02-02T11:59:59Z,JUPUSDT,spot,0.6067,0.64,0.5934,0.621,73901413.1,45955596.13654,159098,38428941.4,23907568.97399
2024-02-02T12:00:00Z,2024-02-02T15:59:59Z,JUPUSDT,spot,0.6209,0.638,0.6005,0.633,55676530.1,34466696.23475,113709,27813546,17220861.63604
