date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-18T10:00:00Z,2024-01-18T10:29:59Z,MANTAUSDT,spot,0.05,3.333,0.05,2.13857,63402657.6,135642792.686759,378469,31489128.9,67551816.9174
2024-01-18T10:30:00Z,2024-01-18T10:59:59Z,MANTAUSDT,spot,2.13802,2.31,2.1352,2.30461,14447291.3,32153123.973894,100919,8316624.8,18540874.124931
2024-01-18T11:00:00Z,2024-01-18T11:29:59Z,MANTAUSDT,spot,2.3084,2.69485,2.29,2.69474,19903375.6,50215273.495633,156429,11153288.9,28156769.681893
2024-01-18T11:30:00Z,2024-01-18T11:59:59Z,MANTAUSDT,spot,2.69474,2.81999,2.53772,2.59847,15260030.8,40561920.435723,133762,7262915.5,19359986.389403
2024-01-18T12:00:00Z,2024-01-18T12:29:59Z,MANTAUSDT,spot,2.59529,2.679,2.37404,2.52458,10304937.8,26123898.951633,83003,4589967.3,11666110.288681
2024-01-18T12:30:00Z,2024-01-18T12:59:59Z,MANTAUSDT,spot,2.52598,2.57888,2.36,2.49,6500712.5,15950486.950392,57555,3374788.9,8307473.980641
2024-01-18T13:00:00Z,2024-01-18T13:29:59Z,MANTAUSDT,spot,2.48999,2.515,2.37127,2.39264,3652339.3,8865113.799157,38637,1700542.2,4135412.246565
2024-01-18T13:30:00Z,2024-01-18T13:59:59Z,MANTAUSDT,spot,2.3961,2.48,2.363,2.40415,3539212,8578459.939619,37135,1721682.8,4177809.409188
2024-01-18T14:00:00Z,2024-01-18T14:29:59Z,MANTAUSDT,spot,2.40584,2.435,2.26212,2.2711,5787845.4,13608155.555955,55105,2432065.4,5736426.406925
2024-01-18T14:30:00Z,2024-01-18T14:59:59Z,MANTAUSDT,spot,2.26595,2.31,2.1802,2.28323,7671651.2,17275624.901543,53910,3756998.5,8470105.750088
2024-01-18T15:00:00Z,2024-01-18T15:29:59Z,MANTAUSDT,spot,2.28491,2.32587,2.17288,2.20933,5411877.7,12175854.597617,43280,2742884.5,6180630.297029
2024-01-18T15:30:00Z,2024-01-18T15:59:59Z,MANTAUSDT,spot,2.21,2.24,2.09,2.13574,7246329.1,15690643.541504,52147,3217125.3,6981359.991171
2024-01-18T16:00:00Z,2024-01-18T16:29:59Z,MANTAUSDT,spot,2.13708,2.19999,2.09,2.106,5556529.1,11905189.011188,49247,2558661.5,5489949.615814
2024-01-18T16:30:00Z,2024-01-18T16:59:59Z,MANTAUSDT,spot,2.10601,2.144,2.0523,2.06543,5980600,12490501.327718,49153,2783451.5,5819306.484574
2024-01-18T17:00:00Z,2024-01-18T17:29:59Z,MANTAUSDT,spot,2.06521,2.2389,2.06,2.19359,7342252.4,15789387.169265,59449,3664947.1,7880926.414556
2024-01-18T17:30:00Z,2024-01-18T17:59:59Z,MANTAUSDT,spot,2.19353,2.22414,2.0993,2.14,5418782.1,11678911.482029,48900,2539376.8,5480390.420016
2024-01-18T18:00:00Z,2024-01-18T18:29:59Z,MANTAUSDT,spot,2.14,2.19157,2.10076,2.16361,3092691.4,6623853.171669,37355,1707270.3,3660979.92911
2024-01-18T18:30:00Z,2024-01-18T18:59:59Z,MANTAUSDT,spot,2.1636,2.2134,2.11,2.17194,3996224.3,8701814.797477,47378,1950087,4244441.928251
2024-01-18T19:00:00Z,2024-01-18T19:29:59Z,MANTAUSDT,spot,2.17187,2.1731,2.1251,2.15855,2317461.9,4972692.242089,30556,1032469,2215427.218595
2024-01-18T19:30:00Z,2024-01-18T19:59:59Z,MANTAUSDT,spot,2.15856,2.18872,2.1111,2.1164,2472035.5,5314946.150049,26644,1139061.2,2454239.272444
2024-01-18T20:00:00Z,2024-01-18T20:29:59Z,MANTAUSDT,spot,2.11652,2.15,2.088,2.09763,2957448.2,6256961.09933,31002,1285176.4,2723318.244533
2024-01-18T20:30:00Z,2024-01-18T20:59:59Z,MANTAUSDT,spot,2.09742,2.13812,2.088,2.10262,2180054.7,4599144.926128,21929,952356.2,2010730.578013
2024-01-18T21:00:00Z,2024-01-18T21:29:59Z,MANTAUSDT,spot,2.10263,2.13,2.06,2.07018,2552587.4,5339262.248639,23975,1113648,2332670.230663
2024-01-18T21:30:00Z,2024-01-18T21:59:59Z,MANTAUSDT,spot,2.07008,2.125,2.05113,2.11626,2610493.5,5436595.337166,28745,1305346.7,2719159.50779
2024-01-18T22:00:00Z,2024-01-18T22:29:59Z,MANTAUSDT,spot,2.11569,2.21223,2.10082,2.17802,3811271.1,8243996.311779,39227,2096869.8,4538862.209892
2024-01-18T22:30:00Z,2024-01-18T22:59:59Z,MANTAUSDT,spot,2.178,2.2,2.13,2.14176,2528300.2,5468274.692418,29956,1046074.5,2266053.435515
2024-01-18T23:00:00Z,2024-01-18T23:29:59Z,MANTAUSDT,spot,2.14143,2.16662,2.09639,2.10378,1716160.6,3642592.778375,21038,738956,1569881.913921
2024-01-18T23:30:00Z,2024-01-18T23:59:59Z,MANTAUSDT,spot,2.10299,2.17864,2.09721,2.17085,1645423,3526977.086176,21749,911818.6,1954556.565372
2024-01-19T00:00:00Z,2024-01-19T00:29:59Z,MANTAUSDT,spot,2.1703,2.31997,2.143,2.2258,6140010.2,13821166.942365,65421,3157345.3,7099903.745078
2024-01-19T00:30:00Z,2024-01-19T00:59:59Z,MANTAUSDT,spot,2.2258,2.389,2.21,2.35696,5091170.2,11739961.849383,56596,2668939.7,6163687.121847
2024-01-19T01:00:00Z,2024-01-19T01:29:59Z,MANTAUSDT,spot,2.35696,2.389,2.2215,2.24063,4597226.6,10660928.683131,53332,2029523.3,4722662.896564
2024-01-19T01:30:00Z,2024-01-19T01:59:59Z,MANTAUSDT,spot,2.24081,2.31214,2.18388,2.24589,3146882.4,7070526.602225,36938,1505833.2,3389549.872246
2024-01-19T02:00:00Z,2024-01-19T02:29:59Z,MANTAUSDT,spot,2.24588,2.29999,2.171,2.18264,2598065.1,5805306.364853,37019,1217791.2,2726854.288804
2024-01-19T02:30:00Z,2024-01-19T02:59:59Z,MANTAUSDT,spot,2.18244,2.1842,2.11,2.14329,3879190.9,8315024.197307,39679,1684681.4,3612440.107633
2024-01-19T03:00:00Z,2024-01-19T03:29:59Z,MANTAUSDT,spot,2.14361,2.1582,2.08888,2.14915,2256283.1,4795458.954191,24494,1041203.3,2215160.183261
2024-01-19T03:30:00Z,2024-01-19T03:59:59Z,MANTAUSDT,spot,2.14915,2.14935,2.09,2.09708,1965196.2,4160934.728035,22666,853803.7,1808591.529222
2024-01-19T04:00:00Z,2024-01-19T04:29:59Z,MANTAUSDT,spot,2.09708,2.19664,2.09037,2.15213,2319217.8,5005336.92026,25590,1238629.4,2672702.860871
2024-01-19T04:30:00Z,2024-01-19T04:59:59Z,MANTAUSDT,spot,2.15257,2.17943,2.11217,2.15418,1462355.3,3137059.627403,19489,675505.2,1448843.260678
2024-01-19T05:00:00Z,2024-01-19T05:29:59Z,MANTAUSDT,spot,2.15418,2.1661,2.10101,2.129,1760141.6,3747220.556603,19124,653687.8,1392001.688343
2024-01-19T05:30:00Z,2024-01-19T05:59:59Z,MANTAUSDT,spot,2.12886,2.24604,2.12309,2.20989,2660827.6,5814273.397157,28763,1552136.7,3392635.5585
2024-01-19T06:00:00Z,2024-01-19T06:29:59Z,MANTAUSDT,spot,2.21011,2.26,2.18,2.24023,2526413.7,5621997.560129,31294,1298062.8,2890785.047056
2024-01-19T06:30:00Z,2024-01-19T06:59:59Z,MANTAUSDT,spot,2.24045,2.245,2.17255,2.18361,1952891.7,4314851.868301,22130,930811.8,2056806.746178
2024-01-19T07:00:00Z,2024-01-19T07:29:59Z,MANTAUSDT,spot,2.18328,2.21862,2.1526,2.18816,1728998.8,3765332.321994,23476,910157.3,1983492.811075
2024-01-19T07:30:00Z,2024-01-19T07:59:59Z,MANTAUSDT,spot,2.18838,2.21152,2.13,2.1384,1849476.4,4002107.938845,25774,735041.9,1594190.870056
2024-01-19T08:00:00Z,2024-01-19T08:29:59Z,MANTAUSDT,spot,2.13818,2.15612,2.11584,2.14554,1975723.8,4218929.937753,21057,823538.6,1759365.330733
2024-01-19T08:30:00Z,2024-01-19T08:59:59Z,MANTAUSDT,spot,2.14555,2.205,2.12,2.1817,2350613.5,5085640.305372,24611,1186368.4,2571305.459064
2024-01-19T09:00:00Z,2024-01-19T09:29:59Z,MANTAUSDT,spot,2.1807,2.21,2.15,2.1892,2956723.7,6456677.038224,40307,1306084.7,2853972.528835
2024-01-19T09:30:00Z,2024-01-19T09:59:59Z,MANTAUSDT,spot,2.18912,2.19983,2.14004,2.16,2309754.4,5005516.279802,27381,851430.8,1846316.528204
2024-01-19T10:00:00Z,2024-01-19T10:29:59Z,MANTAUSDT,spot,2.16018,2.18337,2.14146,2.14723,1796178.6,3878066.046134,16827,765535.8,1653628.990968
2024-01-19T10:30:00Z,2024-01-19T10:59:59Z,MANTAUSDT,spot,2.14778,2.15211,2.11994,2.14858,1938326.4,4137886.587862,17921,774578.2,1654290.811583
2024-01-19T11:00:00Z,2024-01-19T11:29:59Z,MANTAUSDT,spot,2.14855,2.2,2.143,2.18142,2347386.6,5100460.903278,23322,1289273.2,2801740.583744
2024-01-19T11:30:00Z,2024-01-19T11:59:59Z,MANTAUSDT,spot,2.18101,2.20988,2.16468,2.18277,2176891,4763203.387736,20891,1078079.6,2361678.276729
2024-01-19T12:00:00Z,2024-01-19T12:29:59Z,MANTAUSDT,spot,2.18277,2.23988,2.17048,2.20964,1885207.7,4151116.126771,19542,1016287.4,2239491.639038
2024-01-19T12:30:00Z,2024-01-19T12:59:59Z,MANTAUSDT,spot,2.20986,2.33772,2.20933,2.30255,6109208.8,14021197.295229,52171,3448210.4,7912425.494428
2024-01-19T13:00:00Z,2024-01-19T13:29:59Z,MANTAUSDT,spot,2.30316,2.32,2.2539,2.2902,3159758.7,7225452.034545,31800,1524748.9,3486714.288828
2024-01-19T13:30:00Z,2024-01-19T13:59:59Z,MANTAUSDT,spot,2.29025,2.31,2.25603,2.26353,2336013.5,5327349.915335,25893,1090618.8,2488341.734167
2024-01-19T14:00:00Z,2024-01-19T14:29:59Z,MANTAUSDT,spot,2.26302,2.277,2.1856,2.19148,3420385.5,7625637.254794,37569,1514197.3,3380497.597727
2024-01-19T14:30:00Z,2024-01-19T14:59:59Z,MANTAUSDT,spot,2.19119,2.27,2.17225,2.25062,2818365.5,6265977.971413,31410,1454693.5,3237022.1893040002
2024-01-19T15:00:00Z,2024-01-19T15:29:59Z,MANTAUSDT,spot,2.25061,2.3,2.20261,2.27619,2633558.8,5943845.730663,30756,1403970.4,3173422.271872
