date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-12-27T00:00:00Z,2023-12-27T23:59:59Z,NFPUSDT,spot,0.02,1.88,0.02,1.15361,283081945,342734697.58933,1234352,138173199,167814220.46738
2023-12-28T00:00:00Z,2023-12-28T23:59:59Z,NFPUSDT,spot,1.15351,1.15362,0.8748,0.91238,115785171,113222921.70217,455824,52617382,51395110.92491
2023-12-29T00:00:00Z,2023-12-29T23:59:59Z,NFPUSDT,spot,0.9124,1.11936,0.89,1.00202,107002047,108590888.46309,385443,51831593,52712881.94001
2023-12-30T00:00:00Z,2023-12-30T23:59:59Z,NFPUSDT,spot,1.002,1.08155,0.95,0.9894,50122124,50563495.72989,180347,24704742,24960353.36037
2023-12-31T00:00:00Z,2023-12-31T23:59:59Z,NFPUSDT,spot,0.98956,1.1449,0.86,0.90575,106646446,110315215.46179,386005,51780626,53736161.73439
2024-01-01T00:00:00Z,2024-01-01T23:59:59Z,NFPUSDT,spot,0.90494,0.915,0.778,0.81688,69142682,56684296.32496,247094,31059706,25483315.26644
2024-01-02T00:00:00Z,2024-01-02T23:59:59Z,NFPUSDT,spot,0.81626,0.8918,0.7808,0.83164,70276210,58835320.36137,314637,34948667,29275891.34855
2024-01-03T00:00:00Z,2024-01-03T23:59:59Z,NFPUSDT,spot,0.83163,0.86717,0.56666,0.64963,73414019,52313894.78452,247790,34444554,24602833.53803
2024-01-04T00:00:00Z,2024-01-04T23:59:59Z,NFPUSDT,spot,0.65024,0.685,0.603,0.65447,50675905,32921399.36418,179266,26019760,16919277.51809
2024-01-05T00:00:00Z,2024-01-05T23:59:59Z,NFPUSDT,spot,0.65366,0.67923,0.57302,0.62399,41139485,26041640.85589,169541,21262151,13482576.02529
2024-01-06T00:00:00Z,2024-01-06T23:59:59Z,NFPUSDT,spot,0.6234,0.66482,0.56,0.61428,38171646,23455178.09038,146275,19495294,11992861.78894
2024-01-07T00:00:00Z,2024-01-07T23:59:59Z,NFPUSDT,spot,0.61428,0.68,0.58212,0.60227,47058079,29813147.33941,176503,22305647,14138452.40498
2024-01-08T00:00:00Z,2024-01-08T23:59:59Z,NFPUSDT,spot,0.60227,0.6042,0.51275,0.59131,39584796,21948036.4142,119252,18726107,10391255.19182
2024-01-09T00:00:00Z,2024-01-09T23:59:59Z,NFPUSDT,spot,0.59096,0.59999,0.49329,0.54287,31102552,16972177.46126,114657,14855047,8122450.62647
2024-01-10T00:00:00Z,2024-01-10T23:59:59Z,NFPUSDT,spot,0.54203,0.5819,0.48501,0.56541,35844893,18965139.42494,120058,16058482,8529479.66959
2024-01-11T00:00:00Z,2024-01-11T23:59:59Z,NFPUSDT,spot,0.56642,0.65,0.5415,0.63174,63734338,37822475.72458,207730,32477641,19261548.40311
