date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2020-04-06T00:00:00Z,2020-04-12T23:59:59Z,SOLBTC,spot,2.989e-5,1.9455e-4,2.989e-5,1.2726e-4,120365706,16732.30381924,476084,58231891,8108.10208143
2020-04-13T00:00:00Z,2020-04-19T23:59:59Z,SOLBTC,spot,1.2772e-4,1.2822e-4,8.329e-5,8.477e-5,62619391,6514.1569958,280655,28904719,3012.23138278
2020-04-20T00:00:00Z,2020-04-26T23:59:59Z,SOLBTC,spot,8.478e-5,9.983e-5,7.428e-5,8.272e-5,45254135,3939.67875694,188981,21097372,1842.67714235
2020-04-27T00:00:00Z,2020-05-03T23:59:59Z,SOLBTC,spot,8.272e-5,9.5e-5,7.298e-5,7.657e-5,26902856,2243.58285387,122661,12241648,1026.81713435
2020-05-04T00:00:00Z,2020-05-10T23:59:59Z,SOLBTC,spot,7.67e-5,7.964e-5,5.729e-5,6.198e-5,8710629,593.55620478,52771,3737033,255.05157103
2020-05-11T00:00:00Z,2020-05-17T23:59:59Z,SOLBTC,spot,6.195e-5,6.736e-5,5.694e-5,6.348e-5,5640514,347.45675309,38024,2516583,155.73477647
2020-05-18T00:00:00Z,2020-05-24T23:59:59Z,SOLBTC,spot,6.35e-5,7.382e-5,6.015e-5,6.278e-5,9756467,640.50477394,57469,4361504,287.91416322
2020-05-25T00:00:00Z,2020-05-31T23:59:59Z,SOLBTC,spot,6.27e-5,7.4e-5,5.895e-5,6.046e-5,9382711,606.71186035,51185,4174804,272.04269901
2020-06-01T00:00:00Z,2020-06-07T23:59:59Z,SOLBTC,spot,6.045e-5,7.188e-5,5.563e-5,6.288e-5,8722407,565.7351212,43287,4149823,269.85256165
2020-06-08T00:00:00Z,2020-06-14T23:59:59Z,SOLBTC,spot,6.288e-5,7.057e-5,6.085e-5,6.258e-5,5168177,336.30223881,30021,2082341,135.8345356
2020-06-15T00:00:00Z,2020-06-21T23:59:59Z,SOLBTC,spot,6.256e-5,9.095e-5,5.992e-5,7.25e-5,13124761,979.0211552,63591,6231901,466.60944285
2020-06-22T00:00:00Z,2020-06-28T23:59:59Z,SOLBTC,spot,7.249e-5,9.259e-5,6.852e-5,8.758e-5,10426696,836.27779234,64595,4898543,394.10898215
2020-06-29T00:00:00Z,2020-07-05T23:59:59Z,SOLBTC,spot,8.754e-5,1.15e-4,6.881e-5,7.635e-5,11938227,1046.46501841,87806,5643195,491.22718087
2020-07-06T00:00:00Z,2020-07-12T23:59:59Z,SOLBTC,spot,7.635e-5,1.236e-4,7.37e-5,1.0935e-4,9927815,938.40834493,80318,4881726,463.18813444
2020-07-13T00:00:00Z,2020-07-19T23:59:59Z,SOLBTC,spot,1.0943e-4,1.54e-4,8.433e-5,1.0041e-4,19582242,2205.0597372,123319,9463783,1053.0334315
2020-07-20T00:00:00Z,2020-07-26T23:59:59Z,SOLBTC,spot,1.0041e-4,1.6479e-4,9.27e-5,1.579e-4,17173205,2083.52788913,116622,8387834,1023.5066793
2020-07-27T00:00:00Z,2020-08-02T23:59:59Z,SOLBTC,spot,1.5784e-4,1.9906e-4,1.2673e-4,1.5691e-4,24135351,3955.61716402,161378,12111013,1990.36576416
2020-08-03T00:00:00Z,2020-08-09T23:59:59Z,SOLBTC,spot,1.5677e-4,2.3307e-4,1.45e-4,2.2735e-4,13080967,2353.8877628,115693,6110842,1098.83497088
2020-08-10T00:00:00Z,2020-08-16T23:59:59Z,SOLBTC,spot,2.2773e-4,3.58e-4,2.099e-4,2.8365e-4,21114085,6077.34167089,281008,10231640,2959.02727416
2020-08-17T00:00:00Z,2020-08-23T23:59:59Z,SOLBTC,spot,2.8365e-4,3.09e-4,2.35e-4,2.7932e-4,11973489,3201.79417092,174197,5904370,1582.69532408
2020-08-24T00:00:00Z,2020-08-30T23:59:59Z,SOLBTC,spot,2.7985e-4,4.0669e-4,2.6338e-4,3.774e-4,12240623,3957.69077364,208073,5912923,1915.64889917
2020-08-31T00:00:00Z,2020-09-06T23:59:59Z,SOLBTC,spot,3.7736e-4,4.2282e-4,2.055e-4,3.0109e-4,12282470,3970.01001216,223518,5560883,1808.9997374
2020-09-07T00:00:00Z,2020-09-13T23:59:59Z,SOLBTC,spot,3.0109e-4,3.7941e-4,2.378e-4,3.1576e-4,14592543,4563.21400953,223639,6881434,2165.07994348
