date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-05-03T12:00:00Z,2023-05-03T12:29:59Z,SUIUSDT,spot,0.1,2,0.1,1.2405,146747191,217097736.62956,455327,67955770.6,101209886.04704
2023-05-03T12:30:00Z,2023-05-03T12:59:59Z,SUIUSDT,spot,1.2405,1.3681,1.2161,1.2829,53823760.5,69729940.96473,172872,29043400,37657974.13681
2023-05-03T13:00:00Z,2023-05-03T13:29:59Z,SUIUSDT,spot,1.2832,1.315,1.2216,1.2729,29604343.6,37415427.10895,92693,15343876,19420997.49957
2023-05-03T13:30:00Z,2023-05-03T13:59:59Z,SUIUSDT,spot,1.2728,1.3039,1.2365,1.2977,19746725.1,25218859.49291,67945,9975759.9,12753140.99747
2023-05-03T14:00:00Z,2023-05-03T14:29:59Z,SUIUSDT,spot,1.2976,1.305,1.2539,1.2647,13841291.8,17728298.45401,43969,6454003,8280733.65378
2023-05-03T14:30:00Z,2023-05-03T14:59:59Z,SUIUSDT,spot,1.2646,1.27,1.2301,1.2501,13389696.2,16771496.35014,35849,5439621.8,6816245.97387
2023-05-03T15:00:00Z,2023-05-03T15:29:59Z,SUIUSDT,spot,1.2503,1.2801,1.25,1.2737,8330960,10525444.77866,23846,4787912,6053289.11152
2023-05-03T15:30:00Z,2023-05-03T15:59:59Z,SUIUSDT,spot,1.2737,1.324,1.2732,1.3018,19484346.1,25316662.47976,49807,10859076.4,14112748.79085
2023-05-03T16:00:00Z,2023-05-03T16:29:59Z,SUIUSDT,spot,1.3018,1.3846,1.2954,1.3699,24002707.2,32332447.88359,84107,13429477.7,18065467.92046
2023-05-03T16:30:00Z,2023-05-03T16:59:59Z,SUIUSDT,spot,1.3702,1.3975,1.357,1.3728,15697896.2,21668014.54824,56527,7645235,10560399.89673
2023-05-03T17:00:00Z,2023-05-03T17:29:59Z,SUIUSDT,spot,1.3728,1.3995,1.3404,1.3824,15009182,20491409.35101,39416,6986070.5,9546277.14082
2023-05-03T17:30:00Z,2023-05-03T17:59:59Z,SUIUSDT,spot,1.3824,1.3828,1.3075,1.3329,13338863,17893340.3161,31398,5179920.6,6953553.19607
2023-05-03T18:00:00Z,2023-05-03T18:29:59Z,SUIUSDT,spot,1.3329,1.3666,1.3212,1.3398,10012536,13412905.6495,29403,5005749.2,6704400.29555
2023-05-03T18:30:00Z,2023-05-03T18:59:59Z,SUIUSDT,spot,1.34,1.3486,1.3104,1.3175,6226687.9,8270858.21386,20263,2698538,3588583.54604
2023-05-03T19:00:00Z,2023-05-03T19:29:59Z,SUIUSDT,spot,1.3174,1.3282,1.281,1.3249,7235428.1,9468884.85738,20593,3294748.6,4317608.87852
2023-05-03T19:30:00Z,2023-05-03T19:59:59Z,SUIUSDT,spot,1.3249,1.3417,1.3051,1.3188,3329380.8,4408768.29803,13740,1486884.3,1969037.34814
2023-05-03T20:00:00Z,2023-05-03T20:29:59Z,SUIUSDT,spot,1.3192,1.36,1.3077,1.3502,4341340.4,5824038.12689,15629,2179947.6,2923463.47029
2023-05-03T20:30:00Z,2023-05-03T20:59:59Z,SUIUSDT,spot,1.3502,1.378,1.3364,1.3744,5584356.2,7602762.08512,18976,2989282.6,4070404.63178
2023-05-03T21:00:00Z,2023-05-03T21:29:59Z,SUIUSDT,spot,1.3743,1.38,1.3415,1.3556,5594677.4,7602767.92424,14722,2144232.3,2913757.82751
2023-05-03T21:30:00Z,2023-05-03T21:59:59Z,SUIUSDT,spot,1.3557,1.366,1.3472,1.3601,2497614.2,3383368.33816,8455,1143367,1549003.22812
2023-05-03T22:00:00Z,2023-05-03T22:29:59Z,SUIUSDT,spot,1.36,1.4085,1.3589,1.3804,7501334.9,10402106.12369,22133,4412576.9,6125203.64643
