date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-10-31T00:00:00Z,2023-10-31T23:59:59Z,TIAUSDT,spot,2.877,2.9999,1.9,2.278,60315914.4,136711996.4488,483038,28547797.5,64881532.82649
2023-11-01T00:00:00Z,2023-11-01T23:59:59Z,TIAUSDT,spot,2.2776,2.667,2.13,2.5488,54152556.2,129121088.46107,478232,27357969.3,65345262.03178
2023-11-02T00:00:00Z,2023-11-02T23:59:59Z,TIAUSDT,spot,2.5489,2.8659,2.2666,2.3988,36269641.8,93187236.68611,351718,16981903.6,43682408.76685
2023-11-03T00:00:00Z,2023-11-03T23:59:59Z,TIAUSDT,spot,2.3999,2.4861,2.213,2.3907,20681916.5,48292410.82677,194891,9983458.5,23340848.50753
2023-11-04T00:00:00Z,2023-11-04T23:59:59Z,TIAUSDT,spot,2.3905,2.4988,2.3447,2.4318,10734363.5,26028511.20815,119642,5092456.9,12355939.61901
2023-11-05T00:00:00Z,2023-11-05T23:59:59Z,TIAUSDT,spot,2.4318,2.478,2.2439,2.309,8855388,20792631.34044,95202,4160579.3,9782499.69328
2023-11-06T00:00:00Z,2023-11-06T23:59:59Z,TIAUSDT,spot,2.3098,2.395,2.25,2.3652,7231414.1,16768525.23235,74664,3546309.2,8227953.56841
2023-11-07T00:00:00Z,2023-11-07T23:59:59Z,TIAUSDT,spot,2.365,2.4549,2.223,2.3368,12464474.3,29172572.36476,125758,6138152.2,14387342.32876
2023-11-08T00:00:00Z,2023-11-08T23:59:59Z,TIAUSDT,spot,2.3393,2.41,2.2924,2.3693,7486262.2,17650680.71787,74835,3665567.7,8651031.13386
2023-11-09T00:00:00Z,2023-11-09T23:59:59Z,TIAUSDT,spot,2.3691,2.6503,2.25,2.457,23581365.6,58266325.80195,204000,11676679,28874367.59481
2023-11-10T00:00:00Z,2023-11-10T23:59:59Z,TIAUSDT,spot,2.4555,3.3089,2.359,3.1801,32773569.9,91963594.03725,339839,17225762.2,48356682.60748
2023-11-11T00:00:00Z,2023-11-11T23:59:59Z,TIAUSDT,spot,3.1802,4.26,3.1168,3.9719,60146095.9,222655701.06303,758083,30542961.2,113204189.49036
2023-11-12T00:00:00Z,2023-11-12T23:59:59Z,TIAUSDT,spot,3.9736,4.84,3.7,4.6191,37567966.7,161478781.76084,603269,19315786.2,83165040.40395
2023-11-13T00:00:00Z,2023-11-13T23:59:59Z,TIAUSDT,spot,4.6192,5.979,4.3588,4.3692,50057115.4,262981501.78044,909962,25366287,133510594.96602
2023-11-14T00:00:00Z,2023-11-14T23:59:59Z,TIAUSDT,spot,4.3694,6.383,4.21,5.9825,45240886.6,250405486.52262,775358,23007214.4,127530886.5029
2023-11-15T00:00:00Z,2023-11-15T23:59:59Z,TIAUSDT,spot,5.9826,6.54,5.7265,5.8514,27739818,169203462.32812,490061,13883283,84795396.32697
2023-11-16T00:00:00Z,2023-11-16T23:59:59Z,TIAUSDT,spot,5.8521,6.38,5.4329,5.7535,18841119.8,111449020.43911,383951,9220756.3,54593065.00653
2023-11-17T00:00:00Z,2023-11-17T23:59:59Z,TIAUSDT,spot,5.7463,7.0983,5.699,7.0601,29262424.9,184389705.33755,609575,15185175.4,95763082.06033
2023-11-18T00:00:00Z,2023-11-18T23:59:59Z,TIAUSDT,spot,7.0538,7.42,6.4,7.1434,24453482.3,167302902.35634,532508,12270737.5,84063477.30007
2023-11-19T00:00:00Z,2023-11-19T23:59:59Z,TIAUSDT,spot,7.1454,7.389,6.5885,6.7966,14007958.2,97889639.31373,322438,7017399.4,49028975.99289
2023-11-20T00:00:00Z,2023-11-20T23:59:59Z,TIAUSDT,spot,6.7989,7.0543,5.9,5.97,17489279.1,115182452.53249,384711,8622371.8,56896531.79201
2023-11-21T00:00:00Z,2023-11-21T23:59:59Z,TIAUSDT,spot,5.9687,6.148,5.003,5.0193,25939881.3,144129172.58579,524122,12556298.7,69789519.22515
2023-11-22T00:00:00Z,2023-11-22T23:59:59Z,TIAUSDT,spot,5.0255,6.3241,5.0166,6.1065,18576364.7,107097674.86383,352114,9266772.3,53465365.56945
2023-11-23T00:00:00Z,2023-11-23T23:59:59Z,TIAUSDT,spot,6.109,6.35,5.6238,5.6378,8042601.8,47908656.19347,168716,3779695.3,22543404.35945
2023-11-24T00:00:00Z,2023-11-24T23:59:59Z,TIAUSDT,spot,5.6422,5.835,5.4002,5.5203,10500632.9,58573264.70158,220326,5203115.8,29030819.02693
2023-11-25T00:00:00Z,2023-11-25T23:59:59Z,TIAUSDT,spot,5.5192,5.98,5.4653,5.9445,7110087.6,40416403.20578,162825,3626424.5,20624774.90556
2023-11-26T00:00:00Z,2023-11-26T23:59:59Z,TIAUSDT,spot,5.9462,5.9579,5.3392,5.4366,6076456.3,34106567.63683,125362,2848396.8,15978808.50107
2023-11-27T00:00:00Z,2023-11-27T23:59:59Z,TIAUSDT,spot,5.4376,5.9248,5.131,5.881,10509548.3,58145498.92008,206768,5427644.6,30060849.93409
2023-11-28T00:00:00Z,2023-11-28T23:59:59Z,TIAUSDT,spot,5.8825,6.49,5.4947,6.2376,12958921.9,78761744.51403,294442,6531306.4,39683199.02842
2023-11-29T00:00:00Z,2023-11-29T23:59:59Z,TIAUSDT,spot,6.2376,6.6948,5.9776,6.0177,7818568.9,49085374.39075,176718,3903333.6,24531403.90795
