date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2023-07-24T00:00:00Z,2023-07-24T23:59:59Z,WLDUSDT,spot,0.15,5.29,0.15,2.161,89457456.3,226724641.2047,621275,44602800.8,113257638.2524
2023-07-25T00:00:00Z,2023-07-25T23:59:59Z,WLDUSDT,spot,2.16,2.458,1.85,2.257,56332386.6,122107118.8009,393503,29576707,64446349.3828
2023-07-26T00:00:00Z,2023-07-26T23:59:59Z,WLDUSDT,spot,2.257,2.55,2.149,2.25,42447395,100375576.1848,319152,20316540.7,48142096.0927
2023-07-27T00:00:00Z,2023-07-27T23:59:59Z,WLDUSDT,spot,2.25,2.32,2.066,2.096,21246133.9,46515773.7682,154026,8989647.7,19700251.0396
2023-07-28T00:00:00Z,2023-07-28T23:59:59Z,WLDUSDT,spot,2.096,2.237,2.05,2.219,16890436.7,36547004.775,136760,8124637.9,17596972.1899
2023-07-29T00:00:00Z,2023-07-29T23:59:59Z,WLDUSDT,spot,2.219,2.379,2.174,2.347,17461018,40158546.9316,129695,8609198.7,19825240.9853
2023-07-30T00:00:00Z,2023-07-30T23:59:59Z,WLDUSDT,spot,2.346,2.493,2.222,2.288,17988633.7,42516639.0827,130488,8656803,20501832.1807
2023-07-31T00:00:00Z,2023-07-31T23:59:59Z,WLDUSDT,spot,2.288,2.376,2.244,2.316,13857089.8,31928360.3916,105143,6742064.8,15538348.0329
2023-08-01T00:00:00Z,2023-08-01T23:59:59Z,WLDUSDT,spot,2.316,2.451,2.196,2.43,16120912.4,37720313.1674,117013,6919390.1,16200808.8233
2023-08-02T00:00:00Z,2023-08-02T23:59:59Z,WLDUSDT,spot,2.43,2.525,2.298,2.36,24744318,59626984.4735,152316,11558422.3,27859878.947
2023-08-03T00:00:00Z,2023-08-03T23:59:59Z,WLDUSDT,spot,2.36,2.376,2.253,2.325,10498756.4,24263321.4677,75711,5000062.7,11559090.8001
2023-08-04T00:00:00Z,2023-08-04T23:59:59Z,WLDUSDT,spot,2.324,2.341,2.147,2.174,11420935.4,25533671.8347,73564,6102726,13624354.0575
2023-08-05T00:00:00Z,2023-08-05T23:59:59Z,WLDUSDT,spot,2.174,2.183,2.084,2.13,7239460,15431196.7267,46214,3155511.8,6734238.3084
2023-08-06T00:00:00Z,2023-08-06T23:59:59Z,WLDUSDT,spot,2.13,2.17,2.011,2.039,9673157.7,19983006.5528,53056,4359734,9003500.1263
