Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-20000-C,CALL,20000,6417.5,21420.40525819,6.588418632367733e-4,11645,1190,0.01,1
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-20000-P,PUT,20000,5,21420.40525819,6.58820387397485e-4,10,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-21000-C,CALL,21000,437.5,21420.40525819,6.587990033012668e-4,450,425,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-21000-P,PUT,21000,35,21420.40525819,6.587910333271259e-4,40,30,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-22000-C,CALL,22000,12.5,21420.75117578,6.587833037145364e-4,15,10,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-22000-P,PUT,22000,597.5,21420.75117578,6.587756082891874e-4,625,570,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-22500-C,CALL,22500,5,21420.75117578,6.587654965471822e-4,10,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-22500-P,PUT,22500,1087.5,21422.81860604,6.587579124836315e-4,1115,1060,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-23000-C,CALL,23000,2.5,21422.81860604,6.587498113248385e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-23000-P,PUT,23000,1585,21422.81860604,6.587383346032032e-4,1615,1555,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-24000-C,CALL,24000,2.5,21422.81860604,6.587266778882417e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-24000-P,PUT,24000,2670,21423.71373371,6.587024580125939e-4,2785,2555,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-24500-C,CALL,24500,2.5,21423.71373371,6.586910821591943e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-24500-P,PUT,24500,3080,21423.71373371,6.586795097027014e-4,3110,3050,NA,NA
