date,adj,close,raw,div,split
1999-10-29,145.1875,145.1875,145.1875,0,1
1999-11-01,174.3125,174.3125,174.3125,0,1
1999-11-02,192.75,192.75,192.75,0,1
1999-11-03,190.875,190.875,190.875,0,1
1999-11-04,173.25,173.25,173.25,0,1
1999-11-05,174.25,174.25,174.25,0,1
1999-11-08,187.5625,187.5625,187.5625,0,1
1999-11-09,189.75,189.75,189.75,0,1
1999-11-10,190,190,190,0,1
1999-11-11,182.1875,182.1875,182.1875,0,1
1999-11-12,177.3125,177.3125,177.3125,0,1
1999-11-15,171.75,171.75,171.75,0,1
1999-11-16,184,184,184,0,1
1999-11-17,189.375,189.375,189.375,0,1
1999-11-18,187.375,187.375,187.375,0,1
1999-11-19,185,185,185,0,1
1999-11-22,184.875,184.875,184.875,0,1
1999-11-23,210,210,210,0,1
1999-11-24,201,201,201,0,1
1999-11-26,206.5,206.5,206.5,0,1
1999-11-29,227,227,227,0,1
1999-11-30,237,237,237,0,1
1999-12-01,217.625,217.625,217.625,0,1
1999-12-02,215.25,215.25,215.25,0,1
1999-12-03,207,207,207,0,1
1999-12-06,216.75,216.75,216.75,0,1
1999-12-07,226,226,226,0,1
1999-12-08,241.5,241.5,241.5,0,1
1999-12-09,250,250,250,0,1
1999-12-10,243.5,243.5,243.5,0,1
1999-12-13,228.5,228.5,228.5,0,1
1999-12-14,217,217,217,0,1
1999-12-15,230.375,230.375,230.375,0,1
1999-12-16,271,271,271,0,1
1999-12-17,281.75,281.75,281.75,0,1
1999-12-20,286.25,286.25,286.25,0,1
1999-12-21,301.875,301.875,301.875,0,1
1999-12-22,291,291,291,0,1
1999-12-23,281.4375,281.4375,281.4375,0,1
1999-12-27,285.875,285.875,285.875,0,1
1999-12-28,271.5,271.5,271.5,0,1
1999-12-29,303.5625,303.5625,303.5625,0,1
1999-12-30,327,327,327,0,1
1999-12-31,327.625,327.625,327.625,0,1
2000-01-03,321.25,321.25,321.25,0,1
2000-01-04,300,300,300,0,1
2000-01-05,283.5,283.5,283.5,0,1
2000-01-06,236.125,236.125,236.125,0,1
2000-01-07,248.375,248.375,248.375,0,1
2000-01-10,285.5,285.5,285.5,0,1
2000-01-11,278.4375,278.4375,278.4375,0,1
2000-01-12,254,254,254,0,1
2000-01-13,232.8125,232.8125,232.8125,0,1
2000-01-14,230,230,230,0,1
2000-01-18,211.5,211.5,211.5,0,1
2000-01-19,224.75,224.75,224.75,0,1
2000-01-20,234,234,234,0,1
2000-01-21,269,269,269,0,1
2000-01-24,262.0625,262.0625,262.0625,0,1
2000-01-25,279.3125,279.3125,279.3125,0,1
2000-01-26,277.5,277.5,277.5,0,1
2000-01-27,281.125,281.125,281.125,0,1
2000-01-28,270.0625,270.0625,270.0625,0,1
2000-01-31,249.125,249.125,249.125,0,1
2000-02-01,239.0625,239.0625,239.0625,0,1
2000-02-02,233.625,233.625,233.625,0,1
2000-02-03,245.375,245.375,245.375,0,1
2000-02-04,235,235,235,0,1
2000-02-07,228.625,228.625,228.625,0,1
2000-02-08,240.9375,240.9375,240.9375,0,1
2000-02-09,234.875,234.875,234.875,0,1
2000-02-10,229,229,229,0,1
2000-02-11,233.0625,233.0625,233.0625,0,1
2000-02-14,230.375,230.375,230.375,0,1
2000-02-15,222.5,222.5,222.5,0,1
2000-02-16,246.125,246.125,246.125,0,1
2000-02-17,252,252,252,0,1
2000-02-18,241.6875,241.6875,241.6875,0,1
2000-02-22,242.125,242.125,242.125,0,1
2000-02-23,252.0625,252.0625,252.0625,0,1
2000-02-24,274.8125,274.8125,274.8125,0,1
2000-02-25,267.0625,267.0625,267.0625,0,1
2000-02-28,256.75,256.75,256.75,0,1
2000-02-29,261.25,261.25,261.25,0,1
2000-03-01,278.625,278.625,278.625,0,1
2000-03-02,268,268,268,0,1
2000-03-03,268.375,268.375,268.375,0,1
2000-03-06,254,254,254,0,1
2000-03-07,262.4375,262.4375,262.4375,0,1
2000-03-08,265,265,265,0,1
2000-03-09,286,286,286,0,1
2000-03-10,296,296,296,0,1
2000-03-13,284.75,284.75,284.75,0,1
2000-03-14,269.75,269.75,269.75,0,1
2000-03-15,240.25,240.25,240.25,0,1
2000-03-16,229.125,229.125,229.125,0,1
2000-03-17,218.9375,218.9375,218.9375,0,1
2000-03-20,213.25,213.25,213.25,0,1
2000-03-21,197.5,197.5,197.5,0,1
2000-03-22,208.5,208.5,208.5,0,1
2000-03-23,201.875,201.875,201.875,0,1
2000-03-24,211,211,211,0,1
2000-03-27,208.6875,208.6875,208.6875,0,1
2000-03-28,199.875,199.875,199.875,0,1
2000-03-29,170,170,170,0,1
2000-03-30,160.0625,160.0625,160.0625,0,1
2000-03-31,160.8125,160.8125,160.8125,0,1
2000-04-03,119,119,119,0,1
2000-04-04,115.46875,115.46875,115.46875,0,1
2000-04-05,110,110,110,0,1
2000-04-06,135.125,135.125,135.125,0,1
2000-04-07,145.6875,145.6875,145.6875,0,1
2000-04-10,133.3125,133.3125,133.3125,0,1
2000-04-11,107.75,107.75,107.75,0,1
2000-04-12,92.75,92.75,92.75,0,1
2000-04-13,88,88,88,0,1
2000-04-14,64.875,64.875,64.875,0,1
2000-04-17,70,70,70,0,1
2000-04-18,91.5,91.5,91.5,0,1
2000-04-19,88.9375,88.9375,88.9375,0,1
2000-04-20,86.9375,86.9375,86.9375,0,1
2000-04-24,75.875,75.875,75.875,0,1
2000-04-25,73.0625,73.0625,73.0625,0,1
2000-04-26,73.5,73.5,73.5,0,1
2000-04-27,83.125,83.125,83.125,0,1
2000-04-28,98.875,98.875,98.875,0,1
2000-05-01,103.3125,103.3125,103.3125,0,1
2000-05-02,105.375,105.375,105.375,0,1
2000-05-03,91.875,91.875,91.875,0,1
2000-05-04,97,97,97,0,1
2000-05-05,97.0625,97.0625,97.0625,0,1
2000-05-08,86.625,86.625,86.625,0,1
2000-05-09,83.25,83.25,83.25,0,1
2000-05-10,77.375,77.375,77.375,0,1
2000-05-11,73.203125,73.203125,73.203125,0,1
2000-05-12,70.5,70.5,70.5,0,1
2000-05-15,74.75,74.75,74.75,0,1
2000-05-16,76.0625,76.0625,76.0625,0,1
2000-05-17,77,77,77,0,1
2000-05-18,75.5625,75.5625,75.5625,0,1
2000-05-19,71.9375,71.9375,71.9375,0,1
2000-05-22,69.375,69.375,69.375,0,1
2000-05-23,67.75,67.75,67.75,0,1
2000-05-24,66.4375,66.4375,66.4375,0,1
2000-05-25,62.4375,62.4375,62.4375,0,1
2000-05-26,59.9375,59.9375,59.9375,0,1
2000-05-30,75,75,75,0,1
2000-05-31,66.75,66.75,66.75,0,1
2000-06-01,73.875,73.875,73.875,0,1
2000-06-02,89,89,89,0,1
2000-06-05,95.0625,95.0625,95.0625,0,1
2000-06-06,87.5625,87.5625,87.5625,0,1
2000-06-07,85.5,85.5,85.5,0,1
2000-06-08,90.5625,90.5625,90.5625,0,1
2000-06-09,98,98,98,0,1
2000-06-12,88.625,88.625,88.625,0,1
2000-06-13,98,98,98,0,1
2000-06-14,93.9375,93.9375,93.9375,0,1
2000-06-15,91.25,91.25,91.25,0,1
2000-06-16,88,88,88,0,1
