date,adj,close,raw,div,split
1999-03-31,495.9807761416345,497.25,497.25,0,1
1999-04-01,481.7671490727189,483,483,0,1
1999-04-05,449.59946675885726,450.75,450.75,0,1
1999-04-06,472.79012145024586,474,474,0,1
1999-04-07,445.8590385828268,447,447,0,1
1999-04-08,433.88966841952947,435,435,0,1
1999-04-09,442.86669604200245,444,444,0,1
1999-04-12,458.2024515637272,459.375,459.375,0,1
1999-04-13,487.7518341543676,489,489,0,1
1999-04-14,557.3237982285335,558.75,558.75,0,1
1999-04-15,478.02672089668846,479.25,479.25,0,1
1999-04-16,487.0037485191615,488.25,488.25,0,1
1999-04-19,358.33301926371485,359.25,359.25,0,1
1999-04-20,404.7143286464921,405.75,405.75,0,1
1999-04-21,445.8590385828268,447,447,0,1
1999-04-22,457.0803231109181,458.25,458.25,0,1
1999-04-23,526.652287185084,528,528,0,1
1999-04-26,722.6507236090783,724.5,724.5,0,1
1999-04-27,776.1388465263135,778.125,778.125,0,1
1999-04-28,724.1468948794906,726,726,0,1
1999-04-29,824.764412814709,826.875,826.875,0,1
1999-04-30,971.7632401327047,974.25,974.25,0,1
1999-05-03,833.3673976195789,835.5,835.5,0,1
1999-05-04,801.9478009409233,804,804,0,1
1999-05-05,904.8095757817601,907.125,907.125,0,1
1999-05-06,834.4895260723881,836.625,836.625,0,1
1999-05-07,781.9365101991606,783.9375,783.9375,0,1
1999-05-10,766.0396904510313,768,768,0,1
1999-05-11,736.1162650427879,738,738,0,1
1999-05-12,754.0703202877339,756,756,0,1
1999-05-13,727.1392374203149,729,729,0,1
1999-05-14,794.8409874064656,796.875,796.875,0,1
1999-05-17,788.4822595072138,790.5,790.5,0,1
1999-05-18,814.6652567394268,816.75,816.75,0,1
1999-05-19,852.8176241349372,855,855,0,1
1999-05-20,804.1920578465416,806.25,806.25,0,1
1999-05-21,831.4971835315638,833.625,833.625,0,1
1999-05-24,750.142870702902,752.0625,752.0625,0,1
1999-05-25,622.407248491463,624,624,0,1
1999-05-26,680.9449494463391,682.6875,682.6875,0,1
1999-05-27,663.1779156101945,664.875,664.875,0,1
1999-05-28,670.471750553454,672.1875,672.1875,0,1
1999-06-01,595.1021228064408,596.625,596.625,0,1
1999-06-02,556.0146483669229,557.4375,557.4375,0,1
1999-06-03,503.4616324936954,504.75,504.75,0,1
1999-06-04,540.4918714363967,541.875,541.875,0,1
1999-06-07,607.4455357873412,609,609,0,1
1999-06-08,623.90341976187506,625.5,625.5,0,1
1999-06-09,628.3919335731116,630,630,0,1
1999-06-10,611.9340495985778,613.5,613.5,0,1
1999-06-11,572.6595537502583,574.125,574.125,0,1
1999-06-14,460.07266565174245,461.25,461.25,0,1
1999-06-15,469.4237360918185,470.625,470.625,0,1
1999-06-16,529.6446297259083,531,531,0,1
1999-06-17,532.2629294491296,533.625,533.625,0,1
1999-06-18,562.5603976749761,564,564,0,1
1999-06-21,636.2468327427755,637.875,637.875,0,1
1999-06-22,650.8345026292942,652.5,652.5,0,1
1999-06-23,663.5519584277977,665.25,665.25,0,1
1999-06-24,610.4378783281655,612,612,0,1
1999-06-25,573.0335965678613,574.5,574.5,0,1
1999-06-28,631.3842761139359,633,633,0,1
1999-06-29,643.3536462772333,645,645,0,1
1999-06-30,691.6051697480258,693.375,693.375,0,1
1999-07-01,643.3536462772333,645,645,0,1
1999-07-02,667.292386603828,669,669,0,1
1999-07-06,670.2847291446524,672,672,0,1
1999-07-07,664.3000440630037,666,666,0,1
1999-07-08,662.4298299749885,664.125,664.125,0,1
1999-07-09,652.3306738997063,654,654,0,1
