date,adj,close,raw,div,split
1992-05-19,4.28125,4.28125,4.28125,0,1
1992-05-20,4.375,4.375,4.375,0,1
1992-05-21,4.375,4.375,4.375,0,1
1992-05-22,4.53125,4.53125,4.53125,0,1
1992-05-26,4.375,4.375,4.375,0,1
1992-05-27,4.4375,4.4375,4.4375,0,1
1992-05-28,4.46875,4.46875,4.46875,0,1
1992-05-29,4.5625,4.5625,4.5625,0,1
1992-06-01,4.625,4.625,4.625,0,1
1992-06-02,4.65625,4.65625,4.65625,0,1
1992-06-03,4.5,4.5,4.5,0,1
1992-06-04,4.375,4.375,4.375,0,1
1992-06-05,4.3125,4.3125,4.3125,0,1
1992-06-08,4.3125,4.3125,4.3125,0,1
1992-06-09,4.125,4.125,4.125,0,1
1992-06-10,4.125,4.125,4.125,0,1
1992-06-11,4.09375,4.09375,4.09375,0,1
1992-06-12,4.1875,4.1875,4.1875,0,1
1992-06-15,4.15625,4.15625,4.15625,0,1
1992-06-16,4.125,4.125,4.125,0,1
1992-06-17,3.9375,3.9375,3.9375,0,1
1992-06-18,3.9375,3.9375,3.9375,0,1
1992-06-19,3.9375,3.9375,3.9375,0,1
1992-06-22,3.59375,3.59375,3.59375,0,1
1992-06-23,3.96875,3.96875,3.96875,0,1
1992-06-24,3.9375,3.9375,3.9375,0,1
1992-06-25,3.875,3.875,3.875,0,1
1992-06-26,3.875,3.875,3.875,0,1
1992-06-29,4.21875,4.21875,4.21875,0,1
1992-06-30,4.28125,4.28125,4.28125,0,1
1992-07-01,4.21875,4.21875,4.21875,0,1
1992-07-02,4.4375,4.4375,4.4375,0,1
1992-07-06,4.59375,4.59375,4.59375,0,1
1992-07-07,4.59375,4.59375,4.59375,0,1
1992-07-08,4.46875,4.46875,4.46875,0,1
1992-07-09,4.53125,4.53125,4.53125,0,1
1992-07-10,4.46875,4.46875,4.46875,0,1
1992-07-13,4.53125,4.53125,4.53125,0,1
1992-07-14,4.65625,4.65625,4.65625,0,1
1992-07-15,4.5625,4.5625,4.5625,0,1
1992-07-16,4.75,4.75,4.75,0,1
1992-07-17,4.65625,4.65625,4.65625,0,1
1992-07-20,4.5,4.5,4.5,0,1
1992-07-21,4.75,4.75,4.75,0,1
1992-07-22,4.84375,4.84375,4.84375,0,1
1992-07-23,4.8125,4.8125,4.8125,0,1
1992-07-24,4.71875,4.71875,4.71875,0,1
1992-07-27,4.625,4.625,4.625,0,1
1992-07-28,4.84375,4.84375,4.84375,0,1
1992-07-29,5,5,5,0,1
1992-07-30,5,5,5,0,1
1992-07-31,5,5,5,0,1
1992-08-03,4.96875,4.96875,4.96875,0,1
1992-08-04,4.96875,4.96875,4.96875,0,1
1992-08-05,4.9375,4.9375,4.9375,0,1
1992-08-06,5,5,5,0,1
1992-08-07,4.90625,4.90625,4.90625,0,1
1992-08-10,4.84375,4.84375,4.84375,0,1
1992-08-11,4.625,4.625,4.625,0,1
1992-08-12,4.5625,4.5625,4.5625,0,1
1992-08-13,4.5,4.5,4.5,0,1
1992-08-14,4.34375,4.34375,4.34375,0,1
1992-08-17,4.4375,4.4375,4.4375,0,1
1992-08-18,4.40625,4.40625,4.40625,0,1
1992-08-19,4.53125,4.53125,4.53125,0,1
1992-08-20,4.5625,4.5625,4.5625,0,1
1992-08-21,4.5625,4.5625,4.5625,0,1
1992-08-24,4.5,4.5,4.5,0,1
1992-08-25,4.625,4.625,4.625,0,1
1992-08-26,4.75,4.75,4.75,0,1
1992-08-27,4.8125,4.8125,4.8125,0,1
1992-08-28,4.84375,4.84375,4.84375,0,1
1992-08-31,4.84375,4.84375,4.84375,0,1
1992-09-01,4.78125,4.78125,4.78125,0,1
1992-09-02,4.78125,4.78125,4.78125,0,1
1992-09-03,4.5,4.5,4.5,0,1
