date,adj,close,raw,div,split
2004-06-10,6.116667,6.116667,6.116667,0,1
2004-06-14,6.066667,6.066667,6.066667,0,1
2004-06-15,6.25,6.25,6.25,0,1
2004-06-16,6.333333,6.333333,6.333333,0,1
2004-06-17,6.35,6.35,6.35,0,1
2004-06-18,6.343333,6.343333,6.343333,0,1
2004-06-21,6.363333,6.363333,6.363333,0,1
2004-06-22,6.353333,6.353333,6.353333,0,1
2004-06-23,6.296667,6.296667,6.296667,0,1
2004-06-24,6.333333,6.333333,6.333333,0,1
2004-06-25,6.333333,6.333333,6.333333,0,1
2004-06-28,6.333333,6.333333,6.333333,0,1
2004-06-29,6.366667,6.366667,6.366667,0,1
2004-06-30,6.366667,6.366667,6.366667,0,1
2004-07-01,6.366667,6.366667,6.366667,0,1
2004-07-02,6.383333,6.383333,6.383333,0,1
2004-07-06,6.363333,6.363333,6.363333,0,1
2004-07-07,6.35,6.35,6.35,0,1
2004-07-08,6.35,6.35,6.35,0,1
2004-07-09,6.333333,6.333333,6.333333,0,1
2004-07-12,6.303333,6.303333,6.303333,0,1
2004-07-13,6.353333,6.353333,6.353333,0,1
2004-07-14,6.366667,6.366667,6.366667,0,1
2004-07-15,6.35,6.35,6.35,0,1
2004-07-16,6.3,6.3,6.3,0,1
2004-07-19,6.333333,6.333333,6.333333,0,1
2004-07-20,6.333333,6.333333,6.333333,0,1
2004-07-21,6.336667,6.336667,6.336667,0,1
2004-07-22,6.406667,6.406667,6.406667,0,1
2004-07-23,6.3,6.3,6.3,0,1
2004-07-26,6.26,6.26,6.26,0,1
2004-07-27,6.26,6.26,6.26,0,1
2004-07-28,6.286667,6.286667,6.286667,0,1
2004-07-29,6.3,6.3,6.3,0,1
2004-07-30,6.313333,6.313333,6.313333,0,1
2004-08-02,6.34,6.34,6.34,0,1
2004-08-03,6.39,6.39,6.39,0,1
2004-08-04,6.35,6.35,6.35,0,1
2004-08-05,6.57,6.57,6.57,0,1
2004-08-06,6.473333,6.473333,6.473333,0,1
2004-08-09,6.36,6.36,6.36,0,1
2004-08-10,6.433333,6.433333,6.433333,0,1
2004-08-11,6.433333,6.433333,6.433333,0,1
2004-08-12,6.416667,6.416667,6.416667,0,1
2004-08-13,6.4,6.4,6.4,0,1
2004-08-16,6.386667,6.386667,6.386667,0,1
2004-08-17,6.283333,6.283333,6.283333,0,1
2004-08-18,6.303333,6.303333,6.303333,0,1
2004-08-19,6.373333,6.373333,6.373333,0,1
2004-08-20,6.466667,6.466667,6.466667,0,1
2004-08-23,6.393333,6.393333,6.393333,0,1
2004-08-24,6.433333,6.433333,6.433333,0,1
2004-08-25,6.446667,6.446667,6.446667,0,1
2004-08-26,6.48,6.48,6.48,0,1
2004-08-27,6.443333,6.443333,6.443333,0,1
2004-08-30,6.473333,6.473333,6.473333,0,1
2004-08-31,6.496667,6.496667,6.496667,0,1
2004-09-01,6.58,6.58,6.58,0,1
2004-09-02,6.656667,6.656667,6.656667,0,1
2004-09-03,6.866667,6.866667,6.866667,0,1
2004-09-07,6.913333,6.913333,6.913333,0,1
2004-09-08,6.773333,6.773333,6.773333,0,1
2004-09-09,7.133333,7.133333,7.133333,0,1
2004-09-10,7.453333,7.453333,7.453333,0,1
2004-09-13,7.52,7.52,7.52,0,1
2004-09-14,7.59,7.59,7.59,0,1
2004-09-15,7.496667,7.496667,7.496667,0,1
