date,adj,close,raw,div,split
2014-09-24,16.55029555817194,23.08,23.08,0,1
2014-09-25,16.528782325197906,23.049999,23.049999,0,1
2014-09-26,16.672199814882912,23.25,23.25,0,1
2014-09-29,16.657858137622796,23.23,23.23,0,1
2014-09-30,16.794104071593882,23.42,23.42,0,1
2014-10-01,16.80844646593786,23.440001,23.440001,0,1
2014-10-02,16.736737362553423,23.34,23.34,0,1
2014-10-03,16.657858137622796,23.23,23.23,0,1
2014-10-06,16.23477794136556,22.639999,22.639999,0,1
2014-10-07,16.148728594888738,22.52,22.52,0,1
2014-10-08,16.313657883380053,22.75,22.75,0,1
2014-10-09,16.12004524036851,22.48,22.48,0,1
2014-10-10,15.976629184851227,22.280001,22.280001,0,1
2014-10-13,16.0985334415622,22.450001,22.450001,0,1
2014-10-14,16.0985334415622,22.450001,22.450001,0,1
2014-10-15,15.668282406674908,21.85,21.85,0,1
2014-10-16,15.632427496440759,21.799999,21.799999,0,1
2014-10-17,15.718478277085309,21.92,21.92,0,1
2014-10-20,16.048336136984076,22.379999,22.379999,0,1
2014-10-21,16.36385375379045,22.82,22.82,0,1
2014-10-22,16.206095303929196,22.6,22.6,0,1
2014-10-23,16.514442082105514,23.030001,23.030001,0,1
2014-10-24,16.62200394447251,23.18,23.18,0,1
2014-10-27,16.385366269680624,22.85,22.85,0,1
2014-10-28,16.693713047856946,23.280001,23.280001,0,1
2014-10-29,16.837129103374227,23.48,23.48,0,1
2014-10-30,16.80844646593786,23.440001,23.440001,0,1
2014-10-31,16.93752156127889,23.620001,23.620001,0,1
2014-11-03,17.2100127121372,24,24,0,1
2014-11-04,16.993987447968113,23.6,23.6,0.1,1
2014-11-05,17.210012712137196,23.9,23.9,0,1
2014-11-06,17.498045677611763,24.299999,24.299999,0,1
2014-11-07,17.26041788702577,23.969999,23.969999,0,1
2014-11-10,17.24601764291626,23.950001,23.950001,0,1
2014-11-11,17.23881680077729,23.940001,23.940001,0,1
2014-11-12,17.181210063665535,23.860001,23.860001,0,1
2014-11-13,17.15240597502544,23.82,23.82,0,1
2014-11-14,17.2532170448868,23.959999,23.959999,0,1
2014-11-17,17.282021133526893,24,24,0,1
2014-11-18,17.087598395774716,23.73,23.73,0,1
2014-11-19,17.080396833551532,23.719999,23.719999,0,1
2014-11-20,17.07319599141256,23.709999,23.709999,0,1
2014-11-21,17.116401764330593,23.77,23.77,0,1
2014-11-24,17.46204218700113,24.25,24.25,0,1
2014-11-25,17.303624380028015,24.030001,24.030001,0,1
2014-11-26,17.447640502723193,24.23,24.23,0,1
2014-11-28,17.73567346819776,24.629999,24.629999,0,1
2014-12-01,17.267619449248954,23.98,23.98,0,1
2014-12-02,17.4260386963905,24.200001,24.200001,0,1
2014-12-03,17.447640502723193,24.23,24.23,0,1
2014-12-04,17.570054819085673,24.4,24.4,0,1
2014-12-05,18.110117979508388,25.15,25.15,0,1
2014-12-08,18.03090943606394,25.040001,25.040001,0,1
2014-12-09,18.11731882164736,25.16,25.16,0,1
2014-12-10,17.75007587255991,24.65,24.65,0,1
2014-12-11,17.778879961200005,24.690001,24.690001,0,1
2014-12-12,17.613259151835276,24.459999,24.459999,0,1
2014-12-15,17.6348623983364,24.49,24.49,0,1
2014-12-16,17.46204218700113,24.25,24.25,0,1
2014-12-17,17.685267573224973,24.559999,24.559999,0,1
2014-12-18,18.0597120845356,25.08,25.08,0,1
2014-12-19,18.002105347423846,25,25,0,1
2014-12-22,18.074113768813543,25.1,25.1,0,1
2014-12-23,18.31894312162272,25.440001,25.440001,0,1
2014-12-24,18.369348296511294,25.51,25.51,0,1
2014-12-26,18.225330733647688,25.309999,25.309999,0,1
2014-12-29,18.268537226649933,25.370001,25.370001,0,1
2014-12-30,18.13892206814848,25.190001,25.190001,0,1
2014-12-31,17.90129427756249,24.860001,24.860001,0,1
2015-01-02,17.82928513608858,24.76,24.76,0,1
2015-01-05,17.411636292028344,24.18,24.18,0,1
2015-01-06,17.217213554276167,23.91,23.91,0,1
2015-01-07,17.282021133526893,24,24,0,1
2015-01-08,17.411636292028344,24.18,24.18,0,1
2015-01-09,17.202811149914012,23.889999,23.889999,0,1
2015-01-12,17.195610307775045,23.879999,23.879999,0,1
2015-01-13,17.188410905804503,23.870001,23.870001,0,1
2015-01-14,16.878774693828813,23.440001,23.440001,0,1
2015-01-15,16.533132830989846,22.959999,22.959999,0,1
2015-01-16,16.698753640354575,23.190001,23.190001,0,1
2015-01-20,16.633945341019636,23.1,23.1,0,1
2015-01-21,16.7635612196053,23.280001,23.280001,0,1
2015-01-22,17.38283220338825,24.139999,24.139999,0,1
2015-01-23,17.07319599141256,23.709999,23.709999,0,1
2015-01-26,17.34682871277762,24.09,24.09,0,1
2015-01-27,17.390033765611435,24.15,24.15,0,1
2015-01-28,17.181210063665535,23.860001,23.860001,0,1
2015-01-29,17.45484134486216,24.24,24.24,0,1
2015-01-30,17.210012712137196,23.9,23.9,0,1
2015-02-02,17.282021133526893,24,24,0,1
2015-02-03,17.56402973286148,24.290001,24.290001,0.1,1
2015-02-04,17.361561816568233,24.01,24.01,0,1
2015-02-05,17.60741483687782,24.35,24.35,0,1
2015-02-06,17.71587940466146,24.5,24.5,0,1
2015-02-09,17.542336096207634,24.26,24.26,0,1
2015-02-10,17.947270482599894,24.82,24.82,0,1
2015-02-11,18.05573432728642,24.969999,24.969999,0,1
2015-02-12,18.316050013064274,25.33,25.33,0,1
2015-02-13,18.40282239038831,25.450001,25.450001,0,1
2015-02-17,18.48236162723541,25.559999,25.559999,0,1
2015-02-18,18.229277635740246,25.209999,25.209999,0,1
2015-02-19,18.091889906311415,25.02,25.02,0,1
2015-02-20,18.258202243579667,25.25,25.25,0,1
2015-02-23,18.012349223270082,24.91,24.91,0,1
2015-02-24,18.02681116564123,24.93,24.93,0,1
2015-02-25,18.04850335610084,24.959999,24.959999,0,1
2015-02-26,17.968963396156624,24.85,24.85,0,1
2015-02-27,17.961732424971046,24.84,24.84,0,1
2015-03-02,17.968963396156624,24.85,24.85,0,1
2015-03-03,18.106352571779688,25.040001,25.040001,0,1
2015-03-04,18.005118252084504,24.9,24.9,0,1
2015-03-05,18.29435637641043,25.299999,25.299999,0,1
2015-03-06,18.438976523219072,25.5,25.5,0,1
2015-03-09,18.243740301208515,25.23,25.23,0,1
2015-03-10,18.077427963940266,25,25,0,1
2015-03-11,18.15696937007872,25.110001,25.110001,0,1
2015-03-12,18.431745552033494,25.49,25.49,0,1
2015-03-13,17.911115626672014,24.77,24.77,0,1
2015-03-16,18.30158734759601,25.309999,25.309999,0,1
2015-03-17,18.51128623507483,25.6,25.6,0,1
2015-03-18,18.21481713956333,25.190001,25.190001,0,1
2015-03-19,17.932807817131625,24.799999,24.799999,0,1
2015-03-20,17.932807817131625,24.799999,24.799999,0,1
2015-03-23,17.90388465548644,24.76,24.76,0,1
2015-03-24,17.58572192332109,24.32,24.32,0,1
2015-03-25,17.354330845382655,24,24,0,1
2015-03-26,17.441103222706687,24.120001,24.120001,0,1
2015-03-27,17.70141746229031,24.48,24.48,0,1
2015-03-30,17.58572192332109,24.32,24.32,0,1
2015-03-31,17.448332747698025,24.129999,24.129999,0,1
2015-04-01,17.614646531160513,24.360001,24.360001,0,1
2015-04-02,17.802651781985492,24.620001,24.620001,0,1
2015-04-06,17.896653684300862,24.75,24.75,0,1
2015-04-07,18.005118252084504,24.9,24.9,0,1
2015-04-08,18.077427963940266,25,25,0,1
2015-04-09,18.106352571779688,25.040001,25.040001,0,1
2015-04-10,18.15696937007872,25.110001,25.110001,0,1
2015-04-13,18.40282239038831,25.450001,25.450001,0,1
2015-04-14,18.17866083744121,25.139999,25.139999,0,1
2015-04-15,18.51128623507483,25.6,25.6,0,1
2015-04-16,18.431745552033494,25.49,25.49,0,1
2015-04-17,18.164200341264294,25.120001,25.120001,0,1
2015-04-20,18.15696937007872,25.110001,25.110001,0,1
2015-04-21,18.106352571779688,25.040001,25.040001,0,1
2015-04-22,18.431745552033494,25.49,25.49,0,1
2015-04-23,18.540209396720016,25.639999,25.639999,0,1
2015-04-24,18.489593321518104,25.57,25.57,0,1
2015-04-27,18.42451458084792,25.48,25.48,0,1
2015-04-28,18.64144443951232,25.780001,25.780001,0,1
2015-04-29,18.865603823168062,26.09,26.09,0,1
2015-04-30,18.836679215328637,26.049999,26.049999,0,1
2015-05-01,18.858456449814813,25.98,25.98,0.1,1
2015-05-04,19.090738482358475,26.299999,26.299999,0,1
2015-05-05,19.047186191036978,26.24,26.24,0,1
2015-05-06,18.764091579203733,25.85,25.85,0,1
2015-05-07,18.836680667095877,25.950001,25.950001,0,1
2015-05-08,18.7350555085167,25.809999,25.809999,0,1
2015-05-11,18.923785975622486,26.07,26.07,0,1
2015-05-12,18.981856665229305,26.15,26.15,0,1
2015-05-13,19.039927354836127,26.23,26.23,0,1
2015-05-14,19.22139825985744,26.48,26.48,0,1
2015-05-15,18.82216226881055,25.93,25.93,0,1
2015-05-18,19.090738482358475,26.299999,26.299999,0,1
2015-05-19,19.497234761373456,26.860001,26.860001,0,1
2015-05-20,19.417386837280457,26.75,26.75,0,1
2015-05-21,19.48271636308813,26.84,26.84,0,1
2015-05-22,19.540787052694952,26.92,26.92,0,1
2015-05-26,19.381093382159815,26.700001,26.700001,0,1
2015-05-27,19.431904509682163,26.77,26.77,0,1
2015-05-28,19.475457526887276,26.83,26.83,0,1
2015-05-29,19.48271636308813,26.84,26.84,0,1
