date,adj,close,raw,div,split
1985-07-22,3.431828208087837,5.625,5.625,0,1
1985-07-23,3.431828208087837,5.625,5.625,0,1
1985-07-24,3.3555653590192187,5.5,5.5,0,1
1985-07-25,3.393696783553528,5.5625,5.5625,0,1
1985-07-26,3.3555653590192187,5.5,5.5,0,1
1985-07-29,3.3174339344849093,5.4375,5.4375,0,1
1985-07-30,3.2793025099506,5.375,5.375,0,1
1985-07-31,3.2793025099506,5.375,5.375,0,1
1985-08-01,3.2793025099506,5.375,5.375,0,1
1985-08-02,3.2030396608819816,5.25,5.25,0,1
1985-08-05,3.2030396608819816,5.25,5.25,0,1
1985-08-06,3.164908236347672,5.1875,5.1875,0,1
1985-08-07,3.164908236347672,5.1875,5.1875,0,1
1985-08-08,3.1267768118133628,5.125,5.125,0,1
1985-08-09,3.164908236347672,5.1875,5.1875,0,1
1985-08-12,3.0886453872790534,5.0625,5.0625,0,1
1985-08-13,3.1267768118133628,5.125,5.125,0,1
1985-08-14,3.0886453872790534,5.0625,5.0625,0,1
1985-08-15,3.050513962744744,5,5,0,1
1985-08-16,3.012382538210435,4.9375,4.9375,0,1
1985-08-19,2.9742511136761256,4.875,4.875,0,1
1985-08-20,3.012382538210435,4.9375,4.9375,0,1
1985-08-21,2.936119689141816,4.8125,4.8125,0,1
1985-08-22,2.936119689141816,4.8125,4.8125,0,1
1985-08-23,2.936119689141816,4.8125,4.8125,0,1
1985-08-26,2.936119689141816,4.8125,4.8125,0,1
1985-08-27,2.8217254155388884,4.625,4.625,0,1
1985-08-28,2.859856840073198,4.6875,4.6875,0,1
1985-08-29,2.9742511136761256,4.875,4.875,0,1
1985-08-30,3.050513962744744,5,5,0,1
1985-09-03,3.050513962744744,5,5,0,1
1985-09-04,3.012382538210435,4.9375,4.9375,0,1
1985-09-05,3.012382538210435,4.9375,4.9375,0,1
1985-09-06,3.050513962744744,5,5,0,1
1985-09-09,3.012382538210435,4.9375,4.9375,0,1
1985-09-10,3.012382538210435,4.9375,4.9375,0,1
1985-09-11,2.9742511136761256,4.875,4.875,0,1
1985-09-12,2.9742511136761256,4.875,4.875,0,1
1985-09-13,2.9742511136761256,4.875,4.875,0,1
1985-09-16,2.936119689141816,4.8125,4.8125,0,1
1985-09-17,2.897988264607507,4.75,4.75,0,1
1985-09-18,2.859856840073198,4.6875,4.6875,0,1
1985-09-19,2.859856840073198,4.6875,4.6875,0,1
1985-09-20,3.050513962744744,5,5,0,1
1985-09-23,3.0886453872790534,5.0625,5.0625,0,1
1985-09-24,3.050513962744744,5,5,0,1
1985-09-25,2.9742511136761256,4.875,4.875,0,1
1985-09-26,2.936119689141816,4.8125,4.8125,0,1
1985-09-30,2.859856840073198,4.6875,4.6875,0,1
1985-10-01,2.897988264607507,4.75,4.75,0,1
1985-10-02,2.897988264607507,4.75,4.75,0,1
1985-10-03,2.897988264607507,4.75,4.75,0,1
1985-10-04,2.897988264607507,4.75,4.75,0,1
1985-10-07,2.859856840073198,4.6875,4.6875,0,1
1985-10-08,2.936119689141816,4.8125,4.8125,0,1
1985-10-09,3.012382538210435,4.9375,4.9375,0,1
1985-10-10,2.897988264607507,4.75,4.75,0,1
1985-10-11,2.897988264607507,4.75,4.75,0,1
1985-10-14,3.012382538210435,4.9375,4.9375,0,1
1985-10-15,2.9742511136761256,4.875,4.875,0,1
1985-10-16,2.9742511136761256,4.875,4.875,0,1
1985-10-17,2.936119689141816,4.8125,4.8125,0,1
1985-10-18,2.897988264607507,4.75,4.75,0,1
1985-10-21,2.897988264607507,4.75,4.75,0,1
1985-10-22,2.897988264607507,4.75,4.75,0,1
1985-10-23,2.936119689141816,4.8125,4.8125,0,1
1985-10-24,3.012382538210435,4.9375,4.9375,0,1
1985-10-25,2.936119689141816,4.8125,4.8125,0,1
1985-10-28,2.9742511136761256,4.875,4.875,0,1
1985-10-29,2.9742511136761256,4.875,4.875,0,1
1985-10-30,2.936119689141816,4.8125,4.8125,0,1
1985-10-31,2.936119689141816,4.8125,4.8125,0,1
1985-11-01,2.897988264607507,4.75,4.75,0,1
1985-11-04,2.897988264607507,4.75,4.75,0,1
1985-11-05,2.897988264607507,4.75,4.75,0,1
1985-11-06,2.936119689141816,4.8125,4.8125,0,1
1985-11-07,2.897988264607507,4.75,4.75,0,1
1985-11-08,2.859856840073198,4.6875,4.6875,0,1
1985-11-11,2.859856840073198,4.6875,4.6875,0,1
1985-11-12,2.897988264607507,4.75,4.75,0,1
1985-11-13,2.859856840073198,4.6875,4.6875,0,1
1985-11-14,2.8217254155388884,4.625,4.625,0,1
1985-11-15,2.783593991004579,4.5625,4.5625,0,1
1985-11-18,2.7454625664702696,4.5,4.5,0,1
1985-11-19,2.7454625664702696,4.5,4.5,0,1
1985-11-20,2.7454625664702696,4.5,4.5,0,1
1985-11-21,2.7454625664702696,4.5,4.5,0,1
1985-11-22,2.8217254155388884,4.625,4.625,0,1
1985-11-25,2.7454625664702696,4.5,4.5,0,1
1985-11-26,2.7454625664702696,4.5,4.5,0,1
1985-11-27,2.7454625664702696,4.5,4.5,0,1
1985-11-29,2.7454625664702696,4.5,4.5,0,1
1985-12-02,2.7454625664702696,4.5,4.5,0,1
1985-12-03,2.7073311419359603,4.4375,4.4375,0,1
1985-12-04,2.7073311419359603,4.4375,4.4375,0,1
1985-12-05,2.7073311419359603,4.4375,4.4375,0,1
1985-12-06,2.7073311419359603,4.4375,4.4375,0,1
1985-12-09,2.5929368683330325,4.25,4.25,0,1
1985-12-10,2.5929368683330325,4.25,4.25,0,1
1985-12-11,2.516674019264414,4.125,4.125,0,1
1985-12-12,2.3641483211271765,3.875,3.875,0,1
1985-12-13,2.4785425947301047,4.0625,4.0625,0,1
1985-12-16,2.4785425947301047,4.0625,4.0625,0,1
1985-12-17,2.3641483211271765,3.875,3.875,0,1
1985-12-18,2.3641483211271765,3.875,3.875,0,1
1985-12-19,2.4404111701957953,4,4,0,1
1985-12-20,2.4404111701957953,4,4,0,1
1985-12-23,2.4785425947301047,4.0625,4.0625,0,1
1985-12-24,2.4785425947301047,4.0625,4.0625,0,1
1985-12-26,2.4404111701957953,4,4,0,1
1985-12-27,2.4404111701957953,4,4,0,1
1985-12-30,2.4404111701957953,4,4,0,1
1985-12-31,2.402279745661486,3.9375,3.9375,0,1
1986-01-02,2.4785425947301047,4.0625,4.0625,0,1
1986-01-03,2.402279745661486,3.9375,3.9375,0,1
1986-01-06,2.3641483211271765,3.875,3.875,0,1
1986-01-07,2.402279745661486,3.9375,3.9375,0,1
1986-01-08,2.3260168965928676,3.8125,3.8125,0,1
1986-01-09,2.3641483211271765,3.875,3.875,0,1
1986-01-10,2.402279745661486,3.9375,3.9375,0,1
1986-01-13,2.3260168965928676,3.8125,3.8125,0,1
1986-01-14,2.287885472058558,3.75,3.75,0,1
1986-01-15,2.287885472058558,3.75,3.75,0,1
1986-01-16,2.287885472058558,3.75,3.75,0,1
1986-01-17,2.3641483211271765,3.875,3.875,0,1
1986-01-20,2.3260168965928676,3.8125,3.8125,0,1
1986-01-21,2.3260168965928676,3.8125,3.8125,0,1
1986-01-22,2.287885472058558,3.75,3.75,0,1
1986-01-23,2.249754047524249,3.6875,3.6875,0,1
1986-01-24,2.287885472058558,3.75,3.75,0,1
1986-01-27,2.2116226229899394,3.625,3.625,0,1
1986-01-28,2.287885472058558,3.75,3.75,0,1
1986-01-29,2.1734911984556304,3.5625,3.5625,0,1
1986-01-30,2.249754047524249,3.6875,3.6875,0,1
1986-01-31,2.287885472058558,3.75,3.75,0,1
1986-02-03,2.3260168965928676,3.8125,3.8125,0,1
1986-02-04,2.135359773921321,3.5,3.5,0,1
1986-02-05,2.2116226229899394,3.625,3.625,0,1
1986-02-06,2.287885472058558,3.75,3.75,0,1
1986-02-07,2.2116226229899394,3.625,3.625,0,1
1986-02-10,2.1734911984556304,3.5625,3.5625,0,1
1986-02-11,2.1734911984556304,3.5625,3.5625,0,1
1986-02-12,2.1734911984556304,3.5625,3.5625,0,1
1986-02-13,2.2116226229899394,3.625,3.625,0,1
1986-02-14,2.287885472058558,3.75,3.75,0,1
1986-02-18,2.1734911984556304,3.5625,3.5625,0,1
1986-02-19,2.2116226229899394,3.625,3.625,0,1
1986-02-20,2.135359773921321,3.5,3.5,0,1
1986-02-21,2.135359773921321,3.5,3.5,0,1
1986-02-24,2.0972283493870116,3.4375,3.4375,0,1
1986-02-25,2.0590969248527022,3.375,3.375,0,1
1986-02-26,2.0590969248527022,3.375,3.375,0,1
1986-02-27,1.9828340757840837,3.25,3.25,0,1
1986-02-28,1.9828340757840837,3.25,3.25,0,1
1986-03-03,1.9828340757840837,3.25,3.25,0,1
1986-03-04,2.0972283493870116,3.4375,3.4375,0,1
1986-03-05,2.0590969248527022,3.375,3.375,0,1
1986-03-06,2.0972283493870116,3.4375,3.4375,0,1
1986-03-07,2.135359773921321,3.5,3.5,0,1
1986-03-10,2.0590969248527022,3.375,3.375,0,1
1986-03-11,2.020965500318393,3.3125,3.3125,0,1
1986-03-12,2.0972283493870116,3.4375,3.4375,0,1
1986-03-13,2.2116226229899394,3.625,3.625,0,1
1986-03-14,2.1734911984556304,3.5625,3.5625,0,1
1986-03-17,2.1734911984556304,3.5625,3.5625,0,1
1986-03-18,2.3260168965928676,3.8125,3.8125,0,1
1986-03-19,2.4404111701957953,4,4,0,1
1986-03-20,2.4404111701957953,4,4,0,1
1986-03-21,2.402279745661486,3.9375,3.9375,0,1
1986-03-24,2.3260168965928676,3.8125,3.8125,0,1
1986-03-25,2.3641483211271765,3.875,3.875,0,1
1986-03-26,2.287885472058558,3.75,3.75,0,1
1986-03-27,2.3641483211271765,3.875,3.875,0,1
1986-03-31,2.287885472058558,3.75,3.75,0,1
1986-04-01,2.287885472058558,3.75,3.75,0,1
1986-04-02,2.3260168965928676,3.8125,3.8125,0,1
1986-04-03,2.3641483211271765,3.875,3.875,0,1
1986-04-04,2.3641483211271765,3.875,3.875,0,1
1986-04-07,2.3641483211271765,3.875,3.875,0,1
1986-04-08,2.402279745661486,3.9375,3.9375,0,1
1986-04-09,2.3641483211271765,3.875,3.875,0,1
1986-04-10,2.402279745661486,3.9375,3.9375,0,1
1986-04-11,2.3641483211271765,3.875,3.875,0,1
1986-04-14,2.3641483211271765,3.875,3.875,0,1
1986-04-15,2.3260168965928676,3.8125,3.8125,0,1
1986-04-16,2.287885472058558,3.75,3.75,0,1
1986-04-17,2.287885472058558,3.75,3.75,0,1
1986-04-18,2.249754047524249,3.6875,3.6875,0,1
1986-04-21,2.2116226229899394,3.625,3.625,0,1
1986-04-22,2.135359773921321,3.5,3.5,0,1
1986-04-23,2.1734911984556304,3.5625,3.5625,0,1
1986-04-24,2.2116226229899394,3.625,3.625,0,1
1986-04-25,2.1734911984556304,3.5625,3.5625,0,1
1986-04-28,2.2116226229899394,3.625,3.625,0,1
1986-04-29,2.1734911984556304,3.5625,3.5625,0,1
1986-04-30,2.1734911984556304,3.5625,3.5625,0,1
1986-05-01,2.1734911984556304,3.5625,3.5625,0,1
1986-05-02,2.249754047524249,3.6875,3.6875,0,1
1986-05-05,2.402279745661486,3.9375,3.9375,0,1
1986-05-06,2.3641483211271765,3.875,3.875,0,1
1986-05-07,2.3260168965928676,3.8125,3.8125,0,1
1986-05-08,2.3641483211271765,3.875,3.875,0,1
1986-05-09,2.402279745661486,3.9375,3.9375,0,1
1986-05-12,2.3260168965928676,3.8125,3.8125,0,1
1986-05-13,2.3260168965928676,3.8125,3.8125,0,1
1986-05-14,2.3641483211271765,3.875,3.875,0,1
1986-05-15,2.3260168965928676,3.8125,3.8125,0,1
1986-05-16,2.3260168965928676,3.8125,3.8125,0,1
1986-05-19,2.3260168965928676,3.8125,3.8125,0,1
1986-05-20,2.3260168965928676,3.8125,3.8125,0,1
1986-05-21,2.3260168965928676,3.8125,3.8125,0,1
1986-05-22,2.3260168965928676,3.8125,3.8125,0,1
1986-05-23,2.287885472058558,3.75,3.75,0,1
1986-05-27,2.3260168965928676,3.8125,3.8125,0,1
1986-05-28,2.3260168965928676,3.8125,3.8125,0,1
1986-05-29,2.287885472058558,3.75,3.75,0,1
1986-05-30,2.3260168965928676,3.8125,3.8125,0,1
1986-06-02,2.287885472058558,3.75,3.75,0,1
1986-06-03,2.287885472058558,3.75,3.75,0,1
1986-06-04,2.287885472058558,3.75,3.75,0,1
1986-06-05,2.287885472058558,3.75,3.75,0,1
1986-06-06,2.287885472058558,3.75,3.75,0,1
1986-06-09,2.2116226229899394,3.625,3.625,0,1
1986-06-10,2.249754047524249,3.6875,3.6875,0,1
1986-06-11,2.249754047524249,3.6875,3.6875,0,1
1986-06-12,2.249754047524249,3.6875,3.6875,0,1
1986-06-13,2.287885472058558,3.75,3.75,0,1
1986-06-16,2.249754047524249,3.6875,3.6875,0,1
1986-06-17,2.249754047524249,3.6875,3.6875,0,1
1986-06-18,2.249754047524249,3.6875,3.6875,0,1
1986-06-19,2.2116226229899394,3.625,3.625,0,1
1986-06-20,2.2116226229899394,3.625,3.625,0,1
1986-06-23,2.1734911984556304,3.5625,3.5625,0,1
1986-06-24,2.1734911984556304,3.5625,3.5625,0,1
1986-06-25,2.2116226229899394,3.625,3.625,0,1
1986-06-26,2.1734911984556304,3.5625,3.5625,0,1
1986-06-27,2.1734911984556304,3.5625,3.5625,0,1
1986-06-30,2.1734911984556304,3.5625,3.5625,0,1
1986-07-01,2.135359773921321,3.5,3.5,0,1
1986-07-02,1.9828340757840837,3.25,3.25,0,1
1986-07-03,2.020965500318393,3.3125,3.3125,0,1
1986-07-07,2.020965500318393,3.3125,3.3125,0,1
1986-07-08,1.906571226715465,3.125,3.125,0,1
1986-07-09,1.8303083776468465,3,3,0,1
1986-07-10,1.868439802181156,3.0625,3.0625,0,1
1986-07-11,1.8303083776468465,3,3,0,1
1986-07-14,1.792176953112537,2.9375,2.9375,0,1
1986-07-15,1.792176953112537,2.9375,2.9375,0,1
1986-07-16,1.792176953112537,2.9375,2.9375,0,1
1986-07-17,1.754045528578228,2.875,2.875,0,1
1986-07-18,1.6777826795096094,2.75,2.75,0,1
1986-07-21,1.6015198304409908,2.625,2.625,0,1
1986-07-22,1.5633884059066814,2.5625,2.5625,0,1
1986-07-23,1.7159141040439185,2.8125,2.8125,0,1
1986-07-24,1.7159141040439185,2.8125,2.8125,0,1
1986-07-25,1.525256981372372,2.5,2.5,0,1
1986-07-28,1.4489941323037534,2.375,2.375,0,1
1986-07-29,1.4489941323037534,2.375,2.375,0,1
1986-07-30,1.4871255568380628,2.4375,2.4375,0,1
1986-07-31,1.4489941323037534,2.375,2.375,0,1
1986-08-01,1.4489941323037534,2.375,2.375,0,1
1986-08-04,1.6015198304409908,2.625,2.625,0,1
1986-08-05,1.8303083776468465,3,3,0,1
1986-08-06,1.868439802181156,3.0625,3.0625,0,1
1986-08-07,1.906571226715465,3.125,3.125,0,1
1986-08-08,1.9447026512497745,3.1875,3.1875,0,1
1986-08-11,1.8303083776468465,3,3,0,1
1986-08-12,1.868439802181156,3.0625,3.0625,0,1
1986-08-13,1.8303083776468465,3,3,0,1
1986-08-14,1.8303083776468465,3,3,0,1
1986-08-15,1.792176953112537,2.9375,2.9375,0,1
1986-08-18,1.792176953112537,2.9375,2.9375,0,1
1986-08-19,1.792176953112537,2.9375,2.9375,0,1
1986-08-20,1.792176953112537,2.9375,2.9375,0,1
1986-08-21,1.792176953112537,2.9375,2.9375,0,1
1986-08-22,1.754045528578228,2.875,2.875,0,1
1986-08-25,1.754045528578228,2.875,2.875,0,1
1986-08-26,1.754045528578228,2.875,2.875,0,1
1986-08-27,1.754045528578228,2.875,2.875,0,1
1986-08-28,1.754045528578228,2.875,2.875,0,1
1986-08-29,1.6777826795096094,2.75,2.75,0,1
1986-09-02,1.792176953112537,2.9375,2.9375,0,1
1986-09-03,1.754045528578228,2.875,2.875,0,1
1986-09-04,1.792176953112537,2.9375,2.9375,0,1
1986-09-05,1.8303083776468465,3,3,0,1
1986-09-08,1.8303083776468465,3,3,0,1
1986-09-09,1.868439802181156,3.0625,3.0625,0,1
1986-09-10,1.868439802181156,3.0625,3.0625,0,1
1986-09-11,1.868439802181156,3.0625,3.0625,0,1
1986-09-12,1.906571226715465,3.125,3.125,0,1
1986-09-15,1.8303083776468465,3,3,0,1
1986-09-16,1.8303083776468465,3,3,0,1
1986-09-17,1.8303083776468465,3,3,0,1
1986-09-18,1.8303083776468465,3,3,0,1
1986-09-19,1.8303083776468465,3,3,0,1
1986-09-22,1.8303083776468465,3,3,0,1
1986-09-23,1.868439802181156,3.0625,3.0625,0,1
1986-09-24,1.792176953112537,2.9375,2.9375,0,1
1986-09-25,1.8303083776468465,3,3,0,1
1986-09-26,1.868439802181156,3.0625,3.0625,0,1
1986-09-29,1.792176953112537,2.9375,2.9375,0,1
1986-09-30,1.792176953112537,2.9375,2.9375,0,1
1986-10-01,1.6777826795096094,2.75,2.75,0,1
1986-10-02,1.7159141040439185,2.8125,2.8125,0,1
1986-10-03,1.754045528578228,2.875,2.875,0,1
1986-10-06,1.8303083776468465,3,3,0,1
1986-10-07,1.8303083776468465,3,3,0,1
1986-10-08,1.906571226715465,3.125,3.125,0,1
1986-10-09,1.868439802181156,3.0625,3.0625,0,1
1986-10-10,1.868439802181156,3.0625,3.0625,0,1
1986-10-13,1.868439802181156,3.0625,3.0625,0,1
1986-10-14,1.8303083776468465,3,3,0,1
1986-10-15,1.868439802181156,3.0625,3.0625,0,1
1986-10-16,1.868439802181156,3.0625,3.0625,0,1
1986-10-17,1.906571226715465,3.125,3.125,0,1
1986-10-20,1.868439802181156,3.0625,3.0625,0,1
1986-10-21,1.868439802181156,3.0625,3.0625,0,1
