date,adj,close,raw,div,split
2012-02-08,14,14,14,0,1
2012-02-09,13.91,13.91,13.91,0,1
2012-02-10,13.96,13.96,13.96,0,1
2012-02-13,13.65,13.65,13.65,0,1
2012-02-14,13.44,13.44,13.44,0,1
2012-02-15,13.4,13.4,13.4,0,1
2012-02-16,13.54,13.54,13.54,0,1
2012-02-17,13.58,13.58,13.58,0,1
2012-02-21,13.71,13.71,13.71,0,1
2012-02-22,13.96,13.96,13.96,0,1
2012-02-23,13.94,13.94,13.94,0,1
2012-02-24,13.71,13.71,13.71,0,1
2012-02-27,13.66,13.66,13.66,0,1
2012-02-28,13.83,13.83,13.83,0,1
2012-02-29,14.13,14.13,14.13,0,1
2012-03-01,15,15,15,0,1
2012-03-02,15.14,15.14,15.14,0,1
2012-03-05,15.09,15.09,15.09,0,1
2012-03-06,15,15,15,0,1
2012-03-07,15.23,15.23,15.23,0,1
2012-03-08,15.23,15.23,15.23,0,1
2012-03-09,15.32,15.32,15.32,0,1
2012-03-12,15.14,15.14,15.14,0,1
2012-03-13,15.78,15.78,15.78,0,1
2012-03-14,16.200001,16.200001,16.200001,0,1
2012-03-15,17,17,17,0,1
2012-03-16,16.799999,16.799999,16.799999,0,1
2012-03-19,17.41,17.41,17.41,0,1
2012-03-20,17.41,17.41,17.41,0,1
2012-03-21,17.379999,17.379999,17.379999,0,1
2012-03-22,16.6,16.6,16.6,0,1
2012-03-23,17.1,17.1,17.1,0,1
2012-03-26,16.98,16.98,16.98,0,1
2012-03-27,21.110001,21.110001,21.110001,0,1
2012-03-28,20,20,20,0,1
2012-03-29,20.1,20.1,20.1,0,1
2012-03-30,20.52,20.52,20.52,0,1
2012-04-02,21.709999,21.709999,21.709999,0,1
2012-04-03,22.200001,22.200001,22.200001,0,1
2012-04-04,21.15,21.15,21.15,0,1
2012-04-05,20.959999,20.959999,20.959999,0,1
2012-04-09,21.27,21.27,21.27,0,1
2012-04-10,21.799999,21.799999,21.799999,0,1
2012-04-11,22.59,22.59,22.59,0,1
2012-04-12,23.25,23.25,23.25,0,1
2012-04-13,22.65,22.65,22.65,0,1
2012-04-16,21.200001,21.200001,21.200001,0,1
2012-04-17,20.26,20.26,20.26,0,1
2012-04-18,20.18,20.18,20.18,0,1
2012-04-19,20.389999,20.389999,20.389999,0,1
2012-04-20,20.040001,20.040001,20.040001,0,1
2012-04-23,20.17,20.17,20.17,0,1
2012-04-24,19.780001,19.780001,19.780001,0,1
2012-04-25,19.84,19.84,19.84,0,1
2012-04-26,20.049999,20.049999,20.049999,0,1
2012-04-27,20.09,20.09,20.09,0,1
2012-04-30,20.639999,20.639999,20.639999,0,1
2012-05-01,20.73,20.73,20.73,0,1
2012-05-02,21.9,21.9,21.9,0,1
2012-05-03,21.049999,21.049999,21.049999,0,1
2012-05-04,20.459999,20.459999,20.459999,0,1
2012-05-07,20.120001,20.120001,20.120001,0,1
2012-05-08,18.08,18.08,18.08,0,1
2012-05-09,17.75,17.75,17.75,0,1
2012-05-10,17.620001,17.620001,17.620001,0,1
2012-05-11,17.360001,17.360001,17.360001,0,1
2012-05-14,16.02,16.02,16.02,0,1
2012-05-15,15.31,15.31,15.31,0,1
2012-05-16,15.65,15.65,15.65,0,1
2012-05-17,15.06,15.06,15.06,0,1
2012-05-18,14.97,14.97,14.97,0,1
2012-05-21,15.67,15.67,15.67,0,1
2012-05-22,15.69,15.69,15.69,0,1
2012-05-23,16.6,16.6,16.6,0,1
2012-05-24,16.950001,16.950001,16.950001,0,1
2012-05-25,16.99,16.99,16.99,0,1
2012-05-29,17.200001,17.200001,17.200001,0,1
2012-05-30,17.299999,17.299999,17.299999,0,1
2012-05-31,17.5,17.5,17.5,0,1
2012-06-01,16.52,16.52,16.52,0,1
2012-06-04,16.42,16.42,16.42,0,1
2012-06-05,16.75,16.75,16.75,0,1
2012-06-06,16.6,16.6,16.6,0,1
2012-06-07,16.51,16.51,16.51,0,1
2012-06-08,16.780001,16.780001,16.780001,0,1
2012-06-11,16.879999,16.879999,16.879999,0,1
2012-06-12,17.370001,17.370001,17.370001,0,1
2012-06-13,17.969999,17.969999,17.969999,0,1
2012-06-14,17.790001,17.790001,17.790001,0,1
2012-06-15,17.610001,17.610001,17.610001,0,1
2012-06-18,17.620001,17.620001,17.620001,0,1
2012-06-19,17.559999,17.559999,17.559999,0,1
2012-06-20,17.879999,17.879999,17.879999,0,1
2012-06-21,17.870001,17.870001,17.870001,0,1
2012-06-22,17.99,17.99,17.99,0,1
2012-06-25,17.370001,17.370001,17.370001,0,1
2012-06-26,16.93,16.93,16.93,0,1
2012-06-27,17,17,17,0,1
2012-06-28,16.6,16.6,16.6,0,1
2012-06-29,16.99,16.99,16.99,0,1
2012-07-02,17.200001,17.200001,17.200001,0,1
2012-07-03,17.059999,17.059999,17.059999,0,1
2012-07-05,16.99,16.99,16.99,0,1
2012-07-06,16.120001,16.120001,16.120001,0,1
2012-07-09,15.69,15.69,15.69,0,1
2012-07-10,15.45,15.45,15.45,0,1
2012-07-11,15.24,15.24,15.24,0,1
2012-07-12,14.4,14.4,14.4,0,1
2012-07-13,15.41,15.41,15.41,0,1
2012-07-16,16.17,16.17,16.17,0,1
2012-07-17,15.78,15.78,15.78,0,1
2012-07-18,15.88,15.88,15.88,0,1
2012-07-19,15.63,15.63,15.63,0,1
2012-07-20,15.26,15.26,15.26,0,1
2012-07-23,14.75,14.75,14.75,0,1
2012-07-24,14.12,14.12,14.12,0,1
2012-07-25,14.12,14.12,14.12,0,1
2012-07-26,14.47,14.47,14.47,0,1
2012-07-27,15.32,15.32,15.32,0,1
2012-07-30,16.17,16.17,16.17,0,1
2012-07-31,16.040001,16.040001,16.040001,0,1
2012-08-01,15.8,15.8,15.8,0,1
2012-08-02,15.7,15.7,15.7,0,1
2012-08-03,16,16,16,0,1
2012-08-06,16.620001,16.620001,16.620001,0,1
2012-08-07,16.82,16.82,16.82,0,1
2012-08-08,16.85,16.85,16.85,0,1
2012-08-09,16.74,16.74,16.74,0,1
2012-08-10,17.59,17.59,17.59,0,1
2012-08-13,17.690001,17.690001,17.690001,0,1
2012-08-14,17.48,17.48,17.48,0,1
2012-08-15,17.809999,17.809999,17.809999,0,1
2012-08-16,17.51,17.51,17.51,0,1
2012-08-17,17.5,17.5,17.5,0,1
2012-08-20,16.620001,16.620001,16.620001,0,1
2012-08-21,16.860001,16.860001,16.860001,0,1
2012-08-22,17.709999,17.709999,17.709999,0,1
2012-08-23,17.969999,17.969999,17.969999,0,1
2012-08-24,18.01,18.01,18.01,0,1
2012-08-27,17.99,17.99,17.99,0,1
2012-08-28,17.969999,17.969999,17.969999,0,1
2012-08-29,17.969999,17.969999,17.969999,0,1
2012-08-30,17.879999,17.879999,17.879999,0,1
2012-08-31,17.5,17.5,17.5,0,1
2012-09-04,17.780001,17.780001,17.780001,0,1
2012-09-05,17.6,17.6,17.6,0,1
2012-09-06,17.610001,17.610001,17.610001,0,1
2012-09-07,17.57,17.57,17.57,0,1
2012-09-10,17.559999,17.559999,17.559999,0,1
2012-09-11,17.51,17.51,17.51,0,1
2012-09-12,17.91,17.91,17.91,0,1
2012-09-13,17.9,17.9,17.9,0,1
2012-09-14,18.950001,18.950001,18.950001,0,1
2012-09-17,18.75,18.75,18.75,0,1
2012-09-18,18.67,18.67,18.67,0,1
2012-09-19,18.889999,18.889999,18.889999,0,1
2012-09-20,18.9,18.9,18.9,0,1
2012-09-21,18.92,18.92,18.92,0,1
2012-09-24,18.870001,18.870001,18.870001,0,1
2012-09-25,18.85,18.85,18.85,0,1
2012-09-26,18.48,18.48,18.48,0,1
2012-09-27,18.639999,18.639999,18.639999,0,1
2012-09-28,18.940001,18.940001,18.940001,0,1
2012-10-01,18.610001,18.610001,18.610001,0,1
2012-10-02,18.93,18.93,18.93,0,1
2012-10-03,19,19,19,0,1
2012-10-04,19.049999,19.049999,19.049999,0,1
2012-10-05,19.309999,19.309999,19.309999,0,1
2012-10-08,19.4,19.4,19.4,0,1
2012-10-09,19.5,19.5,19.5,0,1
2012-10-10,19.469999,19.469999,19.469999,0,1
2012-10-11,19.49,19.49,19.49,0,1
2012-10-12,19.309999,19.309999,19.309999,0,1
2012-10-15,19.02,19.02,19.02,0,1
2012-10-16,18.809999,18.809999,18.809999,0,1
2012-10-17,18.15,18.15,18.15,0,1
2012-10-18,17.93,17.93,17.93,0,1
2012-10-19,17.610001,17.610001,17.610001,0,1
2012-10-22,17.639999,17.639999,17.639999,0,1
2012-10-23,17.76,17.76,17.76,0,1
2012-10-24,17.82,17.82,17.82,0,1
2012-10-25,17.809999,17.809999,17.809999,0,1
2012-10-26,17.959999,17.959999,17.959999,0,1
2012-10-31,17.98,17.98,17.98,0,1
2012-11-01,18,18,18,0,1
2012-11-02,17.799999,17.799999,17.799999,0,1
2012-11-05,18.120001,18.120001,18.120001,0,1
2012-11-06,18.49,18.49,18.49,0,1
2012-11-07,18,18,18,0,1
2012-11-08,17.790001,17.790001,17.790001,0,1
2012-11-09,19.450001,19.450001,19.450001,0,1
2012-11-12,19.65,19.65,19.65,0,1
2012-11-13,19.870001,19.870001,19.870001,0,1
2012-11-14,19.459999,19.459999,19.459999,0,1
2012-11-15,19.43,19.43,19.43,0,1
2012-11-16,19.459999,19.459999,19.459999,0,1
2012-11-19,20.08,20.08,20.08,0,1
2012-11-20,19.860001,19.860001,19.860001,0,1
2012-11-21,19.99,19.99,19.99,0,1
2012-11-23,20,20,20,0,1
2012-11-26,20.01,20.01,20.01,0,1
2012-11-27,19.92,19.92,19.92,0,1
2012-11-28,20.110001,20.110001,20.110001,0,1
2012-11-29,20.5,20.5,20.5,0,1
2012-11-30,20.57,20.57,20.57,0,1
2012-12-03,20.719999,20.719999,20.719999,0,1
2012-12-04,20.709999,20.709999,20.709999,0,1
2012-12-05,20.6,20.6,20.6,0,1
2012-12-06,20.74,20.74,20.74,0,1
2012-12-07,20.700001,20.700001,20.700001,0,1
2012-12-10,20.379999,20.379999,20.379999,0,1
2012-12-11,20.43,20.43,20.43,0,1
2012-12-12,20.450001,20.450001,20.450001,0,1
2012-12-13,20.280001,20.280001,20.280001,0,1
2012-12-14,20.700001,20.700001,20.700001,0,1
2012-12-17,20.799999,20.799999,20.799999,0,1
2012-12-18,20.700001,20.700001,20.700001,0,1
2012-12-19,20.09,20.09,20.09,0,1
2012-12-20,19.950001,19.950001,19.950001,0,1
2012-12-21,19.82,19.82,19.82,0,1
2012-12-24,19.84,19.84,19.84,0,1
2012-12-26,19.309999,19.309999,19.309999,0,1
2012-12-27,18.93,18.93,18.93,0,1
2012-12-28,18.940001,18.940001,18.940001,0,1
2012-12-31,18.1,18.1,18.1,0,1
2013-01-02,18.98,18.98,18.98,0,1
2013-01-03,18.99,18.99,18.99,0,1
2013-01-04,19.190001,19.190001,19.190001,0,1
2013-01-07,19.02,19.02,19.02,0,1
2013-01-08,19.16,19.16,19.16,0,1
2013-01-09,19.6,19.6,19.6,0,1
2013-01-10,19.790001,19.790001,19.790001,0,1
2013-01-11,20.190001,20.190001,20.190001,0,1
2013-01-14,20.120001,20.120001,20.120001,0,1
2013-01-15,20.219999,20.219999,20.219999,0,1
2013-01-16,20.219999,20.219999,20.219999,0,1
2013-01-17,20.18,20.18,20.18,0,1
2013-01-18,20.26,20.26,20.26,0,1
2013-01-22,20.370001,20.370001,20.370001,0,1
2013-01-23,20.41,20.41,20.41,0,1
2013-01-24,20.9,20.9,20.9,0,1
2013-01-25,20.92,20.92,20.92,0,1
2013-01-28,20.98,20.98,20.98,0,1
2013-01-29,20.950001,20.950001,20.950001,0,1
2013-01-30,20.969999,20.969999,20.969999,0,1
2013-01-31,20.719999,20.719999,20.719999,0,1
2013-02-01,21.83,21.83,21.83,0,1
2013-02-04,21.6,21.6,21.6,0,1
2013-02-05,21.790001,21.790001,21.790001,0,1
2013-02-06,21.469999,21.469999,21.469999,0,1
2013-02-07,21.52,21.52,21.52,0,1
2013-02-08,21.49,21.49,21.49,0,1
2013-02-11,19.93,19.93,19.93,0,1
2013-02-12,20.299999,20.299999,20.299999,0,1
2013-02-13,20.299999,20.299999,20.299999,0,1
2013-02-14,20.52,20.52,20.52,0,1
2013-02-15,21.049999,21.049999,21.049999,0,1
2013-02-19,20.940001,20.940001,20.940001,0,1
2013-02-20,20.799999,20.799999,20.799999,0,1
2013-02-21,20.85,20.85,20.85,0,1
2013-02-22,21.059999,21.059999,21.059999,0,1
2013-02-25,20.620001,20.620001,20.620001,0,1
2013-02-26,20.629999,20.629999,20.629999,0,1
2013-02-27,21.51,21.51,21.51,0,1
2013-02-28,20.98,20.98,20.98,0,1
2013-03-01,22.450001,22.450001,22.450001,0,1
2013-03-04,22.1,22.1,22.1,0,1
2013-03-05,22.98,22.98,22.98,0,1
2013-03-06,23.52,23.52,23.52,0,1
2013-03-07,23.41,23.41,23.41,0,1
2013-03-08,23.68,23.68,23.68,0,1
2013-03-11,23.389999,23.389999,23.389999,0,1
2013-03-12,23.139999,23.139999,23.139999,0,1
2013-03-13,23.49,23.49,23.49,0,1
2013-03-14,23.030001,23.030001,23.030001,0,1
2013-03-15,22.889999,22.889999,22.889999,0,1
2013-03-18,22.73,22.73,22.73,0,1
2013-03-19,22.82,22.82,22.82,0,1
2013-03-20,22.83,22.83,22.83,0,1
2013-03-21,22.67,22.67,22.67,0,1
2013-03-22,22.719999,22.719999,22.719999,0,1
2013-03-25,22.51,22.51,22.51,0,1
2013-03-26,22.889999,22.889999,22.889999,0,1
2013-03-27,23.34,23.34,23.34,0,1
2013-03-28,23.23,23.23,23.23,0,1
2013-04-01,23.25,23.25,23.25,0,1
2013-04-02,23.59,23.59,23.59,0,1
2013-04-03,23.290001,23.290001,23.290001,0,1
2013-04-04,23.42,23.42,23.42,0,1
2013-04-05,23.4,23.4,23.4,0,1
2013-04-08,23.059999,23.059999,23.059999,0,1
2013-04-09,22.870001,22.870001,22.870001,0,1
2013-04-10,23.23,23.23,23.23,0,1
2013-04-11,22.99,22.99,22.99,0,1
2013-04-12,23,23,23,0,1
2013-04-15,22.09,22.09,22.09,0,1
2013-04-16,22.700001,22.700001,22.700001,0,1
2013-04-17,21.370001,21.370001,21.370001,0,1
2013-04-18,21.209999,21.209999,21.209999,0,1
2013-04-19,20.969999,20.969999,20.969999,0,1
2013-04-22,21.15,21.15,21.15,0,1
2013-04-23,21.790001,21.790001,21.790001,0,1
2013-04-24,22.07,22.07,22.07,0,1
2013-04-25,21.459999,21.459999,21.459999,0,1
2013-04-26,21.34,21.34,21.34,0,1
2013-04-29,21.43,21.43,21.43,0,1
2013-04-30,21.5,21.5,21.5,0,1
2013-05-01,21.360001,21.360001,21.360001,0,1
2013-05-02,21.59,21.59,21.59,0,1
2013-05-03,22.389999,22.389999,22.389999,0,1
2013-05-06,23.02,23.02,23.02,0,1
2013-05-07,23,23,23,0,1
2013-05-08,23.07,23.07,23.07,0,1
2013-05-09,22.98,22.98,22.98,0,1
2013-05-10,23.1,23.1,23.1,0,1
2013-05-13,22.690001,22.690001,22.690001,0,1
2013-05-14,22.82,22.82,22.82,0,1
2013-05-15,22.75,22.75,22.75,0,1
2013-05-16,22.66,22.66,22.66,0,1
2013-05-17,23,23,23,0,1
2013-05-20,23.02,23.02,23.02,0,1
2013-05-21,23.93,23.93,23.93,0,1
