date,adj,close,raw,div,split
2000-08-11,324.1806338510584,420,420,0,1
2000-08-14,296.3937223781105,384,384,0,1
2000-08-15,299.48115698621586,388,388,0,1
2000-08-16,305.6560262024265,396,396,0,1
2000-08-17,296.3937223781105,384,384,0,1
2000-08-18,353.51126262805894,458,458,0,1
2000-08-21,375.12330488479614,486,486,0,1
2000-08-22,333.44293767537437,432,432,0,1
2000-08-23,321.09319924295306,416,416,0,1
2000-08-24,297.9374396821632,386,386,0,1
2000-08-25,318.00576463484776,412,412,0,1
2000-08-28,324.1806338510584,420,420,0,1
2000-08-29,330.355503067269,428,428,0,1
2000-08-30,350.4238280199536,454,454,0,1
2000-08-31,399.8227817496387,518,518,0,1
2000-09-01,389.01676062127007,504,504,0,1
2000-09-05,384.3856087091121,498,498,0,1
2000-09-06,382.84189140505947,496,496,0,1
2000-09-07,355.05497993211156,460,460,0,1
2000-09-08,345.7926761077956,448,448,0,1
2000-09-11,342.7052414996903,444,444,0,1
2000-09-12,321.09319924295306,416,416,0,1
2000-09-13,308.7434608105318,400,400,0,1
2000-09-14,313.3746127226898,406,406,0,1
2000-09-15,310.2871781145845,402,402,0,1
2000-09-18,297.9374396821632,386,386,0,1
2000-09-19,277.8691147294786,360,360,0,1
2000-09-20,256.2570724727414,332,332,0,1
2000-09-21,262.43194168895207,340,340,0,1
2000-09-22,260.8882243848994,338,338,0,1
2000-09-25,233.1013129119515,302,302,0,1
2000-09-26,228.47016099979353,296,296,0,1
2000-09-27,230.78573695587252,299,299,0,1
2000-09-28,246.99476864842546,320,320,0,1
2000-09-29,219.20785717547759,284,284,0,1
2000-10-02,209.94555335116164,272,272,0,1
2000-10-03,196.0520976146877,254,254,0,1
2000-10-04,175.98377266200313,228,228,0,1
2000-10-05,162.0903169255292,210,210,0,1
2000-10-06,150.51243714513427,195,195,0,1
2000-10-09,152.82801310121326,198,198,0,1
2000-10-10,140.47827466879198,182,182,0,1
2000-10-11,101.88534206747549,132,132,0,1
2000-10-12,128.1285362363707,166,166,0,1
2000-10-13,186.78979379037173,242,242,0,1
2000-10-16,200.68324952684569,260,260,0,1
2000-10-17,192.96466300658238,250,250,0,1
2000-10-18,199.139532222793,258,258,0,1
2000-10-19,170.58076209781882,221,221,0,1
2000-10-20,180.6149245741611,234,234,0,1
2000-10-23,203.77068413495098,264,264,0,1
2000-10-24,208.401836047109,270,270,0,1
2000-10-25,209.94555335116164,272,272,0,1
2000-10-26,223.83900908763556,290,290,0,1
2000-10-27,222.2952917835829,288,288,0,1
2000-10-30,220.75157447953023,286,286,0,1
2000-10-31,240.8198994322148,312,312,0,1
2000-11-01,240.8198994322148,312,312,0,1
2000-11-02,228.47016099979353,296,296,0,1
2000-11-03,225.3827263916882,292,292,0,1
2000-11-06,219.20785717547759,284,284,0,1
2000-11-07,219.20785717547759,284,284,0,1
2000-11-08,199.139532222793,258,258,0,1
2000-11-09,195.28023896266137,253,253,0,1
2000-11-10,183.70235918226643,238,238,0,1
2000-11-13,174.44005535795048,226,226,0,1
2000-11-14,163.63403422958186,212,212,0,1
2000-11-15,155.91544770931856,202,202,0,1
2000-11-16,156.6873063613449,203,203,0,1
2000-11-17,163.63403422958186,212,212,0,1
2000-11-20,155.91544770931856,202,202,0,1
2000-11-21,152.82801310121326,198,198,0,1
2000-11-22,148.19686118905526,192,192,0,1
2000-11-24,148.9687198410816,193,193,0,1
2000-11-27,148.19686118905526,192,192,0,1
2000-11-28,134.30340545258133,174,174,0,1
