date,adj,close,raw,div,split
2009-11-18,1.662,1.662,1.662,0,1
2009-11-19,1.689,1.689,1.689,0,1
2009-11-20,1.694,1.694,1.694,0,1
2009-11-23,1.69,1.69,1.69,0,1
2009-11-24,1.701,1.701,1.701,0,1
2009-11-25,1.72,1.72,1.72,0,1
2009-11-27,1.689,1.689,1.689,0,1
2009-11-30,1.699,1.699,1.699,0,1
2009-12-01,1.682,1.682,1.682,0,1
2009-12-02,1.662,1.662,1.662,0,1
2009-12-03,1.668,1.668,1.668,0,1
2009-12-04,1.728,1.728,1.728,0,1
2009-12-07,1.692,1.692,1.692,0,1
2009-12-08,1.655,1.655,1.655,0,1
2009-12-09,1.699,1.699,1.699,0,1
2009-12-10,1.692,1.692,1.692,0,1
2009-12-11,1.694,1.694,1.694,0,1
2009-12-14,1.7,1.7,1.7,0,1
2009-12-15,1.7,1.7,1.7,0,1
2009-12-16,1.825,1.825,1.825,0,1
2009-12-17,1.795,1.795,1.795,0,1
2009-12-18,1.758,1.758,1.758,0,1
2009-12-21,1.763,1.763,1.763,0,1
2009-12-22,1.723,1.723,1.723,0,1
2009-12-23,1.796,1.796,1.796,0,1
2009-12-24,1.836,1.836,1.836,0,1
2009-12-28,1.773,1.773,1.773,0,1
2009-12-29,1.835,1.835,1.835,0,1
2009-12-30,1.802,1.802,1.802,0,1
2009-12-31,1.757,1.757,1.757,0,1
2010-01-04,1.8,1.8,1.8,0,1
2010-01-05,1.839,1.839,1.839,0,1
2010-01-06,1.941,1.941,1.941,0,1
2010-01-07,1.945,1.945,1.945,0,1
2010-01-08,2.011,2.011,2.011,0,1
2010-01-11,2.005,2.005,2.005,0,1
2010-01-12,1.979,1.979,1.979,0,1
2010-01-13,1.944,1.944,1.944,0,1
2010-01-14,1.99,1.99,1.99,0,1
2010-01-15,1.963,1.963,1.963,0,1
2010-01-19,1.98,1.98,1.98,0,1
2010-01-20,1.906,1.906,1.906,0,1
2010-01-21,1.839,1.839,1.839,0,1
2010-01-22,1.788,1.788,1.788,0,1
2010-01-25,1.801,1.801,1.801,0,1
2010-01-26,1.831,1.831,1.831,0,1
2010-01-27,1.865,1.865,1.865,0,1
2010-01-28,1.78,1.78,1.78,0,1
2010-01-29,1.723,1.723,1.723,0,1
2010-02-01,1.745,1.745,1.745,0,1
2010-02-02,1.713,1.713,1.713,0,1
2010-02-03,1.644,1.644,1.644,0,1
2010-02-04,1.57,1.57,1.57,0,1
2010-02-05,1.569,1.569,1.569,0,1
2010-02-08,1.59,1.59,1.59,0,1
2010-02-09,1.659,1.659,1.659,0,1
2010-02-10,1.686,1.686,1.686,0,1
2010-02-11,1.667,1.667,1.667,0,1
2010-02-12,1.652,1.652,1.652,0,1
2010-02-16,1.651,1.651,1.651,0,1
2010-02-17,1.692,1.692,1.692,0,1
