date,adj,close,raw,div,split
2015-10-19,7.614990398584473,9.618977,9.618977,0,1
2015-10-20,7.762228676030311,9.804963,9.804963,0,1
2015-10-21,7.582781580082629,9.578292,9.578292,0,1
2015-10-22,7.799038641223384,9.85146,9.85146,0,1
2015-10-23,7.822044374679538,9.88052,9.88052,0,1
2015-10-26,7.555174699935245,9.54342,9.54342,0,1
2015-10-27,7.237691619924187,9.142387,9.142387,0,1
2015-10-28,7.490757854594788,9.462051,9.462051,0,1
2015-10-29,7.33891843045772,9.270253,9.270253,0,1
2015-10-30,6.772970262467291,8.555368,8.555368,0,1
2015-11-02,6.667142305242529,8.42169,8.42169,0,1
2015-11-03,6.607326606593302,8.346133,8.346133,0,1
2015-11-04,6.285243171554243,7.939289,7.939289,0,1
2015-11-05,6.1103972222977925,7.71843,7.71843,0,1
2015-11-06,6.625731985021454,8.369382,8.369382,0,1
2015-11-09,6.533707467870384,8.25314,8.25314,0,1
2015-11-10,6.6303331317126855,8.375194,8.375194,0,1
2015-11-11,6.4922971476493085,8.200832,8.200832,0,1
2015-11-12,6.3036477583191655,7.962537,7.962537,0,1
2015-11-13,6.161010627564559,7.782363,7.782363,0,1
2015-11-16,6.156409480873329,7.776551,7.776551,0,1
2015-11-17,6.082789550487179,7.683557,7.683557,0,1
2015-11-18,6.276040086508552,7.927664,7.927664,0,1
2015-11-19,6.340456931849011,8.009033,8.009033,0,1
2015-11-20,6.538308614561615,8.258952,8.258952,0,1
2015-11-23,6.372665750350854,8.049718,8.049718,0,1
2015-11-24,6.299046611627935,7.956725,7.956725,0,1
2015-11-25,6.496898294340539,8.206644,8.206644,0,1
2015-11-27,6.6027254599020715,8.340321,8.340321,0,1
2015-11-30,6.83738710780775,8.636737,8.636737,0,1
2015-12-01,7.182477067966191,9.072642,9.072642,0,1
2015-12-02,6.8787982196920545,8.689046,8.689046,0,1
2015-12-03,6.726958003891756,8.497247,8.497247,0,1
2015-12-04,7.003030763681739,8.845972,8.845972,0,1
2015-12-07,7.134639821445999,8.979649,8.979649,0.031966,1
2015-12-08,7.005338886046132,8.816911,8.816911,0,1
2015-12-09,6.857566615456106,8.630925,8.630925,0,1
2015-12-10,6.797533981553713,8.555368,8.555368,0,1
2015-12-11,6.548167778349059,8.241516,8.241516,0,1
2015-12-14,6.668233046153846,8.39263,8.39263,0,1
2015-12-15,6.723647846258699,8.462375,8.462375,0,1
2015-12-16,6.7882983139586335,8.543744,8.543744,0,1
2015-12-17,6.608200412251453,8.317073,8.317073,0,1
2015-12-18,6.538932110753978,8.229892,8.229892,0,1
2015-12-21,6.474281643054046,8.148523,8.148523,0,1
2015-12-22,6.492752978244204,8.171771,8.171771,0,1
2015-12-23,6.885273618241345,8.665797,8.665797,0,1
2015-12-24,6.936070584548659,8.72973,8.72973,0,1
2015-12-28,7.033046683365748,8.851784,8.851784,0,1
2015-12-29,7.019192387438751,8.834347,8.834347,0,1
2015-12-30,7.056135852353447,8.880844,8.880844,0,1
2015-12-31,7.019192387438751,8.834347,8.834347,0,1
2016-01-04,6.986867550855973,8.793663,8.793663,0,1
2016-01-05,6.940688418346199,8.735542,8.735542,0,1
