date,adj,close,raw,div,split
1972-06-05,0.2019507492953852,3.746001,3.746001,0,1
1972-06-06,NA,NA,NA,0,1
1972-06-07,NA,NA,NA,0,1
1972-06-08,NA,NA,NA,0,1
1972-06-09,NA,NA,NA,0,1
1972-06-12,NA,NA,NA,0,1
1972-06-13,0.19812964374614528,3.675123,3.675123,0,1
1972-06-14,NA,NA,NA,0,1
1972-06-15,NA,NA,NA,0,1
1972-06-16,0.19736340636400487,3.66091,3.66091,0,1
1972-06-19,NA,NA,NA,0,1
1972-06-20,NA,NA,NA,0,1
1972-06-21,0.1950697079428028,3.618364,3.618364,0,1
1972-06-22,NA,NA,NA,0,1
1972-06-23,NA,NA,NA,0,1
1972-06-26,NA,NA,NA,0,1
1972-06-27,0.1996570508741831,3.703455,3.703455,0,1
1972-06-28,NA,NA,NA,0,1
1972-06-29,NA,NA,NA,0,1
1972-06-30,0.2019507492953852,3.746001,3.746001,0,1
1972-07-03,0.2019507492953852,3.746001,3.746001,0,1
1972-07-05,NA,NA,NA,0,1
1972-07-06,NA,NA,NA,0,1
1972-07-07,NA,NA,NA,0,1
1972-07-10,NA,NA,NA,0,1
1972-07-11,0.2088365348180674,3.873726,3.873726,0,1
1972-07-12,0.2088365348180674,3.873726,3.873726,0,1
1972-07-13,NA,NA,NA,0,1
1972-07-14,NA,NA,NA,0,1
1972-07-17,NA,NA,NA,0,1
1972-07-18,NA,NA,NA,0,1
1972-07-19,NA,NA,NA,0,1
1972-07-20,NA,NA,NA,0,1
1972-07-21,0.20501030772156065,3.802753,3.802753,0,1
1972-07-24,0.20501030772156065,3.802753,3.802753,0,1
1972-07-25,NA,NA,NA,0,1
1972-07-26,NA,NA,NA,0,1
1972-07-27,NA,NA,NA,0,1
1972-07-28,NA,NA,NA,0,1
1972-07-31,NA,NA,NA,0,1
1972-08-01,NA,NA,NA,0,1
1972-08-02,0.20501030772156065,3.802753,3.802753,0,1
1972-08-03,NA,NA,NA,0,1
1972-08-04,NA,NA,NA,0,1
1972-08-07,0.20960282611123165,3.88794,3.88794,0,1
1972-08-08,NA,NA,NA,0,1
1972-08-09,NA,NA,NA,0,1
1972-08-10,NA,NA,NA,0,1
1972-08-11,NA,NA,NA,0,1
1972-08-14,NA,NA,NA,0,1
1972-08-15,0.2118964706214099,3.930485,3.930485,0,1
1972-08-16,0.2118964706214099,3.930485,3.930485,0,1
1972-08-17,0.2118964706214099,3.930485,3.930485,0,1
1972-08-18,NA,NA,NA,0,1
1972-08-21,NA,NA,NA,0,1
1972-08-22,NA,NA,NA,0,1
1972-08-23,NA,NA,NA,0,1
1972-08-24,NA,NA,NA,0,1
1972-08-25,0.21572269771791666,4.001458,4.001458,0,1
1972-08-28,0.21572269771791666,4.001458,4.001458,0,1
1972-08-29,0.21572269771791666,4.001458,4.001458,0,1
1972-08-30,0.21572269771791666,4.001458,4.001458,0,1
1972-08-31,NA,NA,NA,0,1
1972-09-01,NA,NA,NA,0,1
1972-09-05,0.21342899929671455,3.958912,3.958912,0,1
1972-09-06,NA,NA,NA,0,1
1972-09-07,NA,NA,NA,0,1
1972-09-08,NA,NA,NA,0,1
1972-09-11,NA,NA,NA,0,1
1972-09-12,0.20730912769002957,3.845394,3.845394,0,1
1972-09-13,NA,NA,NA,0,1
1972-09-14,NA,NA,NA,0,1
1972-09-15,0.20501030772156065,3.802753,3.802753,0,1
1972-09-18,NA,NA,NA,0,1
1972-09-19,NA,NA,NA,0,1
1972-09-20,0.2011896334605116,3.731883,3.731883,0,1
1972-09-21,NA,NA,NA,0,1
1972-09-22,NA,NA,NA,0,1
1972-09-25,NA,NA,NA,0,1
1972-09-26,0.19277088797433387,3.575723,3.575723,0,1
1972-09-27,NA,NA,NA,0,1
1972-09-28,NA,NA,NA,0,1
1972-09-29,NA,NA,NA,0,1
1972-10-02,NA,NA,NA,0,1
1972-10-03,NA,NA,NA,0,1
1972-10-04,NA,NA,NA,0,1
1972-10-05,0.1996570508741831,3.703455,3.703455,0,1
1972-10-06,NA,NA,NA,0,1
1972-10-09,NA,NA,NA,0,1
1972-10-10,0.1965971150708406,3.646696,3.646696,0,1
1972-10-11,NA,NA,NA,0,1
1972-10-12,NA,NA,NA,0,1
1972-10-13,NA,NA,NA,0,1
1972-10-16,NA,NA,NA,0,1
1972-10-17,NA,NA,NA,0,1
1972-10-18,NA,NA,NA,0,1
1972-10-19,0.18359145794147344,3.405453,3.405453,0,1
1972-10-20,NA,NA,NA,0,1
1972-10-23,NA,NA,NA,0,1
1972-10-24,NA,NA,NA,0,1
1972-10-25,0.18741768503798018,3.476426,3.476426,0,1
1972-10-26,0.18741768503798018,3.476426,3.476426,0,1
1972-10-27,NA,NA,NA,0,1
1972-10-30,0.18818392242012055,3.490639,3.490639,0,1
1972-10-31,0.18818392242012055,3.490639,3.490639,0,1
1972-11-01,0.18818392242012055,3.490639,3.490639,0,1
1972-11-02,NA,NA,NA,0,1
1972-11-03,NA,NA,NA,0,1
1972-11-06,NA,NA,NA,0,1
1972-11-08,NA,NA,NA,0,1
1972-11-09,NA,NA,NA,0,1
1972-11-10,0.18971132954815842,3.518971,3.518971,0,1
1972-11-13,0.18971132954815842,3.518971,3.518971,0,1
1972-11-14,NA,NA,NA,0,1
1972-11-15,NA,NA,NA,0,1
1972-11-16,NA,NA,NA,0,1
1972-11-17,NA,NA,NA,0,1
1972-11-20,0.1996570508741831,3.703455,3.703455,0,1
1972-11-21,NA,NA,NA,0,1
1972-11-22,0.19812964374614528,3.675123,3.675123,0,1
1972-11-24,NA,NA,NA,0,1
1972-11-27,NA,NA,NA,0,1
1972-11-28,NA,NA,NA,0,1
1972-11-29,NA,NA,NA,0,1
1972-11-30,0.20577659901472492,3.816967,3.816967,0,1
1972-12-01,0.20577659901472492,3.816967,3.816967,0,1
1972-12-04,0.20577659901472492,3.816967,3.816967,0,1
1972-12-05,NA,NA,NA,0,1
1972-12-06,NA,NA,NA,0,1
1972-12-07,NA,NA,NA,0,1
1972-12-08,NA,NA,NA,0,1
1972-12-11,0.2118964706214099,3.930485,3.930485,0,1
1972-12-12,NA,NA,NA,0,1
1972-12-13,NA,NA,NA,0,1
1972-12-14,NA,NA,NA,0,1
1972-12-15,0.20577659901472492,3.816967,3.816967,0,1
1972-12-18,NA,NA,NA,0,1
1972-12-19,NA,NA,NA,0,1
1972-12-20,NA,NA,NA,0,1
1972-12-21,0.20807024352490314,3.859512,3.859512,0,1
1972-12-22,NA,NA,NA,0,1
1972-12-26,0.2065428363968653,3.83118,3.83118,0,1
1972-12-27,0.2065428363968653,3.83118,3.83118,0,1
1972-12-29,0.2065428363968653,3.83118,3.83118,0,1
1973-01-02,NA,NA,NA,0,1
