date,adj,close,raw,div,split
1993-11-04,1.875,1.875,1.875,0,1
1993-11-05,1.96875,1.96875,1.96875,0,1
1993-11-08,1.96875,1.96875,1.96875,0,1
1993-11-09,1.96875,1.96875,1.96875,0,1
1993-11-10,2,2,2,0,1
1993-11-11,2.03125,2.03125,2.03125,0,1
1993-11-12,2.09375,2.09375,2.09375,0,1
1993-11-15,2.3125,2.3125,2.3125,0,1
1993-11-16,2.4375,2.4375,2.4375,0,1
1993-11-17,2.375,2.375,2.375,0,1
1993-11-18,2.3125,2.3125,2.3125,0,1
1993-11-19,2.34375,2.34375,2.34375,0,1
1993-11-22,2.25,2.25,2.25,0,1
1993-11-23,2.40625,2.40625,2.40625,0,1
1993-11-24,2.34375,2.34375,2.34375,0,1
1993-11-26,2.375,2.375,2.375,0,1
1993-11-29,2.25,2.25,2.25,0,1
1993-11-30,2.25,2.25,2.25,0,1
1993-12-01,2.1875,2.1875,2.1875,0,1
1993-12-02,2.59375,2.59375,2.59375,0,1
1993-12-03,2.5625,2.5625,2.5625,0,1
1993-12-06,2.40625,2.40625,2.40625,0,1
1993-12-07,2.34375,2.34375,2.34375,0,1
1993-12-08,2.375,2.375,2.375,0,1
1993-12-09,2.34375,2.34375,2.34375,0,1
1993-12-10,2.3125,2.3125,2.3125,0,1
1993-12-13,2.21875,2.21875,2.21875,0,1
1993-12-14,2.1875,2.1875,2.1875,0,1
1993-12-15,2.21875,2.21875,2.21875,0,1
1993-12-16,2.21875,2.21875,2.21875,0,1
1993-12-17,2.15625,2.15625,2.15625,0,1
1993-12-20,2.21875,2.21875,2.21875,0,1
1993-12-21,2.1875,2.1875,2.1875,0,1
1993-12-22,2.1875,2.1875,2.1875,0,1
1993-12-23,2.28125,2.28125,2.28125,0,1
1993-12-27,2.3125,2.3125,2.3125,0,1
1993-12-28,2.28125,2.28125,2.28125,0,1
1993-12-29,2.25,2.25,2.25,0,1
1993-12-30,2.21875,2.21875,2.21875,0,1
1993-12-31,2.25,2.25,2.25,0,1
1994-01-03,2.1875,2.1875,2.1875,0,1
1994-01-04,2.15625,2.15625,2.15625,0,1
1994-01-05,2.21875,2.21875,2.21875,0,1
1994-01-06,2.21875,2.21875,2.21875,0,1
1994-01-07,2.1875,2.1875,2.1875,0,1
1994-01-10,2.15625,2.15625,2.15625,0,1
1994-01-11,2.15625,2.15625,2.15625,0,1
1994-01-12,2.1875,2.1875,2.1875,0,1
1994-01-13,2.125,2.125,2.125,0,1
1994-01-14,2.0625,2.0625,2.0625,0,1
1994-01-17,2.09375,2.09375,2.09375,0,1
1994-01-18,2.125,2.125,2.125,0,1
1994-01-19,2.25,2.25,2.25,0,1
1994-01-20,2.28125,2.28125,2.28125,0,1
1994-01-21,2.28125,2.28125,2.28125,0,1
