date,adj,close,raw,div,split
1980-03-17,1.0774337276143668,5.037037,5.037037,0,1
1980-03-18,1.0853560265710063,5.074074,5.074074,0,1
1980-03-19,1.1012006244842847,5.148148,5.148148,0,1
1980-03-20,1.0932783255276455,5.111111,5.111111,0,1
1980-03-21,1.1170452223975633,5.222222,5.222222,0,1
1980-03-24,1.0893172830004687,5.092593,5.092593,0,1
1980-03-25,1.0853560265710063,5.074074,5.074074,0,1
1980-03-26,1.0932783255276455,5.111111,5.111111,0,1
1980-03-27,1.0853560265710063,5.074074,5.074074,0,1
1980-03-28,1.0734726850871903,5.018519,5.018519,0,1
1980-03-31,1.1051618809137473,5.166667,5.166667,0,1
1980-04-01,1.0932783255276455,5.111111,5.111111,0,1
1980-04-02,1.1328898203108417,5.296296,5.296296,0,1
1980-04-03,1.1764625715235004,5.5,5.5,0,1
1980-04-07,1.1843848704801396,5.537037,5.537037,0,1
1980-04-08,1.1645790161373988,5.444444,5.444444,0,1
1980-04-09,1.1487344182241204,5.37037,5.37037,0,1
1980-04-10,1.172501315094038,5.481481,5.481481,0,1
1980-04-11,1.172501315094038,5.481481,5.481481,0,1
1980-04-14,1.1685402725668612,5.462963,5.462963,0,1
1980-04-15,1.140812119267481,5.333333,5.333333,0,1
1980-04-16,1.1606179736102218,5.425926,5.425926,0,1
1980-04-17,1.140812119267481,5.333333,5.333333,0,1
1980-04-18,1.1328898203108417,5.296296,5.296296,0,1
1980-04-21,1.1051618809137473,5.166667,5.166667,0,1
1980-04-22,1.140812119267481,5.333333,5.333333,0,1
1980-04-23,1.140812119267481,5.333333,5.333333,0,1
1980-04-24,1.1328898203108417,5.296296,5.296296,0,1
1980-04-25,1.1170452223975633,5.222222,5.222222,0,1
1980-04-28,1.140812119267481,5.333333,5.333333,0,1
1980-04-29,1.1447733756969436,5.351852,5.351852,0,1
1980-04-30,1.1566567171807596,5.407407,5.407407,0,1
1980-05-01,1.1764625715235004,5.5,5.5,0,1
1980-05-02,1.1883461269096023,5.555556,5.555556,0,1
1980-05-05,1.2517245185627162,5.851852,5.851852,0,1
1980-05-06,1.2319186642199753,5.759259,5.759259,0,1
1980-05-07,1.2517245185627162,5.851852,5.851852,0,1
1980-05-08,1.2477632621332537,5.833333,5.833333,0,1
1980-05-09,1.2398409631766145,5.796296,5.796296,0,1
1980-05-12,1.2358799206494377,5.777778,5.777778,0,1
1980-05-13,1.2319186642199753,5.759259,5.759259,0,1
1980-05-14,1.2358799206494377,5.777778,5.777778,0,1
1980-05-15,1.2319186642199753,5.759259,5.759259,0,1
1980-05-16,1.2279576216927985,5.740741,5.740741,0,1
1980-05-19,1.2556855610898932,5.87037,5.87037,0,1
1980-05-20,1.2319186642199753,5.759259,5.759259,0,1
1980-05-21,1.223996365263336,5.722222,5.722222,0,1
1980-05-22,1.2358799206494377,5.777778,5.777778,0,1
1980-05-23,1.2517245185627162,5.851852,5.851852,0,1
1980-05-27,1.2398409631766145,5.796296,5.796296,0,1
1980-05-28,1.2596468175193554,5.888889,5.888889,0,1
1980-05-29,1.243802219606077,5.814815,5.814815,0,1
1980-05-30,1.2398409631766145,5.796296,5.796296,0,1
1980-06-02,1.2319186642199753,5.759259,5.759259,0,1
1980-06-03,1.2398409631766145,5.796296,5.796296,0,1
1980-06-04,1.2715301590031716,5.944444,5.944444,0,1
1980-06-05,1.2675691164759946,5.925926,5.925926,0,1
1980-06-06,1.330947508129109,6.222222,6.222222,0,1
1980-06-09,1.2675691164759946,5.925926,5.925926,0,1
1980-06-10,1.2873749708187359,6.018519,6.018519,0,1
1980-06-11,1.3111418676886535,6.12963,6.12963,0,1
1980-06-12,1.307180611259191,6.111111,6.111111,0,1
1980-06-13,1.362636703955666,6.37037,6.37037,0,1
1980-06-16,1.3151029102158303,6.148148,6.148148,0,1
1980-06-17,1.3151029102158303,6.148148,6.148148,0,1
1980-06-18,1.2873749708187359,6.018519,6.018519,0,1
1980-06-19,1.243802219606077,5.814815,5.814815,0,1
1980-06-20,1.2358799206494377,5.777778,5.777778,0,1
1980-06-23,1.2319186642199753,5.759259,5.759259,0,1
1980-06-24,1.2675691164759946,5.925926,5.925926,0,1
1980-06-25,1.2715301590031716,5.944444,5.944444,0,1
1980-06-26,1.2675691164759946,5.925926,5.925926,0,1
1980-06-27,1.2715301590031716,5.944444,5.944444,0,1
1980-06-30,1.2675691164759946,5.925926,5.925926,0,1
1980-07-01,1.2675691164759946,5.925926,5.925926,0,1
1980-07-02,1.2715301590031716,5.944444,5.944444,0,1
1980-07-03,1.275491415432634,5.962963,5.962963,0,1
