date,adj,close,raw,div,split
1997-02-04,10.5625,10.5625,10.5625,0,1
1997-02-05,10.125,10.125,10.125,0,1
1997-02-06,10.3125,10.3125,10.3125,0,1
1997-02-07,10.25,10.25,10.25,0,1
1997-02-10,10.5,10.5,10.5,0,1
1997-02-11,10.5,10.5,10.5,0,1
1997-02-12,10.375,10.375,10.375,0,1
1997-02-13,10,10,10,0,1
1997-02-14,10,10,10,0,1
1997-02-18,10.0625,10.0625,10.0625,0,1
1997-02-19,10,10,10,0,1
1997-02-20,10,10,10,0,1
1997-02-21,10,10,10,0,1
1997-02-24,10,10,10,0,1
1997-02-25,10,10,10,0,1
1997-02-26,10.125,10.125,10.125,0,1
1997-02-27,10,10,10,0,1
1997-02-28,10.0625,10.0625,10.0625,0,1
1997-03-03,10,10,10,0,1
1997-03-04,9.5,9.5,9.5,0,1
1997-03-05,9.5625,9.5625,9.5625,0,1
1997-03-06,9.6875,9.6875,9.6875,0,1
1997-03-07,9.8125,9.8125,9.8125,0,1
1997-03-10,9.8125,9.8125,9.8125,0,1
1997-03-11,9.625,9.625,9.625,0,1
1997-03-12,9.5,9.5,9.5,0,1
1997-03-13,8.8125,8.8125,8.8125,0,1
1997-03-14,8.4375,8.4375,8.4375,0,1
1997-03-17,8.4375,8.4375,8.4375,0,1
1997-03-18,8.3125,8.3125,8.3125,0,1
1997-03-19,8.25,8.25,8.25,0,1
1997-03-20,8.4375,8.4375,8.4375,0,1
1997-03-21,8.3125,8.3125,8.3125,0,1
1997-03-24,8.125,8.125,8.125,0,1
1997-03-25,7.75,7.75,7.75,0,1
1997-03-26,7.8125,7.8125,7.8125,0,1
1997-03-27,7.625,7.625,7.625,0,1
1997-03-31,7.5,7.5,7.5,0,1
1997-04-01,7.3125,7.3125,7.3125,0,1
1997-04-02,7.3125,7.3125,7.3125,0,1
1997-04-03,7.4375,7.4375,7.4375,0,1
1997-04-04,7.5,7.5,7.5,0,1
1997-04-07,8,8,8,0,1
1997-04-08,7.625,7.625,7.625,0,1
1997-04-09,7.625,7.625,7.625,0,1
1997-04-10,7.625,7.625,7.625,0,1
1997-04-11,7.5,7.5,7.5,0,1
1997-04-14,7.5,7.5,7.5,0,1
1997-04-15,7.375,7.375,7.375,0,1
1997-04-16,7.4375,7.4375,7.4375,0,1
1997-04-17,7.5,7.5,7.5,0,1
1997-04-18,7.25,7.25,7.25,0,1
1997-04-21,7.0625,7.0625,7.0625,0,1
1997-04-22,7,7,7,0,1
1997-04-23,7.0625,7.0625,7.0625,0,1
1997-04-24,6.9375,6.9375,6.9375,0,1
1997-04-25,6.875,6.875,6.875,0,1
1997-04-28,6.75,6.75,6.75,0,1
1997-04-29,7,7,7,0,1
1997-04-30,7.5,7.5,7.5,0,1
1997-05-01,7.5625,7.5625,7.5625,0,1
1997-05-02,7.375,7.375,7.375,0,1
1997-05-05,7.5,7.5,7.5,0,1
1997-05-06,7.5,7.5,7.5,0,1
1997-05-07,7.9375,7.9375,7.9375,0,1
1997-05-08,7.625,7.625,7.625,0,1
1997-05-09,7.8125,7.8125,7.8125,0,1
1997-05-12,8.3125,8.3125,8.3125,0,1
1997-05-13,8.1875,8.1875,8.1875,0,1
1997-05-14,7.8125,7.8125,7.8125,0,1
1997-05-15,7.6875,7.6875,7.6875,0,1
1997-05-16,7.5625,7.5625,7.5625,0,1
1997-05-19,7.375,7.375,7.375,0,1
1997-05-20,7.375,7.375,7.375,0,1
1997-05-21,7.4375,7.4375,7.4375,0,1
1997-05-22,7.4375,7.4375,7.4375,0,1
1997-05-23,7.5,7.5,7.5,0,1
1997-05-27,7.4375,7.4375,7.4375,0,1
1997-05-28,7.25,7.25,7.25,0,1
1997-05-29,7.3125,7.3125,7.3125,0,1
1997-05-30,7.25,7.25,7.25,0,1
1997-06-02,7.375,7.375,7.375,0,1
1997-06-03,7.3125,7.3125,7.3125,0,1
1997-06-04,7.1875,7.1875,7.1875,0,1
1997-06-05,7.25,7.25,7.25,0,1
1997-06-06,7.5,7.5,7.5,0,1
1997-06-09,7.625,7.625,7.625,0,1
1997-06-10,7.4375,7.4375,7.4375,0,1
1997-06-11,7.25,7.25,7.25,0,1
1997-06-12,7.3125,7.3125,7.3125,0,1
1997-06-13,7.25,7.25,7.25,0,1
1997-06-16,6.9375,6.9375,6.9375,0,1
1997-06-17,7,7,7,0,1
1997-06-18,7.1875,7.1875,7.1875,0,1
1997-06-19,7.1875,7.1875,7.1875,0,1
1997-06-20,7.4375,7.4375,7.4375,0,1
1997-06-23,7.375,7.375,7.375,0,1
1997-06-24,7.125,7.125,7.125,0,1
1997-06-25,7.0625,7.0625,7.0625,0,1
1997-06-26,7.03125,7.03125,7.03125,0,1
1997-06-27,7.03125,7.03125,7.03125,0,1
1997-06-30,7.15625,7.15625,7.15625,0,1
1997-07-01,7.03125,7.03125,7.03125,0,1
1997-07-02,7.21875,7.21875,7.21875,0,1
1997-07-03,7.28125,7.28125,7.28125,0,1
1997-07-07,7.1875,7.1875,7.1875,0,1
1997-07-08,7,7,7,0,1
1997-07-09,7.09375,7.09375,7.09375,0,1
1997-07-10,7.125,7.125,7.125,0,1
1997-07-11,7,7,7,0,1
1997-07-14,6.96875,6.96875,6.96875,0,1
1997-07-15,7,7,7,0,1
1997-07-16,6.875,6.875,6.875,0,1
1997-07-17,7,7,7,0,1
1997-07-18,6.9375,6.9375,6.9375,0,1
1997-07-21,6.75,6.75,6.75,0,1
1997-07-22,7,7,7,0,1
1997-07-23,6.9375,6.9375,6.9375,0,1
1997-07-24,6.6875,6.6875,6.6875,0,1
1997-07-25,6.78125,6.78125,6.78125,0,1
1997-07-28,6.90625,6.90625,6.90625,0,1
1997-07-29,7.25,7.25,7.25,0,1
1997-07-30,7,7,7,0,1
1997-07-31,7.09375,7.09375,7.09375,0,1
1997-08-01,7.25,7.25,7.25,0,1
1997-08-04,7.0625,7.0625,7.0625,0,1
1997-08-05,7.09375,7.09375,7.09375,0,1
1997-08-06,7.375,7.375,7.375,0,1
1997-08-07,7.21875,7.21875,7.21875,0,1
1997-08-08,7,7,7,0,1
1997-08-11,6.78125,6.78125,6.78125,0,1
1997-08-12,6.75,6.75,6.75,0,1
1997-08-13,6.59375,6.59375,6.59375,0,1
1997-08-14,6.84375,6.84375,6.84375,0,1
1997-08-15,6.6875,6.6875,6.6875,0,1
1997-08-18,6.59375,6.59375,6.59375,0,1
1997-08-19,6.46875,6.46875,6.46875,0,1
1997-08-20,6.53125,6.53125,6.53125,0,1
1997-08-21,6.5625,6.5625,6.5625,0,1
1997-08-22,6.59375,6.59375,6.59375,0,1
1997-08-25,6.59375,6.59375,6.59375,0,1
