date,adj,close,raw,div,split
2006-05-25,4.215997392357326,4.6,4.6,0,1
2006-05-26,4.117929626926406,4.493,4.493,0,1
2006-05-30,4.032693157907008,4.4,4.4,0,1
2006-05-31,4.118846148098657,4.494,4.494,0,1
2006-06-01,4.354392089367317,4.751,4.751,0,1
2006-06-02,4.306732988410234,4.699,4.699,0,1
2006-06-05,4.504701561616578,4.915,4.915,0,1
2006-06-06,4.426797261975192,4.83,4.83,0,1
2006-06-07,4.362640779917581,4.76,4.76,0,1
2006-06-08,4.373639033984601,4.772,4.772,0,1
2006-06-09,4.379138161018109,4.778,4.778,0,1
2006-06-12,4.303066903721228,4.695,4.695,0,1
2006-06-13,4.170171333744746,4.55,4.55,0,1
2006-06-14,4.135343529199186,4.512,4.512,0,1
2006-06-15,4.211414786496068,4.595,4.595,0,1
2006-06-16,4.12617831747667,4.502,4.502,0,1
2006-06-19,4.063854877763562,4.434,4.434,0,1
2006-06-20,4.034526200251511,4.402,4.402,0,1
2006-06-21,4.151840910299715,4.53,4.53,0,1
2006-06-22,4.270988662692422,4.66,4.66,0,1
2006-06-23,4.303066903721228,4.695,4.695,0,1
2006-06-26,4.353475568195066,4.75,4.75,0,1
2006-06-27,4.336061665922285,4.731,4.731,0,1
2006-06-28,4.303983424893479,4.696,4.696,0,1
2006-06-29,4.399301626807644,4.8,4.8,0,1
2006-06-30,4.399301626807644,4.8,4.8,0,1
2006-07-03,4.335145144750034,4.73,4.73,0,1
2006-07-05,4.362640779917581,4.76,4.76,0,1
2006-07-06,4.2893190861374535,4.68,4.68,0,1
2006-07-07,4.226995646424346,4.612,4.612,0,1
2006-07-10,4.260906929797654,4.649,4.649,0,1
2006-07-11,4.248075633386132,4.635,4.635,0,1
2006-07-12,4.1747539396060045,4.555,4.555,0,1
2006-07-13,4.098682682309123,4.472,4.472,0,1
2006-07-14,4.028110552045749,4.395,4.395,0,1
2006-07-17,4.031776636734756,4.399,4.399,0,1
2006-07-18,4.023527946184491,4.39,4.39,0,1
2006-07-19,4.150007867955211,4.528,4.528,0,1
2006-07-20,4.1747539396060045,4.555,4.555,0,1
2006-07-21,4.150007867955211,4.528,4.528,0,1
2006-07-24,4.124345275132167,4.5,4.5,0,1
2006-07-25,4.223329561735339,4.608,4.608,0,1
2006-07-26,4.278320832070435,4.668,4.668,0,1
2006-07-27,4.263656493314409,4.652,4.652,0,1
2006-07-28,4.243493027524874,4.63,4.63,0,1
2006-07-31,4.204082617118055,4.587,4.587,0,1
2006-08-01,4.124345275132167,4.5,4.5,0,1
2006-08-02,4.584438903602466,5.002,5.002,0,1
2006-08-03,4.5816893400857115,4.999,4.999,0,1
2006-08-04,4.587188467119221,5.005,5.005,0,1
2006-08-07,4.683423190205639,5.11,5.11,0,1
2006-08-08,4.818151802526622,5.257,5.257,0,1
2006-08-09,4.843814395349668,5.285,5.285,0,1
2006-08-10,4.90888739857953,5.356,5.356,0,1
2006-08-11,4.91988565264655,5.368,5.368,0,1
2006-08-14,4.970294317120387,5.423,5.423,0,1
2006-08-15,4.994123867598929,5.449,5.449,0,1
2006-08-16,4.973960401809393,5.427,5.427,0,1
2006-08-17,4.899722186857015,5.346,5.346,0,1
2006-08-18,4.898805665684763,5.345,5.345,0,1
2006-08-21,4.973043880637142,5.426,5.426,0,1
2006-08-22,5.061946434345546,5.523,5.523,0,1
2006-08-23,5.004205600493696,5.46,5.46,0,1
2006-08-24,5.100440323580114,5.565,5.565,0,1
2006-08-25,5.04086644738376,5.5,5.5,0,1
2006-08-28,5.042699489728263,5.502,5.502,0,1
2006-08-29,5.072944688412566,5.535,5.535,0,1
2006-08-30,5.06377947669005,5.525,5.525,0,1
2006-08-31,5.123353352886403,5.59,5.59,0,1
2006-09-01,5.182927229082757,5.655,5.655,0,1
2006-09-05,5.210422864250304,5.685,5.685,0,1
2006-09-06,5.396476662217378,5.888,5.888,0,1
2006-09-07,5.5101252875765745,6.012,6.012,0,1
2006-09-08,5.476214004203266,5.975,5.975,0,1
2006-09-11,5.670516492720604,6.187,6.187,0,1
2006-09-12,5.69159647968239,6.21,6.21,0,1
2006-09-13,5.622857391763521,6.135,6.135,0,1
2006-09-14,5.75483644056775,6.279,6.279,0,1
2006-09-15,5.954638056118598,6.497,6.497,0,1
2006-09-18,5.968385873702371,6.512,6.512,0,1
2006-09-19,5.942723280879327,6.484,6.484,0,1
2006-09-20,6.0994484013343495,6.655,6.655,0,1
2006-09-21,6.3285786943972475,6.905,6.905,0,1
2006-09-22,6.04262408865475,6.593,6.593,0,1
2006-09-25,5.902396349300258,6.44,6.44,0,1
2006-09-26,6.049039736860512,6.6,6.6,0,1
2006-09-27,6.2176796325548045,6.784,6.784,0,1
2006-09-28,6.291917847507184,6.865,6.865,0,1
2006-09-29,6.447726446789955,7.035,7.035,0,1
2006-10-02,6.411982121072143,6.996,6.996,0,1
2006-10-03,6.386319528249098,6.968,6.968,0,1
2006-10-04,6.380820401215588,6.962,6.962,0,1
2006-10-05,6.661638902980578,7.259,7.259,0.009,1
2006-10-06,6.896572028640176,7.515,7.515,0,1
2006-10-09,6.680910760944842,7.28,7.28,0,1
2006-10-10,6.5992347914772465,7.191,7.191,0,1
2006-10-11,6.378067278649265,6.95,6.95,0,1
2006-10-12,6.461578663161076,7.041,7.041,0,1
2006-10-13,6.432212022453626,7.009,7.009,0,1
2006-10-16,6.5432546326286705,7.13,7.13,0,1
2006-10-17,6.378067278649265,6.95,6.95,0,1
2006-10-18,6.465249493249507,7.045,7.045,0,1
2006-10-19,6.637778507405774,7.233,7.233,0,1
2006-10-20,6.535912972451808,7.122,7.122,0,1
2006-10-23,6.446895342807351,7.025,7.025,0,1
2006-10-24,6.534077557407593,7.12,7.12,0,1
2006-10-25,6.4927807189127416,7.075,7.075,0,1
2006-10-26,6.625848309618373,7.22,7.22,0,1
2006-10-27,6.666227440591117,7.264,7.264,0,1
2006-10-30,6.657050365370038,7.254,7.254,0,1
2006-10-31,6.800212738818857,7.41,7.41,0,1
2006-11-01,7.806937890571121,8.507,8.507,0,1
2006-11-02,8.039117893664397,8.76,8.76,0,1
2006-11-03,8.214400030386988,8.951,8.951,0,1
2006-11-06,8.837523437898192,9.63,9.63,0,1
2006-11-07,8.488794579497224,9.25,9.25,0,1
2006-11-08,8.116205325521452,8.844,8.844,0,1
2006-11-09,8.094180344990866,8.82,8.82,0,1
2006-11-10,8.185951097201647,8.92,8.92,0,1
2006-11-13,8.860466125950884,9.655,9.655,0,1
2006-11-14,8.736575610466332,9.52,9.52,0,1
2006-11-15,8.745752685687409,9.53,9.53,0,1
2006-11-16,8.674171498963,9.452,9.452,0,1
2006-11-17,8.69894960205991,9.479,9.479,0,1
2006-11-20,8.827428655155003,9.619,9.619,0,1
2006-11-21,9.232137672404548,10.06,10.06,0,1
2006-11-22,9.476247873285224,10.326,10.326,0,1
2006-11-24,9.679978943193158,10.548,10.548,0,1
2006-11-27,9.08438676134519,9.899,9.899,0,1
2006-11-28,9.245903285236164,10.075,10.075,0,1
2006-11-29,9.103658619309455,9.92,9.92,0,1
2006-11-30,9.337674037446947,10.175,10.175,0,1
2006-12-01,9.284447001164693,10.117,10.117,0,1
2006-12-04,9.184416881254942,10.008,10.008,0,1
2006-12-05,9.108247156919994,9.925,9.925,0,1
2006-12-06,9.0972346666547,9.913,9.913,0,1
2006-12-07,9.14770858037063,9.968,9.968,0,1
2006-12-08,9.186252296299157,10.01,10.01,0,1
2006-12-11,9.094481544088376,9.91,9.91,0,1
2006-12-12,8.78704952418226,9.575,9.575,0,1
2006-12-13,8.788884939226476,9.577,9.577,0,1
2006-12-14,8.773283911350644,9.56,9.56,0,1
2006-12-15,8.827428655155003,9.619,9.619,0,1
2006-12-18,8.525502880381534,9.29,9.29,0,1
2006-12-19,8.93847126533005,9.74,9.74,0,1
2006-12-20,8.948566048073234,9.751,9.751,0,1
2006-12-21,8.783378694093829,9.571,9.571,0,1
2006-12-22,8.842111975508729,9.635,9.635,0,1
2006-12-26,8.731069365333685,9.514,9.514,0,1
2006-12-27,9.119259647185286,9.937,9.937,0,1
2006-12-28,9.081633638778868,9.896,9.896,0,1
2006-12-29,9.038501385239801,9.849,9.849,0,1
2007-01-03,8.847618220641376,9.641,9.641,0,1
2007-01-04,9.28169387859837,10.114,10.114,0,1
2007-01-05,9.274352218421507,10.106,10.106,0,1
2007-01-08,9.276187633465723,10.108,10.108,0,1
2007-01-09,9.703839338767962,10.574,10.574,0,1
2007-01-10,9.620256813464803,10.474,10.474,0.009,1
2007-01-11,9.690061999432277,10.55,10.55,0,1
2007-01-12,9.667099767206134,10.525,10.525,0,1
2007-01-16,9.735986463884561,10.6,10.6,0,1
2007-01-17,10.01520720775446,10.904,10.904,0,1
2007-01-18,9.413596723429517,10.249,10.249,0,1
2007-01-19,9.646893002847127,10.503,10.503,0,1
2007-01-22,9.88386323942092,10.761,10.761,0,1
2007-01-23,9.957342382544578,10.841,10.841,0,1
2007-01-24,10.233807658547338,11.142,11.142,0,1
2007-01-25,9.907743960936111,10.787,10.787,0,1
2007-01-26,9.967445764724081,10.852,10.852,0,1
2007-01-29,10.079501457987659,10.974,10.974,0,1
2007-01-30,10.172268876181274,11.075,11.075,0,1
2007-01-31,10.245748019304932,11.155,11.155,0,1
