date,adj,close,raw,div,split
2018-12-07,18.6,18.6,18.6,0,1
2018-12-10,18.799999,18.799999,18.799999,0,1
2018-12-11,18.01,18.01,18.01,0,1
2018-12-12,18.68,18.68,18.68,0,1
2018-12-13,18.76,18.76,18.76,0,1
2018-12-14,18.32,18.32,18.32,0,1
2018-12-17,17,17,17,0,1
2018-12-18,17,17,17,0,1
2018-12-19,16.18,16.18,16.18,0,1
2018-12-20,15.5,15.5,15.5,0,1
2018-12-21,14.47,14.47,14.47,0,1
2018-12-24,14.03,14.03,14.03,0,1
2018-12-26,13.52,13.52,13.52,0,1
2018-12-27,14.65,14.65,14.65,0,1
2018-12-28,14.15,14.15,14.15,0,1
2018-12-31,15.27,15.27,15.27,0,1
2019-01-02,15.33,15.33,15.33,0,1
2019-01-03,15.5,15.5,15.5,0,1
2019-01-04,16.959999,16.959999,16.959999,0,1
2019-01-07,16.27,16.27,16.27,0,1
2019-01-08,16.950001,16.950001,16.950001,0,1
2019-01-09,16.33,16.33,16.33,0,1
2019-01-10,16.48,16.48,16.48,0,1
2019-01-11,17,17,17,0,1
2019-01-14,16.74,16.74,16.74,0,1
2019-01-15,16.59,16.59,16.59,0,1
2019-01-16,16.26,16.26,16.26,0,1
2019-01-17,16.309999,16.309999,16.309999,0,1
2019-01-18,16.690001,16.690001,16.690001,0,1
2019-01-22,15.56,15.56,15.56,0,1
2019-01-23,14.79,14.79,14.79,0,1
2019-01-24,14.64,14.64,14.64,0,1
2019-01-25,14.91,14.91,14.91,0,1
2019-01-28,14.45,14.45,14.45,0,1
2019-01-29,14.63,14.63,14.63,0,1
2019-01-30,15.13,15.13,15.13,0,1
2019-01-31,16.6,16.6,16.6,0,1
2019-02-01,16.219999,16.219999,16.219999,0,1
2019-02-04,16.27,16.27,16.27,0,1
2019-02-05,17.18,17.18,17.18,0,1
2019-02-06,18.139999,18.139999,18.139999,0,1
2019-02-07,17.049999,17.049999,17.049999,0,1
2019-02-08,17.99,17.99,17.99,0,1
2019-02-11,18.17,18.17,18.17,0,1
2019-02-12,18.690001,18.690001,18.690001,0,1
2019-02-13,18.530001,18.530001,18.530001,0,1
2019-02-14,19.66,19.66,19.66,0,1
2019-02-15,21.440001,21.440001,21.440001,0,1
2019-02-19,20.83,20.83,20.83,0,1
2019-02-20,19.92,19.92,19.92,0,1
2019-02-21,19.34,19.34,19.34,0,1
2019-02-22,19.879999,19.879999,19.879999,0,1
2019-02-25,21.65,21.65,21.65,0,1
2019-02-26,23.700001,23.700001,23.700001,0,1
2019-02-27,22.1,22.1,22.1,0,1
2019-02-28,22.6,22.6,22.6,0,1
2019-03-01,22.27,22.27,22.27,0,1
2019-03-04,21.120001,21.120001,21.120001,0,1
2019-03-05,21.370001,21.370001,21.370001,0,1
2019-03-06,20.65,20.65,20.65,0,1
2019-03-07,20.59,20.59,20.59,0,1
2019-03-08,20.93,20.93,20.93,0,1
