date,adj,close,raw,div,split
2012-06-29,24.6,24.6,24.6,0,1
2012-07-02,24.77,24.77,24.77,0,1
2012-07-03,25.309999,25.309999,25.309999,0,1
2012-07-05,25.959999,25.959999,25.959999,0,1
2012-07-06,25.84,25.84,25.84,0,1
2012-07-09,25.27,25.27,25.27,0,1
2012-07-10,25.049999,25.049999,25.049999,0,1
2012-07-11,23.74,23.74,23.74,0,1
2012-07-12,24.08,24.08,24.08,0,1
2012-07-13,24.18,24.18,24.18,0,1
2012-07-16,24.379999,24.379999,24.379999,0,1
2012-07-17,24.27,24.27,24.27,0,1
2012-07-18,24.23,24.23,24.23,0,1
2012-07-19,24,24,24,0,1
2012-07-20,25.23,25.23,25.23,0,1
2012-07-23,24.35,24.35,24.35,0,1
2012-07-24,24.84,24.84,24.84,0,1
2012-07-25,24.93,24.93,24.93,0,1
2012-07-26,24.42,24.42,24.42,0,1
2012-07-27,25.33,25.33,25.33,0,1
2012-07-30,25.389999,25.389999,25.389999,0,1
2012-07-31,27,27,27,0,1
2012-08-01,27.709999,27.709999,27.709999,0,1
2012-08-02,29.08,29.08,29.08,0,1
2012-08-03,28.67,28.67,28.67,0,1
2012-08-06,28.02,28.02,28.02,0,1
2012-08-07,28,28,28,0,1
2012-08-08,27.57,27.57,27.57,0,1
2012-08-09,29.51,29.51,29.51,0,1
2012-08-10,31.65,31.65,31.65,0,1
2012-08-13,32.43,32.43,32.43,0,1
2012-08-14,32.279999,32.279999,32.279999,0,1
2012-08-15,29.68,29.68,29.68,0,1
2012-08-16,29.75,29.75,29.75,0,1
2012-08-17,29.6,29.6,29.6,0,1
2012-08-20,29.889999,29.889999,29.889999,0,1
2012-08-21,30.26,30.26,30.26,0,1
2012-08-22,29.85,29.85,29.85,0,1
2012-08-23,29.030001,29.030001,29.030001,0,1
2012-08-24,29.700001,29.700001,29.700001,0,1
2012-08-27,29.27,29.27,29.27,0,1
2012-08-28,29.32,29.32,29.32,0,1
2012-08-29,29.49,29.49,29.49,0,1
2012-08-30,29.780001,29.780001,29.780001,0,1
2012-08-31,31.1,31.1,31.1,0,1
2012-09-04,33.669998,33.669998,33.669998,0,1
