date,adj,close,raw,div,split
1991-04-02,21.125,21.125,21.125,0,1
1991-04-03,18.25,18.25,18.25,0,1
1991-04-04,18,18,18,0,1
1991-04-05,17.75,17.75,17.75,0,1
1991-04-08,17.625,17.625,17.625,0,1
1991-04-09,16,16,16,0,1
1991-04-10,15.875,15.875,15.875,0,1
1991-04-11,14.75,14.75,14.75,0,1
1991-04-12,16.25,16.25,16.25,0,1
1991-04-15,16.125,16.125,16.125,0,1
1991-04-16,16.125,16.125,16.125,0,1
1991-04-17,15.25,15.25,15.25,0,1
1991-04-18,15.25,15.25,15.25,0,1
1991-04-19,14.875,14.875,14.875,0,1
1991-04-22,14.125,14.125,14.125,0,1
1991-04-23,14.25,14.25,14.25,0,1
1991-04-24,14.75,14.75,14.75,0,1
1991-04-25,14.5,14.5,14.5,0,1
1991-04-26,14.375,14.375,14.375,0,1
1991-04-29,12.5,12.5,12.5,0,1
1991-04-30,12.625,12.625,12.625,0,1
1991-05-01,13.5,13.5,13.5,0,1
1991-05-02,13.5,13.5,13.5,0,1
1991-05-03,13.375,13.375,13.375,0,1
1991-05-06,13.625,13.625,13.625,0,1
1991-05-07,13.375,13.375,13.375,0,1
1991-05-08,13.25,13.25,13.25,0,1
1991-05-09,13.625,13.625,13.625,0,1
1991-05-10,12.75,12.75,12.75,0,1
1991-05-13,11.5,11.5,11.5,0,1
1991-05-14,11.875,11.875,11.875,0,1
1991-05-15,10.75,10.75,10.75,0,1
1991-05-16,11.25,11.25,11.25,0,1
1991-05-17,11.75,11.75,11.75,0,1
1991-05-20,11.375,11.375,11.375,0,1
1991-05-21,12.25,12.25,12.25,0,1
1991-05-22,12.125,12.125,12.125,0,1
1991-05-23,11.875,11.875,11.875,0,1
1991-05-24,12.25,12.25,12.25,0,1
1991-05-28,12,12,12,0,1
1991-05-29,12.625,12.625,12.625,0,1
1991-05-30,12.25,12.25,12.25,0,1
1991-05-31,12.25,12.25,12.25,0,1
1991-06-03,11.75,11.75,11.75,0,1
1991-06-04,12.125,12.125,12.125,0,1
1991-06-05,11.875,11.875,11.875,0,1
1991-06-06,11.875,11.875,11.875,0,1
1991-06-07,11.625,11.625,11.625,0,1
1991-06-10,11.625,11.625,11.625,0,1
1991-06-11,11.625,11.625,11.625,0,1
1991-06-12,11,11,11,0,1
1991-06-13,10.375,10.375,10.375,0,1
1991-06-14,11,11,11,0,1
1991-06-17,10.875,10.875,10.875,0,1
1991-06-18,11.25,11.25,11.25,0,1
