date,adj,close,raw,div,split
2007-03-29,8.76,8.76,8.76,0,1
2007-03-30,8.99,8.99,8.99,0,1
2007-04-02,10.38,10.38,10.38,0,1
2007-04-03,10.58,10.58,10.58,0,1
2007-04-04,10.16,10.16,10.16,0,1
2007-04-05,9.8,9.8,9.8,0,1
2007-04-09,10,10,10,0,1
2007-04-10,9.8,9.8,9.8,0,1
2007-04-11,9.54,9.54,9.54,0,1
2007-04-12,9.85,9.85,9.85,0,1
2007-04-13,9.74,9.74,9.74,0,1
2007-04-16,10.15,10.15,10.15,0,1
2007-04-17,10.25,10.25,10.25,0,1
2007-04-18,10.37,10.37,10.37,0,1
2007-04-19,9.89,9.89,9.89,0,1
2007-04-20,9.86,9.86,9.86,0,1
2007-04-23,9.85,9.85,9.85,0,1
2007-04-24,9.83,9.83,9.83,0,1
2007-04-25,10.35,10.35,10.35,0,1
2007-04-26,10.19,10.19,10.19,0,1
2007-04-27,10.2,10.2,10.2,0,1
2007-04-30,10.41,10.41,10.41,0,1
2007-05-01,10.49,10.49,10.49,0,1
2007-05-02,10.4,10.4,10.4,0,1
2007-05-03,10.43,10.43,10.43,0,1
2007-05-04,10.58,10.58,10.58,0,1
2007-05-07,10.57,10.57,10.57,0,1
2007-05-08,10.5,10.5,10.5,0,1
2007-05-09,11.24,11.24,11.24,0,1
2007-05-10,10.15,10.15,10.15,0,1
2007-05-11,10.4,10.4,10.4,0,1
2007-05-14,10.43,10.43,10.43,0,1
2007-05-15,10.24,10.24,10.24,0,1
2007-05-16,10.1,10.1,10.1,0,1
2007-05-17,10.02,10.02,10.02,0,1
2007-05-18,10.02,10.02,10.02,0,1
2007-05-21,10.04,10.04,10.04,0,1
2007-05-22,10.04,10.04,10.04,0,1
2007-05-23,10,10,10,0,1
2007-05-24,9.99,9.99,9.99,0,1
2007-05-25,10.04,10.04,10.04,0,1
2007-05-29,10.03,10.03,10.03,0,1
2007-05-30,10.03,10.03,10.03,0,1
2007-05-31,10.06,10.06,10.06,0,1
2007-06-01,10.04,10.04,10.04,0,1
2007-06-04,10.56,10.56,10.56,0,1
2007-06-05,11.43,11.43,11.43,0,1
2007-06-06,11.2,11.2,11.2,0,1
2007-06-07,11.15,11.15,11.15,0,1
2007-06-08,10.65,10.65,10.65,0,1
2007-06-11,10.51,10.51,10.51,0,1
2007-06-12,10.73,10.73,10.73,0,1
2007-06-13,10.66,10.66,10.66,0,1
2007-06-14,10.76,10.76,10.76,0,1
2007-06-15,10.74,10.74,10.74,0,1
2007-06-18,10.75,10.75,10.75,0,1
2007-06-19,10.88,10.88,10.88,0,1
2007-06-20,10.97,10.97,10.97,0,1
2007-06-21,10.99,10.99,10.99,0,1
2007-06-22,10.53,10.53,10.53,0,1
2007-06-25,10.47,10.47,10.47,0,1
2007-06-26,10.24,10.24,10.24,0,1
2007-06-27,10.41,10.41,10.41,0,1
2007-06-28,10.08,10.08,10.08,0,1
2007-06-29,10.01,10.01,10.01,0,1
2007-07-02,10.04,10.04,10.04,0,1
2007-07-03,10.43,10.43,10.43,0,1
2007-07-05,10.27,10.27,10.27,0,1
2007-07-06,10.18,10.18,10.18,0,1
2007-07-09,10.21,10.21,10.21,0,1
2007-07-10,10,10,10,0,1
2007-07-11,10,10,10,0,1
2007-07-12,9.91,9.91,9.91,0,1
2007-07-13,9.41,9.41,9.41,0,1
2007-07-16,9.79,9.79,9.79,0,1
2007-07-17,9.85,9.85,9.85,0,1
2007-07-18,9.9,9.9,9.9,0,1
2007-07-19,9.99,9.99,9.99,0,1
2007-07-20,9.96,9.96,9.96,0,1
2007-07-23,10,10,10,0,1
2007-07-24,10,10,10,0,1
2007-07-25,10.03,10.03,10.03,0,1
2007-07-26,9.72,9.72,9.72,0,1
2007-07-27,9.34,9.34,9.34,0,1
2007-07-30,8.89,8.89,8.89,0,1
2007-07-31,8.95,8.95,8.95,0,1
2007-08-01,9.15,9.15,9.15,0,1
2007-08-02,9.17,9.17,9.17,0,1
2007-08-03,8.9,8.9,8.9,0,1
2007-08-06,8.64,8.64,8.64,0,1
2007-08-07,8.61,8.61,8.61,0,1
2007-08-08,8.75,8.75,8.75,0,1
2007-08-09,9,9,9,0,1
2007-08-10,8.75,8.75,8.75,0,1
2007-08-13,8.72,8.72,8.72,0,1
2007-08-14,8.74,8.74,8.74,0,1
2007-08-15,8.7,8.7,8.7,0,1
2007-08-16,8.4,8.4,8.4,0,1
2007-08-17,8.54,8.54,8.54,0,1
2007-08-20,8.55,8.55,8.55,0,1
2007-08-21,8.48,8.48,8.48,0,1
2007-08-22,8.41,8.41,8.41,0,1
2007-08-23,8.37,8.37,8.37,0,1
2007-08-24,8.37,8.37,8.37,0,1
2007-08-27,8.39,8.39,8.39,0,1
2007-08-28,8.38,8.38,8.38,0,1
2007-08-29,8.4,8.4,8.4,0,1
2007-08-30,8.35,8.35,8.35,0,1
2007-08-31,8.34,8.34,8.34,0,1
2007-09-04,8.38,8.38,8.38,0,1
2007-09-05,8.33,8.33,8.33,0,1
2007-09-06,8.37,8.37,8.37,0,1
2007-09-07,8.49,8.49,8.49,0,1
2007-09-10,8.73,8.73,8.73,0,1
2007-09-11,9.18,9.18,9.18,0,1
2007-09-12,9.35,9.35,9.35,0,1
2007-09-13,9.21,9.21,9.21,0,1
2007-09-14,9.22,9.22,9.22,0,1
2007-09-17,9.05,9.05,9.05,0,1
2007-09-18,9.49,9.49,9.49,0,1
2007-09-19,9.88,9.88,9.88,0,1
2007-09-20,9.93,9.93,9.93,0,1
2007-09-21,9.84,9.84,9.84,0,1
2007-09-24,9.58,9.58,9.58,0,1
2007-09-25,9.75,9.75,9.75,0,1
2007-09-26,10.01,10.01,10.01,0,1
2007-09-27,9.84,9.84,9.84,0,1
2007-09-28,9.76,9.76,9.76,0,1
2007-10-01,9.79,9.79,9.79,0,1
2007-10-02,9.88,9.88,9.88,0,1
2007-10-03,10.08,10.08,10.08,0,1
2007-10-04,9.7,9.7,9.7,0,1
2007-10-05,9.85,9.85,9.85,0,1
2007-10-08,10.03,10.03,10.03,0,1
2007-10-09,9.93,9.93,9.93,0,1
2007-10-10,10,10,10,0,1
2007-10-11,9.89,9.89,9.89,0,1
2007-10-12,9.97,9.97,9.97,0,1
2007-10-15,9.86,9.86,9.86,0,1
2007-10-16,9.98,9.98,9.98,0,1
2007-10-17,9.93,9.93,9.93,0,1
2007-10-18,9.99,9.99,9.99,0,1
2007-10-19,9.76,9.76,9.76,0,1
2007-10-22,9.68,9.68,9.68,0,1
2007-10-23,9.85,9.85,9.85,0,1
2007-10-24,9.84,9.84,9.84,0,1
2007-10-25,9.8,9.8,9.8,0,1
2007-10-26,10.03,10.03,10.03,0,1
2007-10-29,10.1,10.1,10.1,0,1
2007-10-30,9.91,9.91,9.91,0,1
2007-10-31,10.05,10.05,10.05,0,1
