date,adj,close,raw,div,split
2006-02-06,31.701359468998042,33.900002,33.900002,0,1
2006-02-07,30.850379073280415,32.990002,32.990002,0,1
2006-02-08,29.92458534391642,32,32,0,1
2006-02-09,32.26244357390989,34.5,34.5,0,1
2006-02-10,32.01930818827715,34.240002,34.240002,0,1
2006-02-13,32.76742188673177,35.040001,35.040001,0,1
2006-02-14,33.45942605252325,35.779999,35.779999,0,1
2006-02-15,34.16078352152129,36.529999,36.529999,0,1
2006-02-16,33.38461645945005,35.700001,35.700001,0,1
2006-02-17,34.53484177346354,36.93,36.93,0,1
2006-02-21,33.13212683546746,35.43,35.43,0,1
2006-02-22,33.73997184555235,36.080002,36.080002,0,1
2006-02-23,33.79607763764232,36.139999,36.139999,0,1
2006-02-24,33.478128918363204,35.799999,35.799999,0,1
2006-02-27,33.197586865907276,35.5,35.5,0,1
2006-02-28,33.169533502290655,35.470001,35.470001,0,1
2006-03-01,33.758670970819125,36.099998,36.099998,0,1
2006-03-02,33.73061854234579,36.07,36.07,0,1
2006-03-03,34.24494641780106,36.619999,36.619999,0,1
2006-03-06,34.52548847025698,36.919998,36.919998,0,1
2006-03-07,34.80603426328608,37.220001,37.220001,0,1
2006-03-08,34.98371055362229,37.41,37.41,0,1
2006-03-09,34.899547657342524,37.32,37.32,0,1
2006-03-10,35.666364221637096,38.139999,38.139999,0,1
2006-03-13,35.74117755528347,38.220001,38.220001,0,1
2006-03-14,36.46123882526474,38.990002,38.990002,0,1
2006-03-15,37.003620064336644,39.57,39.57,0,1
2006-03-16,36.72307707673743,39.27,39.27,0,1
2006-03-17,36.65761798144091,39.200001,39.200001,0,1
2006-03-20,37.546005043981715,40.150002,40.150002,0,1
2006-03-21,38.28476543922978,40.939999,40.939999,0,1
2006-03-22,39.87450903562534,42.639999,42.639999,0,1
2006-03-23,38.99547621143438,41.700001,41.700001,0,1
2006-03-24,39.00482577406777,41.709999,41.709999,0,1
2006-03-27,39.56591361955278,42.310001,42.310001,0,1
2006-03-28,38.15384537835014,40.799999,40.799999,0,1
2006-03-29,37.89200619173417,40.52,40.52,0,1
2006-03-30,36.47993795053153,39.009998,39.009998,0,1
2006-03-31,37.34027164945571,39.93,39.93,0,1
2006-04-03,36.59215795100109,39.130001,39.130001,0,1
2006-04-04,36.545401721544515,39.080002,39.080002,0,1
2006-04-05,36.78853710717725,39.34,39.34,0,1
2006-04-06,36.39577505425176,38.919998,38.919998,0,1
2006-04-07,36.302262595338604,38.82,38.82,0,1
2006-04-10,35.31100883553479,37.759998,37.759998,0,1
2006-04-11,35.81598714835667,38.299999,38.299999,0,1
2006-04-12,36.35837212800174,38.880001,38.880001,0,1
2006-04-13,36.87270000345701,39.43,39.43,0,1
2006-04-17,36.10588343916245,38.610001,38.610001,0,1
2006-04-18,35.413875532797796,37.869999,37.869999,0,1
2006-04-19,35.572851762723936,38.040001,38.040001,0,1
2006-04-20,34.4039226477272,36.790001,36.790001,0,1
2006-04-21,32.206334041246755,34.439999,34.439999,0,1
2006-04-24,33.73061854234579,36.07,36.07,0,1
2006-04-25,33.57164605299282,35.900002,35.900002,0,1
2006-04-26,33.440722251540016,35.759998,35.759998,0,1
2006-04-27,34.44132931455039,36.830002,36.830002,0,1
2006-04-28,33.67450807453937,36.009998,36.009998,0,1
2006-05-01,32.99185440652456,35.279999,35.279999,0,1
2006-05-02,33.67450807453937,36.009998,36.009998,0,1
2006-05-03,35.18008970979845,37.619999,37.619999,0,1
2006-05-04,36.124586305002396,38.630001,38.630001,0,1
2006-05-05,36.44253502428151,38.970001,38.970001,0,1
2006-05-08,33.197586865907276,35.5,35.5,0,1
2006-05-09,32.917044813451355,35.200001,35.200001,0,1
2006-05-10,32.365310271172895,34.610001,34.610001,0,1
2006-05-11,31.495626074472032,33.68,33.68,0,1
2006-05-12,31.3273002819125,33.5,33.5,0,1
2006-05-15,31.635899438558223,33.830002,33.830002,0,1
2006-05-16,30.569833280251327,32.689999,32.689999,0,1
2006-05-17,30.682052345577596,32.810001,32.810001,0,1
2006-05-18,30.33604745725198,32.439999,32.439999,0,1
2006-05-19,30.784915302267432,32.919998,32.919998,0,1
2006-05-22,30.06485870800261,32.150002,32.150002,0,1
2006-05-23,29.522473728357543,31.57,31.57,0,1
2006-05-24,28.419003708657332,30.389999,30.389999,0,1
2006-05-25,28.615384735120077,30.6,30.6,0,1
2006-05-26,29.036198281375608,31.049999,31.049999,0,1
2006-05-30,27.10980403500428,28.99,28.99,0,1
2006-05-31,27.52126708348313,29.43,29.43,0,1
2006-06-01,27.914027266122037,29.85,29.85,0,1
2006-06-02,27.044344004564465,28.92,28.92,0,1
2006-06-05,25.68838529602496,27.469999,27.469999,0,1
2006-06-06,25.884766322487703,27.68,27.68,0,1
2006-06-07,26.230768405383444,28.049999,28.049999,0,1
2006-06-08,25.809954859127913,27.6,27.6,0,1
2006-06-09,25.80060342620794,27.59,27.59,0,1
2006-06-12,25.03378592677008,26.77,26.77,0,1
2006-06-13,25.276924117832692,27.030001,27.030001,0,1
2006-06-14,26.006334015304073,27.809999,27.809999,0,1
2006-06-15,28.44705894256055,30.42,30.42,0,1
2006-06-16,29.43831083207778,31.48,31.48,0,1
2006-06-19,29.550528027117466,31.6,31.6,0,1
2006-06-20,29.737555750373648,31.799999,31.799999,0,1
2006-06-21,30.158371166915767,32.25,32.25,0,1
2006-06-22,30.392156989915115,32.5,32.5,0,1
2006-06-23,30.4295636567383,32.540001,32.540001,0,1
2006-06-26,29.81236721373344,31.879999,31.879999,0,1
2006-06-27,28.16651689010462,30.120001,30.120001,0,1
2006-06-28,27.867269166378872,29.799999,29.799999,0,1
2006-06-29,28.082353993824857,30.030001,30.030001,0,1
2006-06-30,29.00814491775898,31.02,31.02,0,1
2006-07-03,28.961386818015818,30.969999,30.969999,0,1
2006-07-05,29.036198281375608,31.049999,31.049999,0,1
2006-07-06,29.363499368717985,31.4,31.4,0,1
2006-07-07,29.129713545718637,31.15,31.15,0,1
2006-07-10,29.43831083207778,31.48,31.48,0,1
2006-07-11,28.821116259359503,30.82,30.82,0,1
2006-07-12,28.77435909475963,30.77,30.77,0,1
2006-07-13,26.763801952108537,28.620001,28.620001,0,1
2006-07-14,25.02443449385011,26.76,26.76,0,1
2006-07-17,24.949623030490315,26.68,26.68,0,1
2006-07-18,25.061839290386708,26.799999,26.799999,0,1
2006-07-19,26.707691484302114,28.559999,28.559999,0,1
2006-07-20,25.87541488956773,27.67,27.67,0,1
2006-07-21,25.202112654472902,26.950001,26.950001,0,1
2006-07-24,26.371041769469638,28.200001,28.200001,0,1
2006-07-25,25.72579196284815,27.51,27.51,0,1
2006-07-26,25.604222399745197,27.379999,27.379999,0,1
2006-07-27,25.239517451009505,26.99,26.99,0,1
2006-07-28,25.73514339576812,27.52,27.52,0,1
2006-07-31,24.44464471766843,26.139999,26.139999,0,1
2006-08-01,23.51885379373431,25.15,25.15,0,1
2006-08-02,22.677224830936662,24.25,24.25,0,1
2006-08-03,23.724586253117028,25.370001,25.370001,0,1
2006-08-04,23.013877351199014,24.610001,24.610001,0,1
2006-08-07,23.331826070478126,24.950001,24.950001,0,1
2006-08-08,23.172851710838568,24.780001,24.780001,0,1
2006-08-09,22.284464648297757,23.83,23.83,0,1
2006-08-10,21.994570227778567,23.52,23.52,0,1
2006-08-11,20.881749710301676,22.33,22.33,0,1
2006-08-14,21.27450989294058,22.75,22.75,0,1
2006-08-15,21.798189201315825,23.309999,23.309999,0,1
2006-08-16,23.023228784118984,24.620001,24.620001,0,1
2006-08-17,23.107389810112167,24.709999,24.709999,0,1
2006-08-18,23.266364169751725,24.879999,24.879999,0,1
2006-08-21,22.45279044085729,24.01,24.01,0,1
2006-08-22,22.64916959703345,24.219999,24.219999,0,1
2006-08-23,23.172851710838568,24.780001,24.780001,0,1
2006-08-24,22.705280064839872,24.280001,24.280001,0,1
2006-08-25,22.181597951034757,23.719999,23.719999,0,1
2006-08-28,22.892307788096062,24.48,24.48,0,1
2006-08-29,23.13544504401538,24.74,24.74,0,1
2006-08-30,23.565611893477474,25.200001,25.200001,0,1
2006-08-31,23.378582299934703,25,25,0,1
2006-09-01,23.219607940295145,24.83,24.83,0,1
2006-09-05,23.574961456110863,25.209999,25.209999,0,1
2006-09-06,23.2757156026717,24.889999,24.889999,0,1
2006-09-07,23.32247463755815,24.940001,24.940001,0,1
2006-09-08,23.462745196214467,25.09,25.09,0,1
2006-09-11,23.481448997197706,25.110001,25.110001,0,1
2006-09-12,24.734541008474206,26.450001,26.450001,0,1
2006-09-13,24.968326831473554,26.700001,26.700001,0,1
2006-09-14,25.82865866011115,27.620001,27.620001,0,1
2006-09-15,25.809954859127913,27.6,27.6,0,1
2006-09-18,24.856108701290573,26.58,26.58,0,1
2006-09-19,25.996982582384096,27.799999,27.799999,0,1
2006-09-20,26.885369644924907,28.75,28.75,0,1
2006-09-21,26.099849279647103,27.91,27.91,0,1
2006-09-22,26.01568638336734,27.82,27.82,0,1
2006-09-25,26.604827592468983,28.450001,28.450001,0,1
2006-09-26,26.46455422838279,28.299999,28.299999,0,1
2006-09-27,25.632277633648407,27.41,27.41,0,1
2006-09-28,25.08054309136995,26.82,26.82,0,1
2006-09-29,24.846757268370602,26.57,26.57,0,1
2006-10-02,26.09049784672713,27.9,27.9,0,1
2006-10-03,27.49321278472321,29.4,29.4,0,1
2006-10-04,27.820512936922295,29.75,29.75,0,1
2006-10-05,28.14781308912138,30.1,30.1,0,1
2006-10-06,28.09170542674483,30.040001,30.040001,0,1
2006-10-09,27.839215802762244,29.77,29.77,0,1
2006-10-10,28.51251897300036,30.49,30.49,0,1
2006-10-11,28.998793484839005,31.01,31.01,0,1
2006-10-12,29.382202234557937,31.42,31.42,0,1
2006-10-13,28.942685822462455,30.950001,30.950001,0,1
2006-10-16,28.269381717081043,30.23,30.23,0,1
2006-10-17,28.344192245297542,30.309999,30.309999,0,1
2006-10-18,30.373454124075163,32.48,32.48,0,1
2006-10-19,31.701359468998042,33.900002,33.900002,0,1
2006-10-20,33.10407440699412,35.400002,35.400002,0,1
2006-10-23,33.11342396962751,35.41,35.41,0,1
2006-10-24,32.72066565727519,34.990002,34.990002,0,1
2006-10-25,32.253094011276495,34.490002,34.490002,0,1
2006-10-26,33.39396602208344,35.709999,35.709999,0,1
2006-10-27,33.01055727236451,35.299999,35.299999,0,1
2006-10-30,34.38521884674396,36.77,36.77,0,1
2006-10-31,33.609048979242836,35.939999,35.939999,0,1
2006-11-01,32.954451480274535,35.240002,35.240002,0,1
2006-11-02,32.75806858352521,35.029999,35.029999,0,1
2006-11-03,32.514932262749184,34.77,34.77,0,1
2006-11-06,33.35655935526025,35.669998,35.669998,0,1
2006-11-07,33.197586865907276,35.5,35.5,0,1
2006-11-08,32.67390568724545,34.939999,34.939999,0,1
2006-11-09,32.496229396909236,34.75,34.75,0,1
