date,adj,close,raw,div,split
1991-07-24,4.5,4.5,4.5,0,1
1991-07-25,4.5625,4.5625,4.5625,0,1
1991-07-26,4.5,4.5,4.5,0,1
1991-07-29,4.625,4.625,4.625,0,1
1991-07-30,4.5,4.5,4.5,0,1
1991-07-31,4.5,4.5,4.5,0,1
1991-08-01,4.5,4.5,4.5,0,1
1991-08-02,4.5625,4.5625,4.5625,0,1
1991-08-05,4.625,4.625,4.625,0,1
1991-08-06,4.625,4.625,4.625,0,1
1991-08-07,4.5,4.5,4.5,0,1
1991-08-08,4.5625,4.5625,4.5625,0,1
1991-08-09,4.5,4.5,4.5,0,1
1991-08-12,4.5,4.5,4.5,0,1
1991-08-13,4.5,4.5,4.5,0,1
1991-08-14,4.625,4.625,4.625,0,1
1991-08-15,4.5,4.5,4.5,0,1
1991-08-16,4.5,4.5,4.5,0,1
1991-08-19,4.375,4.375,4.375,0,1
1991-08-20,4.375,4.375,4.375,0,1
1991-08-21,4.4375,4.4375,4.4375,0,1
1991-08-22,4.375,4.375,4.375,0,1
1991-08-23,4.3125,4.3125,4.3125,0,1
1991-08-26,4.5625,4.5625,4.5625,0,1
1991-08-27,4.625,4.625,4.625,0,1
1991-08-28,4.6875,4.6875,4.6875,0,1
1991-08-29,4.9375,4.9375,4.9375,0,1
1991-08-30,5.1875,5.1875,5.1875,0,1
1991-09-03,5.125,5.125,5.125,0,1
1991-09-04,5,5,5,0,1
1991-09-05,5,5,5,0,1
1991-09-06,5,5,5,0,1
1991-09-09,4.875,4.875,4.875,0,1
1991-09-10,5.0625,5.0625,5.0625,0,1
1991-09-11,5,5,5,0,1
1991-09-12,5.1875,5.1875,5.1875,0,1
1991-09-13,5.5625,5.5625,5.5625,0,1
1991-09-16,5.5625,5.5625,5.5625,0,1
1991-09-17,5.5,5.5,5.5,0,1
1991-09-18,5.6875,5.6875,5.6875,0,1
1991-09-19,6.1875,6.1875,6.1875,0,1
1991-09-20,6.625,6.625,6.625,0,1
1991-09-23,6.5625,6.5625,6.5625,0,1
1991-09-24,6.5625,6.5625,6.5625,0,1
1991-09-25,7,7,7,0,1
1991-09-26,7.625,7.625,7.625,0,1
1991-09-27,7.375,7.375,7.375,0,1
1991-09-30,7.375,7.375,7.375,0,1
1991-10-01,7.8125,7.8125,7.8125,0,1
1991-10-02,7.8125,7.8125,7.8125,0,1
1991-10-03,7.375,7.375,7.375,0,1
1991-10-04,7.5,7.5,7.5,0,1
1991-10-07,6.625,6.625,6.625,0,1
1991-10-08,6.8125,6.8125,6.8125,0,1
1991-10-09,6.875,6.875,6.875,0,1
1991-10-10,6.875,6.875,6.875,0,1
1991-10-11,6.8125,6.8125,6.8125,0,1
1991-10-14,6.875,6.875,6.875,0,1
1991-10-15,7.25,7.25,7.25,0,1
1991-10-16,7.8125,7.8125,7.8125,0,1
1991-10-17,7.5,7.5,7.5,0,1
1991-10-18,7.625,7.625,7.625,0,1
1991-10-21,7.25,7.25,7.25,0,1
1991-10-22,6.75,6.75,6.75,0,1
1991-10-23,7.5,7.5,7.5,0,1
1991-10-24,7.5625,7.5625,7.5625,0,1
1991-10-25,7.25,7.25,7.25,0,1
1991-10-28,7.25,7.25,7.25,0,1
1991-10-29,7.25,7.25,7.25,0,1
1991-10-30,7.4375,7.4375,7.4375,0,1
1991-10-31,7.25,7.25,7.25,0,1
1991-11-01,7.5625,7.5625,7.5625,0,1
1991-11-04,7.6875,7.6875,7.6875,0,1
1991-11-05,7.6875,7.6875,7.6875,0,1
1991-11-06,7.75,7.75,7.75,0,1
1991-11-07,7.625,7.625,7.625,0,1
1991-11-08,7.75,7.75,7.75,0,1
1991-11-11,7.5625,7.5625,7.5625,0,1
1991-11-12,7.25,7.25,7.25,0,1
1991-11-13,7.1875,7.1875,7.1875,0,1
1991-11-14,7.1875,7.1875,7.1875,0,1
1991-11-15,6.4375,6.4375,6.4375,0,1
1991-11-18,6,6,6,0,1
1991-11-19,5.75,5.75,5.75,0,1
1991-11-20,5.75,5.75,5.75,0,1
1991-11-21,5.6875,5.6875,5.6875,0,1
1991-11-22,5.625,5.625,5.625,0,1
1991-11-25,5.5625,5.5625,5.5625,0,1
1991-11-26,5.75,5.75,5.75,0,1
1991-11-27,5.8125,5.8125,5.8125,0,1
1991-11-29,5.6875,5.6875,5.6875,0,1
1991-12-02,5.75,5.75,5.75,0,1
1991-12-03,5.75,5.75,5.75,0,1
1991-12-04,6.25,6.25,6.25,0,1
1991-12-05,6.625,6.625,6.625,0,1
1991-12-06,7,7,7,0,1
