date,adj,close,raw,div,split
2005-07-08,7.818089,7.818089,7.818089,0,1
2005-07-11,7.843638,7.843638,7.843638,0,1
2005-07-12,8.252427,8.252427,8.252427,0,1
2005-07-13,8.124681,8.124681,8.124681,0,1
2005-07-14,8.124681,8.124681,8.124681,0,1
2005-07-15,8.022483,8.022483,8.022483,0,1
2005-07-18,7.613694,7.613694,7.613694,0,1
2005-07-19,7.634134,7.634134,7.634134,0,1
2005-07-20,7.588145,7.588145,7.588145,0,1
2005-07-21,7.710782,7.710782,7.710782,0,1
2005-07-22,7.659683,7.659683,7.659683,0,1
2005-07-25,7.179356,7.179356,7.179356,0,1
2005-07-26,7.153807,7.153807,7.153807,0,1
2005-07-27,7.153807,7.153807,7.153807,0,1
2005-07-28,7.281553,7.281553,7.281553,0,1
2005-07-29,7.291773,7.291773,7.291773,0,1
2005-08-01,7.174246,7.174246,7.174246,0,1
2005-08-02,7.143587,7.143587,7.143587,0,1
2005-08-03,7.271334,7.271334,7.271334,0,1
2005-08-04,7.235565,7.235565,7.235565,0,1
2005-08-05,7.204905,7.204905,7.204905,0,1
2005-08-08,7.179356,7.179356,7.179356,0,1
2005-08-09,7.138477,7.138477,7.138477,0,1
2005-08-10,7.210015,7.210015,7.210015,0,1
2005-08-11,7.455289,7.455289,7.455289,0,1
2005-08-12,7.506387,7.506387,7.506387,0,1
2005-08-15,7.736331,7.736331,7.736331,0,1
2005-08-16,7.76699,7.76699,7.76699,0,1
2005-08-17,7.715892,7.715892,7.715892,0,1
2005-08-18,7.675013,7.675013,7.675013,0,1
2005-08-19,7.7721,7.7721,7.7721,0,1
2005-08-22,7.920286,7.920286,7.920286,0,1
2005-08-23,8.012264,8.012264,8.012264,0,1
2005-08-24,8.088912,8.088912,8.088912,0,1
2005-08-25,8.048033,8.048033,8.048033,0,1
2005-08-26,7.961165,7.961165,7.961165,0,1
2005-08-29,7.858968,7.858968,7.858968,0,1
2005-08-30,7.828309,7.828309,7.828309,0,1
2005-08-31,7.736331,7.736331,7.736331,0,1
2005-09-01,7.746551,7.746551,7.746551,0,1
2005-09-02,7.741441,7.741441,7.741441,0,1
2005-09-06,7.7721,7.7721,7.7721,0,1
2005-09-07,7.77721,7.77721,7.77721,0,1
2005-09-08,7.715892,7.715892,7.715892,0,1
2005-09-09,7.664793,7.664793,7.664793,0,1
2005-09-12,7.649463,7.649463,7.649463,0,1
2005-09-13,7.583035,7.583035,7.583035,0,1
2005-09-14,7.623914,7.623914,7.623914,0,1
2005-09-15,7.664793,7.664793,7.664793,0,1
2005-09-16,7.664793,7.664793,7.664793,0,1
2005-09-19,7.690342,7.690342,7.690342,0,1
2005-09-20,7.685232,7.685232,7.685232,0,1
2005-09-21,7.557486,7.557486,7.557486,0,1
2005-09-22,7.511497,7.511497,7.511497,0,1
2005-09-23,7.475728,7.475728,7.475728,0,1
2005-09-26,7.450179,7.450179,7.450179,0,1
2005-09-27,7.445069,7.445069,7.445069,0,1
2005-09-28,7.363311,7.363311,7.363311,0,1
2005-09-29,7.281553,7.281553,7.281553,0,1
2005-09-30,7.373531,7.373531,7.373531,0,1
2005-10-03,7.42463,7.42463,7.42463,0,1
2005-10-04,7.164027,7.164027,7.164027,0,1
2005-10-05,7.102708,7.102708,7.102708,0,1
2005-10-06,7.056719,7.056719,7.056719,0,1
2005-10-07,7.143587,7.143587,7.143587,0,1
2005-10-10,7.138477,7.138477,7.138477,0,1
2005-10-11,7.179356,7.179356,7.179356,0,1
2005-10-12,7.164027,7.164027,7.164027,0,1
2005-10-13,7.281553,7.281553,7.281553,0,1
2005-10-14,7.40419,7.40419,7.40419,0,1
2005-10-17,7.271334,7.271334,7.271334,0,1
2005-10-18,7.240675,7.240675,7.240675,0,1
2005-10-19,7.158917,7.158917,7.158917,0,1
2005-10-20,7.092489,7.092489,7.092489,0,1
2005-10-21,7.194686,7.194686,7.194686,0,1
2005-10-24,7.276444,7.276444,7.276444,0,1
2005-10-25,7.174246,7.174246,7.174246,0,1
2005-10-26,7.143587,7.143587,7.143587,0,1
2005-10-27,7.02095,7.02095,7.02095,0,1
2005-10-28,7.250894,7.250894,7.250894,0,1
2005-10-31,7.199796,7.199796,7.199796,0,1
2005-11-01,7.266224,7.266224,7.266224,0,1
2005-11-02,7.347982,7.347982,7.347982,0,1
2005-11-03,7.256004,7.256004,7.256004,0,1
2005-11-04,7.210015,7.210015,7.210015,0,1
2005-11-07,7.230455,7.230455,7.230455,0,1
2005-11-08,7.332652,7.332652,7.332652,0,1
2005-11-09,7.327542,7.327542,7.327542,0,1
2005-11-10,7.557486,7.557486,7.557486,0,1
2005-11-11,7.797649,7.797649,7.797649,0,1
2005-11-14,7.823199,7.823199,7.823199,0,1
2005-11-15,7.823199,7.823199,7.823199,0,1
2005-11-16,7.664793,7.664793,7.664793,0,1
2005-11-17,7.608585,7.608585,7.608585,0,1
2005-11-18,7.78743,7.78743,7.78743,0,1
2005-11-21,7.971385,7.971385,7.971385,0,1
2005-11-22,8.048033,8.048033,8.048033,0,1
2005-11-23,8.078692,8.078692,8.078692,0,1
2005-11-25,8.094021,8.094021,8.094021,0,1
2005-11-28,8.048033,8.048033,8.048033,0,1
2005-11-29,8.048033,8.048033,8.048033,0,1
2005-11-30,7.976495,7.976495,7.976495,0,1
2005-12-01,7.991824,7.991824,7.991824,0,1
2005-12-02,7.971385,7.971385,7.971385,0,1
2005-12-05,7.915176,7.915176,7.915176,0,1
2005-12-06,7.721002,7.721002,7.721002,0,1
2005-12-07,7.812979,7.812979,7.812979,0,1
2005-12-08,7.915176,7.915176,7.915176,0,1
2005-12-09,7.910066,7.910066,7.910066,0,1
2005-12-12,8.073582,8.073582,8.073582,0,1
2005-12-13,8.16556,8.16556,8.16556,0,1
2005-12-14,8.175779,8.175779,8.175779,0,1
2005-12-15,7.945835,7.945835,7.945835,0,1
2005-12-16,8.201329,8.201329,8.201329,0,1
2005-12-19,7.986714,7.986714,7.986714,0,1
2005-12-20,7.915176,7.915176,7.915176,0,1
2005-12-21,7.838528,7.838528,7.838528,0,1
2005-12-22,7.807869,7.807869,7.807869,0,1
2005-12-23,7.879407,7.879407,7.879407,0,1
2005-12-27,7.823199,7.823199,7.823199,0,1
2005-12-28,7.7721,7.7721,7.7721,0,1
2005-12-29,7.79254,7.79254,7.79254,0,1
2005-12-30,7.741441,7.741441,7.741441,0,1
2006-01-03,7.715892,7.715892,7.715892,0,1
2006-01-04,7.818089,7.818089,7.818089,0,1
2006-01-05,7.818089,7.818089,7.818089,0,1
2006-01-06,7.843638,7.843638,7.843638,0,1
2006-01-09,7.818089,7.818089,7.818089,0,1
2006-01-10,7.833418,7.833418,7.833418,0,1
2006-01-11,7.807869,7.807869,7.807869,0,1
