Date,Symbol,Currency,Exchange,high,Low,Open,Volume,Close,Adj,OC,HL
2017-04-08,BTC,USD,global,1198.22,1166.65,1190.49,33180.63,1180.78,2368.0699999999997,-0.008156305386857543,0.02706038657695104
2017-04-09,BTC,USD,global,1215.1,1173.99,1180.78,45351.08,1204.34,2387.1049999999996,0.01995291248157993,0.0350173340488419
2017-04-10,BTC,USD,global,1214.87,1194.81,1204.34,40013.05,1206.71,2410.365,0.001967882823787401,0.01678928030398134
2017-04-11,BTC,USD,global,1229.57,1195.76,1206.71,37394.78,1220.74,2426.39,0.01162665429142045,0.02827490466314306
2017-04-12,BTC,USD,global,1225.46,1207.36,1220.74,44783.23,1212.53,2433.0449999999996,-0.006725428838245684,0.014991386164855666
2017-04-13,BTC,USD,global,1218.66,1150.29,1212.53,66051.93,1176.2,2378.84,-0.02996214526650881,0.059437185405419604
2017-04-14,BTC,USD,global,1195.4,1162.16,1176.2,47217.49,1177.33,2355.545,9.607209658220385e-4,0.02860191367797894
2017-04-15,BTC,USD,global,1194.85,841.53,1177.33,28384.58,1176.99,2195.35,-2.887890396064979e-4,0.4198543129775527
2017-04-16,BTC,USD,global,1187.97,1166.74,1176.99,18930.29,1176.8,2354.25,-1.6142872921609747e-4,0.018195999108627472
2017-04-17,BTC,USD,global,1202.97,1172.81,1176.8,46483.54,1194.01,2373.295,0.014624405166553396,0.02571601538186073
2017-04-18,BTC,USD,global,1213.88,1191.14,1194.01,52747.52,1206.09,2402.5600000000004,0.010117168197921229,0.019090954883556936
2017-04-19,BTC,USD,global,1218.21,1194.08,1206.09,43347.15,1215.2,2416.79,0.007553333499158544,0.020208026262897052
2017-04-20,BTC,USD,global,1246.64,1210.67,1215.2,55194.86,1238.09,2455.3,0.01883640552995381,0.029710821280778434
2017-04-21,BTC,USD,global,1256.97,1235.56,1238.09,41344.02,1249.64,2490.13,0.009328885622208549,0.01732817507850698
2017-04-22,BTC,USD,global,1256.97,1215.78,1249.64,43814.59,1240.89,2481.64,-0.007002016580775263,0.03387948477520609
2017-04-23,BTC,USD,global,1256.23,1223.06,1240.89,42608.01,1249.14,2484.66,0.006648453932258298,0.027120501038379208
2017-04-24,BTC,USD,global,1256.36,1234.86,1249.14,38542.24,1248.18,2494.27,-7.685287477785007e-4,0.017410880585653436
2017-04-25,BTC,USD,global,1272.62,1244.21,1248.18,43885.78,1264.31,2514.66,0.012922815619541958,0.022833766004131017
2017-04-26,BTC,USD,global,1309.2,1263,1264.31,58908.66,1286.63,2561.5699999999997,0.01765389817370753,0.03657957244655585
2017-04-27,BTC,USD,global,1346.79,1285.3,1286.63,61771.48,1332.91,2625.815,0.03596993696711562,0.04784097097953786
2017-04-28,BTC,USD,global,1356.15,1287.62,1332.91,77569.41,1329.62,2653.15,-0.0024682836800685648,0.05322222394805937
2017-04-29,BTC,USD,global,1343.69,1314.15,1329.62,40969.34,1336.28,2661.87,0.005008949925542698,0.022478408096488194
2017-04-30,BTC,USD,global,1358.94,1309.66,1336.28,40643.04,1351.91,2678.395,0.011696650402610313,0.03762808667898536
2017-05-01,BTC,USD,global,1448.68,1342.78,1351.91,100438.27,1415.81,2779.5899999999997,0.04726646004541712,0.07886623274102987
2017-05-02,BTC,USD,global,1471.14,1394.83,1415.81,70004.82,1445.93,2863.855,0.021274041008327475,0.054709176028620105
2017-05-03,BTC,USD,global,1496.39,1424.05,1445.93,81717.36,1485.55,2925.96,0.027401049843353335,0.050798778132790386
2017-05-04,BTC,USD,global,1609.84,1437.11,1485.55,136711.3,1516.76,3024.6299999999997,0.02100905388576624,0.12019260877733787
2017-05-05,BTC,USD,global,1588.11,1485.01,1516.76,120379.24,1507.77,3048.8250000000003,-0.005927107782378233,0.06942714190476826
2017-05-06,BTC,USD,global,1560.42,1503.93,1507.77,59602.01,1545.29,3058.705,0.0248844319756992,0.03756158863776905
2017-05-07,BTC,USD,global,1572.89,1495.18,1545.29,71355.58,1554.45,3083.905,0.005927689948165123,0.05197367541031851
2017-05-08,BTC,USD,global,1667.67,1552.86,1554.45,107226.89,1664.47,3219.725,0.07077744539869406,0.07393454657857126
2017-05-09,BTC,USD,global,1757.39,1619.97,1664.47,127228.68,1697.5,3369.6650000000004,0.019844154595757193,0.08482873139626047
2017-05-10,BTC,USD,global,1766.18,1664.99,1697.5,89679.81,1752.31,3440.49,0.0322886597938144,0.06077513979062941
2017-05-11,BTC,USD,global,1864.76,1741.54,1752.31,109009,1819.29,3588.9500000000003,0.038223830258344714,0.07075347106583829
2017-05-12,BTC,USD,global,1822.51,1641.18,1819.29,109341.25,1686.39,3484.6850000000004,-0.07305047573503942,0.11048757601238128
2017-05-13,BTC,USD,global,1770.5,1594.59,1686.39,75467.87,1763.74,3407.61,0.04586720746683739,0.11031675853981279
2017-05-14,BTC,USD,global,1802.75,1736.13,1763.74,40635.4,1772.55,3537.585,0.0049950673001689285,0.03837270250499668
2017-05-15,BTC,USD,global,1776.65,1656.81,1772.55,80241.72,1708.92,3457.465,-0.03589743589743583,0.07233177008830231
2017-05-16,BTC,USD,global,1752.55,1653.72,1708.92,75541.37,1729.34,3422.265,0.011949067247150155,0.05976223302614707
2017-05-17,BTC,USD,global,1842.83,1703.97,1729.34,94618.69,1801.3,3538.7200000000003,0.041611250534886166,0.0814920450477414
2017-05-18,BTC,USD,global,1980.49,1791.12,1801.3,73095.54,1880.99,3726.95,0.044240270915449985,0.10572714279333609
2017-05-19,BTC,USD,global,1969.7,1875.28,1880.99,98759.13,1962,3843.9849999999997,0.0430677462400119,0.05034981442771217
2017-05-20,BTC,USD,global,2048.45,1944.4,1962,89862.03,2040.18,3997.5150000000003,0.039847094801223275,0.05351265171775341
2017-05-21,BTC,USD,global,2094.94,1980.07,2040.18,78775.32,2044.19,4079.69,0.0019655128469056606,0.05801310054695042
2017-05-22,BTC,USD,global,2264.76,1998.61,2044.19,174376.65,2124.41,4215.985000000001,0.039242927516522336,0.1331675514482567
2017-05-23,BTC,USD,global,2286.3,2110.78,2124.41,114179.23,2272.58,4397.035,0.06974642371293681,0.08315409469485212
2017-05-24,BTC,USD,global,2496.98,2263.29,2272.58,149254.84,2445.28,4739.0650000000005,0.07599292434149744,0.10325234503753389
2017-05-25,BTC,USD,global,2781.76,2210.48,2445.28,248438.97,2307.22,4872.37,-0.0564597919256692,0.25844160544316175
2017-05-26,BTC,USD,global,2616.52,2051.45,2306.96,191494.03,2244.89,4609.91,-0.026905538024066374,0.2754490726071804
2017-05-27,BTC,USD,global,2322.37,1868.56,2244.89,222952.91,2052.43,4244.124999999999,-0.08573248577881323,0.2428661643190478
2017-05-28,BTC,USD,global,2300.52,2051.07,2052.43,125004.39,2189.02,4296.5199999999995,0.06655038174261736,0.12161944741037595
2017-05-29,BTC,USD,global,2337.35,2117.34,2189.02,92235.69,2278.21,4460.96,0.040744259988488025,0.10390867786940206
2017-05-30,BTC,USD,global,2329.26,2147.1,2278.21,120964.11,2192.55,4473.56,-0.037599694496995385,0.08484001676680188
2017-05-31,BTC,USD,global,2330.62,2168.37,2192.55,117749.1,2303.34,4497.4400000000005,0.05053020455633849,0.07482579080138538
2017-06-01,BTC,USD,global,2460.84,2303.34,2303.34,122696.44,2412.65,4740.085,0.047457170890967,0.06837896272369688
2017-06-02,BTC,USD,global,2493.97,2385.59,2412.65,83028.45,2492.6,4892.405,0.03313783598947208,0.04543110928533388
2017-06-03,BTC,USD,global,2582.77,2449.95,2492.6,70956.49,2545.43,5035.375,0.021194736419802587,0.0542133512928836
2017-06-04,BTC,USD,global,2559.79,2478.18,2545.43,59478.96,2524.06,5053.7300000000005,-0.00839543809886734,0.03293142548160349
2017-06-05,BTC,USD,global,2705.38,2523.92,2524.06,86686.38,2704.96,5229.16,0.07167024555676177,0.07189609813306287
2017-06-06,BTC,USD,global,2931.24,2699.68,2704.96,192228.25,2870.5,5603.1900000000005,0.06119868685673724,0.08577312866710127
2017-06-07,BTC,USD,global,2880.95,2626.56,2870.5,122676.04,2691.51,5534.759999999999,-0.06235499041978742,0.0968529178849902
2017-06-08,BTC,USD,global,2808.41,2623.61,2691.51,95420.44,2798.78,5461.155000000001,0.03985495130985951,0.07043729822648935
2017-06-09,BTC,USD,global,2852.07,2786.07,2798.78,67044.96,2811.43,5624.175,0.004519826495830196,0.02368928275312537
2017-06-10,BTC,USD,global,2914.19,2807.36,2811.43,86516.58,2900.25,5716.615000000001,0.0315924636217157,0.03805354496751394
2017-06-11,BTC,USD,global,2977.86,2867.25,2900.25,83026.07,2973.45,5859.405,0.025239203516938133,0.03857703374313371
2017-06-12,BTC,USD,global,2985.06,2483.63,2973.45,217963.32,2656.77,5549.455,-0.1065025475457801,0.20189400192460222
2017-06-13,BTC,USD,global,2784.77,2647.44,2656.77,116738.08,2712.99,5400.985000000001,0.0211610338870131,0.05187275254585559
2017-06-14,BTC,USD,global,2803.72,2348.99,2712.99,174189.24,2467.27,5166.485,-0.09057165710157421,0.1935853281623166
2017-06-15,BTC,USD,global,2521.6,2125.56,2467.27,262787.33,2442.46,4778.445,-0.01005564855082741,0.18632266320404975
2017-06-16,BTC,USD,global,2536.42,2335.28,2442.46,117206.43,2508.58,4911.37,0.02707106769404612,0.08613099928060013
2017-06-17,BTC,USD,global,2690.71,2454.81,2508.58,95948.29,2655.1,5154.5999999999995,0.0584075453045149,0.09609705028087717
2017-06-18,BTC,USD,global,2676.04,2488.59,2655.1,92004.22,2539.56,5179.645,-0.04351625174193061,0.07532377772152095
